id,ingredient,trade_name,applicant,strength,appl_type,appl_no,te_code,approval_date,rld,type,applicant_full_name,dose_form,route,product_no
664396,RIZATRIPTAN BENZOATE,RIZATRIPTAN BENZOATE,JUBILANT GENERICS,EQ 10MG BASE,A,203334,,2015-10-16,0,DISCN,JUBILANT GENERICS LTD,"TABLET, ORALLY DISINTEGRATING",ORAL,002
662471,ARMODAFINIL,ARMODAFINIL,COREPHARMA,150MG,A,201514,,2019-03-25,0,DISCN,COREPHARMA LLC,TABLET,ORAL,002
665622,PALIPERIDONE,PALIPERIDONE,INVENTIA,9MG,A,204452,AB,2019-06-12,0,RX,INVENTIA HEALTHCARE LTD,"TABLET, EXTENDED RELEASE",ORAL,004
687940,BRIGATINIB,ALUNBRIG,TAKEDA PHARMS USA,180MG,N,208772,,2017-10-02,1,RX,TAKEDA PHARMACEUTICALS USA INC,TABLET,ORAL,003
670536,FLUOCINOLONE ACETONIDE,FLUOCINOLONE ACETONIDE,CHARTWELL RX,0.01%,A,209596,AT,2017-12-26,0,RX,CHARTWELL RX SCIENCES LLC,SOLUTION,TOPICAL,001
684341,ZIPRASIDONE HYDROCHLORIDE,GEODON,PFIZER INC,EQ 10MG BASE/ML,N,021483,,2006-03-29,0,DISCN,PFIZER INC,SUSPENSION,ORAL,001
664332,LIDOCAINE,LIDOCAINE,NOVEN PHARMS INC,5%,A,203265,,2020-12-01,0,DISCN,NOVEN PHARMACEUTICALS INC,PATCH,TOPICAL,001
647965,ETHINYL ESTRADIOL; LEVONORGESTREL,LESSINA-21,BARR,0.02MG;0.1MG,A,075803,,2002-03-20,0,DISCN,BARR LABORATORIES INC,TABLET,ORAL-21,001
681088,GADOPENTETATE DIMEGLUMINE,MAGNEVIST,BAYER HLTHCARE,469.01MG/ML,N,019596,,1988-06-02,1,DISCN,BAYER HEALTHCARE PHARMACEUTICALS INC,INJECTABLE,INJECTION,001
669374,TIAGABINE HYDROCHLORIDE,TIAGABINE HYDROCHLORIDE,AMNEAL PHARMS CO,16MG,A,208181,,2017-12-08,0,DISCN,AMNEAL PHARMACEUTICALS CO GMBH,TABLET,ORAL,004
673897,BETAMETHASONE DIPROPIONATE; CALCIPOTRIENE,CALCIPOTRIENE AND BETAMETHASONE DIPROPIONATE,TARO PHARMS,0.064%;0.005%,A,213269,AB,2020-09-02,0,RX,TARO PHARMACEUTICALS INC,SUSPENSION,TOPICAL,001
653774,ATOMOXETINE HYDROCHLORIDE,ATOMOXETINE HYDROCHLORIDE,STRIDES PHARMA,10MG,A,079021,,2021-02-18,0,DISCN,STRIDES PHARMA GLOBAL PTE LTD,CAPSULE,ORAL,001
650707,AMPHETAMINE ASPARTATE; AMPHETAMINE SULFATE; DEXTROAMPHETAMINE SACCHARATE; DEXTROAMPHETAMINE SULFATE,"DEXTROAMP SACCHARATE, AMP ASPARTATE, DEXTROAMP SULFATE AND AMP SULFATE",ACTAVIS ELIZABETH,5MG;5MG;5MG;5MG,A,077302,AB,2012-06-22,0,RX,ACTAVIS ELIZABETH LLC,"CAPSULE, EXTENDED RELEASE",ORAL,004
666938,LIDOCAINE; PRILOCAINE,LIDOCAINE AND PRILOCAINE,PAI HOLDINGS PHARM,2.5%;2.5%,A,205887,,2018-06-29,0,DISCN,PAI HOLDINGS LLC DBA PHARMACEUTICAL ASSOCIATES INC,CREAM,TOPICAL,001
687041,PHENYLEPHRINE HYDROCHLORIDE,IMMPHENTIV,HIKMA,0.5MG/5ML (0.1MG/ML),N,203826,,2023-03-09,1,RX,HIKMA PHARMACEUTICALS USA INC,SOLUTION,INTRAVENOUS,004
677596,HYDROCHLOROTHIAZIDE; SPIRONOLACTONE,ALDACTAZIDE,PFIZER,50MG;50MG,N,012616,,1982-12-30,1,RX,PFIZER INC,TABLET,ORAL,005
682798,LAMIVUDINE,EPIVIR,VIIV HLTHCARE,300MG,N,020564,AB,2002-06-24,1,RX,VIIV HEALTHCARE CO,TABLET,ORAL,003
681964,DILTIAZEM HYDROCHLORIDE,CARDIZEM,BIOVAIL LABS INTL,25MG/VIAL **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**,N,020027,,1995-08-18,1,DISCN,BIOVAIL LABORATORIES INTERNATIONAL SRL,INJECTABLE,INJECTION,003
659648,AMPICILLIN SODIUM; SULBACTAM SODIUM,AMPICILLIN AND SULBACTAM,HOSPIRA INC,EQ 1GM BASE/VIAL;EQ 500MG BASE/VIAL,A,090375,,2011-12-21,0,DISCN,HOSPIRA INC,INJECTABLE,INJECTION,001
643691,METOCLOPRAMIDE HYDROCHLORIDE,METOCLOPRAMIDE HYDROCHLORIDE,MUTUAL PHARM,EQ 10MG BASE,A,070660,,1987-02-10,0,DISCN,MUTUAL PHARMACEUTICAL CO INC,TABLET,ORAL,001
674629,ETRAVIRINE,ETRAVIRINE,AMNEAL,100MG,A,214196,AB,2021-06-14,0,RX,AMNEAL EU LTD,TABLET,ORAL,002
683061,"AMINO ACIDS; CALCIUM CHLORIDE; DEXTROSE; MAGNESIUM CHLORIDE; POTASSIUM PHOSPHATE, DIBASIC; SODIUM ACETATE; SODIUM CHLORIDE",CLINIMIX E 5/35 SULFITE FREE W/ ELECT IN DEXTROSE 35% W/ CALCIUM IN PLASTIC CONTAINER,BAXTER HLTHCARE,5%;33MG/100ML;35GM/100ML;51MG/100ML;261MG/100ML;340MG/100ML;59MG/100ML,N,020678,,1997-03-26,1,RX,BAXTER HEALTHCARE CORP,INJECTABLE,INJECTION,021
673819,CARMUSTINE,CARMUSTINE,DR REDDYS,100MG/VIAL,A,213207,AP,2020-10-22,0,RX,DR REDDYS LABORATORIES LTD,INJECTABLE,INJECTION,001
684886,DEFERIPRONE,FERRIPROX,CHIESI,500MG,N,021825,AB,2011-10-14,1,RX,CHIESI USA INC,TABLET,ORAL,001
671409,SODIUM NITROPRUSSIDE,SODIUM NITROPRUSSIDE,SUN PHARM,25MG/ML,A,210467,,2018-11-26,0,DISCN,SUN PHARMACEUTICAL INDUSTRIES LTD,INJECTABLE,INJECTION,001
660420,IBANDRONATE SODIUM,IBANDRONATE SODIUM,SUN PHARM,EQ 3MG BASE/3ML,A,090853,AP,2014-02-14,0,RX,SUN PHARMACEUTICAL INDUSTRIES LTD,INJECTABLE,INTRAVENOUS,001
651682,CHLORHEXIDINE GLUCONATE,CHLORHEXIDINE GLUCONATE,XTTRIUM,0.12%,A,077789,AT,2009-06-18,0,RX,XTTRIUM LABORATORIES INC,SOLUTION,DENTAL,001
667309,OLANZAPINE,OLANZAPINE,SUNSHINE,2.5MG,A,206238,,2018-11-19,0,DISCN,SUNSHINE LAKE PHARMA CO LTD,TABLET,ORAL,001
671876,DICYCLOMINE HYDROCHLORIDE,DICYCLOMINE HYDROCHLORIDE,FOSUN PHARMA,10MG/ML,A,210979,AP,2018-07-02,0,RX,FOSUN PHARMA USA INC,INJECTABLE,INJECTION,001
673722,DOXEPIN HYDROCHLORIDE,DOXEPIN HYDROCHLORIDE,TARO,EQ 10MG BASE,A,213063,AB,2020-07-01,0,RX,TARO PHARMACEUTICAL INDUSTRIES LTD,CAPSULE,ORAL,001
640759,BACITRACIN ZINC; NEOMYCIN SULFATE; POLYMYXIN B SULFATE,NEO-POLYCIN,DOW PHARM,"500 UNITS/GM;EQ 3.5MG BASE/GM;10,000 UNITS/GM",A,060647,,,0,DISCN,DOW PHARMACEUTICAL CORP SUB DOW CHEMICAL CO,OINTMENT,OPHTHALMIC,001
674809,CAPTOPRIL,CAPTOPRIL,CHANGZHOU PHARM,50MG,A,214442,AB,2023-01-27,0,RX,CHANGZHOU PHARMACEUTICAL FACTORY,TABLET,ORAL,003
639548,METHOTREXATE SODIUM,METHOTREXATE PRESERVATIVE FREE,FRESENIUS KABI USA,EQ 25MG BASE/ML,A,040265,,1999-02-26,0,DISCN,FRESENIUS KABI USA LLC,INJECTABLE,INJECTION,001
667477,TEMOZOLOMIDE,TEMOZOLOMIDE,CHARTWELL,20MG,A,206413,AB,2016-04-12,0,RX,CHARTWELL LIFE MOLECULES LLC,CAPSULE,ORAL,002
667048,ATRACURIUM BESYLATE,ATRACURIUM BESYLATE,EUGIA PHARMA,10MG/ML,A,206011,AP,2015-04-08,0,RX,EUGIA PHARMA SPECIALITIES LTD,INJECTABLE,INJECTION,001
682926,QUETIAPINE FUMARATE,SEROQUEL,ASTRAZENECA,EQ 400MG BASE,N,020639,AB,2005-10-04,1,RX,ASTRAZENECA PHARMACEUTICALS LP,TABLET,ORAL,006
654627,DIPHENHYDRAMINE HYDROCHLORIDE,DIPHENHYDRAMINE HYDROCHLORIDE,WEST-WARD PHARMS INT,50MG/ML,A,080817,AP,,1,RX,WEST-WARD PHARMACEUTICALS INTERNATIONAL LTD,INJECTABLE,INJECTION,002
665377,ESOMEPRAZOLE MAGNESIUM; NAPROXEN,NAPROXEN AND ESOMEPRAZOLE MAGNESIUM,DR REDDYS,EQ 20MG BASE;500MG,A,204206,AB,2020-02-18,0,RX,DR REDDYS LABORATORIES LTD,"TABLET, DELAYED RELEASE",ORAL,002
680387,ASCORBIC ACID; BIOTIN; CYANOCOBALAMIN; DEXPANTHENOL; ERGOCALCIFEROL; FOLIC ACID; NIACINAMIDE; PYRIDOXINE; RIBOFLAVIN 5-PHOSPHATE SODIUM; THIAMINE; VITAMIN A; VITAMIN E,M.V.I.-12 LYOPHILIZED,TELIGENT,100MG/VIAL;0.06MG/VIAL;0.005MG/VIAL;15MG/VIAL;5MCG/VIAL;0.4MG/VIAL;40MG/VIAL;4MG/VIAL;3.6MG/VIAL;3MG/VIAL;1MG/VIAL;10MG/VIAL,N,018933,,1985-08-08,0,DISCN,TELIGENT PHARMA INC,INJECTABLE,INJECTION,002
684995,LEVOTHYROXINE SODIUM,TIROSINT,INSTITUT BIOCHIMIQUE,0.125MG,N,021924,,2006-10-13,1,RX,INSTITUT BIOCHIMIQUE SA (IBSA),CAPSULE,ORAL,006
646132,ATENOLOL,ATENOLOL,SUN PHARM INDUSTRIES,25MG,A,074499,,1997-07-30,0,DISCN,SUN PHARMACEUTICAL INDUSTRIES INC,TABLET,ORAL,001
647798,LORATADINE; PSEUDOEPHEDRINE SULFATE,LORATADINE AND PSEUDOEPHEDRINE SULFATE,P AND L,10MG;240MG,A,075706,,2003-02-21,0,OTC,P AND L DEVELOPMENT LLC,"TABLET, EXTENDED RELEASE",ORAL,001
670552,TERIFLUNOMIDE,TERIFLUNOMIDE,APOTEX,14MG,A,209601,AB,2018-11-02,0,RX,APOTEX INC,TABLET,ORAL,002
639280,"ACETIC ACID, GLACIAL; HYDROCORTISONE",HYDROCORTISONE AND ACETIC ACID,BAUSCH AND LOMB,2%;1%,A,040097,,1994-10-31,0,DISCN,BAUSCH AND LOMB PHARMACEUTICALS INC,SOLUTION/DROPS,OTIC,001
653086,FLUOXETINE HYDROCHLORIDE,FLUOXETINE HYDROCHLORIDE,AUROBINDO PHARMA,EQ 10MG BASE,A,078619,AB1,2008-01-31,0,RX,AUROBINDO PHARMA LTD,CAPSULE,ORAL,001
641358,DOXYCYCLINE HYCLATE,DOXYCYCLINE HYCLATE,MUTUAL PHARM,EQ 100MG BASE,A,062391,,1982-09-30,0,DISCN,MUTUAL PHARMACEUTICAL CO INC,TABLET,ORAL,001
660849,PREGABALIN,PREGABALIN,SUN PHARM,150MG,A,091157,AB,2019-11-29,0,RX,SUN PHARMACEUTICAL INDUSTRIES LTD,CAPSULE,ORAL,005
659754,THEOPHYLLINE,THEOPHYLLINE,ALEMBIC,450MG,A,090430,AB,2010-10-27,0,RX,ALEMBIC PHARMACEUTICALS LTD,"TABLET, EXTENDED RELEASE",ORAL,002
679410,CALCIUM CHLORIDE; DEXTROSE; MAGNESIUM CHLORIDE; POTASSIUM CHLORIDE; SODIUM ACETATE; SODIUM CHLORIDE,ISOLYTE R W/ DEXTROSE 5% IN PLASTIC CONTAINER,B BRAUN,37MG/100ML;5GM/100ML;31MG/100ML;120MG/100ML;330MG/100ML;88MG/100ML,N,018271,,,0,DISCN,B BRAUN MEDICAL INC,INJECTABLE,INJECTION,001
670559,ETHINYL ESTRADIOL; NORETHINDRONE ACETATE,NORETHINDRONE ACETATE AND ETHINYL ESTRADIOL AND FERROUS FUMARATE,XIROMED,0.02MG;1MG,A,209609,AB,2018-07-16,0,RX,XIROMED PHARMA ESPANA SL,TABLET,ORAL,001
661799,VENLAFAXINE HYDROCHLORIDE,VENLAFAXINE HYDROCHLORIDE,NOSTRUM PHARMS LLC,EQ 75MG BASE,A,200430,AB,2023-04-04,0,RX,NOSTRUM PHARMACEUTICALS LLC,"CAPSULE, EXTENDED RELEASE",ORAL,002
658720,CARISOPRODOL,CARISOPRODOL,SUN PHARM INDUSTRIES,350MG,A,089346,,1991-10-17,0,DISCN,SUN PHARMACEUTICAL INDUSTRIES INC,TABLET,ORAL,001
641961,DOXORUBICIN HYDROCHLORIDE,RUBEX,BRISTOL MYERS SQUIBB,10MG/VIAL,A,062926,,1989-04-13,0,DISCN,BRISTOL MYERS SQUIBB CO,INJECTABLE,INJECTION,001
655273,ACETAMINOPHEN; CODEINE PHOSPHATE,EMPRACET W/ CODEINE PHOSPHATE #4,GLAXOSMITHKLINE,300MG;60MG,A,083951,,,0,DISCN,GLAXOSMITHKLINE,TABLET,ORAL,002
644976,DIAZEPAM,DIAZEPAM,MARTEC USA LLC,10MG,A,072402,,1989-04-25,0,DISCN,MARTEC USA LLC,TABLET,ORAL,001
663387,AMLODIPINE BESYLATE; HYDROCHLOROTHIAZIDE; OLMESARTAN MEDOXOMIL,"OLMESARTAN MEDOXOMIL, AMLODIPINE AND HYDROCHLOROTHIAZIDE",TEVA PHARMS USA,EQ 5MG BASE;25MG;40MG,A,202491,AB,2016-11-03,0,RX,TEVA PHARMACEUTICALS USA,TABLET,ORAL,003
648670,PROPAFENONE HYDROCHLORIDE,PROPAFENONE HYDROCHLORIDE,NESHER PHARMS,150MG,A,076193,,2002-02-07,0,DISCN,NESHER PHARMACEUTICALS USA LLC,TABLET,ORAL,001
680614,ALBUTEROL SULFATE,VENTOLIN,GLAXOSMITHKLINE,EQ 2MG BASE,N,019112,,1986-07-10,0,DISCN,GLAXOSMITHKLINE,TABLET,ORAL,001
673240,NALOXONE HYDROCHLORIDE,NALOXONE HYDROCHLORIDE,EUGIA PHARMA,0.4MG/ML,A,212456,AP,2019-11-04,0,RX,EUGIA PHARMA SPECIALITIES LTD,INJECTABLE,INJECTION,001
654756,HYDROXYZINE PAMOATE,HYDROXYZINE PAMOATE,BEXIMCO PHARMS USA,EQ 25MG HYDROCHLORIDE,A,081127,,1991-06-28,0,DISCN,BEXIMCO PHARMACEUTICALS USA INC,CAPSULE,ORAL,001
670745,CHLORPROMAZINE HYDROCHLORIDE,CHLORPROMAZINE HYDROCHLORIDE,AMNEAL PHARMS CO,100MG,A,209755,AB,2018-09-10,0,RX,AMNEAL PHARMACEUTICALS CO GMBH,TABLET,ORAL,004
675225,IPRATROPIUM BROMIDE,IPRATROPIUM BROMIDE,AMNEAL,0.042MG/SPRAY,A,215105,AB,2022-08-16,0,RX,AMNEAL PHARMACEUTICALS LLC,"SPRAY, METERED",NASAL,001
642932,DEMECLOCYCLINE HYDROCHLORIDE,DEMECLOCYCLINE HYDROCHLORIDE,AKORN,150MG,A,065389,AB,2008-12-01,0,RX,AKORN OPERATING CO LLC,TABLET,ORAL,001
649952,SERTRALINE HYDROCHLORIDE,SERTRALINE HYDROCHLORIDE,VIWIT PHARM,EQ 25MG BASE,A,076882,AB,2007-02-06,0,RX,VIWIT PHARMACEUTICAL CO LTD,TABLET,ORAL,001
670071,AMLODIPINE BESYLATE; OLMESARTAN MEDOXOMIL,AMLODIPINE AND OLMESARTAN MEDOXOMIL,ALKEM LABS LTD,EQ 5MG BASE;40MG,A,209042,AB,2017-08-14,0,RX,ALKEM LABORATORIES LTD,TABLET,ORAL,002
651904,HYDROCHLOROTHIAZIDE; LISINOPRIL,LISINOPRIL AND HYDROCHLOROTHIAZIDE,LUPIN,25MG;20MG,A,077912,AB,2006-09-27,0,RX,LUPIN LTD,TABLET,ORAL,003
660458,ALPRAZOLAM,ALPRAZOLAM,AUROBINDO PHARMA,1MG,A,090871,AB,2011-06-07,0,RX,AUROBINDO PHARMA LTD,"TABLET, EXTENDED RELEASE",ORAL,002
642081,TOBRAMYCIN SULFATE,TOBRAMYCIN SULFATE,IGI LABS INC,EQ 40MG BASE/ML,A,063120,,1994-10-31,0,DISCN,IGI LABORATORIES INC,INJECTABLE,INJECTION,001
651918,MELOXICAM,MELOXICAM,ZYDUS PHARMS USA,7.5MG,A,077921,AB,2006-07-19,0,RX,ZYDUS PHARMACEUTICALS USA INC,TABLET,ORAL,001
667701,TACROLIMUS,TACROLIMUS,GLENMARK PHARMS LTD,EQ 0.5MG BASE,A,206662,AB,2020-11-10,0,RX,GLENMARK PHARMACEUTICALS LTD,CAPSULE,ORAL,001
664309,CLARITHROMYCIN,CLARITHROMYCIN,NOSTRUM LABS INC,500MG,A,203243,,2016-02-29,0,DISCN,NOSTRUM LABORATORIES INC,"TABLET, EXTENDED RELEASE",ORAL,001
665660,ZOLPIDEM TARTRATE,ZOLPIDEM TARTRATE,DR REDDYS,1.75MG,A,204503,AB,2016-11-18,0,RX,DR REDDYS LABORATORIES INC,TABLET,SUBLINGUAL,001
643708,ETHINYL ESTRADIOL; NORETHINDRONE,NORETHINDRONE AND ETHINYL ESTRADIOL,WATSON LABS,0.035MG;0.5MG,A,070684,,1987-01-29,0,DISCN,WATSON LABORATORIES INC,TABLET,ORAL-21,001
640372,ACETAMINOPHEN; OXYCODONE HYDROCHLORIDE,OXYCODONE AND ACETAMINOPHEN,AMNEAL PHARMS,325MG;5MG,A,040777,AA,2007-11-27,0,RX,AMNEAL PHARMACEUTICALS OF NEW YORK LLC,TABLET,ORAL,001
647634,PEMOLINE,PEMOLINE,ACTAVIS ELIZABETH,37.5MG,A,075595,,2000-02-28,0,DISCN,ACTAVIS ELIZABETH LLC,TABLET,ORAL,002
684336,ESZOPICLONE,LUNESTA,WOODWARD,2MG,N,021476,AB,2004-12-15,1,RX,WOODWARD PHARMA SERVICES LLC,TABLET,ORAL,002
672602,SILODOSIN,SILODOSIN,ALEMBIC,8MG,A,211731,,2019-11-22,0,DISCN,ALEMBIC PHARMACEUTICALS LTD,CAPSULE,ORAL,002
651469,QUINAPRIL HYDROCHLORIDE,QUINAPRIL HYDROCHLORIDE,LUPIN,EQ 20MG BASE,A,077690,AB,2006-06-20,0,RX,LUPIN LTD,TABLET,ORAL,003
639876,ACETAMINOPHEN; CODEINE PHOSPHATE,ACETAMINOPHEN AND CODEINE PHOSPHATE,WATSON LABS FLORIDA,300MG;15MG,A,040443,,2003-01-22,0,DISCN,WATSON LABORATORIES INC FLORIDA,TABLET,ORAL,001
656896,CHLORDIAZEPOXIDE HYDROCHLORIDE,CHLORDIAZEPOXIDE HYDROCHLORIDE,LEDERLE,10MG,A,086876,,,0,DISCN,LEDERLE LABORATORIES DIV AMERICAN CYANAMID CO,CAPSULE,ORAL,001
671554,TRIENTINE HYDROCHLORIDE,TRIENTINE HYDROCHLORIDE,AMNEAL,250MG,A,210619,,2019-02-08,0,DISCN,AMNEAL PHARMACEUTICALS LLC,CAPSULE,ORAL,001
654192,SULFISOXAZOLE,SULFISOXAZOLE,LANNETT,500MG,A,080085,,,0,DISCN,LANNETT CO INC,TABLET,ORAL,001
687901,ROSUVASTATIN CALCIUM,EZALLOR SPRINKLE,SUN PHARM,EQ 20MG BASE,N,208647,,2018-12-18,1,RX,SUN PHARMACEUTICAL INDUSTRIES LTD,CAPSULE,ORAL,003
655094,CHLORDIAZEPOXIDE HYDROCHLORIDE,CHLORDIAZEPOXIDE HYDROCHLORIDE,IVAX SUB TEVA PHARMS,25MG,A,083570,,,0,DISCN,IVAX PHARMACEUTICALS INC SUB TEVA PHARMACEUTICALS USA,CAPSULE,ORAL,001
653833,ALENDRONATE SODIUM,ALENDRONATE SODIUM,PICKET PHARMS,EQ 5MG BASE,A,079049,,2008-08-04,0,DISCN,PICKET PHARMACEUTICALS INC,TABLET,ORAL,003
688786,TREPROSTINIL,TYVASO DPI,UNITED THERAP,0.048MG/INH,N,214324,,2022-05-23,1,RX,UNITED THERAPEUTICS CORP,POWDER,INHALATION,003
672530,FULVESTRANT,FULVESTRANT,ACCORD HLTHCARE,250MG/5ML (50MG/ML),A,211689,AO,2020-11-17,0,RX,ACCORD HEALTHCARE INC,SOLUTION,INTRAMUSCULAR,001
650941,PAMIDRONATE DISODIUM,PAMIDRONATE DISODIUM,AREVA PHARMS,30MG/VIAL,A,077433,AP,2008-11-26,0,RX,AREVA PHARMACEUTICALS INC,INJECTABLE,INJECTION,001
654913,DIPHENHYDRAMINE HYDROCHLORIDE,DIPHENHYDRAMINE HYDROCHLORIDE,EUROHLTH INTL SARL,50MG/ML,A,083183,,,0,DISCN,EUROHEALTH INTERNATIONAL SARL,INJECTABLE,INJECTION,001
684922,FLUOXETINE HYDROCHLORIDE,SARAFEM,APIL,EQ 15MG BASE **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**,N,021860,,2006-05-19,1,DISCN,ALLERGAN PHARMACEUTICALS INTERNATIONAL LTD,TABLET,ORAL,002
675315,MEXILETINE HYDROCHLORIDE,MEXILETINE HYDROCHLORIDE,ZENARA,250MG,A,215315,AB,2022-08-26,0,RX,ZENARA PHARMA PRIVATE LTD,CAPSULE,ORAL,003
652477,HYDROCHLOROTHIAZIDE; LOSARTAN POTASSIUM,LOSARTAN POTASSIUM AND HYDROCHLOROTHIAZIDE,LUPIN LTD,12.5MG;50MG,A,078245,AB,2010-10-06,0,RX,LUPIN LTD,TABLET,ORAL,001
685141,CARVEDILOL PHOSPHATE,COREG CR,WOODWARD,40MG,N,022012,AB,2006-10-20,1,RX,WOODWARD PHARMA SERVICES LLC,"CAPSULE, EXTENDED RELEASE",ORAL,003
646746,PENTOXIFYLLINE,PENTOXIL,UPSHER SMITH LABS,400MG,A,074962,,1999-03-31,0,DISCN,UPSHER SMITH LABORATORIES LLC,"TABLET, EXTENDED RELEASE",ORAL,001
659182,DIVALPROEX SODIUM,DIVALPROEX SODIUM,MYLAN,EQ 125MG VALPROIC ACID,A,090062,,2009-03-17,0,DISCN,MYLAN PHARMACEUTICALS INC,"TABLET, DELAYED RELEASE",ORAL,001
642104,CEFAZOLIN SODIUM,CEFAZOLIN SODIUM,FACTA FARMA,EQ 1GM BASE/VIAL,A,063207,,1991-12-27,0,DISCN,FACTA FARMACEUTICI SPA,INJECTABLE,INJECTION,001
