id,ndc_product_code,form,generic_name,product_name,route,marketing_status,active_ingredient_count
3001114,43602-309,CAPSULE,Lisdexamfetamine dimesylate,LISDEXAMFETAMINE DIMESYLATE,ORAL,ANDA,1
3064464,71831-004,CREAM,"GLYCERIN, KAOLIN, CALAMINE, MENTHOL",Pranicura 5,TOPICAL,OTC monograph final,4
3074739,60954-008,OIL,Menthol Methyl Salicylate,EagleMedicated,TOPICAL,OTC monograph not final,2
3015642,98132-212,LIQUID,Titanium Dioxide,bareMinerals BAREPRO Performance Wear Liquid Foundation Broad Spectrum SPF 20 Warm Natural 12,TOPICAL,OTC MONOGRAPH NOT FINAL,1
2941398,71525-040,INJECTION,baclofen,Baclofen (intrathecal),INTRATHECAL,ANDA,1
3003108,17452-390,GEL,Titanium Dioxide and Zinc Oxide,MDSolarSciences SPF30 Plus Mineral Screen,TOPICAL,OTC monograph not final,2
2948512,61919-352,CAPSULE,HYDROXYZINE PAMOATE,HYDROXYZINE PAMOATE,ORAL,ANDA,1
3002792,51335-001,LIQUID,ALCOHOL,Instant Hand Sanitizer with Moisturizers Unscented,TOPICAL,OTC monograph not final,1
3038648,78827-104,CLOTH,Benzalkonium chloride,Penorra SANITARY WIPES,TOPICAL,OTC monograph not final,1
3002164,64141-003,CREAM,"OCTINOXATE, TITANIUM DIOXIDE",BRIGHTENING SPOT TREATMENT CORRECTORSPF 25,TOPICAL,OTC monograph not final,2
2959268,63187-560,SOLUTION/ DROPS,Gentamicin Sulfate,Gentamicin Sulfate,OPHTHALMIC,ANDA,1
2972639,43063-467,"TABLET, DELAYED RELEASE",Diclofenac Sodium,Diclofenac Sodium,ORAL,ANDA,1
3013311,14783-957,POWDER,Titanium Dioxide and Zinc Oxide,LBEL EFFET PARFAIT POLVOS COMPACTOS DE LARGA DURACION PARA ROSTRO FPS 15 LONG LASTING COMPACT SPF 15 (CLAIRE 2) - BEIGE,TOPICAL,OTC monograph final,2
2999698,50090-6539,"TABLET, COATED",Spironolactone,Spironolactone,ORAL,ANDA,1
2984606,0404-9852,INJECTION,Dipyridamole,Dipyridamole,INTRAVENOUS,ANDA,1
3056531,61589-0234,CREAM,"Octinoxate, Titanium Dioixide, Octisalate",No7 Perfect and Perfect Intense Advanced All in One Foundation SPF 50 Hazelnut,TOPICAL,OTC monograph not final,3
2999477,71337-046,TABLET,"diclofenac potassium, film coated",DICLOFENAC POTASSIUM,ORAL,ANDA,1
3011155,60541-8407,LOTION,Octinoxate,Octinoxate,TOPICAL,OTC monograph not final,1
3018550,62670-5437,GEL,ALCOHOL,Anti-Bacterial Hand Vanilla Sugar,TOPICAL,OTC monograph not final,1
2989870,48546-0001,GAS,OXYGEN,OXYGEN,RESPIRATORY (INHALATION),NDA,1
3049558,49035-933,LIQUID,"Acetaminophen , Diphenhydramine Hydrochloride,Phenylephrine Hydrochloride",Maximum Strength Nighttime Cold and Flu,ORAL,OTC monograph final,3
3065371,77394-101,GEL,ETHYL ALCOHOL,"LATHER- HAND SANITIZER WITH MOISTURIZING ALOE
70 PERCENT",TOPICAL,OTC monograph not final,1
3016676,71897-401,LIQUID,Benzalkonium Chloride,Reliable Luxury Foam Antimicrobial Handwash Citrus Floral Scent,TOPICAL,OTC monograph not final,1
2952454,68083-397,"INJECTION, SOLUTION",MAGNESIUM SULFATE HEPTAHYDRATE,MAGNESIUM SULFATE,INTRAVENOUS,ANDA,1
2967125,31722-946,TABLET,Methadone Hydrochloride,Methadone Hydrochloride,ORAL,ANDA,1
2940204,39328-079,OIL,fluocinolone acetonide,Flac Otic Oil,AURICULAR (OTIC),ANDA,1
2946732,71205-047,"TABLET, FILM COATED",SERTRALINE HYDROCHLORIDE,SERTRALINE HYDROCHLORIDE,ORAL,ANDA,1
3034849,74765-015,SPRAY,ALCOHOL,BeautyTreats HAND SANITIZER,TOPICAL,OTC monograph not final,1
3025511,41520-996,"CAPSULE, LIQUID FILLED",DIPHENHYDRAMINE HYDROCHLORIDE,Allergy Relief,ORAL,OTC monograph final,1
3010010,11489-087,CREAM,"Avobenzone,Octinoxate, Octocrylene",No7  Lift and Luminite Day Cream SPF 15,TOPICAL,OTC monograph not final,3
2973394,49502-401,CAPSULE,Tobramycin,TOBI Podhaler,ORAL,NDA,1
2986580,50090-5688,TABLET,Metronidazole,Metronidazole,ORAL,ANDA,1
3064918,0363-6450,"TABLET, DELAYED RELEASE",Aspirin,AspirinEnteric Coated Low Dose,ORAL,OTC monograph not final,1
2984209,13811-701,"TABLET, EXTENDED RELEASE",Hydromorphone Hydrochloride,Hydromorphone Hydrochloride,ORAL,ANDA,1
3053988,66424-564,TABLET,CETIRIZINE HYDROCHLORIDE,CETIRIZINE HYDROCHLORIDE10 MG,ORAL,ANDA,1
2988322,71335-0772,"TABLET, FILM COATED",Quetiapine fumarate,Quetiapine fumarate,ORAL,ANDA,1
3004341,43337-9328,CAPSULE,Magnesium carbonate and Sodium bicarbonate,Stomachin Antacid,ORAL,OTC monograph not final,2
3052471,78806-103,SPRAY,ALCOHOL,All Clean Premium Hand Sanitizer Bergamot,TOPICAL,OTC monograph not final,1
2977621,68084-854,"TABLET, FILM COATED",Carvedilol,Carvedilol,ORAL,ANDA,1
3040331,50804-214,CREAM,Trolamin Salicylate 10%,Arthritis ReliefMaximum Strength,TOPICAL,OTC monograph not final,1
2940281,42543-005,"TABLET, FILM COATED",Sildenafil,Sildenafil Citrate,ORAL,ANDA,1
2980632,0009-0051,TABLET,medroxyprogesterone acetate,Provera,ORAL,NDA,1
3035337,77124-004,LIQUID,ALCOHOL,Hand Sanitizer,TOPICAL,OTC monograph not final,1
3008909,60630-498,"PASTE, DENTIFRICE",sodium fluoride,DenTek Kids Anticavity FluorideLooney Tunes Bubblegum Blast,DENTAL,OTC monograph final,1
3061019,53329-081,"PASTE, DENTIFRICE",Sodium Monofluorophosphate,SparkleFresh,DENTAL,OTC monograph final,1
2931698,0642-3010,"CAPSULE, GELATIN COATED",Prenatal Supplement,Reaphirm Plant Source DHA,ORAL,unapproved drug other,16
2957771,59762-2010,TABLET,amlodipine besylate,amlodipine besylate,ORAL,NDA AUTHORIZED GENERIC,1
3063043,41250-109,"TABLET, CHEWABLE",Calcium Carbonate,Cherry Antacid Soft Chews,ORAL,OTC monograph final,1
3026604,55315-082,SUSPENSION,Acetaminophen,Pain and FeverChildrens,ORAL,OTC MONOGRAPH NOT FINAL,1
3006715,54427-001,OINTMENT,SALICYLIC ACID,BIOARPIL,TOPICAL,OTC monograph final,1
3036026,74741-7501,GEL,Ethanol,Dr. YERMA INSTANT HAND SANITIZER,TOPICAL,OTC monograph not final,1
3016540,71746-010,"PASTE, DENTIFRICE","XYLITOL, GREEN TEA LEAF, ASCORBIC ACID, LEVOMENTHOL, PEPPERMINT, AMINOCAPROIC ACID, WATER",YUMAKI ORIGINAL MINT TOOTH,TOPICAL,unapproved drug other,7
3019734,14783-721,POWDER,"Octinoxate, Titanium Dioxide, and Oxybenzone",LBEL EFFET PARFAIT Loose extra-fine portable SPF 15 FM PORCELAINE- BEIGE,TOPICAL,OTC MONOGRAPH FINAL,3
2959519,50090-4253,TABLET,Dicyclomine Hydrochloride,Dicyclomine Hydrochloride,ORAL,ANDA,1
3072270,69968-0580,SPRAY,"avobenzone, homosalate, octisalate, and octocrylene",Neutrogena CoolDry Sport Sunscreen Broad Spectrum SPF 30,TOPICAL,OTC monograph not final,4
2953385,0527-1477,"TABLET, EXTENDED RELEASE",Diethylpropion Hydrochloride,Diethylpropion HydrochlorideER,ORAL,ANDA,1
2983139,0093-3657,"PATCH, EXTENDED RELEASE",Buprenorphine,Buprenorphine,TRANSDERMAL,ANDA,1
3050725,68071-1617,CREAM,"Menthol, Methyl salicylate",Muscle Rub,TOPICAL,OTC monograph not final,2
2982229,0338-0179,"INJECTION, SOLUTION","SODIUM CHLORIDE, SODIUM GLUCONATE, SODIUM ACETATE, POTASSIUM CHLORIDE, AND MAGNESIUM CHLORIDE",Plasma-Lyte 148,INTRAVENOUS,NDA,5
3034811,10742-8478,STICK,"dimethicone, octinoxate, octisalate, oxybenzone",SoftlipsVanilla Watermelon,TOPICAL,OTC monograph not final,4
2955106,31722-104,"TABLET, FILM COATED",Cinacalcet,Cinacalcet,ORAL,ANDA,1
3018118,37808-131,SOLUTION,Loratadine,Childrens Loratadine Sugar Free,ORAL,ANDA,1
3056042,78239-004,LIQUID,BENZALKONIUM CHLORIDE,Dr Pure Antiseptic Liquid Hand Apple and Cucumber Scented,TOPICAL,OTC monograph not final,1
3009947,13537-604,PASTE,"Octinoxate, Titanium Dioxide, and Zinc Oxide",LBEL EFFET PARFAIT MINERAL NATURAL SKIN EFFECT MOUSSE FOUNDATION SPF 16 (MEDIUM 5) - BROWN,TOPICAL,OTC MONOGRAPH FINAL,3
2971250,69918-735,"INJECTION, SOLUTION",Isoproterenol Hydrochloride,Isoproterenol Hydrochloride,INTRAVENOUS,ANDA,1
2954099,71610-460,TABLET,Diazepam,Diazepam,ORAL,ANDA,1
2974730,0409-6648,"INJECTION, SOLUTION",DEXTROSE MONOHYDRATE,Dextrose,INTRAVENOUS,NDA,1
3076342,70000-0616,CAPSULE,Diphenhydramine HCl,Nighttime Sleep Aid,ORAL,OTC monograph final,1
3064395,0363-0664,MOUTHWASH,"Eucalyptol, menthol, methyl salicylate, thymol",Antispetic,ORAL,OTC monograph not final,4
3066653,42926-005,SPRAY,BENZALKONIUM CHLORIDE,Pomegranate Hand Sanitizer,TOPICAL,OTC monograph not final,1
3036226,78094-002,LIQUID,Non-Alcohol Hand Sanitizer,Gator Byte,TOPICAL,OTC monograph not final,1
2961888,68071-4852,TABLET,Oxycodone and Acetaminophen,Oxycodone and Acetaminophen,ORAL,ANDA,2
3003264,68169-0022,OINTMENT,"BACITRACIN ZINC, NEOMYCIN SULFATE, POLYMYXIN-B SULFATE",SHOPKO TRIPLE ANTIBIOTIC,TOPICAL,OTC monograph final,3
2934865,53808-0862,"TABLET, FILM COATED",Cyclobenzaprine Hydrochloride,Cyclobenzaprine Hydrochloride,ORAL,ANDA,1
2973438,60429-591,TABLET,HYDROCODONE BITARTRATE AND ACETAMINOPHEN,HYDROCODONE BITARTRATE AND ACETAMINOPHEN,ORAL,ANDA,2
2989205,68071-5249,TABLET,baclofen,Baclofen,ORAL,ANDA,1
2959590,10019-646,LIQUID,DESFLURANE,SUPRANE,RESPIRATORY (INHALATION),NDA,1
3012955,58737-145,GEL,Benzalkonium Chloride,Strawberry Scented Hand SanitizerCrown,TOPICAL,OTC monograph not final,1
2932534,54868-4556,"TABLET, FILM COATED",Nabumetone,NABUMETONE,ORAL,ANDA,1
3010457,67091-233,LIQUID,Bismuth Subsalicylate,Stomach Relief,ORAL,OTC monograph final,1
3039313,74785-004,GEL,ALCOHOL,Antiseptic Hand sanitizer DSQUARED2,TOPICAL,OTC monograph not final,1
2930204,54868-3511,CAPSULE,Cefaclor,Cefaclor,ORAL,ANDA,1
3043788,74223-700,LIQUID,ALCOHOL,Hollywood Cosmetics 70% Ethyl Alcohol,TOPICAL,OTC monograph not final,1
3023249,0283-0610,SPRAY,Topical Anesthetic,HurriCaine,DENTAL,OTC monograph not final,1
3071651,11822-5832,LIQUID,"Acetaminophen, Dextromethorphan Hydrobromide, Doxylamine Succinate",Cold and Flu ReliefNighttime,ORAL,OTC monograph final,3
2995749,64850-500,TABLET,"Dextroamphetamine Saccharate, Amphetamine Aspartate, Dextroamphetamine Sulfate and Amphetamine Sulfate","Dextroamphetamine Saccharate, Amphetamine Aspartate, Dextroamphetamine Sulfate and Amphetamine Sulfate",ORAL,ANDA,4
2981411,63187-106,TABLET,acetaminophen and codeine phosphate,ACETAMINOPHEN AND CODEINE PHOSPHATE,ORAL,ANDA,2
2964135,12496-1212,"FILM, SOLUBLE","buprenorphine hydrochloride, naloxone hydrochloride",Suboxone,SUBLINGUAL,NDA,2
3021097,58918-001,LOTION,Zinc Oxide,Maui Surfer Honey Natural Sunscreen,TOPICAL,OTC monograph not final,1
2944620,0264-7730,"INJECTION, SOLUTION","Dextrose, Sodium Acetate, Potassium Chloride, Magnesium Chloride, and Potassium Phosphate, Dibasic",Isolyte P in Dextrose,INTRAVENOUS,NDA,5
2942533,50090-4123,"TABLET, FILM COATED",Mirtazapine,Mirtazapine,ORAL,ANDA,1
2938372,25000-014,"CAPSULE, LIQUID FILLED",Paricalcitol,Paricalcitol,ORAL,ANDA,1
3070611,80069-004,GEL,Lidocaine HCl,Zone 2,TOPICAL,OTC monograph not final,1
3073369,55154-3553,SOLUTION,Acetaminophen Oral Solution,Acetaminophen Oral Solution,ORAL,OTC monograph not final,1
3024342,36800-525,TABLET,"Acetaminophen, Aspirin, Caffeine",Headache ReliefExtra Strength,ORAL,OTC MONOGRAPH NOT FINAL,3
3043677,80786-109,LIQUID,ALCOHOL,Hand Sanitizer,TOPICAL,OTC monograph not final,1
3057512,69842-381,STRIP,Benzocaine,CVS Tooth and Gum Pain ReliefCushions,TOPICAL,OTC monograph not final,1
3006818,11489-081,CREAM,"Avobenzone, Octisalate, Octocrylene",Botanics Skin Calming Day Ultra Calm Sunscreen Broad Spectrum SPF 15,TOPICAL,OTC monograph not final,3
3045429,51645-851,"TABLET, FILM COATED",SENNOSIDES,Plus Pharma SennaStandardized Senna Concentrate 8.6 mg Sennosides Each,ORAL,OTC monograph not final,1
3054320,0037-6823,"AEROSOL, FOAM",pramoxine hydrochloride,PROCTOFOAMNS,RECTAL,OTC monograph final,1
3013416,63824-600,SOLUTION,"Acetaminophen, Diphenhydramine Hydrochloride, and Phenylephrine Hydrochloride",Childrens Mucinex Night Time Multi-Symptom Cold,ORAL,OTC MONOGRAPH FINAL,3
3017186,76340-3001,LIQUID,OCTINOXATE,Dr.eslee Sun Matte,TOPICAL,unapproved drug other,1
3071758,50580-555,POWDER,Acetaminophen,Childrens TYLENOL,ORAL,OTC monograph not final,1
2958429,68180-469,TABLET,lovastatin,Lovastatin,ORAL,ANDA,1
2950554,59137-510,"INJECTION, SOLUTION",methotrexate,Rasuvo,SUBCUTANEOUS,NDA,1
3019990,75981-063,LOTION,FERRIC OXIDE RED,Calamine,TOPICAL,OTC monograph final,2
3031955,54699-001,SOLUTION,Alcohol,ESTACION  HAND SANITIZER ANTIBACTERIAL,TOPICAL,OTC monograph not final,1
2970063,59762-6710,"TABLET, FILM COATED",amlodipine besylate and atorvastatin calcium,Amlodipine besylate and Atorvastatin calcium,ORAL,NDA AUTHORIZED GENERIC,2
2957765,16714-860,CAPSULE,Atazanavir,Atazanavir Sulfate,ORAL,ANDA,1
3035812,78869-169,GEL,ETHYL ALCOHOL,Hand Sanitizer,TOPICAL,OTC monograph not final,1
3020384,51060-193,LIQUID,Titanium Dioxide and Zinc Oxide,Rainforest of the Sea water foundation Broad Spectrum SPF 15 Sunscreen53G deep golden,TOPICAL,OTC monograph not final,2
3029678,73853-0001,LIQUID,ALCOHOL,Hand Sanitizer,TOPICAL,OTC monograph not final,1
3052906,72288-671,PATCH,lidocaine,basic care lidocaine,TOPICAL,OTC monograph not final,1
3015946,51367-032,CREAM,"Camphor, Menthol",Medicated Balm Arthritis Pain Relieving Cream,TOPICAL,OTC monograph not final,2
2962092,68071-4997,"TABLET, FILM COATED",Paroxetine,Paroxetine,ORAL,ANDA,1
3065263,55910-109,SOLUTION/ DROPS,Olopatadine Hydrochloride Ophthalmic,Olopatadine Hydrochloride Ophthalmic Solution Twice Daily,OPHTHALMIC,ANDA,1
3052851,69423-549,LOTION,Zinc Oxide,Native Mineral Face Broad Spectrum SPF 30 Coconut and Pineapple,TOPICAL,OTC monograph not final,1
2944364,0186-0370,AEROSOL,Budesonide and Formoterol Fumarate Dihydrate,SYMBICORT,RESPIRATORY (INHALATION),NDA,2
2985819,50268-064,TABLET,allopurinol,Allopurinol,ORAL,ANDA,1
2976355,50090-4738,"TABLET, FILM COATED",Rosuvastatin calcium,Rosuvastatin Calcium,ORAL,ANDA,1
3073114,70645-735,PATCH,Lidocaine,Lidocaine,TOPICAL,OTC monograph not final,1
2996143,0089-0172,PATCH,NITROGLYCERIN,Minitran,TRANSDERMAL,Export only,1
3045190,79249-027,CLOTH,ALCOHOL,PURIF Alcohol Wet Wipes,TOPICAL,OTC monograph not final,1
3073699,74819-0101,GEL,ALCOHOL,100ml LEMON Hand purifying,TOPICAL,OTC monograph not final,1
3027193,71016-001,OINTMENT,"Menthol, Camphor, Methyl Salicylate",Doloran,TOPICAL,OTC monograph not final,3
3021594,72103-333,SOLUTION/ DROPS,Oxymetazoline hydrochoride,Nasal Decongestant,NASAL,OTC monograph final,1
3080132,11822-0943,SPRAY,"Avobenzone, Homosalate, Octisalate","Avobenzone, Homosalate, Octisalate",TOPICAL,OTC monograph final,3
2997904,68788-8406,"TABLET, FILM COATED",SIMVASTATIN,SIMVASTATIN,ORAL,ANDA,1
2950437,71205-245,TABLET,Lamotrigine,Lamotrigine,ORAL,ANDA,1
2998843,82009-109,"TABLET, FILM COATED",Emtricitabine and Tenofovir Disoproxil Fumarate,Emtricitabine and Tenofovir Disoproxil Fumarate,ORAL,ANDA,2
3076542,17856-0182,ELIXIR,Acetaminophen,ACETAMINOPHEN,ORAL,OTC monograph not final,1
3038221,78489-002,GEL,Ethyl Alcohol,Hand SanitizerAvery Essentials,TOPICAL,OTC monograph not final,1
2950504,63323-530,"INJECTION, SOLUTION",Sodium Chloride,Sodium Chloride,INTRAVENOUS,ANDA,1
2952250,71335-1623,"TABLET, FILM COATED",Carvedilol,Carvedilol,ORAL,ANDA,1
2984071,0093-7387,"TABLET, FILM COATED",Moxifloxacin Hydrochloride,Moxifloxacin Hydrochloride,ORAL,ANDA,1
3000651,50090-1654,TABLET,levothyroxine sodium,Levothyroxine Sodium,ORAL,ANDA,1
3063750,63868-984,"TABLET, COATED",ACETAMINOPHEN and PHENYLEPHRINE HYDROCHLORIDE,Sinus Congestion and Pain,ORAL,OTC monograph final,2
3014493,75936-221,CREAM,"Homosalate, Octisalate, Avobenzene, Octocrylene",City Sunscreen serum Broad Spectrum SPF 30Supergoop,TOPICAL,OTC monograph final,4
2975633,68788-8090,TABLET,diphenoxylate hydrochloride and atropine sulfate,Diphenoxylate Hydrochloride and Atropine Sulfate,ORAL,ANDA,2
3020634,52686-241,CREAM,OCTINOXATE and TITANIUM DIOXIDE,SHISEIDO PERFECT REFINING FOUNDATIONB100,TOPICAL,OTC monograph not final,2
2989463,0006-3069,"TABLET, FILM COATED",doravirine,PIFELTRO,ORAL,NDA,1
2947674,60429-960,"TABLET, EXTENDED RELEASE",Guanfacine,GuanfacineExtended-Release,ORAL,ANDA,1
3049402,20276-044,LOTION,dimethicone,LuckyDaily Moisturizing,TOPICAL,OTC monograph final,1
3027106,67544-655,"TABLET, COATED",Bisacodyl,BisacodylEnteric Coated,ORAL,OTC MONOGRAPH NOT FINAL,1
2970646,51662-1562,"INJECTION, SOLUTION",SODIUM TETRADECYL SULFATE,SODIUM TETRADECYL SULFATE,INTRAVENOUS,ANDA,1
2946923,0781-5421,TABLET,pioglitazone,Pioglitazone,ORAL,ANDA,1
2952284,67877-552,"TABLET, FILM COATED",Deferasirox,Deferasirox,ORAL,ANDA,1
3074719,11822-1343,SPRAY,"Benzocaine 20%, Menthol 0.5%",Rite Aid Pain Relieving,TOPICAL,OTC monograph not final,2
3036645,58503-805,GEL,Hand Sanitizer Gel,Hand Sanitizer Gel,TOPICAL,OTC monograph not final,1
3070482,55301-072,MOUTHWASH,"Eucalyptol, Menthol, Methyl salicylate, Thymol",Antiseptic Mouth Rinse,ORAL,OTC monograph not final,4
3024301,63354-323,SPRAY,HOMOSALATE OCTOCRYLENE,BANANA BOAT,TOPICAL,OTC monograph not final,2
3065121,48417-750,SOAP,Benzalkonium Chloride,SaniSuds Foam Hand Sanitizer,TOPICAL,OTC monograph not final,1
3032112,53675-185,GEL,ALCOHOL,Hand Sanitizer 80 Alcohol,TOPICAL,OTC monograph not final,1
3072456,63931-4530,LOTION,Zinc Oxide,WL-AAD-Z-W-1367,TOPICAL,OTC monograph not final,1
3022110,59779-685,SUSPENSION,Ibuprofen,Ibuprofen,ORAL,ANDA,1
2938297,53217-283,TABLET,Lisinopril,Lisinopril,ORAL,ANDA,1
2934973,43353-869,"CAPSULE, EXTENDED RELEASE",venlafaxine hydrochloride,Venlafaxine Hydrochloride,ORAL,ANDA,1
3048518,79950-004,LOTION,"Avobenzone, Homosalate, Octisalate, Octocrylene",Bondi Sands Fragrance Free SPF 30 Sunscreen,TOPICAL,OTC monograph not final,4
3074277,72033-114,SPRAY,Alcohol,Touchland Power Mist Hand Sanitizer Vanilla Blossom,TOPICAL,OTC monograph not final,1
2993525,71335-2140,TABLET,Phenazopyridine Hydrochloride,PHENAZOPYRIDINE HYDROCHLORIDE,ORAL,unapproved drug other,1
3054242,81851-202,CREAM,Glycerin,SKINBUTAK GO YOUNG MAGICCREAM,TOPICAL,OTC monograph not final,1
3070643,35000-014,"PASTE, DENTIFRICE",SODIUM FLUORIDE,Colgate MaxFresh with Mini Breath Cool Mint,DENTAL,OTC MONOGRAPH FINAL,1
3062997,69618-061,TABLET,Guaifenesin,Guaifenesin,ORAL,OTC monograph final,1
3036929,76627-0010,LIQUID,ALCOHOL,DR. GREENDAY S HAND SANITIZER,TOPICAL,OTC monograph not final,1
2983961,63629-1922,TABLET,METHYLPHENIDATE HYDROCHLORIDE,METHYLPHENIDATE HYDROCHLORIDE,ORAL,ANDA,1
2975618,68788-8094,"TABLET, FILM COATED",Atorvastatin calcium,Atorvastatin calcium,ORAL,ANDA,1
3042343,43473-060,GEL,ETHYL ALCOHOL,INSTANT HAND SANITIZER,TOPICAL,OTC monograph not final,1
2970437,73082-010,"TABLET, FILM COATED",Erythromycin,Erythromycin,ORAL,ANDA,1
2999763,71335-9743,CAPSULE,tizanidine hydrochloride,TIZANIDINE HYDROCHLORIDE,ORAL,ANDA,1
3036872,75662-002,CLOTH,Alcohol,ALCOHOL WIPES,TOPICAL,OTC monograph not final,1
3034172,77959-075,LIQUID,Ethyl alcohol,Alpha Handrub,TOPICAL,OTC monograph not final,1
2959669,63629-1210,"TABLET, FILM COATED",cyclobenzaprine hydrochloride,Cyclobenzaprine Hydrochloride,ORAL,ANDA,1
2988639,71335-1348,CAPSULE,Gabapentin,Gabapentin,ORAL,ANDA,1
2956461,55154-5776,SUSPENSION,MEGESTROL ACETATE,Megestrol Acetate,ORAL,ANDA,1
3049383,10812-975,LOTION,Benzoyl Peroxide,Neutrogena Acne Control,TOPICAL,OTC monograph final,1
2984648,0404-9859,INJECTION,flumazenil,Flumazenil,INTRAVENOUS,ANDA,1
3055488,67502-460,LIQUID,Benzalkonium chloride 0.13%,Antibacterial Hand Wash,TOPICAL,OTC monograph not final,1
3042117,80386-006,GEL,ALCOHOL,SunKure,TOPICAL,OTC monograph not final,1
2968231,50090-5063,"TABLET, FILM COATED",rifapentine,Priftin,ORAL,NDA,1
2938642,76413-149,"POWDER, FOR SUSPENSION",azithromycin,azithromycin,ORAL,NDA AUTHORIZED GENERIC,1
2981883,0054-0482,TABLET,Everolimus,Everolimus,ORAL,ANDA,1
2943806,66869-204,"TABLET, FILM COATED",pitavastatin calcium,Livalo,ORAL,NDA,1
2957104,60687-448,ELIXIR,Phenobarbital,Phenobarbital,ORAL,unapproved drug other,1
2976908,0781-2362,"CAPSULE, EXTENDED RELEASE",methylphenidate,Methylphenidate,ORAL,NDA authorized generic,1
3007164,36800-464,LIQUID,ETHYL ALCOHOL,TOPCARECOCONUT CREAM,TOPICAL,OTC monograph not final,1
2963346,0115-1678,TABLET,Alendronate Sodium,Alendronate Sodium,ORAL,ANDA,1
3049423,74146-240,CLOTH,ALCOHOL,Alco-Cloth,TOPICAL,OTC monograph not final,1
2978794,0955-1045,"TABLET, FILM COATED",irbesartan and hydrochlorothiazide,Irbesartan and Hydrochlorothiazide,ORAL,NDA AUTHORIZED GENERIC,2
3004358,53329-945,SWAB,Povidone-Iodine,Povidone-IodineSwabsticks Singles,TOPICAL,OTC monograph not final,1
2937466,51655-899,TABLET,hydrocodone bitartrate and acetaminophen,hydrocodone bitartrate and acetaminophen,ORAL,ANDA,2
3030644,54983-002,GEL,Water-free Antibacterial  Hand Sanitizer,Water-free Antibacterial  Hand Sanitizer,EXTRACORPOREAL,OTC monograph not final,1
2990630,0003-0893,"TABLET, FILM COATED",apixaban,ELIQUIS,ORAL,NDA,1
3028815,52854-036,LOTION,"octinoxate, oxybenzone, octisalate, and homosalate",Reef Safe SPF 36,TOPICAL,OTC monograph not final,4
2982956,68084-458,"TABLET, COATED",Nateglinide,Nateglinide,ORAL,ANDA,1
2938189,64980-335,CAPSULE,temozolomide,TEMOZOLOMIDE,ORAL,ANDA,1
2938795,50090-0407,"POWDER, FOR SUSPENSION",Amoxicillin,Amoxicillin,ORAL,ANDA,1
2991283,16729-464,INJECTION,Phenylephrine hydrochloride,Phenylephrine hydrochloride,INTRAVENOUS,ANDA,1
3035868,41520-063,LOTION,FERRIC OXIDE RED,Calamine,TOPICAL,OTC monograph final,2
3070883,57556-004,LOZENGE,"Agrimonia Eupatoria 3x, Matricaria Chamomilla 12x, Arnica Montana 12x, Phosphoric Acid 12x, Avena Sativa Flowering Top 3x, Strychnos Ignatii Seed 12x, anemone pulsatilla 12x, Aconitum Napellus 12x, Strychnos Nux Vomica Seed 12x",Homeopathic Stress Mints,ORAL,unapproved drug other,9
