code,description
I-494,CLINICAL DATA IN SUPPORT OF AVANDAMET AS AN ADJUNCT TO DIET AND EXERCISE TO IMPROVE GLYCEMIC CONTROL IN PATIENTS WITH TYPE 2 DIABETES MELLITUS WHEN TREATMENT WITH DUAL ROSIGLITAZONE AND METFORMIN THERAPY IS APPROPRIATE
ODE-252,TREATMENT OF DUCHENE MUSCULAR DYSTROPHY IN PATIENTS 2 YEARS OF AGE TO LESS THAN 5 YEARS OF AGE
I-384,USE IN COMBINATION WITH INSULIN FOR THE TREATMENT OF PATIENTS WITH TYPE 2 DIABETES MELLITUS
I-426,TREATMENT OF ACUTE PULMONARY EMBOLISM WHEN ADMINISTERED IN CONJUNCTION WITH WARFARIN SODIUM
I-670,"TREATMENT OF OPIOID-INDUCED CONSTIPATION (OIC) IN ADULTS WITH CHRONIC, NON-CANCER PAIN"
I-830,TREATMENT OF ADULT PATIENTS WITH A DELETERIOUS BRCA MUTATION (GERMLINE AND/OR SOMATIC)-ASSOCIATED METASTATIC CASTRATION-RESISTANT PROSTATE CANCER WHO HAVE BEEN TREATED WITH ANDROGEN RECEPTOR-DIRECTED THERAPY AND A TAXANE-BASED CHEMOTHERAPY
M-143,INFORMATION ADDED TO THE LABELING REGARDING THE SAFETY AND EFFICACY OF VARENICLINE FOR SMOKING CESSATION IN PATIENTS WITH CURRENT OR PAST HISTORY OF MAJOR DEPRESSIVE DISORDER
I-382,FOR NEWLY-DIAGNOSED HIGH GRADE MALIGNANT GLIOMA PATIENTS AS AN ADJUNCT TO SURGERY AND RADIATION
ODE-274,INDICATED FOR THE TREATMENT OF ADULT PATIENTS WITH CHRONIC LYMPHOCYTIC LEUKEMIA (CLL) OR SMALL LYMPHOCYTIC LYMPHOMA (SLL)
ODE-5,FOR SEQUENTIAL USE FOR THE TREATMENT OF CYANIDE POISONING THAT IS JUDGED TO BE LIFE-THREATENING
I-186,TREATMENT OF TINEA (PITYRIASIS) VERSICOLOR CAUSED BY OR PRESUMED TO BE CAUSED BY PITYROSPORUM ORBICULARE (ALSO KNOWN AS MALASSEZIA FURFUR OR M. ORBICULARE)
ODE-192,INDICATED TO INDUCE CONTROLLED CARDIAC SEPTAL INFRACTION TO IMPROVE EXERCISE CAPACITY IN ADULTS WITH SYMPTOMATIC HYPERTROPHIC OBSTRUCTIVE CARDIOMYOPATHY WHO ARE NOT CANDIDATES FOR SURGICAL MYECTOMY
I-344,ACNE VULGARIS
ODE-101,"FOR THE TREATMENT OF PATIENTS WITH UNRESECTABLE OR METASTATIC MELANOMA WITH BRAF V600E OR V600K MUTATION, IN COMBINATION WITH VEMURAFENIB. COTELLIC IS NOT INDICATED FOR TREATMENT OF PATIENTS WITH WILD-TYPE BRAF MELANOMA"
I-213,TEMPORARY RELIEF OF PAIN AND PHOTOPHOBIA IN PATIENTS UNDERGOING CORNEAL REFRACTIVE SURGERY
ODE-203,INDICATED FOR THE TREATMENT OF ADULT PATIENTS WITH RELAPSED OR REFRACTORY ACUTE MYELOID LEUKEMIA (AML) WITH A SUSCEPTIBLE ISOCITRATE DEHYDROGENASE-1 (IDH1) MUTATION AS DETECTED BY AN FDA-APPROVED TEST
D-94,NEW MAXIMUM DOSAGE OF 72 MG/DAY IN ADOLESCENTS 13-17 YEARS OF AGE WITH ATTENTION DEFICIT HYPERACTIVITY DISORDER (ADHD)
M-29,LABELING CHANGES TO PROVIDE INFORMATION IN THE MANAGEMENT OF OBESITY IN ADOLESCENTS AGED 12 TO 16 YEARS
ODE-116,TREATMENT OF PROGRESSIVE KERATOCONUS
ODE-85,AS A REPLACEMENT SOLUTION IN CONTINUOUS RENAL REPLACEMENT THERAPY (CRRT) AND IN CASE OF DRUG POISONING WHEN CRRT IS USED TO REMOVE DIALYZABLE SUBSTANCES
M-207,"INFORMATION ADDED TO LABELING REGARDING 48 WEEK EFFICACY, RESISTANCE AND SAFETY DATA ON VIROLOGICALLY SUPPRESSED HIV-1 INFECTED ADULTS SWITCHING FROM ATRIPLA TO ODEFSEY"
ODE-11,"TREATMENT OF PROGRESSIVE NEUROENDOCRINE TUMORS OF PANCREATIC ORIGIN (PNET) IN PATIENTS WITH UNRESECTABLE, LOCALLY ADVANCED OR METASTATIC DISEASE"
D-86,FOR USE IN SELECT EXTERNAL INSULIN PUMPS
RTO,RX TO OTC SWITCH OR OTC USE
I-251,TREATMENT OF GENERALIZED ANXIETY DISORDER
ODE-402,FOR CHRONIC WEIGHT MANAGEMENT IN ADULT AND PEDIATRIC PATIENTS 6 YEARS OF AGE AND OLDER WITH MONOGENIC OR SYNDROMIC OBESITY DUE TO BARDET-BIEDL SYNDROME (BBS)
M-214,INFORMATION ADDED TO THE CLINICAL TRIALS SECTION OF THE LABELING REGARDING A POSTMARKETING SAFETY AND EFFICACY STUDY EVALUATING THE RISK OF SERIOUS ASTHMA-RELATED EVENTS
I-356,"TREATMENT OF PATHOLOGICAL HYPERSECRETORY CONDITIONS, INCLUDING ZOLLINGER-ELLISON SYNDROME"
D-72,INFORMATION REGARDING INCREASED RATE OF INFUSION FOR DEPACON
I-729,PROVIDES FOR THE FRONTLINE INDICATION FOR THE TREATMENT OF CHRONIC LYMPHOCYTIC LEUKEMIA
I-451,MANAGEMENT OF ENDOMETRIOSIS ASSOCIATED PAIN
I-689,TREATMENT OF PATIENTS WITH CHRONIC LYMPHOCYTIC LEUKEMIA (CLL) WITH 17P DELETION
ODE-328,"TREATMENT OF PEDIATRIC PATIENTS 1 YEAR OF AGE AND OLDER AND YOUNG ADULTS WITH RELAPSED OR REFRACTORY, SYSTEMIC ANAPLASTIC LARGE CELL LYMPHOMA (ALCL) THAT IS ALK-POSITIVE"
I-615,MAINTENANCE TREATMENT OF BIPOLAR DISORDER AS AN ADJUNCT TO LITHIUM OR VALPROATE
M-94,INFO ADDED TO LABEL RELATED TO NEWLY DIAGNOSED PHILADELPHIA CHROMOSOME POSITIVE (PH+) CHRONIC MYELOID LEUKEMIA IC CHRONIC PHASE
I-828,INDICATED FOR THE TREATMENT OF ADULT PATIENTS WITH CUSHING’S DISEASE FOR WHOM PITUITARY SURGERY IS NOT AN OPTION OR HAS NOT BEEN CURATIVE
I-74,INTRAVENOUS DIGITAL SUBTRACTION ANGIOGRAPHY
ODE-64,SELECTIVE HEPATIC INTRA-ARTERIAL USE FOR IMAGING TUMORS IN ADULTS WITH KNOWN HEPATOCELLULAR CARCINOMA (HCC)
I-897,"TREATMENT OF ADULT AND PEDIATRIC PATIENTS 1 YEAR OF AGE AND OLDER WITH UNRESECTABLE, RECURRENT OR REFRACTORY INFLAMMATORY MYOFIBROBLASTIC TUMOR (IMT) THAT IS ANAPLASTIC LYMPHOMA KINASE (ALK) POSITIVE"
I-327,SYMPTOMATIC RELIEF OF RHINORRHEA ASSOCIATED WITH SEASONAL ALLERGIC RHINITIS IN PATIENTS 5 YEARS AND OLDER
NCE,NEW CHEMICAL ENTITY
M-154,UPDATE TO THE LABELING TO REFLECT THE RESULTS OF A LONG-TERM MAINTENANCE TREATMENT STUDY OF ADHD IN CHILDREN AND ADOLESCENTS AGES 6-17.
ODE-188,"TREATMENT OF CYSTIC FIBROSIS (CF) IN PATIENTS AGES 2 TO LESS THAN 6 YEARS WHO HAVE ONE OF THE FOLLOWING MUTATIONS IN THE CFTR GENE: G551D, G1244E, G1349D, G178R, G551S, S1251N, S1255P, S549N, S549R, AND R117H"
D-33,ONCE DAILY DOSING FOR PLAQUE PSORIASIS
I-287,USE OF PRAVASTATIN IN PATIENTS WITH EVIDENT CORONARY HEART DISEASE TO REDUCE THE RISK OF TOTAL MORTALITY BY REDUCING CORONARY DEATH
ODE-277,"TX OF ADULTS W/ ADV OVARIAN, FALLOPIAN TUBE, OR PRIMARY PERITONEAL CANCER TREATED W/ >=3 PRIOR CHEMO REGIMENS & CANCER ASSOCIATED W/ HRD+ STATUS DEFINED BY A DELETERIOUS OR SUSPECTED DELETERIOUS BRCA MUTATION"
D-76,FOR USE ON AN AS NEEDED OR PRN BASIS FOR THE MANAGEMENT OF NASAL SYMPTOMS IN PATIENTS FOR WHOM THE DRUG IS INDICATED
I-664,TREATMENT OF THROMBOCYTOPENIA IN  PATIENTS WITH CHRONIC HEPATITIS C TO ALLOW THE INITIATION AND MAINTENANCE OF INTERFERON-BASED THERAPY
M-47,PROVIDES FOR USE OF ANTARA WITHOUT REGARD TO MEALS
M-176,"INFORMATION ADDED TO THE LABELING DESCRIBING TRIAL NN2211-3916, A TRIAL EVALUATING THE SAFETY AND EFFICACY OF LIRAGLUTIDE IN SUBJECTS WITH TYPE 2 DIABETES AND MODERATE RENAL IMPAIRMENT"
I-306,INDUCTION OF SPERMATOGENESIS IN MEN WITH PRIMARY AND SECONDARY HYPOGONADOTROPIC HYPOGONADISM IN WHOM THE CAUSE OF INFERTILITY IS NOT DUE TO PRIMARY TESTICULAR FAILURE
I-597,MONOTHERAPY FOR THE MAINTENANCE TREATMENT OF BIPOLAR I DISORDER
I-43,HERPES SIMPLEX ENCEPHALITIS
I-424,MANAGEMENT OF SECONDARY HYPERPARATHYROIDISM IN PATIENTS WITH MODERATE TO SEVERE CHRONIC RENAL INSUFFICIENCY NOT YET ON DIALYSIS
ODE-415,TREATMENT OF PRIMARY HYPEROXALURIA TYPE 1 (PH1) TO LOWER PLASMA OXALATE LEVELS IN PEDIATRIC AND ADULT PATIENTS
I-478,FOR USE AS ADJUNCTIVE THERAPY IN THE TREATMENT OF PARTIAL SEIZURES IN CHILDREN WITH EPILEPSY AGED 2-4 YEARS
M-164,REVISES THE CLINICAL TRIALS SECTION OF THE PRESCRIBING INFORMATION TO INCORPORATE THE RESULTS FROM STUDY E7273-G000-401 ENTITLED PHASE IV RANDOMIZED STUDY OF TWO DOSE LEVELS OF TARGRETIN CAPSULES IN SUBJECTS WITH REFRACTORY CUTANEOUS T-CELL LYMPHOMA
D-80,CHANGE OF DOSING SCHEDULE FOR LANTUS FROM ONCE DAILY AT BEDTIME TO FLEXIBLE DAILY DOSING
I-638,"FOR PATIENTS WITH PROGRESSIVE NEUROENDOCRINE TUMORS OF PANCREATIC ORIGIN (PNET) THAT ARE UNRESECTABLE, LOCALLY ADVANCED, OR METASTATIC."
M-246,"ADDITION OF STUDY BRF117277, A NON-RANDOMIZED, OPEN-LABEL, MULTI-CENTER, MULTI-COHORT TRIAL OF DABRAFENIB PLUS TRAMETINIB IN SUBJECTS WITH BRAF MUTATION-POSITIVE MELANOMA THAT HAS METASTASIZED TO THE BRAIN"
ODE-365,"TREATMENT OF ADULT PATIENTS WITH VON HIPPEL-LINDAU (VHL) DISEASE WHO REQUIRE THERAPY FOR ASSOCIATED RENAL CELL CARCINOMA (RCC), CENTRAL NERVOUS SYSTEM (CNS) HEMANGIOBLASTOMAS, OR PANCREATIC NEUROENDOCRINE TUMORS (PNET), NOT REQUIRING IMMEDIATE SURGERY"
I-288,CHANGES IN SEVERAL SECTIONS OF THE INSERT TO INCORPORATE STATEMENTS CONCERNING THE USE OF HIGH DOSES OF LISINOPRIL TO REDUCE THE RISK OF THE COMBINED OUTCOMES OF MORTALITY AND HOSPITALIZATION IN PATIENTS WITH CONGESTIVE HEART FAILURE
I-455,MODIFIED HEART FAILURE INDICATION  TO INCLUDE TREATMENT OF HEART FAILURE IN PATIENTS WITH LEFT VENTRICULAR SYSTOLIC DYSFUNCTION (NYHA CLASS II-IV; EJECTION FRACTION LESS THAN OR EQUAL TO 40%)
D-146,CHANGE IN TARGET DOSING TO 20MG TO 40MG ORALLY ONCE DAILY
M-227,ADDITION TO THE CLINICAL STUDIES SECTION OF THE LABELING WITH THE SUBSECTION ENTITLED DIGIT SYMBOL SUBSTITUTION TEST IN MAJOR DEPRESSIVE DISORDER
ODE-139,TREATMENT OF PATIENTS WITH HEPATOCELLULAR CARCINOMA (HCC OR LIVER CANCER) WHO HAVE BEEN PREVIOUSLY TREATED WITH THE DRUG SORAFENIB.
I-668,PROPHYLAXIS OF ALLOGRAFT REJECTION IN ADULT PATIENTS RECEIVING A LIVER TRANSPLANT
I-769,"TREATMENT OF DYSKINESIA IN PATIENTS WITH PARKINSONS DISEASE RECEIVING LEVODOPA-BASED THERAPY, WITH OR WITHOUT CONCOMITANT DOPAMINERGIC MEDICATIONS"
M-285,REVISIONS TO SECTION 8.4 OF THE LABELING TO INCLUDE THE RESULTS OF STUDY INCB 18424-269
M-49,CLINICAL DATA ADDED TO THE CLINICAL PHARMACOLOGY SECTION REGARDING EFFECT OF SINGULAIR ON GROWTH RATES IN PREPUBERTAL CHILDREN
M-150,ADDITION OF THE RESULTS OF A CONTROLLED CLINICAL STUDY TREATING ADULT PATIENTS WITH SCHIZOPHRENIA EXPERIENCING AN ACUTE RELAPSE
M-193,"INFORMATION ADDED TO THE LABELING REGARDING A 15-WEEK, RANDOMIZED, DOUBLE-BLIND, PARALLEL-GROUP, PLACEBO-CONTROLLED FLEXIBLE-DOSE SAFETY AND EFFICACY STUDY OF PREGABALIN IN ADOLESCENTS (12 THROUGH 17 YEARS OLD) WITH FIBROMYALGIA"
I-80,DIAGNOSIS AND LOCALIZATION OF ISCHEMIA AND CORONARY HEART DISEASE
M-16,CHANGE IN WORDING OF THE PEDIATRIC SECTION OF THE PACKAGE INSERT
M-215,INFORMATION ADDED TO THE LABELING REGARDING THE COMPARISON OF PALIPERIDONE PALMITATE COMPARED WITH ORAL ANTIPSYCHOTIC TREATMENT IN DELAYING TIME TO TREATMENT FAILURE IN ADULTS WITH SCHIZOPHRENIA WHO HAVE BEEN INCARCERATED
M-14,ADDITIONAL CLINICAL TRIAL INFORMATION ADDED TO PEDIATRIC USE SUBSECTION
ODE-45,MANAGEMENT OF NEPHROPATHIC CYSTINOSIS IN ADULTS AND CHILDREN AGES 6 YEARS AND OLDER.
I-551,TREATMENT OF SHORT STATURE IN CHILDREN WITH TURNERS SYNDROME
M-4,CHANGES TO PEDIATRIC USE SECTION TO PROVIDE INFORMATION REGARDING SAFETY AND EFFICACY IN PEDIATRIC PATIENTS AS YOUNG AS 2 YEARS OLD
ODE-348,"TREATMENT OF ADULT PATIENTS WITH RELAPSED OR REFRACTORY MULTIPLE MYELOMA WHO HAVE RECEIVED AT LEAST FOUR PRIOR LINES OF THERAPY AND WHOSE DISEASE IS REFRACTORY TO AT LEAST ONE PROTEASOME INHIBITOR, ONE IMMUNOMODULATORY AGENT, AND ONE CD-38 DIRECTED MONOCLONAL ANTIBODY"
I-116,MAINTENANCE OF HEALING OF EROSIVE ESOPHAGITIS
D-57,3-HOUR INFUSION OF TAXOL GIVEN EVERY THREE WEEKS AT A DOSE OF 175MG/M2 FOLLOWED BY CISPLATIN AT A DOSE OF 75MG/M2 FOR THE FIRST-LINE TREATMENT OF ADVANCED OVARIAN CANCER
D-127,DOSING REGIMEN FOR ADULT PATIENTS WITH CHRONIC HEPATITIS B (CHB) AND DECOMPENSATED LIVER DESEASE
I-685,EXPANDED INDICATION OF RASAGILINE AS AN ADD-ON THERAPY TO STABLE DOSES OF DOPAMINE AGONISTS IN THE TREATMENT OF EARLY PARKINSONS DISEASE
I-179,NOSOCOMIAL PNEUMONIA-MILD TO MODERATE AND SEVERE CAUSED BY HAEMOPHILUS INFLUENZAE OR KLEBSIELLA PNEUMONIAE
I-220,"TREATMENT OF EPISODIC- HEARTBURN, ACID INDIGESTION AND SOUR STOMACH"
I-489,FOR USE IN PEDIATRIC PATIENTS WITH TYPE I DIABETES
ODE-20,TREATMENT OF CYSTIC FIBROSIS (CF) IN PATIENTS AGE 6 YEARS AND OLDER WHO HAVE A G551D MUTATION IN THE CFTR GENE.
I-196,ACUTE TREATMENT OF ACTIVE BENIGN GASTRIC ULCER
I-312,FIRST LINE TREATMENT OF POSTMENOPAUSAL WOMEN WITH HORMONE RECEPTOR POSITIVE OR HORMONE RECEPTOR UNKNOWN LOCALLY ADVANCED OR METASTATIC BREAST CANCER
ODE-310,"INDICATED FOR THE TREATMENT OF ADULT PATIENTS WITH RELAPSED OR REFRACTORY DIFFUSE LARGE B-CELL LYMPHOMA (DLBCL), NOT OTHERWISE SPECIFIED, INCLUDING DLBCL ARISING FROM FOLLICULAR LYMPHOMA, AFTER AT LEAST 2 LINES OF SYSTEMIC THERAPY"
I-452,EXPANDED INDICATION TO INCLUDE TREATMENT OF MULTIPLE MYELOMA PATIENTS WHO HAVE RECEIVED AT LEAST 1 PRIOR THERAPY
I-843,MAINTENANCE TREATMENT OF ASTHMA IN PATIENTS AGED 18 YEARS AND OLDER
I-39,TREATMENT OF ACUTE MYOCARDIAL INFARCTION
I-36,ARTHROGRAPHY OF THE SHOULDER JOINTS IN ADULTS
M-89,PROVIDES FOR REVISIONS TO MULTIPLE SECTIONS OF THE PACKAGE INSERT TO REFLECT RESULTS OF CLINICAL TRIALS 205.235 (UPLIFT) AND 205.266 (VA STUDY) IN SUPPORT OF EXACERBATION CLAIM
M-15,LONGER TERM EFFICACY INFORMATION FOR RISPERIDONE IN THE TREATMENT OF SCHIZOPHRENIA
M-91,"UPDATED LABELING BASED UPON STUDY:  A SINGLE-DOSE, SINGLE-BLIND, PLACEBO-AND MOXIFLOXACIN-CONTROLLED 2-PERIOD, RANDOMIZED, CROSSOVER, 3RD PERIOD SEQUENTIAL STUDY OF SIDE EFFECTS OF TEMSIROLIMUS ON CARDIAC REPOLARIZATION IN HEALTHY SUBJECTS"
M-90,LABELING CHANGES BASED ON DATA FROM  CLINICAL STUDIES NV20235 AND NV20236 STUDIES OF SEASONAL PROPHYLAXIS OF INFLUENZA IN IMMUNOCOMPROMISED PATIENTS AND CHILDREN AGES 1-12
I-459,NON-DIALYSIS DEPENDENT CHRONIC KIDNEY DISEASE (NDD-CKD) PATIENTS RECEIVING OR NOT RECEIVING AN ERYTHROPOIETIN
I-722,REVISED INDICATION FOR USE IN COMBINATION WITH DEXAMETHASONE OR WITH LENALIDOMIDE PLUS DEXAMETHASONE FOR THE TREATMENT OF PATIENTS WITH RELAPSED OR REFRACTORY MULTIPLE MYELOMA WHO HAVE RECEIVED ONE TO THREE LINES OF THERAPY.
I-647,SIGNS AND SYMPTOMS OF MODERATE TO SEVERE PRIMARY RESTLESS LEGS SYNDROME (RLS)
I-497,PREVENTION OF SEASONAL MAJOR DEPRESSIVE EPISODES IN PATIENTS WITH SEASONAL AFFECTIVE DISORDER
D-163,DOSING TO INCLUDE PATIENTS WITH CHRONIC HCV GENOTYPE 1A INFECTION WITH COMPENSATED (CHILD-PUGH A) CIRRHOSIS AND GENOTYPE 1B WITH OR WITHOUT COMPENSATED (CHILD-PUGH A) CIRRHOSIS
ODE-225,INDICATED FOR THE TREATMENT OF PEDIATRIC PATIENTS 1 YEAR OF AGE AND OLDER WITH NEWLY DIAGNOSED PHILADELPHIA CHROMOSOME-POSITIVE ACUTE LYMPHOBLASTIC LEUKEMIA (ALL) IN COMBINATION WITH CHEMOTHERAPY
D-71,EIGHT WEEK DOSING REGIMEN
M-58,"CHANGES TO THE CLINICAL STUDIES, PRIMARY HYPERCHOLESTEROLEMIA, VYTORIN SUBSECTION OF THE PACKAGE INSERT TO ADD EFFICACY DATA FOR THE EZETIMIBE/SIMVASTATIN COMBINATION PRODUCT AND FOR AN ATORVASTATIN PRODUCT ON LDL-C AND OTHER LIPID PRMTRS"
D-75,"INTERMITTENT DOSING REGIMEN, STARTING DAILY DOSE 14 DAYS PRIOR TO THE ANTICIPATED ONSET OF MENSTRUATION THROUGH THE FIRST FULL DAY OF MENSES AND REPEATING WITH EACH NEW CYCLE"
M-183,CHANGES TO THE DOSAGE AND ADMINISTRATION AND CLINICAL STUDIES SECTIONS OF THE LABELING TO SUPPORT THE REDUCE-TO-QUIT PARADIGM
I-462,LONG TERM TREATMENT OF IDIOPATHIC SHORT STATURE
M-236,INFORMATION ADDED TO THE PRESCRIBING INFORMATION TO INCLUDE EFFICACY AND SAFETY DATA FROM A STUDY IN PATIENTS WITH TREATMENT NAIVE CLL/SLL TREATED WITH IBRUTINIB IN COMBINATION WITH OBINUTUZUMAB OR CHLORAMBUCIL IN COMBINATION WITH OBINUTUZUMAB
I-798,TREATMENT OF DEPRESSIVE EPISODES ASSOCIATED WITH BIPOLAR I DISORDER (BIPOLAR DEPRESSION)
D-138,80 MG DOSING REGIMEN FOR THE RISK REDUCTION OF REBLEEDING OF GASTRIC AND DUODENAL ULCERS IN THE FIRST 72 HOURS FOLLOWING THERAPEUTIC ENDOSCOPY IN ADULTS
I-732,"TREATMENT OF PEDIATRIC PATIENTS 7 TO 17 YEARS OF AGE WITH HOMOZYGOUS FAMILIAL HYPERCHOLESTEROLEMIA TO REDUCE LDL-C, TOTAL C, NONHDL-C AND APOB AS AN ADJUNCT TO DIET, EITHER ALONE OR WITH OTHER LIPID-LOWERING TREATMENTS"
D-176,IBRUTINIB IN COMBINATION WITH RITUXIMAB
I-774,"TO ALLOW FOR FIRST-LINE TREATMENT OF PATIENTS WITH METASTATIC NON-SMALL CELL LUNG CANCER (NSCLC) WHOSE TUMORS HAVE EPIDERMAL GROWTH FACTOR RECEPTOR (EGFR) EXON 19 DELETIONS OR EXON 21 (L858R) SUBSTITUTION MUTATIONS, AS DETECTED BY AN FDA APPROVED TEST"
I-856,INDICATION FOR THE TREATMENT OF PULMONARY HYPERTENSION ASSOCIATED WITH INTERSTITIAL LUNG DISEASE TO IMPROVE EXERCISE ABILITY
ODE-175,TREATMENT OF ADULT PATIENTS WITH MANTLE CELL LYMPHOMA (MCL) WHO HAVE RECEIVED AT LEAST ONE PRIOR THERAPY
D-122,USE OF VAGIFEM 10 MCG FOR THE TREATMENT OF ATROPHIC VAGINITIS DUE TO MENOPAUSE
I-602,TREATMENT OF MEN AND WOMEN WITH OSTEOPOROSIS ASSOCIATED WITH SUSTAINED SYSTEMIC GLUCOCORTICOID THERAPY AT HIGH RISK FOR FRACTURE
I-363,ADJUVANT TREATMENT OF POST MENOPAUSAL WOMEN WITH HORMONE RECEPTOR POSITIVE EARLY BREAST CANCER
I-916,PROPHYLAXIS OF CYTOMEGALOVIRUS (CMV) DISEASE IN ADULT KIDNEY TRANSPLANT RECIPIENTS AT HIGH RISK (DONOR CMV SEROPOSITIVE/RECIPIENT CMV SERONEGATIVE [D+/R-])
I-588,ADDITIONAL PATHOGENS TO COMPLICATED INTRA-ABDOMINAL INFECTIONS INDICATION
D-15,SINGLE DAILY DOSE OF 25MG/37.5MG
I-289,USE OF AVANDIA IN COMBINATION WITH A SULFONYLUREA IN PATIENTS WITH TYPE 2 DIABETES MELLITUS WHEN DIET AND EXERCISE WITH EITHER SINGLE AGENT DOES NOT ACHIEVE ADEQUATE GLYCEMIC CONTROL
M-217,INCORPORATION OF THE LABELING REVISIONS PROVIDED FOR IN NDA 022253/S-039 AND NDA 022255/S-022 INTO THE LACOSAMIDE INJECTION LABELING
D-177,INFORMATION ADDED TO THE DOSING SECTION IN REGARD TO THE TREATMENT OF CHRONIC HEPATITIS C VIRUS INFECTION IN PATIENTS WITH SEVERE RENAL IMPAIRMENT INCLUDING PATIENTS WITH END STAGE RENAL DISEASE ON DIALYSIS
I-510,ADULT DERMATOFIBROSARCOMA PROTUBERANS (DFSP)
D-77,ADDITION OF 20MG AND 40MG DAILY AS OPTIONAL STARTING DOSES WITH 40MG INTENDED FOR PATIENTS WHO REQUIRE A LARGE REDUCTION IN LDL-C (MORE THAN 45%)
M-61,REVISIONS TO LABELING BASED ON DATA SUBMITTED IN RESPONSE TO PEDIATRIC WRITTEN REQUEST
ODE-28,TREATMENT OF ADULT PATIENTS WITH PHILADELPHIA CHROMOSOME-NEGATIVE (PH-) ACUTE LYMPHOBLASTIC LEUKEMIA (ALL) IN SECOND OR GREATER RELAPSE OR WHOSE DISEASE HAS PROGRESSED FOLLOWING TWO OR MORE ANTI-LEUKEMIA THERAPIES
M-59,"RESULTS OF THE T20-310 STUDY WHICH EVALUATED THE PHARMACOKINETICS, SAFETY, AND ANTIVIRAL ACTIVITY OF FUZEON IN TREATMENT EXPERIENCED PEDIATRIC SUBJECTS AND ADOLESCENTS WAS ADDED TO THE PEDIATRIC SUBSECTION OF PRECAUTIONS"
ODE-82,"TREATMENT OF PATIENTS WITH UNRESECTABLE,WELL- OR MODERATELY-DIFFERENTIATED LOCALLY ADVANCED OR METASTATIC GASTROENTEROPANCREATIC NEUROENDOCRINE TUMORS TO IMPROVE PROGRESSION-FREE SURVIVAL"
I-192,"THE PREVENTION OF DEEP VEIN THROMBOSIS, WHICH MAY LEAD TO PULMONARY EMBOLISM, IN PATIENTS UNDERGOING ABDOMINAL SURGERY WHO ARE AT RISK FOR THROMBOEMBOLIC COMPLICATIONS AND A NEW DOSAGE REGIMEN, 40MG ONCE DAILY, FOR THIS INDICATION"
I-353,TREATMENT OF SIGNS AND SYMPTOMS OF RHEUMATOID ARTHRITIS
M-177,"INFORMATION ADDED TO THE LABELING DESCRIBING EXAMINE, A TRIAL EVALUATING CARDIOVASCULAR ISCHEMIC RISKS ASSOCIATED WITH ALOGLIPTIN USE IN PATIENTS WITH TYPE 2 DIABETES AT HIGH RISK OF ISCHEMIC CARDIOVASCULAR DISEASE"
I-78,CONTRAST ENHANCED COMPUTED TOMOGRAPHIC IMAGING OF THE HEAD AND BODY AND INTRAVENOUS EXCRETORY UROGRAPHY
M-222,ADDITION OF DATA BASED ON THE ASSESSMENT OF SAFETY AND EFFICACY IN PEDIATRIC PATIENTS WITH MAJOR DEPRESSIVE DISORDER TO FULFILL POSTMARKETING STUDY REQUIREMENT 1229-1
