id,drug_class1,drug_class2,ddi_ref_id,ddi_risk,description,source_id
2578,phenobarbital,sirolimus,2,Significant,PHENOBARBITAL/SIROLIMUS [VA Drug Interaction],C56^3770^
4049,romidepsin,boceprevir,2,Significant,BOCEPREVIR/ROMIDEPSIN [VA Drug Interaction],C56^6006^
4190,loxapine,levodopa,2,Significant,LEVODOPA/LOXAPINE [VA Drug Interaction],C56^6353^
1732,sodium oxybate,temazepam,2,Critical,SODIUM OXYBATE/TEMAZEPAM [VA Drug Interaction],C23306838792081
337,amiloride,lisinopril,2,Significant,AMILORIDE/LISINOPRIL [VA Drug Interaction],C23302929524562
6760,sertraline,venlafaxine,2,Significant,SERTRALINE/VENLAFAXINE HYDROCHLORIDE [VA Drug Interaction],C56.3327
2971,fosaprepitant,methylprednisolone,2,Significant,FOSAPREPITANT/METHYLPREDNISOLONE [VA Drug Interaction],C56^4406^
3935,budesonide,telaprevir,2,Critical,BUDESONIDE/TELAPREVIR [VA Drug Interaction],C56^5868^
4878,tofacitinib,cobicistat,2,Significant,COBICISTAT/TOFACITINIB [VA Drug Interaction],C56^7458^
4843,tacrolimus,butalbital,2,Significant,BUTALBITAL/TACROLIMUS [VA Drug Interaction],C56^7415^
4009,colchicine,fosamprenavir,2,Significant,COLCHICINE/FOSAMPRENAVIR [VA Drug Interaction],C56^3957^
6361,disopyramide,rifampicin,2,Significant,DISOPYRAMIDE/RIFAMPIN [VA Drug Interaction],C23304876526206
2277,rifabutin,sunitinib,2,Significant,RIFABUTIN/SUNITINIB [VA Drug Interaction],C56.3373
1366,rifabutin,ritonavir,2,Significant,RIFABUTIN/RITONAVIR [VA Drug Interaction],C23305300905841
1359,ketoconazole,sodium bicarbonate,2,Significant,KETOCONAZOLE/SODIUM BICARBONATE [VA Drug Interaction],C23305275306219
605,foscarnet,pentamidine,2,Significant,FOSCARNET/PENTAMIDINE [VA Drug Interaction],C23303283921559
4663,artemether,estradiol,2,Significant,ARTEMETHER/ESTRADIOL [VA Drug Interaction],C56^7124^
4462,amiodarone,arsenic trioxide,2,Critical,AMIODARONE/ARSENIC TRIOXIDE [VA Drug Interaction],C56^6861^
4127,bretylium,moxifloxacin,2,Critical,BRETYLIUM/MOXIFLOXACIN [VA Drug Interaction],C56^6266^
1580,disulfiram,metronidazole,2,Significant,DISULFIRAM/METRONIDAZOLE [VA Drug Interaction],C23306157685683
6252,indinavir,rifampicin,2,Critical,INDINAVIR SULFATE/RIFAMPIN [VA Drug Interaction],C23304252618140
5206,methylprednisolone,risperidone,2,Significant,METHYLPREDNISOLONE/RISPERIDONE [VA Drug Interaction],C56^8051^
5519,clozapine,daunorubicin,2,Significant,CLOZAPINE/DAUNORUBICIN [VA Drug Interaction],C56^9304^
6028,algeldrate,lomefloxacin,2,Significant,ALUMINUM HYDROXIDE/LOMEFLOXACIN [VA Drug Interaction],C23303269721151
3181,cabazitaxel,telithromycin,2,Significant,CABAZITAXEL/TELITHROMYCIN [VA Drug Interaction],C56^4710^
2147,flecainide,propranolol,2,Significant,FLECAINIDE/PROPRANOLOL [VA Drug Interaction],C56.3176
3738,citalopram,disopyramide,2,Critical,CITALOPRAM/DISOPYRAMIDE [VA Drug Interaction],C56^5611^
7260,potassium chloride,isopropamide,2,Significant,ISOPROPAMIDE IODIDE/POTASSIUM CHLORIDE [VA Drug Interaction],C56^5836^
2409,fluoxetine,metoclopramide,2,Significant,FLUOXETINE/METOCLOPRAMIDE [VA Drug Interaction],C56.3548
5392,iloperidone,clarithromycin,2,Significant,CLARITHROMYCIN/ILOPERIDONE [VA Drug Interaction],C56^9060^
5584,deferasirox,phenobarbital,2,Significant,DEFERASIROX/PHENOBARBITAL [VA Drug Interaction],C56^9396^
6375,pimozide,indinavir,2,Critical,INDINAVIR SULFATE/PIMOZIDE [VA Drug Interaction],C23305011485258
1196,ticlopidine,warfarin,2,Significant,TICLOPIDINE/WARFARIN [VA Drug Interaction],C23304736316207
7223,citalopram,levomethadyl acetate,2,Critical,CITALOPRAM/LEVOMETHADYL [VA Drug Interaction],C56^5616^
4759,elvitegravir,saquinavir,2,Critical,ELVITEGRAVIR/SAQUINAVIR [VA Drug Interaction],C56^7290^
3597,metoclopramide,chlorprothixene,2,Critical,CHLORPROTHIXENE/METOCLOPRAMIDE [VA Drug Interaction],C56^5301^
7705,clozapine,thiamazole,2,Significant,CLOZAPINE/METHIMAZOLE [VA Drug Interaction],C56^9336^
7020,ketorolac,salicylic acid,2,Critical,KETOROLAC/SODIUM SALICYLATE [VA Drug Interaction],C56^4921^
6469,itraconazole,sildenafil,2,Significant,ITRACONAZOLE/SILDENAFIL CITRATE [VA Drug Interaction],C23305539083598
398,ketoprofen,methotrexate,2,Significant,KETOPROFEN/METHOTREXATE [VA Drug Interaction],C23302984237940
4713,bosutinib,pantoprazole,2,Critical,BOSUTINIB/PANTOPRAZOLE [VA Drug Interaction],C56^7182^
2771,selegiline,sufentanil,2,Critical,SELEGILINE/SUFENTANIL [VA Drug Interaction],C56^4073^
1726,phenobarbital,sodium oxybate,2,Critical,PHENOBARBITAL/SODIUM OXYBATE [VA Drug Interaction],C23306820649272
7171,toremifene,sparfloxacin,2,Significant,SPARFLOXACIN/TOREMIFENE CITRATE [VA Drug Interaction],C56^5419^
4861,temsirolimus,metharbital,2,Significant,METHARBITAL/TEMSIROLIMUS [VA Drug Interaction],C56^7438^
3112,levodopa,selegiline,2,Critical,LEVODOPA/SELEGILINE [VA Drug Interaction],C56^4602^
982,cimetidine,phenprocoumon,2,Critical,CIMETIDINE/PHENPROCOUMON [VA Drug Interaction],C23304018136383
6826,dofetilide,levomethadyl acetate,2,Critical,DOFETILIDE/LEVOMETHADYL [VA Drug Interaction],C56^3879^
6923,romidepsin,fosphenytoin,2,Significant,FOSPHENYTOIN SODIUM/ROMIDEPSIN [VA Drug Interaction],C56^4462^
4053,quinidine,telithromycin,2,Significant,QUINIDINE/TELITHROMYCIN [VA Drug Interaction],C56^6016^
4089,axitinib,modafinil,2,Significant,AXITINIB/MODAFINIL [VA Drug Interaction],C56^6066^
6255,bisoprolol,disopyramide,2,Significant,BISOPROLOL FUMARATE/DISOPYRAMIDE [VA Drug Interaction],C23304263119754
2978,dronedarone,nefazodone,2,Critical,DRONEDARONE/NEFAZODONE [VA Drug Interaction],C56^4421^
1773,cisapride,molindone,2,Critical,CISAPRIDE/MOLINDONE [VA Drug Interaction],C23306987655693
4839,sirolimus,talbutal,2,Significant,SIROLIMUS/TALBUTAL [VA Drug Interaction],C56^7410^
5345,dabrafenib,cobicistat,2,Significant,COBICISTAT/DABRAFENIB [VA Drug Interaction],C56^8832^
1021,atenolol,clonidine,2,Significant,ATENOLOL/CLONIDINE [VA Drug Interaction],C23304192986259
2768,methadone,tranylcypromine,2,Critical,METHADONE/TRANYLCYPROMINE [VA Drug Interaction],C56^4059^
1216,ketoconazole,rifapentine,2,Critical,KETOCONAZOLE/RIFAPENTINE [VA Drug Interaction],C23304781789584
3165,saquinavir,conivaptan,2,Critical,CONIVAPTAN/SAQUINAVIR [VA Drug Interaction],C56^4689^
2700,clarithromycin,fesoterodine,2,Significant,CLARITHROMYCIN/FESOTERODINE [VA Drug Interaction],C56^3928^
1760,cinacalcet,flecainide,2,Significant,CINACALCET/FLECAINIDE [VA Drug Interaction],C23306955688502
3142,fluoxetine,quazepam,2,Significant,FLUOXETINE/QUAZEPAM [VA Drug Interaction],C56^4654^
6789,quetiapine,warfarin,2,Significant,QUETIAPINE FUMARATE/WARFARIN [VA Drug Interaction],C56.3579
5299,pramlintide,fesoterodine,2,Critical,FESOTERODINE/PRAMLINTIDE [VA Drug Interaction],C56^8764^
2383,nortriptyline,valproic acid,2,Significant,NORTRIPTYLINE/VALPROIC ACID [VA Drug Interaction],C56.3514
5142,sodium oxybate,amoxapine,2,Critical,AMOXAPINE/SODIUM OXYBATE [VA Drug Interaction],C56^7964^
7939,lithium,metolazone,2,Critical,LITHIUM/METOLAZONE [VA Drug Interaction],C23302890431605
828,chlorzoxazone,disulfiram,2,Significant,CHLORZOXAZONE/DISULFIRAM [VA Drug Interaction],C23303653199219
2672,fosamprenavir,phenobarbital,2,Significant,FOSAMPRENAVIR/PHENOBARBITAL [VA Drug Interaction],C56^3896^
4253,saxagliptin,ketoconazole,2,Critical,KETOCONAZOLE/SAXAGLIPTIN [VA Drug Interaction],C56^6429^
4479,amiodarone,probucol,2,Critical,AMIODARONE/PROBUCOL [VA Drug Interaction],C56^6878^
5132,azithromycin,quinidine,2,Significant,AZITHROMYCIN/QUINIDINE [VA Drug Interaction],C56^7950^
3289,ketorolac,celecoxib,2,Critical,CELECOXIB/KETOROLAC [VA Drug Interaction],C56^4897^
7160,toremifene,probucol,2,Significant,PROBUCOL/TOREMIFENE CITRATE [VA Drug Interaction],C56^5408^
2494,gemifloxacin,hydrocortisone,2,Significant,GEMIFLOXACIN/HYDROCORTISONE [VA Drug Interaction],C56.3663
2073,nefazodone,ranolazine,2,Critical,NEFAZODONE/RANOLAZINE [VA Drug Interaction],C56.3071
6905,rasagiline,venlafaxine,2,Significant,RASAGILINE/VENLAFAXINE HYDROCHLORIDE [VA Drug Interaction],C56^4375^
7642,tamoxifen,delavirdine,2,Significant,DELAVIRDINE MESYLATE/TAMOXIFEN [VA Drug Interaction],C56^8818^
2624,reserpine,tetrabenazine,2,Critical,RESERPINE/TETRABENAZINE [VA Drug Interaction],C56^3832^
4575,tobramycin,mannitol,2,Significant,MANNITOL/TOBRAMYCIN [VA Drug Interaction],C56^7020^
4866,temsirolimus,talbutal,2,Significant,TALBUTAL/TEMSIROLIMUS [VA Drug Interaction],C56^7443^
1294,rifapentine,cortisone,2,Significant,CORTISONE/RIFAPENTINE [VA Drug Interaction],C23304994648761
2561,etravirine,sirolimus,2,Significant,ETRAVIRINE/SIROLIMUS [VA Drug Interaction],C56^3748^
5251,bedaquiline,bepridil,2,Critical,BEDAQUILINE/BEPRIDIL [VA Drug Interaction],C56^8114^
3377,oxycodone,voriconazole,2,Significant,OXYCODONE/VORICONAZOLE [VA Drug Interaction],C56^5032^
675,ethotoin,fluoxetine,2,Significant,ETHOTOIN/FLUOXETINE [VA Drug Interaction],C23303394355148
6630,clarithromycin,fosphenytoin,2,Significant,CLARITHROMYCIN/FOSPHENYTOIN SODIUM [VA Drug Interaction],C23307431827788
2758,hydromorphone,rasagiline,2,Critical,HYDROMORPHONE/RASAGILINE [VA Drug Interaction],C56^4042^
725,alfentanil,erythromycin,2,Critical,ALFENTANIL/ERYTHROMYCIN [VA Drug Interaction],C23303482546524
7073,ziprasidone,eribulin,2,Significant,ERIBULIN MESYLATE/ZIPRASIDONE [VA Drug Interaction],C56^5127^
5865,ciclosporin,voriconazole,2,Critical,CYCLOSPORINE/VORICONAZOLE [VA Drug Interaction],C23306254955867
2047,amiodarone,ranolazine,2,Critical,AMIODARONE/RANOLAZINE [VA Drug Interaction],C56.3020
3594,metoclopramide,aripiprazole,2,Critical,ARIPIPRAZOLE/METOCLOPRAMIDE [VA Drug Interaction],C56^5298^
7955,diflunisal,lithium,2,Significant,DIFLUNISAL/LITHIUM [VA Drug Interaction],C23304391208379
4227,promethazine,pramipexole,2,Significant,PRAMIPEXOLE/PROMETHAZINE [VA Drug Interaction],C56^6397^
306,phenylpropanolamine,tranylcypromine,2,Critical,PHENYLPROPANOLAMINE/TRANYLCYPROMINE [VA Drug Interaction],C23302909154096
2273,nefazodone,sunitinib,2,Significant,NEFAZODONE/SUNITINIB [VA Drug Interaction],C56.3365
2957,paroxetine,amoxapine,2,Significant,AMOXAPINE/PAROXETINE [VA Drug Interaction],C56^4361^
2788,rosuvastatin,fosamprenavir,2,Significant,FOSAMPRENAVIR/ROSUVASTATIN [VA Drug Interaction],C56^4097^
5232,bedaquiline,vandetanib,2,Significant,BEDAQUILINE/VANDETANIB [VA Drug Interaction],C56^8092^
3370,oxycodone,atazanavir,2,Significant,ATAZANAVIR/OXYCODONE [VA Drug Interaction],C56^5023^
4173,droperidol,cabergoline,2,Significant,CABERGOLINE/DROPERIDOL [VA Drug Interaction],C56^6333^
5725,ibrutinib,conivaptan,2,Significant,CONIVAPTAN/IBRUTINIB [VA Drug Interaction],C56^9989^
1206,clomipramine,rifapentine,2,Significant,CLOMIPRAMINE/RIFAPENTINE [VA Drug Interaction],C23304761923931
1107,isocarboxazid,mephentermine,2,Critical,ISOCARBOXAZID/MEPHENTERMINE [VA Drug Interaction],C23304461420096
4443,fingolimod,metoprolol,2,Critical,FINGOLIMOD/METOPROLOL [VA Drug Interaction],C56^6671^
69,axitinib,mibefradil,2,Significant,AXITINIB/MIBEFRADIL DIHYDROCHLORIDE [VA Drug Interaction],C56^6050^
1042,carbenicillin,oxytetracycline,2,Significant,CARBENICILLIN/OXYTETRACYCLINE [VA Drug Interaction],C23304228069209
1326,amiodarone,pimozide,2,Critical,AMIODARONE/PIMOZIDE [VA Drug Interaction],C23305141659344
7944,fosinopril,lithium,2,Significant,FOSINOPRIL/LITHIUM [VA Drug Interaction],C23303312696725
4715,bosutinib,carbamazepine,2,Significant,BOSUTINIB/CARBAMAZEPINE [VA Drug Interaction],C56^7186^
6369,ethanol,disulfiram,2,Significant,ALCOHOL/DISULFIRAM [VA Drug Interaction],C23304968616123
2727,linezolid,desvenlafaxine,2,Significant,DESVENLAFAXINE/LINEZOLID [VA Drug Interaction],C56^4010^
6650,fosphenytoin,metyrapone,2,Significant,FOSPHENYTOIN SODIUM/METYRAPONE [VA Drug Interaction],C23307562928249
6680,alosetron,fluvoxamine,2,Critical,ALOSETRON/FLUVOXAMINE MALEATE [VA Drug Interaction],C23307783168810
2821,aluminum carbonate,levothyroxine sodium,2,Significant,ALUMINUM CARBONATE/LEVOTHYROXINE SODIUM [VA Drug Interaction],C56^4155^
6599,indinavir,omeprazole,2,Significant,INDINAVIR SULFATE/OMEPRAZOLE [VA Drug Interaction],C23307052417276
4560,azithromycin,vandetanib,2,Significant,AZITHROMYCIN/VANDETANIB [VA Drug Interaction],C56^6996^
472,salsalate,warfarin,2,Significant,SALSALATE/WARFARIN [VA Drug Interaction],C23303085699998
4310,tolvaptan,imatinib,2,Significant,IMATINIB/TOLVAPTAN [VA Drug Interaction],C56^6535^
1560,clarithromycin,quinidine,2,Critical,CLARITHROMYCIN/QUINIDINE [VA Drug Interaction],C23306087555541
3807,sunitinib,telaprevir,2,Significant,SUNITINIB/TELAPREVIR [VA Drug Interaction],C56^5699^
5417,desflurane,pirbuterol,2,Significant,DESFLURANE/PIRBUTEROL [VA Drug Interaction],C56^9128^
5024,methotrexate,oxyphenbutazone,2,Significant,METHOTREXATE/OXYPHENBUTAZONE [VA Drug Interaction],C56^7792^
3612,metoclopramide,piperacetazine,2,Critical,METOCLOPRAMIDE/PIPERACETAZINE [VA Drug Interaction],C56^5319^
3502,ritonavir,triamcinolone,2,Critical,RITONAVIR/TRIAMCINOLONE [VA Drug Interaction],C56^5178^
6501,ethinylestradiol,tetracycline,2,Significant,ETHINYL ESTRADIOL/TETRACYCLINE [VA Drug Interaction],C23305878577025
5523,clozapine,epirubicin,2,Significant,CLOZAPINE/EPIRUBICIN [VA Drug Interaction],C56^9308^
568,cimetidine,clozapine,2,Significant,CIMETIDINE/CLOZAPINE [VA Drug Interaction],C23303229874467
6199,dicoumarol,rifampicin,2,Critical,DICUMAROL/RIFAMPIN [VA Drug Interaction],C23304049577809
3530,vandetanib,sotalol,2,Significant,SOTALOL/VANDETANIB [VA Drug Interaction],C56^5208^
4389,colchicine,captopril,2,Significant,CAPTOPRIL/COLCHICINE [VA Drug Interaction],C56^6605^
1193,tobramycin,vecuronium,2,Significant,TOBRAMYCIN/VECURONIUM [VA Drug Interaction],C23304722012993
6305,cisatracurium,tobramycin,2,Significant,CISATRACURIUM BESYLATE/TOBRAMYCIN [VA Drug Interaction],C23304549389377
6385,nelfinavir,amprenavir,2,Critical,AMPRENAVIR/NELFINAVIR MESYLATE [VA Drug Interaction],C23305083653369
3107,quinine,procaine,2,Significant,PROCAINE/QUININE [VA Drug Interaction],C56^4588^
3864,crizotinib,artemether,2,Significant,ARTEMETHER/CRIZOTINIB [VA Drug Interaction],C56^5783^
991,flurbiprofen,phenprocoumon,2,Significant,FLURBIPROFEN/PHENPROCOUMON [VA Drug Interaction],C23304066724122
7683,isoflurane,isometheptene,2,Significant,ISOFLURANE/ISOMETHEPTENE MUCATE [VA Drug Interaction],C56^9213^
3276,valproic acid,vorinostat,2,Significant,VALPROIC ACID/VORINOSTAT [VA Drug Interaction],C56^4879^
3392,nisoldipine,erythromycin,2,Significant,ERYTHROMYCIN/NISOLDIPINE [VA Drug Interaction],C56^5048^
3059,saquinavir,indapamide,2,Significant,INDAPAMIDE/SAQUINAVIR [VA Drug Interaction],C56^4530^
6822,cefalexin,metformin,2,Significant,CEPHALEXIN/METFORMIN HYDROCHLORIDE [VA Drug Interaction],C56^3864^
2012,erlotinib,phenytoin,2,Significant,ERLOTINIB/PHENYTOIN [VA Drug Interaction],C23308050913733
1788,gatifloxacin,perphenazine,2,Significant,GATIFLOXACIN/PERPHENAZINE [VA Drug Interaction],C23307033949286
4530,ticagrelor,phenytoin,2,Significant,PHENYTOIN/TICAGRELOR [VA Drug Interaction],C56^6962^
5688,macitentan,tipranavir,2,Significant,MACITENTAN/TIPRANAVIR [VA Drug Interaction],C56^9911^
341,diclofenac,warfarin,2,Significant,DICLOFENAC/WARFARIN [VA Drug Interaction],C23302932281058
329,captopril,triamterene,2,Significant,CAPTOPRIL/TRIAMTERENE [VA Drug Interaction],C23302924891850
5441,enflurane,terbutaline,2,Significant,ENFLURANE/TERBUTALINE [VA Drug Interaction],C56^9164^
1827,duloxetine,phenelzine,2,Critical,DULOXETINE/PHENELZINE [VA Drug Interaction],C23307172210993
2888,pioglitazone,norfloxacin,2,Significant,NORFLOXACIN/PIOGLITAZONE [VA Drug Interaction],C56^4263^
5259,bedaquiline,rifabutin,2,Significant,BEDAQUILINE/RIFABUTIN [VA Drug Interaction],C56^8123^
1012,phenprocoumon,sulfinpyrazone,2,Significant,PHENPROCOUMON/SULFINPYRAZONE [VA Drug Interaction],C23304102243162
1727,primidone,sodium oxybate,2,Critical,PRIMIDONE/SODIUM OXYBATE [VA Drug Interaction],C23306823211050
5574,clozapine,tiopronin,2,Significant,CLOZAPINE/TIOPRONIN [VA Drug Interaction],C56^9376^
1650,erythromycin,gatifloxacin,2,Significant,ERYTHROMYCIN/GATIFLOXACIN [VA Drug Interaction],C23306409090540
1710,eplerenone,fluconazole,2,Significant,EPLERENONE/FLUCONAZOLE [VA Drug Interaction],C23306752270470
3061,saquinavir,gatifloxacin,2,Significant,GATIFLOXACIN/SAQUINAVIR [VA Drug Interaction],C56^4533^
3944,ritonavir,boceprevir,2,Critical,BOCEPREVIR/RITONAVIR [VA Drug Interaction],C56^5877^
2921,miglitol,norfloxacin,2,Significant,MIGLITOL/NORFLOXACIN [VA Drug Interaction],C56^4306^
264,amikacin,ethacrynic acid,2,Significant,AMIKACIN/ETHACRYNIC ACID [VA Drug Interaction],C23302857681353
2831,famotidine,dasatinib,2,Significant,DASATINIB/FAMOTIDINE [VA Drug Interaction],C56^4181^
6111,chloramphenicol,fosphenytoin,2,Significant,CHLORAMPHENICOL/FOSPHENYTOIN SODIUM [VA Drug Interaction],C23303691218576
7150,toremifene,nalidixic acid,2,Significant,NALIDIXIC ACID/TOREMIFENE CITRATE [VA Drug Interaction],C56^5398^
2134,ritonavir,trazodone,2,Significant,RITONAVIR/TRAZODONE [VA Drug Interaction],C56.3156
503,potassium citrate,spironolactone,2,Significant,POTASSIUM CITRATE/SPIRONOLACTONE [VA Drug Interaction],C23303135513033
4465,amiodarone,chloroquine,2,Critical,AMIODARONE/CHLOROQUINE [VA Drug Interaction],C56^6864^
4915,sodium oxybate,zaleplon,2,Critical,SODIUM OXYBATE/ZALEPLON [VA Drug Interaction],C56^7519^
73,darifenacin,mibefradil,2,Significant,DARIFENACIN/MIBEFRADIL DIHYDROCHLORIDE [VA Drug Interaction],C56^6456^
6996,tizanidine,norethisterone,2,Significant,NORETHINDRONE/TIZANIDINE [VA Drug Interaction],C56^4823^
4555,azithromycin,tetrabenazine,2,Significant,AZITHROMYCIN/TETRABENAZINE [VA Drug Interaction],C56^6991^
2056,dofetilide,ranolazine,2,Critical,DOFETILIDE/RANOLAZINE [VA Drug Interaction],C56.3033
7504,methylthioninium chloride,almotriptan,2,Critical,ALMOTRIPTAN/METHYLENE BLUE [VA Drug Interaction],C56^7346^
666,selegiline,sertraline,2,Critical,SELEGILINE/SERTRALINE [VA Drug Interaction],C23303368038675
3062,saquinavir,gadoxetate,2,Significant,GADOXETATE/SAQUINAVIR [VA Drug Interaction],C56^4534^
7129,toremifene,dronedarone,2,Significant,DRONEDARONE/TOREMIFENE CITRATE [VA Drug Interaction],C56^5377^
2419,mirtazapine,rasagiline,2,Critical,MIRTAZAPINE/RASAGILINE [VA Drug Interaction],C56.3563
7295,quetiapine,terfenadine,2,Significant,QUETIAPINE FUMARATE/TERFENADINE [VA Drug Interaction],C56^5978^
3759,crizotinib,ritonavir,2,Significant,CRIZOTINIB/RITONAVIR [VA Drug Interaction],C56^5636^
1385,bupropion,ritonavir,2,Critical,BUPROPION/RITONAVIR [VA Drug Interaction],C23305379134498
1872,aprepitant,terfenadine,2,Critical,APREPITANT/TERFENADINE [VA Drug Interaction],C23307364182598
6784,maraviroc,nelfinavir,2,Significant,MARAVIROC/NELFINAVIR MESYLATE [VA Drug Interaction],C56.3554
6897,escitalopram,nortriptyline,2,Significant,ESCITALOPRAM OXALATE/NORTRIPTYLINE [VA Drug Interaction],C56^4346^
6032,fosinopril,potassium hydrogencarbonate,2,Significant,FOSINOPRIL/POTASSIUM BICARBONATE [VA Drug Interaction],C23303315748230
1265,ketoconazole,vinblastine,2,Critical,KETOCONAZOLE/VINBLASTINE [VA Drug Interaction],C23304908793994
5378,aripiprazole,voriconazole,2,Significant,ARIPIPRAZOLE/VORICONAZOLE [VA Drug Interaction],C56^9082^
7074,dronedarone,indinavir,2,Critical,DRONEDARONE/INDINAVIR SULFATE [VA Drug Interaction],C56^5136^
2151,cisapride,ziprasidone,2,Significant,CISAPRIDE/ZIPRASIDONE [VA Drug Interaction],C56.3182
5732,ibrutinib,saquinavir,2,Significant,IBRUTINIB/SAQUINAVIR [VA Drug Interaction],C56^9999^
3169,colchicine,amprenavir,2,Significant,AMPRENAVIR/COLCHICINE [VA Drug Interaction],C56^4696^
1126,mivacurium,neomycin,2,Significant,MIVACURIUM/NEOMYCIN [VA Drug Interaction],C23304506932305
15506,Strong CYP2C9 Inducers,CYP2C9 Substrates,3,Potentially significant,Strong CYP2C9 Inducers - CYP2C9 Substrates,CYP2C9 inducers-substrates
5026,pralatrexate,phenylbutazone,2,Significant,PHENYLBUTAZONE/PRALATREXATE [VA Drug Interaction],C56^7794^
3734,citalopram,voriconazole,2,Critical,CITALOPRAM/VORICONAZOLE [VA Drug Interaction],C56^5607^
3848,pazopanib,phenytoin,2,Significant,PAZOPANIB/PHENYTOIN [VA Drug Interaction],C56^5752^
977,anisindione,sulfinpyrazone,2,Significant,ANISINDIONE/SULFINPYRAZONE [VA Drug Interaction],C23304001234235
157,amiodarone,atazanavir,2,Significant,AMIODARONE/ATAZANAVIR SO4 [VA Drug Interaction],C23306876719806
2479,ciprofloxacin,dexamethasone,2,Significant,CIPROFLOXACIN/DEXAMETHASONE [VA Drug Interaction],C56.3646
5451,isoflurane,lisdexamfetamine,2,Significant,ISOFLURANE/LISDEXAMFETAMINE [VA Drug Interaction],C56^9216^
6245,isosorbide dinitrate,sildenafil,2,Critical,ISOSORBIDE DINITRATE/SILDENAFIL CITRATE [VA Drug Interaction],C23304234642671
6212,phenprocoumon,phytomenadione,2,Significant,PHENPROCOUMON/PHYTONADIONE [VA Drug Interaction],C23304110002528
637,fosinopril,potassium gluconate,2,Significant,FOSINOPRIL/POTASSIUM GLUCONATE [VA Drug Interaction],C23303317249538
7072,ziprasidone,fosphenytoin,2,Significant,FOSPHENYTOIN SODIUM/ZIPRASIDONE [VA Drug Interaction],C56^5123^
3013,alfuzosin,fosamprenavir,2,Significant,ALFUZOSIN/FOSAMPRENAVIR [VA Drug Interaction],C56^4468^
