id,struct_id,meddra_name,meddra_code,level,llr,llr_threshold,drug_ae,drug_no_ae,no_drug_ae,no_drug_no_ae
13287190,1187,Blood immunoglobulin A decreased,10005585,PT,23.569,9.63,22,185083,1907,111126215
13612143,4195,Swollen joint count increased,10079351,PT,261.678,9.936,827,849879,42461,110420060
13498801,2387,Extraskeletal ossification,10049811,PT,21.562,10.766,9,155183,215,111157820
13335853,2803,Encopresis,10014643,PT,66.764,10.139,28,287943,352,111024904
13587056,276,Coronavirus test positive,10070255,PT,10.402,9.411,13,193637,1499,111118078
13565318,1261,Labelled drug-drug interaction medication error,10064373,PT,61.118,19.417,29,4740,31780,111276678
13297712,2835,Cardiac failure,10007554,PT,10.972,10.115,128,105981,197616,111009502
13500856,4659,Intervertebral disc protrusion,10050296,PT,13.137,11.419,63,93668,36236,111183260
13466179,960,Superior vena cava syndrome,10042569,PT,23.631,11.844,23,248906,1556,111062742
13331866,4979,Dyspnoea,10013968,PT,90.075,13.531,2075,147684,1131385,110032083
13386107,269,Joint dislocation,10023204,PT,180.298,9.513,270,280562,25402,111006993
13389381,2358,Leiomyosarcoma,10024189,PT,17.929,9.656,15,389862,526,110922824
13386206,1231,Joint effusion,10023215,PT,127.145,9.988,458,855680,24989,110432100
13281037,85,Atypical pneumonia,10003757,PT,22.062,9.775,64,311848,8656,110992659
13326876,2055,Drug ineffective,10013709,PT,87.652,10.41,670,69280,1702653,109540624
13593925,5151,Fulminant type 1 diabetes mellitus,10072628,PT,69.393,19.6,27,55892,1531,111255777
13415100,2847,Obesity,10029883,PT,59.507,9.7,53,401315,48797,110863062
13529015,945,Stoma site pain,10057843,PT,38.479,11.243,20,65414,1915,111245878
13312168,480,Coronary artery disease,10011078,PT,47.073,13.083,49,198218,84888,111030072
13360621,2593,Hepatic cirrhosis,10019641,PT,116.343,12.719,137,61643,46893,111204554
13454909,588,Sepsis,10040047,PT,30.167,23.212,79,8679,362322,110942147
13366676,432,Hypercholesterolaemia,10020603,PT,19.734,14.753,35,31431,34130,111247631
13286823,1258,Blood glucose increased,10005557,PT,46.365,10.382,1745,950253,158830,110202399
13275666,4809,Arteriosclerosis,10003210,PT,21.026,14.785,9,208467,23689,111081062
13384803,2387,Irritability,10022998,PT,32.732,10.766,23,155169,61713,111096322
13338220,4897,Eructation,10015137,PT,32.114,15.952,29,31359,14354,111267485
13568724,1601,Immune reconstitution inflammatory syndrome,10065042,PT,278.313,16.622,110,22086,16590,111274441
13291090,1552,Blood thyroid stimulating hormone increased,10005833,PT,29.381,13.313,15,583319,12728,110717165
13602938,2711,Eyelid myoclonus,10076060,PT,43.323,9.498,18,356100,175,110956934
13344605,2585,Fibrinolysis,10016603,PT,14.288,10.093,5,90976,127,111222119
13278809,1395,Asthenia,10003549,PT,335.196,11.037,2554,664738,679738,109966197
13333232,1395,Eating disorder,10014062,PT,13.341,11.037,114,667178,29641,110616294
13606693,842,Systemic infection,10077116,PT,51.093,10.094,10,825442,11068,110476707
13506504,434,Malignant neoplasm progression,10051398,PT,38.287,11.548,47,80811,185442,111046927
13493349,1751,Ankle operation,10049012,PT,39.505,11.642,81,1504713,1759,109806674
13298285,1137,Cardiac failure congestive,10007559,PT,53.355,13.673,209,55897,184301,111072820
13494811,4072,Red blood cell sedimentation rate abnormal,10049186,PT,149.828,10.185,528,978379,24856,110309464
13570923,1563,Virologic failure,10065648,PT,18.752,9.8,3,240353,13198,111059673
13427995,4987,Peripheral motor neuropathy,10034580,PT,41.229,11.36,36,114983,4626,111193582
13393479,4554,Lower respiratory tract infection,10024968,PT,19.572,16.07,103,30470,188740,111093914
13397520,1028,Melaena,10027141,PT,38.849,9.351,52,224809,71074,111017292
13335698,2798,Encephalopathy,10014625,PT,390.753,9.401,516,151513,80289,111080909
13384900,841,Irritability,10022998,PT,69.993,15.714,59,13543,61677,111237948
13359074,4715,Headache,10019211,PT,56.567,20.215,137,36354,918225,110358511
13290014,2352,Blood pressure increased,10005750,PT,53.841,14.975,17,37194,302254,110973762
13394083,4968,Lupus vulgaris,10025143,PT,87.772,18.942,119,384821,7419,110920868
13277486,279,Arthropathy,10003285,PT,30.021,19.584,3,14771,307424,110991029
13545605,1767,Lactation disorder,10061261,PT,50.954,10.908,18,96600,442,111216167
13493613,2803,Brain death,10049054,PT,28.541,10.139,58,287913,6784,111018472
13591578,5237,Maternal exposure during pregnancy,10071408,PT,971.855,50.581,1143,91562,261079,110959443
13396801,1904,Maternal drugs affecting foetus,10026923,PT,238.005,19.911,100,29490,13189,111270448
13416562,1906,Oesophageal carcinoma,10030155,PT,16.324,10.026,44,809337,12812,110491034
13318018,4855,Depressed level of consciousness,10012373,PT,17.62,11.083,38,85077,113930,111114182
13470984,4809,Therapeutic response decreased,10043414,PT,79.122,14.785,47,208429,102622,111002129
13537476,4239,Left ventricular end-diastolic pressure increased,10060088,PT,12.189,11.319,32,1718580,715,109593900
13450313,760,Rheumatic fever,10039054,PT,126.246,9.576,5,319353,51636,110942233
13437579,1482,Proteinuria,10037032,PT,661.728,17.711,426,90516,43833,111178452
13406267,522,Myelosuppression,10028584,PT,41.272,9.74,24,225358,49046,111038799
13596974,1024,Exposure during pregnancy,10073513,PT,83.577,26.091,63,3843,196785,111112536
13589671,4566,Seizure like phenomena,10071048,PT,37.943,18.58,21,67634,2205,111243367
13546928,2044,Peritoneal disorder,10061343,PT,28.401,11.868,22,242970,1120,111069115
13375647,4904,Ileal stenosis,10021307,PT,822.448,10.936,448,917093,2947,110392739
13538187,2445,Hepatic enzyme increased,10060795,PT,171.364,9.857,707,524555,278765,110509200
13352846,1782,Glossodynia,10018388,PT,275.741,9.622,32,194864,221114,110897217
13374278,3094,Hypotension,10021097,PT,46.735,22.074,380,45129,541903,110725815
13444231,112,Rash papular,10037876,PT,37.156,10.54,47,525177,28153,110759850
13615792,2720,Vascular device occlusion,10080803,PT,59.704,17.363,25,160585,581,111152036
13500406,4816,Blood phosphorus increased,10050196,PT,158.673,23.017,67,21835,12108,111279217
13571445,2846,Cardiovascular insufficiency,10065929,PT,18.465,13.712,17,73019,3696,111236495
13440547,786,Pulmonary haemorrhage,10037394,PT,81.105,21.495,58,31513,20505,111261151
13300339,882,Cataract,10007739,PT,23.667,10.342,74,177416,93921,111041816
13418207,1225,Orthopnoea,10031123,PT,11.233,9.531,55,240653,12387,111060132
13470047,1395,Tearfulness,10043169,PT,21.011,11.037,10,667282,7721,110638214
13273738,2356,Apathy,10002942,PT,13.983,9.565,111,415355,17088,110880673
13557917,2870,Renal impairment,10062237,PT,19.863,9.351,331,250483,203448,110858965
13547191,475,Poisoning,10061355,PT,18.802,9.609,9,162299,28500,111122419
13280615,1836,Atrioventricular block,10003671,PT,11.945,9.936,20,321546,17443,110974218
13384616,85,Iron deficiency anaemia,10022972,PT,19.393,9.775,39,311873,32706,110968609
13415116,183,Obesity,10029883,PT,14.529,9.937,277,857942,48573,110406435
13359696,4901,Heart rate increased,10019303,PT,12.086,9.164,407,352499,161821,110798500
13548180,865,Abnormal behaviour,10061422,PT,57.326,9.884,71,445931,50553,110816672
13443970,2073,Rash maculo-papular,10037868,PT,56.061,16.266,114,58874,65607,111188632
13400232,4840,Metastatic malignant melanoma,10027480,PT,25.568,11.656,19,58356,3842,111251010
13369545,865,Hypertensive crisis,10020802,PT,12.594,9.884,59,445943,26486,110840739
13355000,2840,Haematocrit decreased,10018838,PT,16.379,10.66,1066,1288515,75752,109947894
13350653,2138,Gastrointestinal haemorrhage,10017955,PT,101.76,19.739,139,18232,186187,111108669
13458813,4966,Skin necrosis,10040893,PT,87.645,14.316,162,227514,22393,111063158
13338676,4133,Erythema multiforme,10015218,PT,30.44,11.675,112,257244,20801,111035070
13554922,4978,Parainfluenzae virus infection,10061907,PT,79.542,12.974,3,1355614,7620,109949990
13613426,1860,Atypical haemolytic uraemic syndrome,10079840,PT,44.704,10.959,21,88298,1192,111223716
13572968,2387,Cytopenia,10066274,PT,10.839,10.766,16,155176,30430,111127605
13533512,2302,Muscle relaxant therapy,10058909,PT,41.226,14.136,12,88492,169,111224554
13598311,1385,Aspergillus infection,10074171,PT,47.899,9.433,16,398972,25610,110888629
13327240,4566,Drug ineffective,10013709,PT,162.693,18.58,515,67140,1702808,109542764
13436910,1336,Progressive multifocal leukoencephalopathy,10036807,PT,31.523,9.798,31,429717,25428,110858051
13264514,1384,Acute respiratory failure,10001053,PT,30.443,11.531,88,53744,69277,111190118
13607263,3128,Multiple organ dysfunction syndrome,10077361,PT,19.392,13.756,118,47162,147377,111118570
13550472,4718,Polyp,10061529,PT,22.859,21.188,16,14214,12149,111286848
13470985,1709,Therapeutic response decreased,10043414,PT,23.619,13.998,28,88363,102641,111122195
13515245,1751,Induced abortion failed,10053191,PT,44.533,11.642,33,1504761,226,109808207
13474375,644,Torsade de pointes,10044066,PT,21.667,13.902,19,12526,22680,111278002
13610624,2552,Therapeutic response shortened,10078575,PT,29.793,10.014,26,349668,27754,110935779
13502037,530,Contusion,10050584,PT,25.369,12.552,16,33626,209607,111069978
13620097,2838,Spinal stenosis,10082214,PT,14.364,9.663,207,704322,21779,110586919
13571577,1865,Hypoglycaemic unconsciousness,10065981,PT,15.189,13.848,7,19396,1756,111292068
13438409,2245,Pseudomembranous colitis,10037128,PT,53.05,9.696,102,500305,6551,110806269
13350798,2017,Gastrointestinal haemorrhage,10017955,PT,28.483,11.83,30,54990,186296,111071911
13359540,4958,Heart rate decreased,10019301,PT,41.854,16.8,8,72690,102288,111138241
13295289,814,Bulbar palsy,10006542,PT,23.227,11.768,7,28364,364,111284492
13327199,4882,Drug ineffective,10013709,PT,208.206,45.862,389,7047,1702934,109602857
13422632,1610,Palpitations,10033557,PT,140.755,9.322,834,292437,165673,110854283
13566431,691,Graft versus host disease in liver,10064676,PT,70.556,30.414,20,9823,2453,111300931
13593342,371,Eye colour change,10072289,PT,61.631,14.689,17,24034,762,111288414
13284876,2253,Blood calcium decreased,10005395,PT,153.278,10.885,200,1504655,41126,109767246
13537331,1076,Blood alcohol increased,10060013,PT,360.906,15.246,108,97502,1517,111214100
13315349,4742,Deafness,10011878,PT,139.702,19.846,86,23063,32387,111257691
13289997,785,Blood pressure increased,10005750,PT,29.475,15.428,48,44994,302223,110965962
13549961,4810,Scrotal haematocoele,10061517,PT,22.521,13.65,5,75802,25,111237395
13410591,2337,Nephrogenic diabetes insipidus,10029147,PT,40.784,10.233,51,419134,2691,110891351
13286886,2562,Blood glucose increased,10005557,PT,27.622,10.07,427,201539,160148,110951113
13378719,916,Injection site erythema,10022061,PT,127.37,10.328,586,1123549,104508,110084584
13337151,4461,Eosinophilia,10014950,PT,67.681,9.931,181,798846,53523,110460677
13503004,5682,Cardioactive drug level increased,10050845,PT,15.675,9.276,35,296908,4236,111012048
13324878,2068,Double outlet right ventricle,10013611,PT,70.078,9.679,24,176764,282,111136157
13413238,1255,Neutropenia,10029354,PT,1235.835,15.281,1330,65081,386744,110860072
13549047,2813,Feeling of body temperature change,10061458,PT,16.226,9.727,49,297872,7097,111008209
13420388,4337,Overdose,10033295,PT,140.254,17.297,67,141678,243059,110928423
13366910,2326,Hyperglycaemia,10020635,PT,95.021,24.55,15,177474,90226,111045512
13399985,960,Metastases to lymph nodes,10027459,PT,169.088,11.844,184,248745,14202,111050096
13351922,2245,Gingivitis,10018292,PT,12.065,9.696,102,500305,13264,110799556
13377687,1802,Infection parasitic,10021857,PT,19.305,13.077,9,64746,688,111247784
13406410,2832,Myelosuppression,10028584,PT,71.15,10.184,164,833290,48906,110430867
13445788,2838,Renal disorder,10038428,PT,33.934,9.663,587,703942,64098,110544600
13449252,4182,Retinal haemorrhage,10038867,PT,60.331,10.325,106,277332,11540,111024249
13445329,1312,Red blood cells urine positive,10038182,PT,34.72,22.289,11,3417,5683,111304116
13376158,475,Impaired gastric emptying,10021518,PT,9.905,9.609,5,162303,15359,111135560
13354047,1137,Granuloma skin,10018698,PT,309.24,13.673,139,55967,11305,111245816
13546946,1854,Phosphorus metabolism disorder,10061347,PT,19.745,11.623,4,69373,13,111243837
13536056,4978,Cytology abnormal,10059523,PT,32.126,12.974,35,1355582,468,109957142
13464788,2801,Subcutaneous abscess,10042343,PT,14.837,14.575,21,49739,10690,111252777
13545203,4182,Ischaemic stroke,10061256,PT,2692.742,10.325,1506,275932,38308,110997481
13381829,5061,Inspiratory capacity decreased,10022448,PT,22.737,19.718,8,69472,273,111243474
13568237,1790,Carotid artery insufficiency,10064949,PT,20.266,9.503,5,143161,20,111170041
13482162,663,Vertigo CNS origin,10047343,PT,15.358,9.447,6,315580,56,110997585
13286872,2475,Blood glucose increased,10005557,PT,10.822,9.684,569,321910,160006,110830742
13588184,5051,Penile erythema,10070655,PT,32.522,29.776,6,5640,187,111307394
13413248,1402,Neutropenia,10029354,PT,17.78,13.57,17,15632,388057,110909521
13394277,2274,Lymphadenopathy,10025197,PT,25.231,10.838,136,105481,72664,111134946
13261084,727,Abdominal rigidity,10000090,PT,25.534,12.408,14,24986,3930,111284297
13319807,1407,Device expulsion,10012578,PT,16.083,9.869,121,599295,36003,110677808
13429802,1407,Plantar fasciitis,10035155,PT,30.774,9.869,95,599321,6873,110706938
13558288,3018,Renal impairment,10062237,PT,20.767,17.481,37,49704,203742,111059744
13502137,354,Contusion,10050584,PT,18.169,16.555,73,17379,209550,111086225
13442394,460,Pyrexia,10037660,PT,16.917,15.223,63,15158,883663,110414343
13489960,2525,Rheumatoid nodule,10048694,PT,490.749,13.709,549,472643,22734,110817301
13339073,845,Euphoric mood,10015535,PT,13.712,9.496,4,231141,12059,111070023
13389391,4143,Leishmaniasis,10024198,PT,27.927,15.902,9,31698,522,111280998
13345393,4713,Fluid retention,10016807,PT,68.937,17.217,243,569177,92517,110651290
13572565,1164,Chronic graft versus host disease,10066261,PT,17.396,9.902,3,281803,10656,111020765
13340729,5089,Eyelid oedema,10015993,PT,37.392,18.95,16,515721,17018,110780472
13503849,5157,Prescribed overdose,10051076,PT,29.75,11.867,6,100660,53346,111159215
13426853,1232,Perforation bile duct,10034405,PT,23.643,10.787,7,150127,59,111163034
13259732,1068,Abdominal discomfort,10000059,PT,12.837,11.838,58,26722,438410,110848037
13264727,1393,Adiposis dolorosa,10001294,PT,16.643,10.001,9,197054,304,111115860
13576383,1536,Portopulmonary hypertension,10067281,PT,17.755,10.395,7,110269,205,111202746
13602208,4975,Enterovirus myocarditis,10075553,PT,31.073,11.088,9,843485,5,110469728
13285024,2525,Blood calcium increased,10005396,PT,33.574,13.709,9,473183,14007,110826028
13277124,1569,Arthropathy,10003285,PT,320.4,9.862,65,188222,307362,110817578
13568868,962,Epstein-Barr viraemia,10065110,PT,10.388,9.882,4,777567,3006,110532650
13440780,2592,Pulmonary hypoplasia,10037407,PT,22.626,20.889,8,13615,1446,111298158
13336313,1859,Enteritis,10014866,PT,39.153,9.997,129,304203,19156,110989739
13271892,1005,Anhedonia,10002511,PT,10.286,9.304,49,137356,19156,111156666
13318134,1053,Depressed mood,10012374,PT,134.27,9.318,409,275782,64259,110972777
13290866,112,Blood sodium decreased,10005802,PT,24.621,10.54,113,525111,43295,110744708
13280197,897,Atrial flutter,10003662,PT,93.844,9.749,161,176530,27101,111109435
13542561,4512,Eye movement disorder,10061129,PT,23.55,12.861,36,93712,10401,111209078
13356761,4904,Haemoptysis,10018964,PT,129.089,10.936,232,917309,68831,110326855
13384117,2706,Intraocular pressure decreased,10022804,PT,11.761,10.085,7,161085,350,111151785
13510988,973,Ocular discomfort,10052143,PT,129.971,12.403,65,31958,11807,111269397
13377691,2245,Infection protozoal,10021859,PT,17.978,9.696,6,500401,19,110812801
13448447,758,Respiratory rate decreased,10038710,PT,18.148,11.407,3,456700,6780,110849744
13288003,1768,Blood magnesium decreased,10005654,PT,10.455,9.399,40,388967,21784,110902436
13326217,3152,Drug hypersensitivity,10013700,PT,89.155,9.17,735,288667,444627,110579198
13328042,2328,Drug level decreased,10013718,PT,156.341,18.543,82,24943,21077,111267125
13340418,2797,Eye pain,10015958,PT,11.315,10.961,13,76084,56138,111180992
13515338,475,Inappropriate antidiuretic hormone secretion,10053198,PT,45.124,9.609,123,162185,30967,111119952
13269749,4713,Anaemia macrocytic,10002064,PT,19.564,17.217,6,569414,7105,110736702
13484813,5252,Weight decreased,10047895,PT,57.202,42.415,118,7923,506221,110798965
13378821,1232,Injection site erythema,10022061,PT,42.893,10.787,47,150087,105047,111058046
13471557,758,Throat irritation,10043521,PT,81.463,11.407,70,456633,57626,110798898
13447132,1076,Respiratory acidosis,10038661,PT,29.881,15.246,46,97564,12841,111202776
13395375,1400,Macular degeneration,10025409,PT,18.766,9.714,5,117034,31602,111164586
13434464,4942,Portal vein thrombosis,10036206,PT,78.268,21.503,43,40097,7533,111265554
13588105,2553,Device infusion issue,10070617,PT,174.304,12.404,88,156577,3261,111153301
13358899,2646,Headache,10019211,PT,176.664,10.11,9924,980906,908438,109413959
13453865,4461,Sedation,10039897,PT,248.259,9.931,91,798936,68575,110445625
13512153,4940,Systemic mycosis,10052366,PT,36.426,20.302,19,34306,3511,111275391
13490010,1883,Rheumatoid nodule,10048694,PT,233.747,9.97,327,352386,22956,110937558
13529031,260,Stoma site pain,10057843,PT,28.258,11.454,14,41436,1921,111269856
13502758,4713,Walking aid user,10050778,PT,32.901,17.217,155,569265,14438,110729369
13429840,1751,Plasma cell leukaemia,10035222,PT,22.057,11.642,3,1504791,2377,109806056
13518849,4265,Sepsis syndrome,10053879,PT,27.75,11.825,15,46871,2176,111264165
13419054,5169,Osteomyelitis,10031252,PT,76.859,20.673,43,6896,45454,111260834
13351537,972,Genital ulceration,10018180,PT,14.767,9.702,20,347193,1383,110964631
13463222,2552,Steroid withdrawal syndrome,10042028,PT,36.268,10.014,28,349666,977,110962556
13617225,770,Inappropriate schedule of product administration,10081572,PT,227.908,14.949,18,161684,203794,110947731
13382544,1608,Intentional self-injury,10022524,PT,70.72,20.794,56,17054,42618,111253499
13544571,1552,Inflammation,10061218,PT,542.193,13.313,1673,581661,124494,110605399
13389213,4972,Laryngospasm,10023891,PT,17.652,14.771,30,166813,5308,111141076
13300636,4072,Catatonia,10007776,PT,37.994,10.185,23,978884,10571,110323749
13313333,1395,Crepitations,10011376,PT,11.885,11.037,123,667169,12646,110633289
13612275,1725,Drug use disorder,10079381,PT,23.743,9.685,21,730819,10646,110571741
13287581,4182,Blood lactate dehydrogenase increased,10005630,PT,12.295,10.325,75,277363,50676,110985113
13520775,2358,Clostridium difficile infection,10054236,PT,15.65,9.656,121,389756,55088,110868262
13439938,758,Pulmonary embolism,10037377,PT,86.475,11.407,1350,455353,223634,110632890
13614608,734,Illness,10080284,PT,64.165,57.277,11,157687,70115,111085414
13455330,2073,Septic shock,10040070,PT,72.81,16.266,212,58776,153000,111101239
13358967,1798,Headache,10019211,PT,68.384,21.287,51,22322,918311,110372543
13309370,1786,Condition aggravated,10010264,PT,128.584,9.681,2907,625732,679959,110004629
13452550,4133,Scar,10039580,PT,12.569,11.675,19,257337,21573,111034298
13429290,2279,Phimosis,10034878,PT,15.155,13.327,8,34669,1499,111277051
13606380,4302,Asthma-chronic obstructive pulmonary disease overlap syndrome,10077005,PT,296.317,14.788,86,31770,3486,111277885
13332550,704,Dystonia,10013983,PT,52.86,9.817,100,118795,27031,111167301
13364120,4904,Herpes zoster,10019974,PT,320.413,10.936,2031,915510,130636,110265050
13371321,4809,Hypocalcaemia,10020947,PT,78.29,14.785,11,208465,61440,111043311
13617898,5682,Wrong product administered,10081579,PT,10.466,9.276,71,296872,14582,111001702
13407883,4941,Nail discolouration,10028692,PT,20.052,17.786,27,148386,4380,111160434
13465327,105,Suicidal ideation,10042458,PT,14.173,9.804,836,690396,110510,110511485
13518675,4975,Bacterial sepsis,10053840,PT,25.864,11.088,159,843335,11015,110458718
13499067,1393,Balance disorder,10049848,PT,14.865,10.001,162,196901,136305,110979859
13549891,1860,Rhinovirus infection,10061494,PT,16.08,10.959,30,88289,10812,111214096
13387284,5224,Keratoconus,10023353,PT,112.144,23.181,34,237034,186,111075973
13463190,725,Sternal fracture,10042015,PT,22.261,11.67,27,181776,3218,111128206
13517010,5465,Urine albumin/creatinine ratio increased,10053541,PT,73.519,54.986,11,559,988,111311669
13483307,2733,Vital capacity decreased,10047582,PT,323.414,23.659,62,5536,2418,111305211
13560908,975,Placenta accreta,10062936,PT,87.467,51.692,11,607,248,111312361
13540526,395,Intraocular pressure test abnormal,10060951,PT,40.859,15.377,10,18969,355,111293893
13497137,5082,Antithrombin III decreased,10049547,PT,156.846,24.424,39,35248,778,111277162
13504134,644,Post procedural haemorrhage,10051077,PT,20.922,13.902,17,12528,18293,111282389
13562841,1299,Antipsychotic drug level increased,10063686,PT,20.323,11.422,26,75075,7956,111230170
13561239,1710,Cough variant asthma,10063076,PT,11.149,10.597,3,158670,16,111154538
13601045,865,Peripheral venous disease,10075049,PT,62.76,9.884,210,445792,21382,110845843
13600262,1028,Expired product administered,10074902,PT,184.798,9.351,165,224696,11091,111077275
13540587,2620,Appetite disorder,10060961,PT,38.765,12.272,35,50124,10824,111252244
13441547,435,Pupil fixed,10037515,PT,87.686,9.808,71,232885,4025,111076246
13295133,2598,Bronchospasm,10006482,PT,59.647,15.16,44,16716,30786,111265681
13412349,4483,Neuropathy peripheral,10029331,PT,334.163,17.833,442,47610,219400,111045775
13509841,1587,Uvulitis,10051962,PT,10.462,9.538,4,492609,21,110820593
13412090,4901,Neuropathic arthropathy,10029326,PT,31.95,9.164,21,352885,560,110959761
13579038,3957,Ocular pemphigoid,10067776,PT,37.254,15.638,8,12952,233,111300034
13273642,2677,Aortic valve stenosis,10002918,PT,55.652,10.657,71,240140,6725,111066291
13410007,2436,Neonatal disorder,10028934,PT,30.539,9.403,36,386454,1940,110924797
13568097,1977,Malignant transformation,10064912,PT,41.755,10.047,20,74052,1418,111237737
13395420,2358,Macular degeneration,10025409,PT,61.863,9.656,17,389860,31590,110891760
13458661,4934,Skin lesion,10040882,PT,420.294,13.581,576,239770,58504,111014377
13380910,1547,Injection site urticaria,10022107,PT,9.51,9.316,29,381665,17238,110914295
13577996,5157,Type 2 diabetes mellitus,10067585,PT,37.721,11.867,18,100648,92061,111120500
13263862,4240,Acute myocardial infarction,10000891,PT,37.35,10.064,418,753406,91186,110468217
