struct_id,strength,trade_name,applicant,appl_type,appl_no,approval_date,type,dose_form,route,exclusivity_date,description
4801,EQ 75MG BASE,TAFINLAR,NOVARTIS,N,202806,2013-05-29,RX,CAPSULE,ORAL,2030-03-16,TREATMENT OF PEDIATRIC PATIENTS 1 YEAR OF AGE AND OLDER WITH LOW-GRADE GLIOMA (LGG) WITH A BRAF V600E MUTATION WHO REQUIRE SYSTEMIC THERAPY
5300,EQ 0.25MG BASE,TALZENNA,PFIZER,N,211651,2018-10-16,RX,CAPSULE,ORAL,2023-10-16,NEW CHEMICAL ENTITY
4678,EQ 1.2GM BASE/VIAL,KIMYRSA,MELINTA THERAP,N,214155,2021-03-12,RX,POWDER,INTRAVENOUS,2019-08-06,NEW CHEMICAL ENTITY
4746,3MG,POMALYST,BRISTOL,N,204026,2013-02-08,RX,CAPSULE,ORAL,2027-05-14,FOR THE TREATMENT OF KAPOSI SARCOMA (KS) IN ADULT PATIENTS WHO ARE HIV-NEGATIVE
2419,0.055MG/INH;EQ 0.014MG BASE/INH,AIRDUO DIGIHALER,TEVA PHARM,N,208799,2019-07-12,RX,POWDER,INHALATION,2025-01-09,PEDIATRIC EXCLUSIVITY
5408,250MG/5ML (50MG/ML),VILTEPSO,NIPPON SHINYAKU,N,212154,2020-08-12,RX,SOLUTION,INTRAVENOUS,2025-08-12,NEW CHEMICAL ENTITY
4801,EQ 50MG BASE,TAFINLAR,NOVARTIS,N,202806,2013-05-29,RX,CAPSULE,ORAL,2025-05-04,"TRAMETINIB AND DABRAFENIB IN COMBINATION, FOR THE TREATMENT OF PATIENTS WITH LOCALLY ADVANCED OR METASTATIC ANAPLASTIC THYROID CANCER (ATC) WITH BRAF V600E MUTATION AND WITH NO SATISFACTORY LOCOREGIONAL TREATMENT OPTIONS"
5243,100MG;40MG,MAVYRET,ABBVIE,N,209394,2017-08-03,RX,TABLET,ORAL,2026-04-30,"TREATMENT OF PEDIATRIC PATIENTS 12 YEARS AND OLDER OR WEIGHING AT LEAST 45 KG WITH CHRONIC HEPATITIS C VIRUS (HCV) GENOTYPE 1,2,3,4,5 OR 6 INFECTION WITHOUT CIRRHOSIS OR WITH COMPENSATED CIRRHOSIS (CHILD-PUGH A)"
5516,10MG/0.5ML (10MG/0.5ML),MOUNJARO,ELI LILLY AND CO,N,215866,2022-05-13,RX,SOLUTION,SUBCUTANEOUS,2027-05-13,NEW CHEMICAL ENTITY
4182,1MG/ML,XARELTO,JANSSEN PHARMS,N,215859,2021-12-20,RX,FOR SUSPENSION,ORAL,2024-12-20,NEW PRODUCT
5716,EQ 200MG BASE/VIAL,REZZAYO,CIDARA THERAPS,N,217417,2023-03-22,RX,POWDER,INTRAVENOUS,2035-03-22,GENERATING ANTIBIOTIC INCENTIVES NOW
4806,EQ 15MG BASE **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**,TRINTELLIX,TAKEDA PHARMS USA,N,204447,2013-09-30,DISCN,TABLET,ORAL,2023-11-13,INFORMATION ADDED TO THE LABELING REGARDING THE RESULT OF STUDY LUAA21004-402
5330,20MG,XPOVIO,KARYOPHARM THERAPS,N,212306,2019-07-03,RX,TABLET,ORAL,2027-12-18,"FOR THE TREATMENT OF ADULT PATIENTS WITH MULTIPLE MYELOMA WHO HAVE RECEIVED AT LEAST ONE PRIOR THERAPY, EXCLUDING ADULT PATIENTS COVERED BY XPOVIOS PREVIOUS INDICATION FOR MULTIPLE MYELOMA APPROVED ON JULY 3, 2019"
5243,100MG;40MG,MAVYRET,ABBVIE,N,209394,2017-08-03,RX,TABLET,ORAL,2023-02-03,PEDIATRIC EXCLUSIVITY
5709,100MG,JAYPIRCA,LOXO ONCOL,N,216059,2023-01-27,RX,TABLET,ORAL,2030-01-27,"TREATMENT OF ADULT PATIENTS WITH RELAPSED OR REFRACTORY MANTLE CELL LYMPHOMA (MCL) AFTER AT LEAST TWO LINES OF SYSTEMIC THERAPY, INCLUDING A BTK INHIBITOR"
5733,100MG/15ML (6.7MG/ML),QALSODY,BIOGEN MA,N,215887,2023-04-25,RX,SOLUTION,INTRATHECAL,2028-04-25,NEW CHEMICAL ENTITY
5328,200MG,VIJOICE,NOVARTIS,N,215039,2022-04-05,RX,TABLET,ORAL,2024-05-24,NEW CHEMICAL ENTITY
5383,EQ 0.92MG BASE,ZEPOSIA,CELGENE INTL,N,209899,2020-03-25,RX,CAPSULE,ORAL,2024-05-27,FOR THE TREATMENT OF MODERATELY TO SEVERELY ACTIVE ULCERATIVE COLITIS IN ADULT PATIENTS
4810,420MG,IMBRUVICA,PHARMACYCLICS LLC,N,210563,2018-02-16,RX,TABLET,ORAL,2025-08-24,NEW PATIENT POPULATION
4175,2.5MG;1GM,JENTADUETO XR,BOEHRINGER INGELHEIM,N,208026,2016-05-27,RX,"TABLET, EXTENDED RELEASE",ORAL,2023-03-30,ADDITION OF INFORMATION TO CLINICAL STUDIES SECTION REGARDING CARDIOVASCULAR OUTCOME
5262,480MG/24ML (20MG/ML),PREVYMIS,MERCK SHARP DOHME,N,209940,2017-11-08,RX,SOLUTION,INTRAVENOUS,2030-06-05,FOR PROPHYLAXIS OF CYTOMEGALOVIRUS (CMV) DISEASE IN ADULT KIDNEY TRANSPLANT RECIPIENTS AT HIGH RISK (DONOR CMV SEROPOSITIVE/RECIPIENT CMV SERONEGATIVE [D+/R-])
3317,15MG,REVLIMID,CELGENE,N,021880,2006-06-29,RX,CAPSULE,ORAL,2024-02-22,"TREATMENT OF MULTIPLE MYELOMA (MM), AS MAINTENANCE FOLLOWING AUTOLOGOUS HEMATOPOIETIC STEM CELL TRANSPLANTATION (AUTO-HSCT)"
5202,4MG,OLUMIANT,ELI LILLY AND CO,N,207924,2022-05-10,RX,TABLET,ORAL,2025-05-10,"TREATMENT OF COVID-19 IN HOSPITALIZED ADULTS REQUIRING SUPPLEMENTAL OXYGEN, NONINVASIVE OR INVASIVE MECHANICAL VENTILATION, OR EXTRACORPOREAL MEMBRANE OXYGENATION (ECMO)"
4187,250MG,XALKORI,PF PRISM CV,N,202570,2011-08-26,RX,CAPSULE,ORAL,2025-07-14,"TREATMENT OF ADULT AND PEDIATRIC PATIENTS 1 YEAR OF AGE AND OLDER WITH UNRESECTABLE, RECURRENT OR REFRACTORY INFLAMMATORY MYOFIBROBLASTIC TUMOR (IMT) THAT IS ANAPLASTIC LYMPHOMA KINASE (ALK) POSITIVE"
5154,200MG;50MG,EPCLUSA,GILEAD SCIENCES INC,N,208341,2020-03-19,RX,TABLET,ORAL,2028-12-10,PEDIATRIC EXCLUSIVITY
4228,150MG,KALYDECO,VERTEX PHARMS,N,203188,2012-01-31,RX,TABLET,ORAL,2024-07-31,"TREATMENT OF CYSTIC FIBROSIS (CF) IN PATIENTS AGE 2 YEARS AND OLDER WHO HAVE ONE OF THE FOLLOWING MUTATIONS IN THE CFTR GENE: 711+3A-G, E831X, 2789+5G-A, 3272-26A-G, AND 3849+10KBC-T"
5468,0.4MG,BYLVAY,ALBIREO,N,215498,2021-07-20,RX,CAPSULE,ORAL,2030-06-13,TREATMENT OF CHOLESTATIC PRURITUS IN PATIENTS 12 MONTHS OF AGE AND OLDER WITH ALAGILLE SYNDROME (ALGS)
768,EQ 300MG BASE/PACKET,PROCYSBI,HORIZON,N,213491,2020-02-14,RX,"GRANULE, DELAYED RELEASE",ORAL,2023-02-14,PEDIATRIC EXCLUSIVITY
776,EQ 110MG BASE,PRADAXA,BOEHRINGER INGELHEIM,N,022512,2015-11-20,RX,CAPSULE,ORAL,2024-06-21,TREATMENT OF VENOUS THROMBOEMBOLIC EVENTS (VTE) IN PEDIATRIC PATIENTS 8 TO LESS THAN 18 YEARS OF AGE WHO HAVE BEEN TREATED WITH A PARENTERAL ANTICOAGULANT FOR AT LEAST 5 DAYS AND TO REDUCE THE RISK OF RECURRENCE OF VTE IN PEDIATRIC PATIENTS 8 TO LESS THAN 18 YEARS OF AGE WHO HAVE BEEN PREVIOUSLY TREATED
328,5%;1.2%,CLINDAMYCIN PHOSPHATE AND BENZOYL PEROXIDE,ENCUBE,A,212433,2021-04-28,RX,GEL,TOPICAL,2023-03-13,COMPETITIVE GENERIC THERAPY
4223,20MG,VIIBRYD,ABBVIE,N,022567,2011-01-21,RX,TABLET,ORAL,2023-07-31,PEDIATRIC EXCLUSIVITY
5128,1GM IRON/20ML (50MG IRON/ML),INJECTAFER,AM REGENT,N,203565,2021-04-28,RX,SOLUTION,INTRAVENOUS,2026-05-31,TREATMENT OF IRON DEFICIENCY IN ADULT PATIENTS WITH HEART FAILURE AND NEW YORK HEARTASSOCIATION CLASS II/III TO IMPROVE EXERCISE CAPACITY
1123,2MG/0.85ML (2MG/0.85ML),BYDUREON BCISE,ASTRAZENECA AB,N,209210,2017-10-20,RX,"SUSPENSION, EXTENDED RELEASE",SUBCUTANEOUS,2025-01-22,PEDIATRIC EXCLUSIVITY
5379,300MG,AYVAKIT,BLUEPRINT MEDICINES,N,212608,2020-01-09,RX,TABLET,ORAL,2025-01-09,NEW CHEMICAL ENTITY
4175,2.5MG;850MG,JENTADUETO,BOEHRINGER INGELHEIM,N,201281,2012-01-30,RX,TABLET,ORAL,2026-06-20,"REVISIONS TO THE PEDIATRIC USE SUBSECTION OF LABELING TO INCLUDE THE RESULTS FROM CLINICAL STUDY 1218-0091, CONDUCTED TO FULFILL A PEDIATRIC WRITTEN REQUEST"
4810,560MG,IMBRUVICA,PHARMACYCLICS LLC,N,210563,2018-02-16,DISCN,TABLET,ORAL,2029-08-24,TREATMENT OF PEDIATRIC PATIENTS AGE 1 YEAR AND OLDER WITH CHRONIC GRAFT-VERSUS-HOST DISEASE (CGVHD) AFTER FAILURE OF ONE OR MORE LINES OF SYSTEMIC THERAPY
1832,0.005MG/INH;0.05MG/INH,DULERA,ORGANON LLC,N,022518,2019-08-12,RX,"AEROSOL, METERED",INHALATION,2023-02-12,PEDIATRIC EXCLUSIVITY
5232,3.12MG/1.56ML (2MG/ML),TYMLOS,RADIUS HEALTH INC,N,208743,2017-04-28,RX,SOLUTION,SUBCUTANEOUS,2024-09-20,INFORMATION ADDED TO CLINICAL PHARMACOLOGY SECTION
4873,200MG/VIAL,SIVEXTRO,CUBIST PHARMS LLC,N,205436,2014-06-20,RX,POWDER,INTRAVENOUS,2024-06-20,GENERATING ANTIBIOTIC INCENTIVES NOW
5305,EQ 25MG BASE,VITRAKVI,BAYER HLTHCARE,N,210861,2018-11-26,RX,CAPSULE,ORAL,2025-11-26,INDICATED FOR THE TREATMENT OF ADULT AND PEDIATRIC PATIENTS WITH SOLID TUMORS THAT HAVE A NEUROTROPHIC RECEPTOR TYROSINE KINASE (NTRK) GENE FUSION WITHOUT A KNOWN ACQUIRED RESISTANCE MUTATION
4881,15MG,BELSOMRA,MERCK SHARP DOHME,N,204569,2014-08-13,RX,TABLET,ORAL,2023-01-29,"INFORMATION ADDED TO THE LABELING TO DESCRIBE STUDY P061, A RANDOMIZED, PLACEBO-CONTROLLED, PARALLEL GROUP, MULTI-SITE, DOUBLE-BLIND STUDY TO EVALUATE SAFETY AND EFFICACY OF SUVOREXANT FOR THE TREATMENT OF INSOMNIA IN SUBJECTS WITH ALZHEIMERS DISEASE"
5243,100MG;40MG,MAVYRET,ABBVIE,N,209394,2017-08-03,RX,TABLET,ORAL,2028-12-10,PEDIATRIC EXCLUSIVITY
2552,EQ 1MG BASE/PACKET,PROGRAF,ASTELLAS,N,210115,2018-05-24,RX,FOR SUSPENSION,ORAL,2028-07-16,FOR PROPHYLAXIS OF ORGAN REJECTION IN ADULT AND PEDIATRIC PATIENTS RECEIVING ALLOGENEIC LUNG TRANSPLANT
5695,,XENOVIEW,POLAREAN,N,214375,2022-12-23,RX,GAS,INHALATION,2027-12-23,NEW CHEMICAL ENTITY
5253,1GM/VIAL;1GM/VIAL,VABOMERE,REMPEX,N,209776,2017-08-29,RX,POWDER,INTRAVENOUS,2022-08-29,NEW CHEMICAL ENTITY
1676,60MG/2.3ML (29.25MG/ML);1.8MG/2.3ML (0.88MG/ML),ZYNRELEF KIT,HERON THERAPS INC,N,211988,2021-05-12,DISCN,"SOLUTION, EXTENDED RELEASE",PERIARTICULAR,2024-05-12,NEW PRODUCT
5379,25MG,AYVAKIT,BLUEPRINT MEDICINES,N,212608,2021-06-16,RX,TABLET,ORAL,2024-06-16,TREATMENT OF ADULT PATIENTS WITH MAST CELL LEUKEMIA (MCL)
5010,188MG/PACKET;150MG/PACKET,ORKAMBI,VERTEX PHARMS INC,N,211358,2018-08-07,RX,GRANULE,ORAL,2025-09-02,NEW PATIENT POPULATION
