struct_id,strength,patent_no,description,trade_name,applicant,appl_type,appl_no,type,dose_form,route,approval_date,patent_expire_date
1123,2MG/0.85ML (2MG/0.85ML),8461105,AS AN ADJUNCT TO DIET AND EXERCISE TO IMPROVE GLYCEMIC CONTROL IN ADULTS WITH TYPE 2 DIABETES MELLITUS IN COMBINATION WITH DAPAGLIFLOZIN AS ADD-ON TO METFORMIN,BYDUREON BCISE,ASTRAZENECA AB,N,209210,RX,"SUSPENSION, EXTENDED RELEASE",SUBCUTANEOUS,2017-10-20,2025-04-13
4913,EQ 200MG BASE;8.33MG;50MG;33.33MG **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**,9044480,TREATMENT OF HCV INFECTION USING PARITAPREVIR,VIEKIRA XR,ABBVIE,N,208624,DISCN,"TABLET, EXTENDED RELEASE",ORAL,2016-07-22,2031-04-10
403,EQ 0.8MG BASE,11000522,"ADJUNCT TO DIET AND EXERCISE TO IMPROVE GLYCEMIC CONTROL IN ADULTS WITH TYPE 2 DIABETIS BY ORALLY ADMINISTERING A DOSAGE FORM COMPRISING BROMOCRIPTINE AND ONE OR MORE EXCIPIENTS AS RECITED IN CLAIMS 1, 11, AND 12",CYCLOSET,VEROSCIENCE,N,020866,RX,TABLET,ORAL,2009-05-05,2032-04-30
4299,150MG;150MG;200MG;EQ 10MG BASE,7176220,TREATMENT OF HIV INFECTION,GENVOYA,GILEAD SCIENCES INC,N,207561,RX,TABLET,ORAL,2015-11-05,2026-08-27
3317,10MG,8404717,USE OF REVLIMID (LENALIDOMIDE) FOR TREATMENT OF PATIENTS WITH TRANSFUSION-DEPENDENT ANEMIA DUE TO LOW-OR INTERMEDIATE-1-RISK MYELODYSPLASTIC SYNDROMES ASSOCIATED WITH A DELETION 5Q ABNORMALITY WITH OR WITHOUT ADDITIONAL CYTOGENETIC ABNORMALITIES,REVLIMID,CELGENE,N,021880,RX,CAPSULE,ORAL,2005-12-27,2023-04-11
5001,75MG,8772325,TREATMENT OF IRRITABLE BOWEL SYNDROME WITH DIARRHEA (IBS-D) WITH VIBERZI (ELUXADOLINE).,VIBERZI,ABBVIE,N,206940,RX,TABLET,ORAL,2015-05-27,2025-03-14
1413,1GM,11213504,"USE OF VASCEPA TO REDUCE TRIGLYCERIDE LEVELS IN AN ADULT PATIENT ON STATIN THERAPY AND HAVING ATRIAL FIBRILLATION OR ATRIAL FLUTTER AND TRIGLYCERIDE LEVELS OF ABOUT 500 MG/DL TO ABOUT 2,000 MG/DL",VASCEPA,AMARIN PHARMS,N,202057,RX,CAPSULE,ORAL,2012-07-26,2030-04-29
2459,EQ 200MG BASE,8877933,"TREATMENT OF UNRESECTABLE HEPATOCELLULAR CARCINOMA, ADVANCED RENAL CELL CARCINOMA, OR DIFFERENTIATED THYROID CARCINOMA.",NEXAVAR,BAYER HLTHCARE,N,021923,RX,TABLET,ORAL,2005-12-20,2027-12-24
5154,200MG;50MG/PACKET,8334270,FOR THE TREATMENT OF HEPATITIS C,EPCLUSA,GILEAD SCIENCES INC,N,214187,RX,PELLETS,ORAL,2021-06-10,2028-03-21
4810,420MG,9801883,TREATMENT OF CHRONIC LYMPHOCYTIC LEUKEMIA/SMALL LYMPHOCYTIC LYMPHOMA WITH 17P DELETION,IMBRUVICA,PHARMACYCLICS LLC,N,210563,RX,TABLET,ORAL,2018-02-16,2031-06-03
2448,1GM;EQ 50MG BASE,7326708,METHOD OF TREATING TYPE 2 DIABETES MELLITUS IN PATIENTS FOR WHOM TREATMENT WITH BOTH SITAGLIPTIN AND METFORMIN HCL EXTENDED RELEASE IS APPROPRIATE,JANUMET XR,MERCK SHARP DOHME,N,202270,RX,"TABLET, EXTENDED RELEASE",ORAL,2012-02-02,2026-11-24
5276,"75MG;75MG, 50MG",10081621,"TREATMENT OF CYSTIC FIBROSIS IN PATIENTS AGES 12 AND OLDER, WHO HAVE TWO COPIES OF THE F508DEL MUTATION OR ONE F508DEL MUTATION AND A CFTR MUTATION PREDICTED TO BE RESPONSIVE TO TEZACAFTOR/IVACAFTOR, WITH THE COMPOSITION OF CLAIM 1 OF US 10,081,621",SYMDEKO (COPACKAGED),VERTEX PHARMS INC,N,210491,RX,TABLET,ORAL,2019-06-21,2031-03-25
939,20MG/ML (20MG/ML),9763880,TREATMENT OF PATIENTS WITH LOCALLY ADVANCED METASTATIC BREAST CANCER AFTER FAILURE OF PRIOR CHEMOTHERAPY,DOCETAXEL,SHILPA,N,205934,RX,INJECTABLE,INJECTION,2015-12-22,2033-09-30
434,EQ 11.4MG BASE;EQ 2.9MG BASE,11020387,USE OF ZUBSOLV FOR TREATMENT OF OPIOID DEPENDENCE,ZUBSOLV,OREXO US INC,N,204242,RX,TABLET,SUBLINGUAL,2014-12-11,2032-09-18
434,96MG/0.27ML (356MG/ML),8236292,A METHOD OF DELIVERY OF A BIOACTIVE AGENT BY SUBCUTANEOUS INJECTION. A METHOD OF TREATMENT OF A HUMAN FOR ADDICTION,BRIXADI,BRAEBURN,N,210136,RX,"SOLUTION, EXTENDED RELEASE",SUBCUTANEOUS,2023-05-23,2027-01-10
5128,1GM IRON/20ML (50MG IRON/ML),11478502,METHOD TO TREAT IDA IN ADULTS WITH INTOLERANCE OR UNSATISFACTORY RESPONSE TO ORAL IRON & HEAVY UTERINE BLEEDING OR GI DISORDER WEIGHING AT LEAST 40 KG BY ADMINISTERING IV FERRIC CARBOXYMALTOSE TO GIVE AT LEAST 0.6 G OF IRON IN 15 MINUTES OR LESS,INJECTAFER,AM REGENT,N,203565,RX,SOLUTION,INTRAVENOUS,2021-04-28,2027-01-08
1164,1.2MG,9642797,TREATMENT OF PAIN,SUBSYS,BTCP PHARMA,N,202788,DISCN,SPRAY,SUBLINGUAL,2012-08-30,2027-01-25
5372,"50MG,37.5MG,25MG; 75MG",10758534,"TREATMENT OF CYSTIC FIBROSIS IN PATIENTS AGED 6 YEARS AND OLDER WHO HAVE AT LEAST ONE F508DEL MUTATION IN THE CFTR GENE OR A MUTATION IN THE CFTR GENE THAT IS RESPONSIVE BASED ON IN VITRO DATA WITH ELEXACAFTOR, TEZACAFTOR, AND IVACAFTOR",TRIKAFTA (COPACKAGED),VERTEX PHARMS INC,N,212273,RX,TABLET,ORAL,2021-06-08,2035-10-06
842,105MG;45MG,11096937,DEXTROMETHORPHAN AND BUPROPION IN COMBINATION TO TREAT MAJOR DEPRESSIVE DISORDER,AUVELITY,AXSOME,N,215430,RX,"TABLET, EXTENDED RELEASE",ORAL,2022-08-18,2034-11-05
2407,2MG/24HR,8246979,TREATMENT OF SIGNS AND SYMPTOMS OF PARKINSONS DISEASE BY APPLICATION OF CLAIMED TRANSDERMAL SYSTEM,NEUPRO,UCB INC,N,021829,RX,"FILM, EXTENDED RELEASE",TRANSDERMAL,2007-05-09,2027-09-01
4944,EQ 25MG BASE,8754065,TREATMENT OF CHRONIC HEPATITIS B IN ADULT PATIENTS,VEMLIDY,GILEAD SCIENCES INC,N,208464,RX,TABLET,ORAL,2016-11-10,2032-08-15
4757,240MG,11129806,METHOD OF TREATING MULTIPLE SCLEROSIS,TECFIDERA,BIOGEN INC,N,204063,RX,"CAPSULE, DELAYED RELEASE",ORAL,2013-03-27,2035-11-16
2608,112.5MG,8778922,TESTOSTERONE REPLACEMENT THERAPY IN ADULT MALES FOR CONDITIONS ASSOCIATED WITH A DEFICIENCY OR ABSENCE OF ENDOGENOUS TESTOSTERONE; PRIMARY HYPOGONADISM (CONGENITAL OR ACQUIRED); HYPOGONADOTROPIC HYPOGONADISM (CONGENITAL OR ACQUIRED).,TLANDO,ANTARES PHARMA INC,N,208088,RX,CAPSULE,ORAL,2022-03-28,2029-01-08
5304,EQ 25MG BASE,11168066,"USE, IN COMBINATION WITH LOW-DOSE CYTARABINE, FOR THE TREATMENT OF NEWLY-DIAGNOSED ACUTE MYELOID LEUKEMIA (AML) IN ADULT PATIENTS WHO ARE >= 75 YEARS OLD OR WHO HAVE COMORBIDITIES THAT PRECLUDE USE OF INTENSIVE INDUCTION CHEMOTHERAPY",DAURISMO,PFIZER,N,210656,RX,TABLET,ORAL,2018-11-21,2036-04-13
228,25MG,9283219,TREATMENT OF OFF EPISODES IN PATIENTS WITH PARKINSONS DISEASE,KYNMOBI,SUMITOMO PHARMA AM,N,210875,DISCN,FILM,SUBLINGUAL,2020-05-21,2030-06-11
435,105MG;45MG,10874663,DEXTROMETHORPHAN AND BUPROPION IN COMBINATION TO TREAT MAJOR DEPRESSIVE DISORDER,AUVELITY,AXSOME,N,215430,RX,"TABLET, EXTENDED RELEASE",ORAL,2022-08-18,2034-11-05
2720,EQ 5MG BASE,9278901,USE OF ORENITRAM FOR THE TREATMENT OF PULMONARY ARTERIAL HYPERTENSION (PAH) (WHO GROUP 1).,ORENITRAM,UNITED THERAP,N,203496,RX,"TABLET, EXTENDED RELEASE",ORAL,2016-10-07,2024-05-24
302,100MG/4ML (25MG/ML),9597398,FOR THE TREATMENT OF PATIENTS WITH CHRONIC LYMPHOCYTIC LEUKEMIA,BENDEKA,EAGLE PHARMS,N,208194,RX,SOLUTION,IV (INFUSION),2015-12-07,2033-03-15
5077,0.6MG,9284280,METHOD OF TREATING PULMONARY ARTERIAL HYPERTENSION COMPRISING ADMINISTERING A CRYSTALLINE FORM OF SELEXIPAG,UPTRAVI,ACTELION,N,207947,RX,TABLET,ORAL,2015-12-21,2030-06-25
1725,12.5MG;2.5MG;1GM,10406172,"METHOD OF TREATING A TYPE 2 DIABETES MELLITUS PATIENT WITH INSUFFICIENT GLYCEMIC CONTROL DESPITE THERAPY WITH METFORMIN USING A PHARMACEUTICAL COMPOSITION COMPRISING EMPAGLIFLOZIN, LINAGLIPTIN AND METFORMIN",TRIJARDY XR,BOEHRINGER INGELHEIM,N,212614,RX,"TABLET, EXTENDED RELEASE",ORAL,2020-01-27,2030-06-15
4811,200MG;50MG/PACKET,8735372,FOR THE TREATMENT OF HEPATITIS C,EPCLUSA,GILEAD SCIENCES INC,N,214187,RX,PELLETS,ORAL,2021-06-10,2028-03-21
5421,2MG,8557834,TREATMENT OF ANEMIA DUE TO CHRONIC KIDNEY DISEASE,JESDUVROQ,GLAXOSMITHKLINE,N,216951,RX,TABLET,ORAL,2023-02-01,2027-06-22
4810,70MG/ML,8497277,TREATMENT OF PEDIATRIC PATIENTS AGE 1 YEAR AND OLDER WITH CHRONIC GRAFT-VERSUS-HOST DISEASE (CGVHD) AFTER FAILURE OF ONE OR MORE LINES OF SYSTEMIC THERAPY,IMBRUVICA,PHARMACYCLICS LLC,N,217003,RX,SUSPENSION,ORAL,2022-08-24,2026-12-28
353,0.064%;0.005%,10660908,TOPICAL TREATMENT OF PLAQUE PSORIASIS IN PATIENTS 12 YEARS AND OLDER,ENSTILAR,LEO PHARMA AS,N,207589,RX,"AEROSOL, FOAM",TOPICAL,2015-10-16,2031-06-10
5128,500MG IRON/10ML (50MG IRON/ML),7754702,A METHOD OF TREATING IRON DEFICIENCY ANEMIA IN ADULT PATIENTS WHO HAVE NON-DIALYSIS DEPENDENT CHRONIC KIDNEY DISEASE BY INTRAVENOUSLY ADMINISTERING FERRIC CARBOXYMALTOSE TO PROVIDE AT LEAST ABOUT 0.6 GRAMS OF ELEMENTAL IRON,INJECTAFER,AM REGENT,N,203565,RX,SOLUTION,INTRAVENOUS,2020-10-08,2028-02-15
1123,2MG/0.85ML (2MG/0.85ML),8329648,AS AN ADJUNCT TO DIET AND EXERCISE TO IMPROVE GLYCEMIC CONTROL IN ADULTS WITH TYPE 2 DIABETES MELLITUS IN COMBINATION WITH BASAL INSULIN OR BASAL INSULIN PLUS METFORMIN,BYDUREON BCISE,ASTRAZENECA AB,N,209210,RX,"SUSPENSION, EXTENDED RELEASE",SUBCUTANEOUS,2017-10-20,2026-08-18
3064,8%,8889113,METHOD OF USING CAPSAICIN IN COMBINATION WITH A GEL COMPOSITION FOR REMOVAL OF CAPSAICIN FROM A TREATMENT AREA OR UNINTENDED AREA,QUTENZA,AVERITAS,N,022395,RX,PATCH,TOPICAL,2009-11-16,2023-09-05
5259,50MG,7855211,"IN COMBINATION WITH ENDOCRINE THERAPY (TAMOXIFEN OR AN AROMATASE INHIBITOR) FOR THE ADJUVANT TREATMENT OF ADULT PATIENTS WITH HR-POSITIVE, HER2-NEGATIVE, NODE POSITIVE, EARLY BREAST CANCER AT HIGH RISK OF RECURRENCE",VERZENIO,ELI LILLY AND CO,N,208716,RX,TABLET,ORAL,2017-09-28,2029-12-15
2448,15MG;EQ 100MG BASE,9439901,AN ADJUNCT TO DIET AND EXERCISE TO IMPROVE GLYCEMIC CONTROL IN ADULTS WITH TYPE 2 DIABETES,STEGLUJAN,MSD SUB MERCK,N,209805,RX,TABLET,ORAL,2017-12-19,2030-10-21
3317,15MG,7468363,"USE OF REVLIMID (LENALIDOMIDE) FOR THE TREATMENT OF PATIENTS WITH MANTLE CELL LYMPHOMA WHOSE DISEASE HAS RELAPSED OR PROGRESSED AFTER TWO PRIOR THERAPIES, ONE OF WHICH INCLUDED BORTEZOMIB",REVLIMID,CELGENE,N,021880,RX,CAPSULE,ORAL,2006-06-29,2023-10-07
5037,EQ 4.5MG BASE,RE49110,TREATMENT OF DEPRESSIVE EPISODES ASSOCIATED WITH BIPOLAR I DISORDER (BIPOLAR DEPRESSION) WITH CARIPRAZINE,VRAYLAR,ABBVIE,N,204370,RX,CAPSULE,ORAL,2015-09-17,2029-07-16
4811,400MG;100MG,9085573,FOR THE TREATMENT OF HEPATITIS C,EPCLUSA,GILEAD SCIENCES INC,N,208341,RX,TABLET,ORAL,2016-06-28,2028-03-21
4799,0.1MG/INH;EQ 0.025MG BASE/INH,11116721,"INDICATED FOR LONG-TERM, ONCE-DAILY MAINTENANCE TREATMENT OF AIRFLOW OBSTRUCTION IN PTS WITH COPD, INCLUDING CHRONIC BRONCHITIS AND/OR EMPHYSEMA, ALSO TO REDUCE EXACERBATIONS OF COPD IN PTS WITH A HISTORY OF EXACERBATIONS",BREO ELLIPTA,GLAXO GRP LTD,N,204275,RX,POWDER,INHALATION,2013-05-10,2029-02-26
3317,25MG,7468363,"USE OF REVLIMID (LENALIDOMIDE) FOR THE TREATMENT OF PATIENTS WITH MANTLE CELL LYMPHOMA WHOSE DISEASE HAS RELAPSED OR PROGRESSED AFTER TWO PRIOR THERAPIES, ONE OF WHICH INCLUDED BORTEZOMIB",REVLIMID,CELGENE,N,021880,RX,CAPSULE,ORAL,2006-06-29,2023-10-07
5154,400MG;100MG,11116783,FOR THE TREATMENT OF HEPATITIS C,EPCLUSA,GILEAD SCIENCES INC,N,208341,RX,TABLET,ORAL,2016-06-28,2034-01-30
242,300MG/VIAL,8030313,"TREATMENT OF SCHIZOPHRENIA, WITH EFFICACY IN TREATING ACUTE EPISODES OF SCHIZOPHRENIA",ABILIFY MAINTENA KIT,OTSUKA PHARM CO LTD,N,202971,RX,"FOR SUSPENSION, EXTENDED RELEASE",INTRAMUSCULAR,2013-02-28,2024-10-19
1003,150MG;150MG;200MG;300MG,7635704,TREATMENT OF HIV INFECTION,STRIBILD,GILEAD SCIENCES INC,N,203100,RX,TABLET,ORAL,2012-08-27,2026-10-26
1567,36.25MG;145MG,9901640,TREATMENT OF PARKINSONS DISEASE,RYTARY,IMPAX LABS INC,N,203312,RX,"CAPSULE, EXTENDED RELEASE",ORAL,2015-01-07,2028-12-26
1413,500MG,9198892,USE OF VASCEPA AS AN ADJUNCT TO STATIN THERAPY TO REDUCE THE RISK OF ONSET AND/OR RECURRENCE OF CARDIOVASCULAR EVENTS IN A PATIENT WHO HAS ESCAPED THE UNSTABLE PERIOD AFTER CARDIOVASCULAR ANGIOPLASTY,VASCEPA,AMARIN PHARMS,N,202057,RX,CAPSULE,ORAL,2017-02-16,2027-09-25
1057,0.01MG,11497709,TREATMENT OF DYSPAREUNIA,IMVEXXY,MAYNE PHARMA,N,208564,RX,INSERT,VAGINAL,2018-05-29,2032-11-21
4721,EQ 5MG BASE,10016404,A DOSING REGIMEN FOR THE TREATMENT OF HYPERCHOLESTEROLEMIA AND HYPERLIPIDEMIA IN PATIENTS WITH HOMOZYGOUS FAMILIAL HYPERCHOLESTEROLEMIA USING AT LEAST THREE STEP-WISE INCREASING DOSES,JUXTAPID,AMRYT,N,203858,RX,CAPSULE,ORAL,2012-12-21,2025-03-07
4188,80MG/ML,8703156,METHOD OF TREATING TRANSFUSIONAL IRON OVERLOAD,FERRIPROX,CHIESI,N,208030,DISCN,SOLUTION,ORAL,2018-04-20,2029-10-26
5142,EQ 17MG BASE,9566271,TREATMENT OF HALLUCINATIONS AND DELUSIONS ASSOCIATED WITH PARKINSONS DISEASE PSYCHOSIS,NUPLAZID,ACADIA PHARMS INC,N,207318,DISCN,TABLET,ORAL,2016-04-29,2024-01-15
5226,24MG,11311488,A METHOD OF TREATING HUNTINGTONS CHOREA,AUSTEDO XR,TEVA,N,216354,RX,"TABLET, EXTENDED RELEASE",ORAL,2023-02-17,2041-06-10
5067,EQ 2.3MG BASE,8003819,USE IN COMBINATION WITH LENALIDOMIDE AND DEXAMETHASONE FOR THE TREATMENT OF PATIENTS WITH MULTIPLE MYELOMA WHO HAVE RECEIVED AT LEAST ONE PRIOR THERAPY,NINLARO,TAKEDA PHARMS USA,N,208462,RX,CAPSULE,ORAL,2015-11-20,2027-08-06
5446,4MG,9062014,"TREATMENT OF RELAPSING FORMS OF MULTIPLE SCLEROSIS (MS), TO INCLUDE CLINICALLY ISOLATED SYNDROME, RELAPSING-REMITTING DISEASE, AND ACTIVE SECONDARY PROGRESSIVE DISEASE, IN ADULTS",PONVORY,JANSSEN PHARMS,N,213498,RX,TABLET,ORAL,2021-03-18,2032-05-06
5372,"100MG,75MG,50MG; 150MG",11179367,TREATMENT OF CYSTIC FIBROSIS IN PATIENTS AGED 6 YEARS AND OLDER WHO HAVE IN THE CFTR GENE AT LEAST ONE F508DEL MUTATION OR A MUTATION THAT IS RESPONSIVE BASED ON IN VITRO DATA WITH A COMPOSITION ACCORDING TO AT LEAST ONE OF CLAIMS 1-9 OF US11179367,TRIKAFTA (COPACKAGED),VERTEX PHARMS INC,N,212273,RX,TABLET,ORAL,2019-10-21,2037-12-08
4399,EQ 25MG ACID,8052993,PATIENTS WITH SEVERE APLASTIC ANEMIA WHO HAVE HAD AN INSUFFICIENT RESPONSE TO IMMUNOSUPPRESSIVE THERAPY,PROMACTA,NOVARTIS,N,022291,RX,TABLET,ORAL,2008-11-20,2027-08-01
4715,EQ 80MG BASE,11098015,METHOD OF TREATING MEDULLARY THYROID CANCER,COMETRIQ,EXELIXIS,N,203756,RX,CAPSULE,ORAL,2012-11-29,2030-01-15
1932,EQ 50MG BASE,7169791,A METHOD FOR THE TREATMENT OF LEUKEMIAS,TASIGNA,NOVARTIS,N,022068,RX,CAPSULE,ORAL,2018-03-22,2023-07-04
5202,2MG,9089574,"TREATMENT OF CORONAVIRUS DISEASE 2019 (COVID-19) IN HOSPITALIZED ADULTS REQUIRING SUPPLEMENTAL OXYGEN, NON-INVASIVE OR INVASIVE MECHANICAL VENTILATION, OR EXTRACORPOREAL MEMBRANE OXYGENATION (ECMO)",OLUMIANT,ELI LILLY AND CO,N,207924,RX,TABLET,ORAL,2018-05-31,2032-11-30
144,EQ 137MG BASE,10646456,"TREATMENT OF DYSKINESIA, DECREASING OFF TIME, AND INCREASING ON TIME WITHOUT TROUBLESOME DYSKINESIA IN PATIENTS WITH PARKINSONS DISEASE RECEIVING LEVODOPA-BASED THERAPY, WITH OR WITHOUT CONCOMITANT DOPAMINERGIC MEDICATIONS",GOCOVRI,ADAMAS OPERATIONS,N,208944,RX,"CAPSULE, EXTENDED RELEASE",ORAL,2017-08-24,2034-06-17
4921,EQ 50MG BASE,8076515,ADJUNCTIVE TREATMENT TO LEVODOPA/CARBIDOPA IN PATIENTS WITH PARKINSONS DISEASE EXPERIENCING OFF EPISODES,XADAGO,MDD US,N,207145,RX,TABLET,ORAL,2017-03-21,2028-12-10
4190,EQ 20MG BASE,8829013,FOR TREATMENT OF POLYCYTHEMIA VERA (PV) IN PATIENTS WHO HAVE HAD AN INADEQUATE RESPONSE TO OR ARE INTOLERANT OF HYDROXYUREA,JAKAFI,INCYTE CORP,N,202192,RX,TABLET,ORAL,2011-11-16,2028-06-12
4881,15MG,7951797,TREATMENT OF INSOMNIA,BELSOMRA,MERCK SHARP DOHME,N,204569,RX,TABLET,ORAL,2014-08-13,2029-11-20
1725,5MG;1GM;EQ 2.5MG BASE,8501698,TREATMENT OF TYPE 2 DIABETES MELLITUS,QTERNMET XR,ASTRAZENECA AB,N,210874,DISCN,"TABLET, EXTENDED RELEASE",ORAL,2019-05-02,2027-06-20
4907,150MG,8143241,"TREATMENT OF HR-POSITIVE, HER-2 NEGATIVE, GBRCA-MUTATED METASTATIC BREAST CANCER, WHO HAVE BEEN TREATED WITH CHEMOTHERAPY IN THE NEOADJUVANT, ADJUVANT, OR METASTATIC SETTING, AND WITH ENDOCRINE THERAPY OR ARE INAPPROPRIATE FOR ENDOCRINE THERAPY",LYNPARZA,ASTRAZENECA,N,208558,RX,TABLET,ORAL,2017-08-17,2027-08-12
4228,188MG/PACKET;150MG/PACKET,8324242,TREATMENT OF CYSTIC FIBROSIS IN A PATIENT AGE 2-5 YEARS WHO IS HOMOZYGOUS FOR THE F508DEL MUTATION IN THE CFTR GENE USING LUMACAFTOR AND IVACAFTOR,ORKAMBI,VERTEX PHARMS INC,N,211358,RX,GRANULE,ORAL,2018-08-07,2027-08-05
4758,50MG;500MG,7943582,TREATMENT OF TYPE 2 DIABETES MELLITUS,INVOKAMET,JANSSEN PHARMS,N,204353,RX,TABLET,ORAL,2014-08-08,2029-02-26
4175,5MG;2.5MG;1GM,8551957,"METHOD OF TREATING TYPE 2 DIABETES MELLITUS USING A PHARMACEUTICAL COMPOSITION COMPRISING EMPAGLIFLOZIN, LINAGLIPTIN AND METFORMIN",TRIJARDY XR,BOEHRINGER INGELHEIM,N,212614,RX,"TABLET, EXTENDED RELEASE",ORAL,2020-01-27,2029-10-14
2046,EQ 235MG BASE/VIAL;EQ 0.25MG BASE/VIAL,10828297,USE IN COMBINATION WITH DEXAMETHASONE IN ADULTS FOR THE PREVENTION OF ACUTE AND DELAYED NAUSEA AND VOMITING ASSOCIATED WITH INITIAL AND REPEAT COURSES OF HIGHLY EMETOGENIC CANCER CHEMOTHERAPY,AKYNZEO,HELSINN HLTHCARE,N,210493,RX,POWDER,INTRAVENOUS,2018-04-19,2030-12-17
4758,50MG;500MG,8513202,TREATMENT OF TYPE 2 DIABETES MELLITUS,INVOKAMET,JANSSEN PHARMS,N,204353,RX,TABLET,ORAL,2014-08-08,2027-12-03
4715,EQ 60MG BASE,11098015,TREATMENT OF DIFFERENTIATED THYROID CANCER THAT HAS PROGRESSED FOLLOWING PRIOR VEGFR-TARGETED THERAPY,CABOMETYX,EXELIXIS INC,N,208692,RX,TABLET,ORAL,2016-04-25,2030-01-15
1883,EQ 200MG BASE,10028925,TEMPORARY RELIEF OF MINOR ACHES AND PAINS,NAPROXEN SODIUM,BIONPHARMA,N,021920,OTC,CAPSULE,ORAL,2006-02-17,2026-03-03
1225,0.055MG/INH;EQ 0.014MG BASE/INH,9415008,TREATMENT OF ASTHMA,AIRDUO RESPICLICK,TEVA PHARM,N,208799,RX,POWDER,INHALATION,2017-01-27,2034-10-06
4810,420MG,10004746,TREATMENT OF SMALL LYMPHOCYTIC LYMPHOMA WITH 17P DELETION,IMBRUVICA,PHARMACYCLICS LLC,N,210563,RX,TABLET,ORAL,2018-02-16,2031-06-03
5222,EQ 100MG BASE,8859562,"A METHOD OF TREATMENT OF ADVANCED OVARIAN, FALLOPIAN TUBE, OR PRIMARY PERITONEAL CANCER ASSOCIATED WITH HOMOLOGOUS RECOMBINATION DEFICIENCY (HRD) POSITIVE STATUS",ZEJULA,GLAXOSMITHKLINE,N,214876,RX,TABLET,ORAL,2023-04-26,2031-08-04
2029,18MG,9968598,"MANAGEMENT OF PAIN SEVERE ENOUGH TO REQUIRE DAILY, AROUND-THE-CLOCK, LONG-TERM OPIOID TREATMENT AND FOR WHICH ALTERNATIVE TREATMENT OPTIONS ARE INADEQUATE",XTAMPZA ER,COLLEGIUM PHARM INC,N,208090,RX,"CAPSULE, EXTENDED RELEASE",ORAL,2016-04-26,2036-09-02
1572,52MG,10028858,A METHOD FOR PREVENTION OF PREGNANCY,LILETTA,MEDICINES360,N,206229,RX,INTRAUTERINE DEVICE,INTRAUTERINE,2015-02-26,2034-03-22
