code,description
U-1458,A METHOD OF REDUCING INTRAOCULAR PRESSURE IN PATIENTS WITH OPEN ANGLE GLAUCOMA OR OCULAR HYPERTENSION
U-1374,TREATMENT OF PHILADELPHIA CHROMOSOME POSITIVE CHRONIC MYELOID LEUKEMIA (PH+CML)
U-2545,TREATMENT OF DEPRESSIVE EPISODES ASSOCIATED WITH BIPOLAR I DISORDER (BIPOLAR DEPRESSION) WITH CARIPRAZINE
U-170,METHOD OF OBTAINING AN MR IMAGE USING THE COMPOSITION/DRUG PRODUCT AS A CONTRAST AGENT
U-1784,METHOD OF TREATING FREQUENT HEARTBURN BY ADMINISTERING AN ESOMEPRAZOLE MAGNESIUM TRIHYDRATE AS CLAIMED
U-2173,TREATING OPIOID DEPENDENCE BY ADMINISTERING BUPRENORPHINE
U-703,"TREATMENT OF PROTEIN KINASE RELATED DISORDERS, SUCH AS GASTROINTESTINAL STROMAL TUMOR AND RENAL CELL CARCINOMA WITH SUNITINIB"
U-541,METHOD OF TREATMENT OF ADULTS INFECTED WITH HIV-1
U-1218,METHOD OF STIMULATING HAIR GROWTH
U-1039,METHOD OF TREATING TYPE 2 DIABETES MELLITUS BY ADMINISTERING A DIPEPTIDYL PEPTIDASE-4 INHIBITOR IN COMBINATION WITH METFORMIN
U-351,INHIBITING PROTEASE WITH LOPINAVIR AND INHIBITING AN HIV INFECTION WITH LOPINAVIR
U-2250,DETECTION OF CARCINOMA IN THE BLADDER BY PHOTODYNAMIC CYSTOSCOPY
U-3536,TREATMENT OF DEPRESSION IN ADULTS WITH MOD AND ACUTE SUICIDAL IDEATION OR BEHAVIOR IN CONJUNCTION WITH AN ORAL ANTIDEPRESSANT BY NASALLY ADMINISTERING 56MG OR 84MG OF ESKETAMINE IN A MAINTENANCE PHASE WEEKLY OR LX EVERY 2 WEEKS AFTER INDUCTION PHASE
U-359,METHOD OF USE OF VISICOL
U-2567,"ONCE DAILY TOPICAL TREATMENT OF PERSISTENT FACIAL ERYTHEMA ASSOCIATED WITH ROSACEA IN ADULTS WITH 1% OXYMETAZOLINE HYDROCHLORIDE CREAM, WHERE THE PATIENT EXPERIENCES NO REBOUND OR WORSENING OF FACIAL ERYTHEMA POST-TREATMENT"
U-559,METHOD OF DECREASING OR REDUCING PARATHYROID HORMONE LEVEL; METHOD OF MODULATING PARATHYROID HORMONE SECRETION;METHOD OF TREATING HYPERPARATHYROIDISM; METHOD OF REDUCING SERUM IONIZED CALCIUM LEVEL
U-791,GLEEVEC IS ALSO INDICATED FOR THE TREATMENT OF PATIENTS WITH KIT (CD117) POSITIVE UNRESECTABLE AND/OR METASTATIC MALIGNANT GASTROINTESTINAL STROMAL TUMORS (GIST)
U-3140,METHOD OF TREATING SCHIZOPHRENIA BY ADMINISTERING THE ATYPICAL ANTIPSYCHOTIC OLANZAPINE AND SAMIDORPHAN
U-2403,TREATMENT OF PSORIASIS USING A DOSAGE TITRATION SCHEDULE
U-2985,A METHOD FOR TREATING DRY EYE IN A PATIENT
U-1908,"METHOD OF TREATING CYSTIC FIBROSIS IN A PATIENT, THE PATIENT HAVING THE F508DEL MUTATION IN CFTR, USING IVACAFTOR AND FORM I LUMACAFTOR"
U-3287,TREATMENT OF VENOUS THROMBOEMBOLISM (VTE) AND THE REDUCTION IN THE RISK OF RECURRENT VTE IN PEDIATRIC PATIENTS FROM BIRTH TO LESS THAN 18 YEARS WITH A BODY WEIGHT OF >=50 KG AFTER AT LEAST 5 DAYS OF INITIAL PARENTERAL ANTICOAGULANT TREATMENT
U-1957,"PROPHYLAXIS OF DEEP VEIN THROMBOSIS, WHICH MAY LEAD TO PULMONARY EMBOLISM IN PATIENTS UNDERGOING KNEE OR HIP REPLACEMENT SURGERY, WITH ONCE DAILY, RAPID-RELEASE TABLET ADMINISTERED FOR AT LEAST FIVE CONSECUTIVE DAYS"
U-231,USE IN PARKINSONS DISEASE
U-580,TREATMENT OF DISORDERS OF THE SEROTONERGIC SYSTEM SUCH AS DEPRESSION AND ANXIETY-RELATED DISORDERS
U-1413,ADMINISTRATION OF REMODULIN DILUTED FOR INTRAVENOUS INFUSION WITH FLOLAN STERILE DILUENT FOR INJECTION PRIOR TO INFUSION
U-399,IN-THE-EYE USE OF CHLORINE DIOXIDE CONTAINING COMPOSITIONS
U-3655,MANAGEMENT OF HEAVY MENSTRUAL BLEEDING ASSOCIATED WITH UTERINE LEIOMYOMAS (FIBROIDS) USING 300 MG ELAGOLIX WHILE CO-ADMINISTERING OMEPRAZOLE
U-3203,MAINTENANCE TREATMENT OF PATIENTS WITH CHRONIC OBSTRUCTIVE PULMONARY DISEASE (COPD)
U-1420,METHOD OF ONCE A DAY ADMINISTRATION
U-2607,TREATMENT OF ADULT PATIENTS WITH INTERMEDIATE-2 OR HIGH-RISK PRIMARY OR SECONDARY MYELOFIBROSIS
U-397,METHOD OF TREATING PEOPLE SUFFERING FROM DEPRESSION WITHOUT AN INCREASE IN NAUSEA
U-3151,TO IMPROVE WAKEFULNESS IN ADULT PATIENTS WITH EXCESSIVE DAYTIME SLEEPINESS ASSOCIATED WITH NARCOLEPSY OR OBSTRUCTIVE SLEEP APNEA (OSA) WITH A DOSING REGIMEN THAT INCLUDES A DOSE OF 75 MG ONCE DAILY FOR AT LEAST 3 DAYS FOLLOWED BY 150 MG ONCE DAILY
U-3054,TREATMENT OF DRUG-INDUCED EXTRAPYRAMIDAL REACTIONS IN ADULT PATIENTS WITH PARKINSONS DISEASE
U-2530,TREATMENT OF CF IN A PATIENT AGE 6 MONTHS TO < 6 YEARS WHO HAS ONE CFTR MUTATION RESPONSIVE TO IVACAFTOR BASED ON CLINICAL AND/OR IN VITRO ASSAY DATA USING A SOLID COMPOSITION COMPRISING AMORPHOUS (LESS THAN ABOUT 30% CRYSTALLINE) IVACAFTOR
U-3468,TREATMENT OF AMYOTROPHIC LATERAL SCLEROSIS
U-1961,USE OF THE ATYPICAL ANTIPSYCHOTIC ASENAPINE FOR TREATMENT OF MANIC OR MIXED EPISODES OF BIPOLAR I DISORDER: ACUTE MONOTHERAPY OF MANIC OR MIXED EPISODES (AGES 10 TO ADULT)
U-3371,TREATMENT OF ADULTS WITH ACTIVE ANKYLOSING SPONDYLITIS WHO HAVE HAD AN INADEQUATE RESPONSE OR INTOLERANCE TO ONE OR MORE TNF BLOCKERS
U-2471,METHOD OF TREATING SOLID TUMORS THAT EXHIBIT AN NTRK FUSION GENE IN A PEDIATRIC PATIENT
U-976,IMPROVEMENT OF GLYCEMIC CONTROL IN INDIVIDUALS WITH TYPE 2 DIABETES
U-1339,METHODS OF TREATING DIABETES COMPRISING ADMINISTERING AN INSULIN SENSITIVITY ENHANCER SUCH AS PIOGLITAZONE IN COMBINATION WITH A BIGUANIDE SUCH AS METFORMIN
U-1565,"METHOD OF TREATING, AS INITIAL LOADING DOSE FOR MONOTHERAPY OR ADJUNCTIVE THERAPY, PARTIAL ONSET-SEIZURES IN A PATIENT WITH EPILEPSY AGED 17 YEARS OR OLDER WHEN ORAL ADMINISTRATION IS TEMPORARILY NOT FEASIBLE"
U-3629,"TREATMENT OF MILD-TO-MODERATE CORONAVIRUS DISEASE 2019 (COVID-19) IN ADULTS WHO ARE AT HIGH RISK FOR PROGRESSION TO SEVERE COVID-19, INCLUDING HOSPITALIZATION OR DEATH"
U-2271,"THERAPEUTIC TREATMENT OF PATIENTS WITH CASTRATION-RESISTANT PROSTATE CANCER, SYMPTOMATIC BONE METASTASES AND NO KNOWN VISCERAL METASTATIC DISEASE"
U-631,TREATING A DISEASE OF ALTERED MOTILITY OR TONE OF SMOOTH MUSCLE BY ADMINISTERING A MUSCARINIC RECEPTOR ANTAGONIZING AMOUNT OF DARIFENACIN
U-3318,MANAGEMENT OF MODERATE-TO-SEVERE PAIN BY INJECTION
U-3214,"A METHOD OF TREATING PREVIOUSLY TREATED, LOCALLY ADVANCED OR METASTATIC CHOLANGIOCARCINOMA CHARACTERIZED BY THE PRESENCE OF A MUTANT ALLELE OF IDH1 BY ADMINISTERING A ONCE DAILY 500 MG ORAL DOSE TO A SUBJECT THAT HAS NOT INGESTED A HIGH-FAT MEAL"
U-2818,METHOD OF REDUCING O-METHYLATION OF L-DOPA
U-3059,TREATMENT OF HIV-1 INFECTION IN ADULTS TO REPLACE THE CURRENT ANTIRETROVIRAL REGIMEN IN THOSE WHO ARE VIROLOGICALLY SUPPRESSED ON A STABLE ANTIRETROVIRAL REGIMEN WITH NO HISTORY OF TREATMENT FAILURE
U-2880,ADJUNCT TO DIET AND EXERCISE TO IMPROVE GLYCEMIC CONTROL IN ADULTS WITH TYPE 2 DIABETIS BY ORALLY ADMINISTERING A DOSAGE FORM COMPRISING MICRONIZED BROMOCRIPTINE AND ONE OR MORE EXCIPIENTS AS RECITED IN CLAIMS 16 AND 17
U-2958,"A METHOD FOR CONTRACEPTION, THE METHOD COMPRISING ADMINISTERING A TABLET COMPRISING 20 MG TO 30 MG OF ULIPRISTAL ACETATE TO A WOMAN WITHIN 120 HOURS AFTER AN UNPROTECTED INTERCOURSE"
U-2701,USE OF VASCEPA AS AN ADJUNCT TO STATIN THERAPY TO REDUCE THE RISK OF CORONARY REVASCULARIZATION AND/OR UNSTABLE ANGINA IN AN ADULT PATIENT WITH ELEVATED TRIGLYCERIDE LEVELS (TG >= 150 MG/DL TO ABOUT 500 MG/DL)
U-932,"PYLERA CAPSULES, IN COMBINATION WITH OMEPRAZOLE ARE INDICATED FOR THE TREATMENT OF PATIENTS WITH HELICOBACTER PYLORI INFECTION AND DUODENAL ULCER DISEASE TO ERADICATE H. PYLORI"
U-3436,METHOD OF TREATING IDA IN ADULT PATIENTS WITH NON-DIALYSIS DEPENDENT CHRONIC KIDNEY DISEASE & WEIGHING AT LEAST 46.7 KG BY INTRAVENOUSLY ADMINISTERING FERRIC CARBOXYMALTOSE TO PROVIDE AT LEAST 0.7 G OF ELEMENTAL IRON IN LESS THAN 15 MINUTES
U-103,TREATMENT OF OCULAR HYPERTENSION
U-1629,METHOD OF TREATING ACROMEGALY
U-1760,RISK-REDUCTION OF NSAID GASTRIC ULCER IN PATIENTS REQUIRING CHRONIC NSAID TREATMENT
U-1433,IMPROVEMENTS OF GLYCEMIC CONTROL IN INDIVIDUALS WITH TYPE 2 DIABETES WHO HAVE ONE OR MORE SPECIFIED CARDIOVASCULAR RISK FACTORS
U-2329,METHOD OF ADMINISTERING A LOCAL ANESTHETIC PRIOR TO PERFORMING A DIAGNOSTIC OR SURGICAL PROCEDURE ON A SUBJECT WITH HEPATIC OR RENAL IMPAIRMENT
U-1698,PROPHYLAXIS OF INVASIVE ASPERGILLUS AND CANDIDA INFECTIONS
U-1482,DICLOFENAC POTASSIUM FOR RELIEF OF MILD TO MODERATE ACUTE PAIN
U-2415,TREATING MYCOBACTERIUM AVIUM COMPLEX (MAC) LUNG DISEASE IN ADULTS AS PART OF A COMBINATION ANTIBACTERIAL DRUG REGIMEN
U-1164,METHOD OF TREATING AN ARGATROBAN TREATABLE CONDITION
U-780,A METHOD FOR THE TREATMENT OF CANCER
U-2638,INCREASE PAIN-FREE LIGHT EXPOSURE IN ADULT PATIENTS WITH A HISTORY OF PHOTOTOXIC REACTIONS FROM ERYTHROPOIETIC PROTOPORPHYRIA (EPP)
U-14,ADJUNCTIVE THERAPY FOR THE PREVENTION AND TREATMENT OF HYPERAMMONEMIA IN THE CHRONIC MANAGEMENT OF PATIENTS WITH UREA CYCLE ENZYMOPATHIES
U-2521,"TREATMENT OF MS WITH A TABLET WITH AN ADMIXTURE OF (A) AN AMORPHOUS INCLUSION COMPLEX OF CLADRIBINE AND HYDROXYPROPYL-B-CYCLODEXTRIN AND (B) AMORPHOUS FREE CLADRIBINE AND CYCLODEXTRIN AS A NON-INCLUSION COMPLEX, CLADRIBINE/CYCLODEXTRIN 1:10-1:16 W/W"
U-1050,USE OF METAXALONE FOR TREATMENT OF MUSCULOSKELETAL CONDITIONS
U-535,TREATMENT OF SOCIAL ANXIETY DISORDER
U-1507,TO MAINTAIN HEALING OF EE AND RELIEF OF HEARTBURN
U-759,METHOD OF USE OF ADMINISTERING LEVOTHYROXINE
U-663,THE TREATMENT OF UNCOMPLICATED URINARY TRACT INFECTIONS
U-99,METHOD OF PROVIDING POTASSIUM TO A SUBJECT IN NEED OF POTASSIUM
U-1609,CONTINUED DOSING OR DOSAGE MODIFICATION FOLLOWING ELEVATED LIVER ENZYMES IN TREATMENT OF IDIOPATHIC PULMONARY FIBROSIS
U-2769,DOSING REGIMEN FOR INTRAVENOUS SOTALOL FOR ADMINISTRATION IN A FACILITY THAT CAN PROVIDE CONTINUOUS ELECTROCARDIOGRAPHIC MONITORING AND CARDIAC RESUSCITATION.
U-933,FOR THE TREATMENT OF PATIENTS WITH HELICOBACTER PYLORI INFECTION AND DUODENAL ULCER DISEASE TO ERADICATE H. PYLORI. THE ERADICATION OF HELICOBACTER PYLORI HAS BEEN SHOWN TO REDUCE THE RISK OF DUODENAL ULCER RECURRENCE
U-2234,USE OF IVACAFTOR FOR TREATING CYSTIC FIBROSIS IN A PATIENT WITH A MILD TO MODERATE CF PHENOTYPE WITH AT LEAST ONE MUTATION IN THE CFTR GENE THAT IS RESPONSIVE TO IVACAFTOR BASED ON CLINICAL AND/OR IN VITRO ASSAY DATA
U-2745,TREATMENT OF NEUROBLASTOMAS THAT HAVE A NEUROTROPHIC TYROSINE RECEPTOR KINASE (NTRK) GENE FUSION
U-2578,TREATMENT OF THROMBOCYTOPENIA IN AN ADULT PATIENT WITH CHRONIC LIVER DISEASE WHO IS SCHEDULED TO UNDERGO A PROCEDURE
U-420,METHOD OF TREATMENT OF TYPE II DIABETES
U-1442,SUBCUTANEOUS INJECTION OF METHOTREXATE
U-416,A METHOD FOR REDUCING SIDE EFFECTS OF ACTIVE COMPONENTS ADMINISTERED TO A DIABETIC PATIENT BY ADMINISTERING AN INSULIN SENSITIVITY ENHANCER (INCLUDING PIOGLITAZONE) IN COMBINATION WITH A BIGUANIDE AS SAID ACTIVE COMPONENTS
U-3248,TREATING SECONDARY HYPERPARATHYROIDISM IN STAGE 3/4 CHRONIC KIDNEY DISEASE WITH SUSTAINED RELEASE 25-HYDROXYVITAMIN D TO REDUCE THE PATIENTS SERUM PARATHYROID HORMONE LEVEL WHILE AVOIDING PTH OVERSUPPRESSION
U-2115,ADJUNCT TO DIET AND EXERCISE TO IMPROVE GLYCEMIC CONTROL IN ADULTS WITH TYPE 2 DIABETES BY ADMINISTERING BROMOCRIPTINE MESYLATE AND A FIRST-PHASE INSULIN SECRETAGOGUE AS RECITED IN CLAIM 10 AND WHEREIN THE EFFECTS ARE AS RECITED IN CLAIM 10
U-2536,FOR TREATMENT OF STEROID-REFRACTORY ACUTE GRAFT-VERSUS-HOST DISEASE
U-958,"METHOD OF TREATING PATIENT COMPRISING MIXING FIRST AND SECOND VIALS OF PRODUCT COMPRISING LYOPHILIZED IXABEPILONE TO PROVIDE AN EPOTHILONE ANALOG SOLUTION, DILUTING SOLUTION WITH A SUITABLE DILUENT TO PREPARE INTRAVENOUS FORMULATION FOR PT"
U-2055,DOSING OF AT LEAST 1600 MG/DAY FOLLOWING GRADE 2 LIVER ABNORMALITY IN BIOMARKER AST AND/OR ALT AFTER PIRFENIDONE ADMINISTRATION IN TREATMENT OF IPF
U-2363,ADMINISTRATION OF RISPERIDONE
U-855,"METHOD TO INDUCE NATRIURESIS, DIURESIS AND/OR VASODILATION"
U-679,ADJUNCT TO DIET AND EXERCISE TO IMPROVE GLYCEMIC CONTROL IN PATIENTS WITH TYPE 2 DIABETES WHO ARE ALREADY TREATED WITH A PIOGLITAZONE AND METFORMIN
U-281,"ANTIMYCOTIC USES, SPECIFICALLY TREATMENT OF ONYCHOMYCOSIS"
U-1989,INTRAVITREAL TREATMENT OF MACULAR EDEMA FOLLOWING BRANCH RETINAL VEIN OCCLUSION (BRVO) OR CENTRAL RETINAL VEIN OCCLUSION (CRVO)
U-797,METHOD OF TREATING ANXIETY
U-188,TREATMENT OF H.PYLORI ASSOCIATED DUODENAL ULCER
U-1410,TREATMENT OF CORTICOSTEROID-RESPONSIVE DERMATOSES
U-100,METHOD OF TREATING OCULAR INFLAMMATION
U-1524,REDUCTION OF ELEVATED INTRAOCULAR PRESSURE
U-2078,"DOSAGE MODIFICATION FOLLOWING GRADE 2 ABNORMALITY IN LIVER FUNCTION BIOMARKER AFTER PIRFENIDONE ADMINISTRATION, BY DISCONTINUING PIRFENIDONE UNTIL BIOMARKERS ARE WITHIN LIMITS, THEN SUB-2400MG/DAY DOSE, THEN FULL DAILY DOSE IN TREATMENT OF IPF"
U-2012,"A METHOD FOR TREATING OVARIAN CANCER BY ADMINISTERING RUCAPARIB, WHEREIN THE CANCER IS ASSOCIATED WITH A DELETERIOUS BRCA MUTATION"
U-1894,COMBINATION TREATMENT WITH A GLITAZONE FOR IMPROVEMENT OF GLYCEMIC CONTROL IN TYPE 2 DIABETES MELLITUS PATIENTS
U-2164,ZELBORAF IS INDICATED FOR THE TREATMENT OF PATIENTS WITH ERDHEIM-CHESTER DISEASE WITH BRAF V600 MUTATION
U-1993,ADJUNCTIVE TREATMENT TO LEVODOPA/CARBIDOPA IN PATIENTS WITH PARKINSONS DISEASE EXPERIENCING OFF EPISODES
U-41,METHOD OF TREATING CARDIAC ARRHYTHMIAS
U-702,TOPICAL AEROSOL HAIR REGROWTH TREATMENT
U-7,INCREASING CARDIAC CONTRACTILITY
U-94,"TREATMENT-ADULTS W/ ADVANCED HIV,INTOLERANT OF APPROVED THERAPIES,INTOLERANT OF APPROVED THERAPIES W/PROVEN BENEFIT OR HAVE EXPERIENCED CLINICAL/IMMUNOLOGICAL DETERIORATION WHILE RECEIVING..OR FOR WHOM SUCH THERAPIES-CONTRAINDICATED"
U-974,ADJUNCT TO DIET AND EXERCISE TO IMPROVE GLYCEMIC CONTROL IN PATIENTS WITH TYPE 2 DIABETES WHO ARE ALREADY TREATED WITH A PIOGLITAZONE AND METFORMIN
U-517,STABLE GEL FORMULATION FOR TOPICAL TREATMENT OF SKIN CONDITIONS
U-46,TREATMENT OF PANIC DISORDER
U-2700,USE OF VASCEPA TO REDUCE TRIGLYCERIDES IN AN ADULT PATIENT WITH ELEVATED TRIGLYCERIDE (TG) LEVELS (ABOUT 200 MG/DL TO LESS THAN ABOUT 500 MG/DL) AND ON ROSUVASTATIN THERAPY
U-1194,METHOD FOR TREATING INSOMNIA
U-2166,TREATMENT OF MAJOR DEPRESSIVE EPISODES ASSOCIATED WITH BIPOLAR I DISORDER
U-3556,TREATMENT OF RETT SYNDROME OR A SYMPTOM THEREOF
U-435,A TITRATION DOSING REGIMEN FOR THE TREATMENT OF PAIN USING AN INITIAL DOSE OF ABOUT 25MG
U-782,TREATMENT OF CHRONIC HEPATITIS B IN ADULT PATIENTS WITH EVIDENCE OF VIRAL REPLICATION AND EITHER EVIDENCE OF PERSISTENT ELEVATIONS IN SERUM AMINOTRANSFERASES (ALT OR AST) OR HISTOLOGICALLY ACTIVE DISEASE
U-442,"METHOD FOR DELIVERING A DRUG TO A PATIENT IN NEED OF THE DRUG, WHILE AVOIDING THE OCCURRENCE OF AN ADVERSE SIDE EFFECT KNOWN OR SUSPECTED OF BEING CAUSED BY SAID DRUG"
U-2280,ADJUNCTIVE TREATMENT OF PATIENTS WITH TSC-ASSOCIATED PARTIAL-ONSET SEIZURES
U-3649,METHOD OF REDUCING SERUM BILE ACIDS IN PATIENTS 12 MONTHS OR OLDER SUFFERING FROM ALAGILLE SYNDROME (ALGS)
U-3425,TREATMENT OF CYSTIC FIBROSIS IN PATIENTS AGED 6 YEARS AND OLDER WHO HAVE IN THE CFTR GENE AT LEAST ONE F508DEL MUTATION OR A MUTATION THAT IS RESPONSIVE BASED ON IN VITRO DATA WITH A COMPOUND OF CLAIM 1 OR COMPOSITION OF CLAIM 29 OF US11426407
U-1195,"PREVENTION AND TREATMENT OF SECONDARY HYPERPARATHYROIDISM ASSOCIATED WITH CHRONIC KIDNEY DISEASE (CKD) STAGE 5, WHICH MAY RESULT IN RENAL OSTEODYSTROPHY, WHILE AVOIDING HYPERPHOSPHATEMIA"
U-1306,TREATMENT OF THROMBOCYTOPENIA IN PATIENTS WITH CHRONIC HEPATITIS C TO ALLOW THE INITIATION AND MAINTENANCE OF INTERFERON-BASED THERAPY
U-3669,"USE OF VASCEPA TO REDUCE THE INCIDENCE OF STROKE IN AN ADULT PATIENT ON STATIN THERAPY AND WITH ELEVATED TRIGLYCERIDE LEVELS (>150 MG/DL), WHEREIN THE PATIENT EXPERIENCES ATRIAL FIBRILLATION AND/OR FLUTTER INSTEAD OF AN INCIDENCE OF STROKE"
U-1837,"METHOD FOR TREATING TYPE II DIABETES MELLITUS BY ADMINISTERING SAXAGLIPTIN ALONE OR IN COMBINATION WITH INSULIN, METFORMIN, A THIAZOLIDINEDIONE, GLYBURIDE OR METFORMIN PLUS A SULFONYLUREA"
U-2000,MANAGEMENT OF MODERATE TO SEVERE PAIN AS AN ADJUNCT TO OPIOID ANALGESICS
U-2892,ADJUNCT TO DIET AND EXERCISE TO IMPROVE GLYCEMIC CONTROL IN ADULTS WITH TYPE 2 DIABETES BY ADMINISTERING BROMOCRIPTINE MESYLATE AND A FIRST-PHASE INSULIN SECRETAGOGUE AS RECITED IN CLAIMS 1 AND 4 AND WHEREIN THE EFFECTS ARE AS RECITED IN CLAIM 1
U-3392,"A METHOD OF TITRATING AN OPIOID TO MANAGE NEUROPATHIC PAIN ASSOCIATED WITH DIABETIC PERIPHERAL NEUROPATHY SEVERE ENOUGH TO REQUIRE DAILY, AROUND-THE-CLOCK, LONG-TERM OPIOID TREATMENT AND FOR WHICH ALTERNATIVE TREATMENT OPTIONS ARE INADEQUATE"
U-1388,TREATMENT OF PATIENTS WITH A HISTORY OF PAROXYSMAL OR PERSISTENT AF WITHOUT SEVERE HEART FAILURE AND WITH ONE OR MORE RISK FACTORS BY ADMINISTRATION TWICE A DAY WITH MORNING AND EVENING MEALS
U-1686,"A METHOD TO REDUCE WITHDRAWAL SYMPTOMS, INCLUDING NICOTINE CRAVING, ASSOCIATED WITH SMOKING CESSATION"
U-318,"TREATMENT OF PATIENTS WITH AN OVERACTIVE BLADDER WITH SYMPTOMS OF URINARY FREQUENCY, URGENCY, OR URGE INCONTINENCE"
U-637,TREATMENT OF DIABETES WITH AN AMYLIN AGONIST
U-2251,"IN COMBINATION WITH AN AROMATASE INHIBITOR AS INITIAL ENDOCRINE-BASED THERAPY FOR THE TREATMENT OF POSTMENOPAUSAL WOMEN WITH HORMONE RECEPTOR (HR)-POSITIVE, HUMAN EPIDERMAL GROWTH FACTOR RECEPTOR 2 (HER2)-NEGATIVE ADVANCED OR METASTATIC BREAST CANCER"
U-1031,IMPROVE RESPIRATORY SYMPTOMS IN CYSTIC FIBROSIS IN PATIENTS WITH PSEUDOMONAS AERUGINOSA
U-1624,"TREATMENT OF UNRESECTABLE HEPATOCELLULAR CARCINOMA, ADVANCED RENAL CELL CARCINOMA, OR DIFFERENTIATED THYROID CARCINOMA."
U-3563,DEXTROMETHORPHAN AND BUPROPION IN COMBINATION TO INCREASE DEXTROMETHORPHAN PLASMA LEVELS
U-3210,ONCE DAILY TREATMENT OF ANXIETY DISORDER IN ADULTS
U-3280,METHOD OF TREATING ACNE VULGARIS WITH TOPICALLY APPLIED CORTEXOLONE 17ALPHA-PROPIONATE
U-1708,TREATMENT OF IRRITABLE BOWEL SYNDROME WITH DIARRHEA (IBS-D) IN ADULTS.
U-1454,PROPHYLAXIS OF INVASIVE ASPERGILLUS AND CANDIDA INFECTIONS
