id,term,type
GO:0018272,protein-pyridoxal-5-phosphate linkage via peptidyl-N6-pyridoxal phosphate-L-lysine,P
GO:0072077,renal vesicle morphogenesis,P
GO:0034648,histone demethylase activity (H3-dimethyl-K4 specific),F
GO:1905945,regulation of response to calcium ion,P
GO:0021696,cerebellar cortex morphogenesis,P
GO:1990269,RNA polymerase II C-terminal domain phosphoserine binding,F
GO:1904874,positive regulation of telomerase RNA localization to Cajal body,P
GO:1990008,neurosecretory vesicle,C
GO:0002025,vasodilation by norepinephrine-epinephrine involved in regulation of systemic arterial blood pressure,P
GO:0034436,glycoprotein transport,P
GO:0043165,Gram-negative-bacterium-type cell outer membrane assembly,P
GO:0006571,tyrosine biosynthetic process,P
GO:0086039,calcium-transporting ATPase activity involved in regulation of cardiac muscle cell membrane potential,F
GO:0010918,positive regulation of mitochondrial membrane potential,P
GO:0060046,regulation of acrosome reaction,P
GO:0071796,K6-linked polyubiquitin binding,F
GO:0042496,detection of diacyl bacterial lipopeptide,P
GO:0071391,cellular response to estrogen stimulus,P
GO:0060734,regulation of endoplasmic reticulum stress-induced eIF2 alpha phosphorylation,P
GO:0021812,neuronal-glial interaction involved in cerebral cortex radial glia guided migration,P
GO:0006220,pyrimidine nucleotide metabolic process,P
GO:0098599,palmitoyl hydrolase activity,F
GO:0003352,regulation of cilium movement,P
GO:0015694,mercury ion transport,P
GO:0120160,intraciliary transport particle A binding,F
GO:0003058,hormonal regulation of the force of heart contraction,P
GO:1900011,negative regulation of corticotropin-releasing hormone receptor activity,P
GO:1904117,cellular response to vasopressin,P
GO:0098847,sequence-specific single stranded DNA binding,F
GO:0005471,ATP:ADP antiporter activity,F
GO:0046338,phosphatidylethanolamine catabolic process,P
GO:0051586,positive regulation of dopamine uptake involved in synaptic transmission,P
GO:0061354,planar cell polarity pathway involved in pericardium morphogenesis,P
GO:0042361,menaquinone catabolic process,P
GO:0090151,establishment of protein localization to mitochondrial membrane,P
GO:0002637,regulation of immunoglobulin production,P
GO:0061890,positive regulation of astrocyte activation,P
GO:0000028,ribosomal small subunit assembly,P
GO:0044610,FMN transmembrane transporter activity,F
GO:0016641,"oxidoreductase activity, acting on the CH-NH2 group of donors, oxygen as acceptor",F
GO:0008574,"ATP-dependent microtubule motor activity, plus-end-directed",F
GO:0031937,positive regulation of chromatin silencing,P
GO:0090427,activation of meiosis,P
GO:0044793,negative regulation by host of viral process,P
GO:0006359,regulation of transcription from RNA polymerase III promoter,P
GO:0033602,negative regulation of dopamine secretion,P
GO:1902747,negative regulation of lens fiber cell differentiation,P
GO:0071985,multivesicular body sorting pathway,P
GO:0070061,fructose binding,F
GO:0031404,chloride ion binding,F
GO:0036105,peroxisome membrane class-1 targeting sequence binding,F
GO:1900034,regulation of cellular response to heat,P
GO:2000805,"negative regulation of termination of RNA polymerase II transcription, poly(A)-coupled",P
GO:0070044,synaptobrevin 2-SNAP-25-syntaxin-1a complex,C
GO:0042297,vocal learning,P
GO:0046321,positive regulation of fatty acid oxidation,P
GO:0003924,GTPase activity,F
GO:0070873,regulation of glycogen metabolic process,P
GO:0002155,regulation of thyroid hormone mediated signaling pathway,P
GO:0021772,olfactory bulb development,P
GO:0045083,negative regulation of interleukin-12 biosynthetic process,P
GO:0071763,nuclear membrane organization,P
GO:0002369,T cell cytokine production,P
GO:0002041,intussusceptive angiogenesis,P
GO:0045213,neurotransmitter receptor metabolic process,P
GO:0061792,secretory granule maturation,P
GO:0071033,nuclear retention of pre-mRNA at the site of transcription,P
GO:0043383,negative T cell selection,P
GO:0001579,medium-chain fatty acid transport,P
GO:0062064,box C/D snoRNP complex binding,F
GO:0010509,polyamine homeostasis,P
GO:0006107,oxaloacetate metabolic process,P
GO:0099104,potassium channel activator activity,F
GO:0061077,chaperone-mediated protein folding,P
GO:0010701,positive regulation of norepinephrine secretion,P
GO:0061017,hepatoblast differentiation,P
GO:0016892,"endoribonuclease activity, producing 3'-phosphomonoesters",F
GO:0070664,negative regulation of leukocyte proliferation,P
GO:0023035,CD40 signaling pathway,P
GO:1900041,negative regulation of interleukin-2 secretion,P
GO:0090249,regulation of cell motility involved in somitogenic axis elongation,P
GO:0035607,fibroblast growth factor receptor signaling pathway involved in orbitofrontal cortex development,P
GO:0033185,dolichol-phosphate-mannose synthase complex,C
GO:0047988,hydroxyacid-oxoacid transhydrogenase activity,F
GO:0090104,pancreatic epsilon cell differentiation,P
GO:0030119,AP-type membrane coat adaptor complex,C
GO:0030371,translation repressor activity,F
GO:0001732,formation of cytoplasmic translation initiation complex,P
GO:1905064,negative regulation of vascular smooth muscle cell differentiation,P
GO:0044241,lipid digestion,P
GO:0015940,pantothenate biosynthetic process,P
GO:0016462,pyrophosphatase activity,F
GO:0004720,protein-lysine 6-oxidase activity,F
GO:0034062,RNA polymerase activity,F
GO:0071874,cellular response to norepinephrine stimulus,P
GO:2000095,"regulation of Wnt signaling pathway, planar cell polarity pathway",P
GO:0046959,habituation,P
GO:0046715,borate transmembrane transporter activity,F
GO:0060783,mesenchymal smoothened signaling pathway involved in prostate gland development,P
GO:0000991,"transcription factor activity, core RNA polymerase II binding",F
GO:0033927,"glucan 1,4-alpha-maltohexaosidase activity",F
GO:0014732,skeletal muscle atrophy,P
GO:0007127,meiosis I,P
GO:0006814,sodium ion transport,P
GO:0070206,protein trimerization,P
GO:0034620,cellular response to unfolded protein,P
GO:0062076,acyl-CoA delta5-desaturase activity,F
GO:0102339,3-oxo-arachidoyl-CoA reductase activity,F
GO:0042953,lipoprotein transport,P
GO:0015671,oxygen transport,P
GO:0008353,RNA polymerase II carboxy-terminal domain kinase activity,F
GO:0017071,intracellular cyclic nucleotide activated cation channel complex,C
GO:0050459,ethanolamine-phosphate phospho-lyase activity,F
GO:0003947,(N-acetylneuraminyl)-galactosylglucosylceramide N-acetylgalactosaminyltransferase activity,F
GO:2000041,negative regulation of planar cell polarity pathway involved in axis elongation,P
GO:0046952,ketone body catabolic process,P
GO:0045932,negative regulation of muscle contraction,P
GO:0060576,intestinal epithelial cell development,P
GO:0071267,L-methionine salvage,P
GO:0032688,negative regulation of interferon-beta production,P
GO:0031856,parathyroid hormone receptor binding,F
GO:2001187,"positive regulation of CD8-positive, alpha-beta T cell activation",P
GO:0045629,negative regulation of T-helper 2 cell differentiation,P
GO:1901223,negative regulation of NIK/NF-kappaB signaling,P
GO:0015298,solute:cation antiporter activity,F
GO:0043418,homocysteine catabolic process,P
GO:0060252,positive regulation of glial cell proliferation,P
GO:0001866,NK T cell proliferation,P
GO:1904800,negative regulation of neuron remodeling,P
GO:0034766,negative regulation of ion transmembrane transport,P
GO:0032008,positive regulation of TOR signaling,P
GO:0006725,cellular aromatic compound metabolic process,P
GO:0055072,iron ion homeostasis,P
GO:0018646,"1-hydroxy-2-oxolimonene 1,2-monooxygenase activity",F
GO:0021542,dentate gyrus development,P
GO:1904674,positive regulation of somatic stem cell population maintenance,P
GO:0007016,cytoskeletal anchoring at plasma membrane,P
GO:0015272,ATP-activated inward rectifier potassium channel activity,F
GO:0072101,specification of ureteric bud anterior/posterior symmetry by BMP signaling pathway,P
GO:0000710,meiotic mismatch repair,P
GO:0008239,dipeptidyl-peptidase activity,F
GO:0014067,negative regulation of phosphatidylinositol 3-kinase signaling,P
GO:0030283,testosterone dehydrogenase [NAD(P)] activity,F
GO:0045777,positive regulation of blood pressure,P
GO:0090522,vesicle tethering involved in exocytosis,P
GO:0000242,pericentriolar material,C
GO:0060784,regulation of cell proliferation involved in tissue homeostasis,P
GO:0000372,Group I intron splicing,P
GO:0018685,alkane 1-monooxygenase activity,F
GO:1903691,"positive regulation of wound healing, spreading of epidermal cells",P
GO:0060535,trachea cartilage morphogenesis,P
GO:0097227,sperm annulus,C
GO:1904045,cellular response to aldosterone,P
GO:0070613,regulation of protein processing,P
GO:0050031,L-pipecolate oxidase activity,F
GO:0072513,positive regulation of secondary heart field cardioblast proliferation,P
GO:0070885,negative regulation of calcineurin-NFAT signaling cascade,P
GO:0072546,ER membrane protein complex,C
GO:0006713,glucocorticoid catabolic process,P
GO:0061881,positive regulation of anterograde axonal transport of mitochondrion,P
GO:0035241,protein-arginine omega-N monomethyltransferase activity,F
GO:0060161,positive regulation of dopamine receptor signaling pathway,P
GO:0050811,GABA receptor binding,F
GO:0021546,rhombomere development,P
GO:0097129,cyclin D2-CDK4 complex,C
GO:0015042,trypanothione-disulfide reductase activity,F
GO:0046813,receptor-mediated virion attachment to host cell,P
GO:0046490,isopentenyl diphosphate metabolic process,P
GO:0032701,negative regulation of interleukin-18 production,P
GO:0005035,death receptor activity,F
GO:0047743,chlordecone reductase activity,F
GO:0016362,"activin receptor activity, type II",F
GO:0006612,protein targeting to membrane,P
GO:0005250,A-type (transient outward) potassium channel activity,F
GO:0042984,regulation of amyloid precursor protein biosynthetic process,P
GO:0044729,hemi-methylated DNA-binding,F
GO:0070997,neuron death,P
GO:0098892,extrinsic component of postsynaptic specialization membrane,C
GO:0010463,mesenchymal cell proliferation,P
GO:0018452,5-exo-hydroxycamphor dehydrogenase activity,F
GO:0006892,post-Golgi vesicle-mediated transport,P
GO:1902969,mitotic DNA replication,P
GO:0051479,mannosylglycerate biosynthetic process,P
GO:0098821,BMP receptor activity,F
GO:0060982,coronary artery morphogenesis,P
GO:0045155,"electron transporter, transferring electrons from CoQH2-cytochrome c reductase complex and cytochrome c oxidase complex activity",F
GO:0048514,blood vessel morphogenesis,P
GO:0030154,cell differentiation,P
GO:0008209,androgen metabolic process,P
GO:0006568,tryptophan metabolic process,P
GO:0016860,intramolecular oxidoreductase activity,F
GO:0017020,myosin phosphatase regulator activity,F
GO:0008235,metalloexopeptidase activity,F
GO:0043394,proteoglycan binding,F
GO:0070612,histone methyltransferase activity (H2A-R3 specific),F
GO:1903766,positive regulation of potassium ion export across plasma membrane,P
GO:0051378,serotonin binding,F
GO:0047035,testosterone dehydrogenase (NAD+) activity,F
GO:0034616,response to laminar fluid shear stress,P
GO:2000269,regulation of fibroblast apoptotic process,P
GO:0052642,lysophosphatidic acid phosphatase activity,F
GO:0035372,protein localization to microtubule,P
GO:0031207,Sec62/Sec63 complex,C
GO:0032962,positive regulation of inositol trisphosphate biosynthetic process,P
GO:0033878,hormone-sensitive lipase activity,F
GO:0032156,septin cytoskeleton,C
GO:1902117,positive regulation of organelle assembly,P
GO:0009249,protein lipoylation,P
GO:0005976,polysaccharide metabolic process,P
GO:0005313,L-glutamate transmembrane transporter activity,F
GO:0010739,positive regulation of protein kinase A signaling,P
GO:0051622,negative regulation of norepinephrine uptake,P
GO:2000388,positive regulation of antral ovarian follicle growth,P
GO:2000765,regulation of cytoplasmic translation,P
GO:1903936,cellular response to sodium arsenite,P
GO:0051525,NFAT protein binding,F
GO:0015105,arsenite transmembrane transporter activity,F
GO:2000350,positive regulation of CD40 signaling pathway,P
GO:1901532,regulation of hematopoietic progenitor cell differentiation,P
GO:1903007,positive regulation of Lys63-specific deubiquitinase activity,P
GO:1905053,positive regulation of base-excision repair,P
GO:0034668,integrin alpha4-beta1 complex,C
GO:0001960,negative regulation of cytokine-mediated signaling pathway,P
GO:0005335,serotonin:sodium symporter activity,F
GO:0015035,protein disulfide oxidoreductase activity,F
GO:0032227,"negative regulation of synaptic transmission, dopaminergic",P
GO:1904464,regulation of matrix metallopeptidase secretion,P
GO:0051012,microtubule sliding,P
GO:0005139,interleukin-7 receptor binding,F
GO:0090675,intermicrovillar adhesion,P
GO:0004741,[pyruvate dehydrogenase (lipoamide)] phosphatase activity,F
GO:0033899,ribonuclease U2 activity,F
GO:1901581,negative regulation of telomeric RNA transcription from RNA pol II promoter,P
GO:1901751,leukotriene A4 metabolic process,P
GO:0090175,regulation of establishment of planar polarity,P
GO:0032557,pyrimidine ribonucleotide binding,F
GO:0035846,oviduct epithelium development,P
GO:1903409,reactive oxygen species biosynthetic process,P
GO:1903170,negative regulation of calcium ion transmembrane transport,P
GO:0036090,cleavage furrow ingression,P
GO:1990435,upper tip-link density,C
GO:0007041,lysosomal transport,P
GO:0090085,regulation of protein deubiquitination,P
GO:0009330,DNA topoisomerase complex (ATP-hydrolyzing),C
GO:0000438,core TFIIH complex portion of holo TFIIH complex,C
GO:0010623,programmed cell death involved in cell development,P
GO:0005785,signal recognition particle receptor complex,C
GO:0030110,HLA-C specific inhibitory MHC class I receptor activity,F
GO:0042626,"ATPase activity, coupled to transmembrane movement of substances",F
GO:0005095,GTPase inhibitor activity,F
GO:0005922,connexin complex,C
GO:0061549,sympathetic ganglion development,P
GO:0048026,"positive regulation of mRNA splicing, via spliceosome",P
GO:0002537,nitric oxide production involved in inflammatory response,P
GO:0009884,cytokinin receptor activity,F
GO:0015250,water channel activity,F
GO:0050923,regulation of negative chemotaxis,P
GO:0032058,positive regulation of translational initiation in response to stress,P
GO:0045852,pH elevation,P
GO:1903919,negative regulation of actin filament severing,P
GO:0047379,ADP-dependent short-chain-acyl-CoA hydrolase activity,F
GO:0070461,SAGA-type complex,C
GO:0045747,positive regulation of Notch signaling pathway,P
GO:0005477,pyruvate secondary active transmembrane transporter activity,F
GO:0008009,chemokine activity,F
GO:0005129,granulocyte macrophage colony-stimulating factor receptor binding,F
GO:1904270,pyroptosome complex assembly,P
GO:1990701,integral component of endoplasmic reticulum-Golgi intermediate compartment (ERGIC) membrane,C
GO:0004672,protein kinase activity,F
GO:0080182,histone H3-K4 trimethylation,P
GO:0045063,T-helper 1 cell differentiation,P
GO:0047312,L-phenylalanine:pyruvate aminotransferase activity,F
GO:0060699,regulation of endoribonuclease activity,P
GO:0005484,SNAP receptor activity,F
GO:1902514,regulation of calcium ion transmembrane transport via high voltage-gated calcium channel,P
GO:0004463,leukotriene-A4 hydrolase activity,F
GO:0046790,virion binding,F
GO:0060661,submandibular salivary gland formation,P
GO:0008140,cAMP response element binding protein binding,F
GO:0010309,acireductone dioxygenase [iron(II)-requiring] activity,F
GO:0060389,pathway-restricted SMAD protein phosphorylation,P
GO:0004149,dihydrolipoyllysine-residue succinyltransferase activity,F
GO:0006689,ganglioside catabolic process,P
GO:0051705,multi-organism behavior,P
GO:0015197,peptide transporter activity,F
GO:1904709,negative regulation of granulosa cell apoptotic process,P
GO:0010724,regulation of definitive erythrocyte differentiation,P
GO:1990709,presynaptic active zone organization,P
GO:0008509,anion transmembrane transporter activity,F
GO:1903804,glycine import across plasma membrane,P
GO:0048672,positive regulation of collateral sprouting,P
GO:0048073,regulation of eye pigmentation,P
GO:0044121,growth of symbiont in host organelle,P
GO:0070593,dendrite self-avoidance,P
GO:0046520,sphingoid biosynthetic process,P
GO:0006833,water transport,P
GO:0007183,SMAD protein complex assembly,P
GO:0045875,negative regulation of sister chromatid cohesion,P
GO:0042759,long-chain fatty acid biosynthetic process,P
GO:0042995,cell projection,C
GO:0045347,negative regulation of MHC class II biosynthetic process,P
GO:0050966,detection of mechanical stimulus involved in sensory perception of pain,P
GO:0035939,microsatellite binding,F
GO:0070734,histone H3-K27 methylation,P
GO:0030286,dynein complex,C
GO:0008297,single-stranded DNA exodeoxyribonuclease activity,F
GO:0006796,phosphate-containing compound metabolic process,P
GO:0043796,glyceraldehyde dehydrogenase (NADP) activity,F
GO:0046596,regulation of viral entry into host cell,P
GO:0015275,"stretch-activated, cation-selective, calcium channel activity",F
GO:0018738,S-formylglutathione hydrolase activity,F
GO:0046256,"2,4,6-trinitrotoluene catabolic process",P
GO:1901627,negative regulation of postsynaptic membrane organization,P
GO:0035064,methylated histone binding,F
GO:0018960,4-nitrophenol metabolic process,P
GO:0032807,DNA ligase IV complex,C
GO:0002940,tRNA N2-guanine methylation,P
GO:0021918,regulation of transcription from RNA polymerase II promoter involved in somatic motor neuron fate commitment,P
GO:0043434,response to peptide hormone,P
GO:0044557,relaxation of smooth muscle,P
GO:0010988,regulation of low-density lipoprotein particle clearance,P
GO:0030913,paranodal junction assembly,P
GO:0048566,embryonic digestive tract development,P
GO:0014901,satellite cell activation involved in skeletal muscle regeneration,P
GO:0046711,GDP biosynthetic process,P
GO:0051568,histone H3-K4 methylation,P
GO:0014028,notochord formation,P
GO:0043998,H2A histone acetyltransferase activity,F
GO:0004930,G-protein coupled receptor activity,F
GO:0001665,"alpha-N-acetylgalactosaminide alpha-2,6-sialyltransferase activity",F
GO:0016533,cyclin-dependent protein kinase 5 holoenzyme complex,C
GO:1903384,negative regulation of hydrogen peroxide-induced neuron intrinsic apoptotic signaling pathway,P
GO:0032446,protein modification by small protein conjugation,P
GO:0015643,toxic substance binding,F
GO:0062153,C5-methylcytidine-containing RNA binding,F
GO:0004507,steroid 11-beta-monooxygenase activity,F
GO:0001806,type IV hypersensitivity,P
GO:0045092,interleukin-18 receptor complex,C
GO:1990844,interfibrillar mitochondrion,C
GO:0032692,negative regulation of interleukin-1 production,P
GO:0045745,positive regulation of G-protein coupled receptor protein signaling pathway,P
GO:0010766,negative regulation of sodium ion transport,P
GO:0043715,"2,3-diketo-5-methylthiopentyl-1-phosphate enolase activity",F
GO:0004407,histone deacetylase activity,F
GO:0003431,growth plate cartilage chondrocyte development,P
GO:0051567,histone H3-K9 methylation,P
GO:0006565,L-serine catabolic process,P
GO:0014033,neural crest cell differentiation,P
GO:0001933,negative regulation of protein phosphorylation,P
GO:0036065,fucosylation,P
GO:0033685,negative regulation of luteinizing hormone secretion,P
GO:0070442,integrin alphaIIb-beta3 complex,C
GO:0032886,regulation of microtubule-based process,P
GO:0044326,dendritic spine neck,C
GO:0046877,regulation of saliva secretion,P
GO:1903307,positive regulation of regulated secretory pathway,P
GO:0019310,inositol catabolic process,P
GO:1901640,XTP binding,F
GO:0043200,response to amino acid,P
GO:0090235,regulation of metaphase plate congression,P
GO:0061670,evoked neurotransmitter secretion,P
GO:0032770,positive regulation of monooxygenase activity,P
GO:0003948,N4-(beta-N-acetylglucosaminyl)-L-asparaginase activity,F
GO:1903350,response to dopamine,P
GO:0015205,nucleobase transmembrane transporter activity,F
GO:0034979,NAD-dependent protein deacetylase activity,F
GO:0072611,interleukin-13 secretion,P
GO:0031547,brain-derived neurotrophic factor receptor signaling pathway,P
GO:0003844,"1,4-alpha-glucan branching enzyme activity",F
GO:0030123,AP-3 adaptor complex,C
GO:1900103,positive regulation of endoplasmic reticulum unfolded protein response,P
GO:0052369,positive regulation by symbiont of defense-related host reactive oxygen species production,P
GO:0034378,chylomicron assembly,P
GO:0046081,dUTP catabolic process,P
GO:0097069,cellular response to thyroxine stimulus,P
GO:0097119,postsynaptic density protein 95 clustering,P
GO:0048169,regulation of long-term neuronal synaptic plasticity,P
GO:0072542,protein phosphatase activator activity,F
GO:1904571,positive regulation of selenocysteine incorporation,P
GO:0046488,phosphatidylinositol metabolic process,P
GO:0051592,response to calcium ion,P
GO:0018842,3-carboxymuconate cycloisomerase type II activity,F
GO:0006766,vitamin metabolic process,P
GO:0010873,positive regulation of cholesterol esterification,P
GO:0005771,multivesicular body,C
GO:0060470,positive regulation of cytosolic calcium ion concentration involved in egg activation,P
GO:0008541,"proteasome regulatory particle, lid subcomplex",C
GO:0047954,glycerol-2-phosphatase activity,F
GO:0048599,oocyte development,P
GO:0017024,myosin I binding,F
GO:0050428,3'-phosphoadenosine 5'-phosphosulfate biosynthetic process,P
GO:0003218,cardiac left ventricle formation,P
GO:0045105,intermediate filament polymerization or depolymerization,P
GO:0086091,regulation of heart rate by cardiac conduction,P
GO:0051039,positive regulation of transcription involved in meiotic cell cycle,P
GO:0035529,NADH pyrophosphatase activity,F
GO:0019530,taurine metabolic process,P
GO:0035252,UDP-xylosyltransferase activity,F
GO:0000467,"exonucleolytic trimming to generate mature 3'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",P
GO:0001505,regulation of neurotransmitter levels,P
GO:0035847,uterine epithelium development,P
GO:1900133,regulation of renin secretion into blood stream,P
