act_id,struct_id,target_id,target_name,target_class,accession,gene,swissprot,act_value,act_type,act_comment,act_source,relation,moa,moa_source,act_source_url,moa_source_url,action_type,first_in_class,tdl,act_ref_id,moa_ref_id,organism
219698,1285,4574,CDGSH iron-sulfur domain-containing protein 1,Unclassified,Q9NZ45,CISD1,CISD1_HUMAN,5.14,Ki,Displacement of [3H]rosiglitazone from recombinant human C-terminal His-tagged MitoNEET cytosolic domain (32 to 108 residues) expressed in Escherichia coli BL21 by Cheng-Prusoff analysis,CHEMBL,=,,,,,,,Tchem,,,Homo sapiens
185018,1045,52,Tyrosine-protein kinase JAK3,Kinase,P52333,JAK3,JAK3_HUMAN,6.15,Kd,Binding constant for JAK3(JH1domain-catalytic) kinase domain,CHEMBL,=,,,,,,,Tclin,,,Homo sapiens
26516,2470,102,5-hydroxytryptamine receptor 2B,GPCR,P41595,HTR2B,5HT2B_HUMAN,6.5,Ki,,IUPHAR,=,,,,,ANTAGONIST,,Tclin,,,Homo sapiens
221429,5495,382,Tyrosine-protein kinase ABL1,Kinase,P00519,ABL1,ABL1_HUMAN,8.59,IC50,Radiometric filter binding assay,DRUG LABEL,=,1.0,DRUG LABEL,"https://www.accessdata.fda.gov/drugsatfda_docs/nda/2021/215358Orig1s000,Orig2s000MultidisciplineR.pdf",https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/215358s000Orig2lbl.pdf,INHIBITOR,,Tclin,3274.0,3273.0,Homo sapiens
215524,4381,98,Sodium-dependent serotonin transporter,Transporter,P31645,SLC6A4,SC6A4_HUMAN,8.95,IC50,Inhibition of the reuptake of [<sup>3</sup>H]5-HT,IUPHAR,=,1.0,IUPHAR,,http://www.guidetopharmacology.org/GRAC/LigandDisplayForward?ligandId=7901,INHIBITOR,,Tclin,,,Homo sapiens
184283,1227,667,Bile acid receptor,Nuclear hormone receptor,Q96RI1,NR1H4,NR1H4_HUMAN,4.86,IC50,Antagonist activity at human GTS-tagged FXR after 20 mins by TR-FRET assay,CHEMBL,=,,,,,,,Tclin,,,Homo sapiens
183763,949,2472,Astrosclerin-3,Enzyme,A6YCJ1,,A6YCJ1_9METZ,6.55,Ki,Inhibition of GST-tagged astrosclera willeyana Astrosclerin-3 expressed in Escherichia coli after 15 mins preincubation by stopped flow CO2 hydration assay,CHEMBL,=,,,,,,,,,,Astrosclera willeyana
37650,2561,102,5-hydroxytryptamine receptor 2B,GPCR,P41595,HTR2B,5HT2B_HUMAN,5.877,Ki,DRUGMATRIX: Serotonin (5-Hydroxytryptamine) 5-HT2B radioligand binding (ligand: [3H] Lysergic acid diethylamide),DRUG MATRIX,=,,,,,,,Tclin,,,Homo sapiens
220253,5426,2137,Non-receptor tyrosine-protein kinase TYK2,Kinase,P29597,TYK2,TYK2_HUMAN,7.24,IC50,ATP concentration at the Km specific for Tyk2 of 40 μM,SCIENTIFIC LITERATURE,=,1.0,SCIENTIFIC LITERATURE,https://pubmed.ncbi.nlm.nih.gov/25387665,https://pubmed.ncbi.nlm.nih.gov/25387665,INHIBITOR,,Tclin,3057.0,3057.0,Homo sapiens
218245,5327,669,Fibroblast growth factor receptor 3,Kinase,P22607,FGFR3,FGFR3_HUMAN,8.523,IC50,Mechanism of Action,SCIENTIFIC LITERATURE,=,1.0,DRUG LABEL,https://pubmed.ncbi.nlm.nih.gov/31161538,https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/212018s000lbl.pdf,INHIBITOR,,Tclin,2588.0,2587.0,Homo sapiens
222512,4654,2168,Mitogen-activated protein kinase kinase kinase MLT,Kinase,Q9NYL2,ZAK,MLTK_HUMAN,6.56,Kd,"Kinobeads (epsilon), multiple immobilized ATP-competitive broad spectrum kinase inhibitors, used to assess residual binding of ~300 proteins simultaneously from cell lysate in the presence of a compound. Quantitative readout performed by mass spectrometry.",CHEMBL,=,,,,,,,Tchem,,,Homo sapiens
215672,2105,106,Alpha-1A adrenergic receptor,GPCR,P35348,ADRA1A,ADA1A_HUMAN,5.98,Ki,,PDSP,,,,,,,,Tclin,,,Homo sapiens
216965,138,3271,Cation channel sperm-associated protein 2,Ion channel,Q96P56,CATSPER2,CTSR2_HUMAN,6.3,EC50,Patch clamp electrophysiology.,IUPHAR,=,,,,,ACTIVATOR,,Tchem,,,Homo sapiens
187800,4187,2354,Serine/threonine-protein kinase TAO3,Kinase,Q9H2K8,TAOK3,TAOK3_HUMAN,6.31,Kd,Binding constant for TAOK3 kinase domain,CHEMBL,=,,,,,,,Tbio,,,Homo sapiens
219092,5311,3989,Beta-3 adrenergic receptor,GPCR,P26255,Adrb3,ADRB3_RAT,7.07,EC50,Agonist activity at rat beta3 adrenergic receptor expressed in CHO cells assessed as accumulation of cAMP after 30 mins by TR-FRET assay,CHEMBL,=,,,,,,,,,,Rattus norvegicus
33888,249,1716,Melanocortin receptor 4,GPCR,P32245,MC4R,MC4R_HUMAN,4.87,Ki,DRUGMATRIX: Melanocortin MC4 radioligand binding (ligand: [125I] NDP-alpha-MSH),DRUG MATRIX,=,,,,,,,Tclin,,,Homo sapiens
164709,2326,106,Alpha-1A adrenergic receptor,GPCR,P35348,ADRA1A,ADA1A_HUMAN,,,,WOMBAT-PK,,,,,,,,Tclin,,,Homo sapiens
164730,888,106,Alpha-1A adrenergic receptor,GPCR,P35348,ADRA1A,ADA1A_HUMAN,,,,WOMBAT-PK,,,,,,,,Tclin,,,Homo sapiens
220456,5457,5130,Complement C3,Unclassified,P01024,C3,CO3_HUMAN,6.6,IC50,MoA - inhibition of complement activation evaluated in ELISA assay,SCIENTIFIC LITERATURE,=,1.0,DRUG LABEL,https://pubmed.ncbi.nlm.nih.gov/24497537,https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/215014s000lbl.pdf,INHIBITOR,,Tbio,3221.0,3220.0,Homo sapiens
34049,431,54,Beta-1 adrenergic receptor,GPCR,P08588,ADRB1,ADRB1_HUMAN,8.399,Ki,DRUGMATRIX: Adrenergic beta1 radioligand binding (ligand: [125I] Cyanopindolol),DRUG MATRIX,=,1.0,CHEMBL,,https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1201237,ANTAGONIST,,Tclin,,,Homo sapiens
186715,785,2461,Dual specificity mitogen-activated protein kinase kinase 5,Kinase,Q13163,MAP2K5,MP2K5_HUMAN,8.48,Kd,Binding constant for MEK5 kinase domain,CHEMBL,=,,,,,,,Tchem,,,Homo sapiens
181289,1624,2580,Carbonic anhydrase 2,Enzyme,P9WPJ9,mtcA2,MTCA2_MYCTU,4.51,Ki,Inhibition of full length Mycobacterium tuberculosis H37Rv recombinant carbonic anhydrase 2 encoded by RV3588c by stopped flow CO2 hydration assay,CHEMBL,=,,,,,,,,,,Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)
183861,1912,2426,Signal transducer and activator of transcription 3,Transcription factor,P40763,STAT3,STAT3_HUMAN,6.6,IC50,Inhibition of STAT3 in human HeLa cells after 24 hrs by luciferase reporter gene assay,CHEMBL,=,,,,,,,Tchem,,,Homo sapiens
215535,5154,3723,Genome polyprotein,Polyprotein,Q5I2N3,,POLG_HCV6A,11.097,EC50,,DRUG LABEL,=,1.0,DRUG LABEL,http://www.accessdata.fda.gov/drugsatfda_docs/label/2016/208341s000lbl.pdf,http://www.accessdata.fda.gov/drugsatfda_docs/label/2016/208341s000lbl.pdf,INHIBITOR,,,613.0,613.0,Hepatitis C virus genotype 6a (isolate 6a33) (HCV)
223515,1231,314,Aldose reductase,Enzyme,P15121,AKR1B1,ALDR_HUMAN,4.28,IC50,"Inhibition of recombinant human ALR2 using D,L-glyceraldehyde and NADPH as substrate preincubated for 3 mins followed by substrate addition and measured for 3 mins by spectrophotometric analysis",CHEMBL,=,,,,,,,Tclin,,,Homo sapiens
222356,5289,905,Mitogen-activated protein kinase 9,Kinase,P45984,MAPK9,MK09_HUMAN,6.04,Kd,"Kinobeads (epsilon), multiple immobilized ATP-competitive broad spectrum kinase inhibitors, used to assess residual binding of ~300 proteins simultaneously from cell lysate in the presence of a compound. Quantitative readout performed by mass spectrometry.",CHEMBL,=,,,,,,,Tchem,,,Homo sapiens
35590,1103,66,Prostaglandin G/H synthase 1,Enzyme,P23219,PTGS1,PGH1_HUMAN,5.577,IC50,DRUGMATRIX: Cyclooxygenase COX-1 enzyme inhibition (substrate: Arachidonic acid),DRUG MATRIX,=,,,,,,,Tclin,,,Homo sapiens
219453,1751,1124,Bifunctional dihydrofolate reductase-thymidylate synthase,Enzyme,P13922,,DRTS_PLAFK,7.08,IC50,Inhibition of Plasmodium falciparum DHFR,CHEMBL,=,,,,,,,,,,Plasmodium falciparum
162971,1353,101,5-hydroxytryptamine receptor 2A,GPCR,P28223,HTR2A,5HT2A_HUMAN,7.0,Ki,,WOMBAT-PK,=,,,,,ANTAGONIST,,Tclin,,,Homo sapiens
224101,2553,3504,Nuclear receptor subfamily 2 group E member 1,Nuclear hormone receptor,Q9Y466,NR2E1,NR2E1_HUMAN,5.3,EC50,Agonist activity at in human TLX LBD expressed in human HEK293T cells coexpressing Gal4-VP 16 assessed as increase in reporter activity measured after 14 hrs by luciferase reporter gene assay relative to control,CHEMBL,=,,,,,,,Tbio,,,Homo sapiens
217719,5231,2178,NT-3 growth factor receptor,Kinase,Q16288,NTRK3,NTRK3_HUMAN,5.77,Kd,Binding constant for TRKC kinase domain,CHEMBL,=,,,,,,,Tclin,,,Homo sapiens
37567,2525,988,Androgen receptor,Transcription factor,P15207,Ar,ANDR_RAT,4.533,Ki,DRUGMATRIX: Androgen (Testosterone) AR radioligand binding (ligand: [3H] Mibolerone),DRUG MATRIX,=,,,,,,,,,,Rattus norvegicus
223771,2714,4926,Transient receptor potential cation channel subfamily V member 2,Ion channel,Q9Y5S1,TRPV2,TRPV2_HUMAN,5.0,IC50,,IUPHAR,=,,,,,BLOCKER,,Tchem,,,Homo sapiens
221003,2146,5253,Alpha-1B adrenergic receptor,GPCR,G3HDX1,,G3HDX1_CRIGR,8.0,EC50,Agonist activity at hamster recombinant alpha-1B receptor expressed in HEK293 cells coexpressing Gag-pol assessed as increase in intracellular calcium measured after 60 mins by fluo-4 dye based FLIPR assay,CHEMBL,=,,,,,,,,,,Cricetulus griseus
222051,4716,839,Tyrosine-protein kinase Fgr,Kinase,P09769,FGR,FGR_HUMAN,7.42,Kd,"Kinobeads (epsilon), multiple immobilized ATP-competitive broad spectrum kinase inhibitors, used to assess residual binding of ~300 proteins simultaneously from cell lysate in the presence of a compound. Quantitative readout performed by mass spectrometry.",CHEMBL,=,,,,,,,Tchem,,,Homo sapiens
164637,1824,110,Histamine H1 receptor,GPCR,P35367,HRH1,HRH1_HUMAN,8.84,Ki,,WOMBAT-PK,=,1.0,SCIENTIFIC LITERATURE,,https://pubmed.ncbi.nlm.nih.gov/1354949,ANTAGONIST,,Tclin,,486.0,Homo sapiens
163855,2561,2493,Solute carrier family 22 member 2,Transporter,O15244,SLC22A2,S22A2_HUMAN,4.061,IC50,,WOMBAT-PK,=,,,,,,,Tchem,,,Homo sapiens
3467,1497,229,Catalase-peroxidase,Enzyme,P9WIE4,katG,KATG_MYCTO,,,,WOMBAT-PK,,,,,,,,,,,Mycobacterium tuberculosis (strain CDC 1551 / Oshkosh)
185130,2339,2850,Adrenergic receptor alpha-2,GPCR,P19328|P22086|P22909,Adra2b|Adra2c|Adra2a,ADA2B_RAT|ADA2C_RAT|ADA2A_RAT,5.25,IC50,In vitro inhibitory activity against alpha-2 adrenergic receptor from rat brain minus cerebellum using [3H]clonidine as radioligand,CHEMBL,=,,,,,,,,,,Rattus norvegicus
215693,1891,101,5-hydroxytryptamine receptor 2A,GPCR,P28223,HTR2A,5HT2A_HUMAN,5.773,Ki,,PDSP,,,,,,,,Tclin,,,Homo sapiens
222945,4914,2576,Protein cereblon,Cytosolic other,Q96SW2,CRBN,CRBN_HUMAN,5.33,Ki,Binding affinity to human CRBN-thalidomide binding domain expressed in Escherichia coli by measuring baseline corrected normalized fluorescence by MST based assay,CHEMBL,=,,,,,,,Tclin,,,Homo sapiens
223744,5740,3515,Complement C5,Secreted,P01031,C5,CO5_HUMAN,,,Mechanism of Action,UNKNOWN,=,1.0,DRUG LABEL,,https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/761339s000lbl.pdf,INHIBITOR,,Tclin,,3700.0,Homo sapiens
218929,5347,535,Tyrosine-protein kinase Fyn,Kinase,P06241,FYN,FYN_HUMAN,7.42,Kd,Binding constant for FYN kinase domain,CHEMBL,=,,,,,,,Tclin,,,Homo sapiens
186175,1282,839,Tyrosine-protein kinase Fgr,Kinase,P09769,FGR,FGR_HUMAN,5.59,Kd,Binding constant for FGR kinase domain,CHEMBL,=,,,,,,,Tchem,,,Homo sapiens
222994,2611,5390,Alpha-synuclein,Transporter,P37840,SNCA,SYUA_HUMAN,5.22,IC50,Inhibition of alpha-synuclein fibril formation (unknown origin) incubated for 24 hrs to 7 days by thioflavin S based fluorescence assay,CHEMBL,=,,,,,,,Tchem,,,Homo sapiens
182872,1992,1855,5-hydroxytryptamine receptor 4,GPCR,Q62758,Htr4,5HT4R_RAT,5.92,Ki,The binding affinity was measured on 5-hydroxytryptamine 4 receptor using [3H]- GR-113808 as radioligand.,CHEMBL,=,,,,,,,,,,Rattus norvegicus
37419,2391,268,Cytochrome P450 2C9,Enzyme,P11712,CYP2C9,CP2C9_HUMAN,7.796,IC50,"DRUGMATRIX: CYP450, 2C9 enzyme inhibition (substrate: 3-Cyano-7-ethoxycoumarin)",DRUG MATRIX,=,,,,,,,Tchem,,,Homo sapiens
216376,885,1749,5-hydroxytryptamine receptor 1A,GPCR,P19327,Htr1a,5HT1A_RAT,8.58,IC50,,CHEMBL,=,,,,,,,,,,Rattus norvegicus
181000,947,1814,D(2) dopamine receptor,GPCR,P20288,DRD2,DRD2_BOVIN,8.74,Ki,Binding Affinity on high Affinity Site of Bovine dopamine receptor D2. Tested for ability to displace the radioligand [3H]pramipexole was tested,CHEMBL,=,,,,,,,,,,Bos taurus
164601,1816,113,Muscarinic acetylcholine receptor M1,GPCR,P11229,CHRM1,ACM1_HUMAN,,,,WOMBAT-PK,,,,,,,,Tclin,,,Homo sapiens
170607,201,877,"cGMP-inhibited 3',5'-cyclic phosphodiesterase B",Enzyme,Q13370,PDE3B,PDE3B_HUMAN,4.51,IC50,,IUPHAR,=,,,,,INHIBITOR,,Tclin,,,Homo sapiens
181498,1809,1890,Cyclic nucleotide phosphodiesterase PDE3A,Enzyme,Q9XSW7,,Q9XSW7_PIG,6.07,IC50,"Inhibition of phosphodiesterase 3 (PDE3) from porcine platelets, range 0.581-1.23",CHEMBL,=,,,,,,,,,,Sus scrofa
163161,1794,61,Sodium channel protein type 5 subunit alpha,Ion channel,Q14524,SCN5A,SCN5A_HUMAN,4.53,IC50,,WOMBAT-PK,=,1.0,CHEMBL,,https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL146855,BLOCKER,,Tclin,,,Homo sapiens
162851,1129,111,Histamine H2 receptor,GPCR,P25021,HRH2,HRH2_HUMAN,7.93,Kd,,WOMBAT-PK,=,1.0,CHEMBL,,https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL902,ANTAGONIST,,Tclin,,,Homo sapiens
38428,4425,535,Tyrosine-protein kinase Fyn,Kinase,P06241,FYN,FYN_HUMAN,6.018,IC50,"DRUGMATRIX: Protein Tyrosine Kinase, Fyn enzyme inhibition (substrate: Poly(Glu:Tyr))",DRUG MATRIX,=,,,,,,,Tclin,,,Homo sapiens
162760,427,135,Solute carrier family 12 member 1,Transporter,Q13621,SLC12A1,S12A1_HUMAN,7.6,Ki,,WOMBAT-PK,=,1.0,CHEMBL,,https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1072,INHIBITOR,,Tclin,,,Homo sapiens
34236,621,1718,Melanocortin receptor 3,GPCR,P41968,MC3R,MC3R_HUMAN,4.673,Ki,DRUGMATRIX: Melanocortin MC3 radioligand binding (ligand: [125I] NDP-alpha-MSH),DRUG MATRIX,=,,,,,,,Tchem,,,Homo sapiens
180642,4966,3512,Interleukin-12,Cytokine,P29459|P29460,IL12A|IL12B,IL12A_HUMAN|IL12B_HUMAN,,,Mechanism of Action,DRUG LABEL,,1.0,DRUG LABEL,http://www.accessdata.fda.gov/drugsatfda_docs/label/2014/125261s114lbl.pdf,http://www.accessdata.fda.gov/drugsatfda_docs/label/2014/125261s114lbl.pdf,ANTIBODY BINDING,1.0,Tclin|Tclin|Tclin|Tclin,228.0,228.0,Homo sapiens
27220,2717,131,5-hydroxytryptamine receptor 1D,GPCR,P28221,HTR1D,5HT1D_HUMAN,6.975,Ki,,PDSP,=,,,,,,,Tclin,,,Homo sapiens
183409,1780,103,5-hydroxytryptamine receptor 2C,GPCR,P28335,HTR2C,5HT2C_HUMAN,,,Mechanism of Action; CHEMBL225; SINGLE PROTEIN,CHEMBL,,1.0,CHEMBL,,https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1201342,ANTAGONIST,,Tclin,,,Homo sapiens
163465,928,81,Translocator protein,Transporter,P30536,TSPO,TSPO_HUMAN,,,,WOMBAT-PK,,,,,,,,Tchem,,,Homo sapiens
215534,5154,3722,Genome polyprotein,Polyprotein,O91936,,POLG_HCVSA,10.426,EC50,,DRUG LABEL,=,1.0,DRUG LABEL,http://www.accessdata.fda.gov/drugsatfda_docs/label/2016/208341s000lbl.pdf,http://www.accessdata.fda.gov/drugsatfda_docs/label/2016/208341s000lbl.pdf,INHIBITOR,,,613.0,613.0,Hepatitis C virus genotype 5a (isolate SA13) (HCV)
187741,4187,2202,Serine/threonine-protein kinase TNNI3K,Kinase,Q59H18,TNNI3K,TNI3K_HUMAN,6.96,Kd,Binding constant for TNNI3K kinase domain,CHEMBL,=,,,,,,,Tchem,,,Homo sapiens
187970,4207,3494,Inositol-1(or 4)-monophosphatase 1,Enzyme,P29218,IMPA1,IMPA1_HUMAN,,,Mechanism of Action; CHEMBL1786; SINGLE PROTEIN,CHEMBL,,1.0,CHEMBL,,https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1200826,INHIBITOR,,Tclin,,,Homo sapiens
221727,4190,2240,Mitogen-activated protein kinase kinase kinase 11,Kinase,Q16584,MAP3K11,M3K11_HUMAN,5.72,Kd,"Kinobeads (epsilon), multiple immobilized ATP-competitive broad spectrum kinase inhibitors, used to assess residual binding of ~300 proteins simultaneously from cell lysate in the presence of a compound. Quantitative readout performed by mass spectrometry.",CHEMBL,=,,,,,,,Tchem,,,Homo sapiens
185845,1610,1805,Type-2 angiotensin II receptor,GPCR,P35351,Agtr2,AGTR2_RAT,5.13,IC50,"In vitro inhibitory activity against Angiotensin II receptor, type 2 in rat midbrain membrane preparations.",CHEMBL,=,,,,,,,,,,Rattus norvegicus
181322,1015,147,Adenosine receptor A2b,GPCR,P29275,ADORA2B,AA2BR_HUMAN,5.33,Ki,"Binding affinity at human Adenosine A2B receptor expressed in HEK293 cells, using [125I]ABOPX as radioligand",CHEMBL,=,,,,,,,Tclin,,,Homo sapiens
188189,4304,2060,Sodium/glucose cotransporter 2,Transporter,P53792,Slc5a2,SC5A2_RAT,8.52,EC50,Inhibition of rat SGLT2 expressed in CHO cells assessed as inhibition of [14C]AMG accumulation,CHEMBL,=,,,,,,,,,,Rattus norvegicus
163730,1774,2738,GABA-A receptor alpha-1/beta-3/gamma-2,Ion channel,P14867|P18507|P28472,GABRA1|GABRG2|GABRB3,GBRA1_HUMAN|GBRG2_HUMAN|GBRB3_HUMAN,,,,WOMBAT-PK,,1.0,CHEMBL,,https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1200790,POSITIVE ALLOSTERIC MODULATOR,,Tclin|Tclin|Tclin|Tclin|Tclin|Tclin|Tclin|Tclin|Tclin,,,Homo sapiens
219528,2080,158,D(4) dopamine receptor,GPCR,P21917,DRD4,DRD4_HUMAN,6.0,Ki,Displacement of [3H]N-methylspiperone from human dopamine D4 receptor by radioligand binding assay,CHEMBL,=,,,,,,,Tchem,,,Homo sapiens
222906,5288,5467,Heat sensitive channel TRPV3,Unclassified,Q4QYD9,,Q4QYD9_RAT,6.29,EC50,Agonist activity at rat TRPV3 stably transfected in HEK293 cells assessed as increase in calcium influx in presence of ionomycin by Fluo-4-AM dye based spectrofluorimetric method,CHEMBL,=,,,,,,,,,,Rattus norvegicus
172501,4941,2322,Cyclin-dependent kinase 4,Kinase,P11802,CDK4,CDK4_HUMAN,7.959,IC50,Cdk4/cyclin D1,SCIENTIFIC LITERATURE,=,1.0,DRUG LABEL,https://pubmed.ncbi.nlm.nih.gov/15542782,http://www.accessdata.fda.gov/drugsatfda_docs/label/2015/207103s000lbl.pdf,INHIBITOR,,Tclin,171.0,170.0,Homo sapiens
164597,2014,113,Muscarinic acetylcholine receptor M1,GPCR,P11229,CHRM1,ACM1_HUMAN,6.13,Ki,,WOMBAT-PK,=,,,,,,,Tclin,,,Homo sapiens
181636,56,2579,Delta carbonic anhydrase,Unclassified,Q5U9J1,ca1,Q5U9J1_THAWE,7.08,Ki,Inhibition of Thalassiosira weissflogii delta carbonic anhydrase preincubated for 15 mins by stopped flow CO2 hydration assay,CHEMBL,=,,,,,,,,,,Thalassiosira weissflogii
180927,488,2583,Acetylcholine receptor subunit alpha,Ion channel,P02710,CHRNA1,ACHA_TORCA,5.12,IC50,Displacement of [3H]alpha-BGT from nAChR in Torpedo nobiliana electric organs,CHEMBL,=,,,,,,,,,,Torpedo californica
221146,1164,920,Solute carrier family 22 member 1,Transporter,O15245,SLC22A1,S22A1_HUMAN,4.34,IC50,Inhibition of human OCT1 expressed in HEK293 cells assessed as reduction in ASP+ substrate uptake by microplate reader based analysis,CHEMBL,=,,,,,,,Tchem,,,Homo sapiens
186320,2459,532,Proto-oncogene tyrosine-protein kinase Src,Kinase,P12931,SRC,SRC_HUMAN,6.41,IC50,Inhibition of recombinant c-Src by radioactive phosphotransfer assay in presence of 10 uM ATP,CHEMBL,=,,,,,,,Tclin,,,Homo sapiens
187610,4178,808,Fibroblast growth factor receptor 2,Kinase,P21802,FGFR2,FGFR2_HUMAN,5.96,Kd,Binding constant for FGFR2 kinase domain,CHEMBL,=,,,,,,,Tclin,,,Homo sapiens
25792,1775,104,5-hydroxytryptamine receptor 6,GPCR,P50406,HTR6,5HT6R_HUMAN,6.8,Ki,,IUPHAR,=,,,,,ANTAGONIST,,Tchem,,,Homo sapiens
33898,260,103,5-hydroxytryptamine receptor 2C,GPCR,P28335,HTR2C,5HT2C_HUMAN,6.276,Ki,DRUGMATRIX: Serotonin (5-Hydroxytryptamine) 5-HT2C radioligand binding (ligand: [3H] Mesulergine),DRUG MATRIX,=,,,,,,,Tclin,,,Homo sapiens
27759,1524,107,Alpha-2B adrenergic receptor,GPCR,P18089,ADRA2B,ADA2B_HUMAN,6.701,Ki,,PDSP,=,,,,,,,Tclin,,,Homo sapiens
183176,3514,1788,Alcohol dehydrogenase [NADP(+)],Enzyme,P51635,Akr1a1,AK1A1_RAT,5.63,IC50,In vitro inhibitory activity against aldehyde reductase 1 (ALR1) from rat kidney.,CHEMBL,=,,,,,,,,,,Rattus norvegicus
187955,4190,2229,Dual specificity mitogen-activated protein kinase kinase 4,Kinase,P45985,MAP2K4,MP2K4_HUMAN,5.74,Kd,Binding constant for MEK4 kinase domain,CHEMBL,=,,,,,,,Tchem,,,Homo sapiens
28126,242,132,Alpha-2C adrenergic receptor,GPCR,P18825,ADRA2C,ADA2C_HUMAN,7.421,Ki,,PDSP,=,,,,,,,Tclin,,,Homo sapiens
36267,1723,83,D(2) dopamine receptor,GPCR,P14416,DRD2,DRD2_HUMAN,7.678,Ki,DRUGMATRIX: Dopamine D2L radioligand binding (ligand: [3H] Spiperone),DRUG MATRIX,=,,,,,,,Tclin,,,Homo sapiens
172035,374,116,Muscarinic acetylcholine receptor M4,GPCR,P08173,CHRM4,ACM4_HUMAN,8.62,Kd,,IUPHAR,=,,,,,ANTAGONIST,,Tclin,,,Homo sapiens
215582,1980,74,Mu-type opioid receptor,GPCR,P35372,OPRM1,OPRM_HUMAN,7.921,Ki,,PDSP,,,,,,,,Tclin,,,Homo sapiens
186345,2459,538,Serine/threonine-protein kinase B-raf,Kinase,P15056,BRAF,BRAF_HUMAN,7.66,Ki,Inhibition of B-Raf,CHEMBL,=,1.0,CHEMBL,,https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1336,INHIBITOR,1.0,Tclin,,,Homo sapiens
216431,2717,1749,5-hydroxytryptamine receptor 1A,GPCR,P19327,Htr1a,5HT1A_RAT,6.65,Ki,,CHEMBL,=,,,,,,,,,,Rattus norvegicus
215081,5091,3698,T-lymphocyte activation antigen CD80,Surface antigen,P33681,CD80,CD80_HUMAN,,,Mechanism of Action,DRUG LABEL,,1.0,DRUG LABEL,,http://www.accessdata.fda.gov/drugsatfda_docs/label/2014/125288s062lbl.pdf,INHIBITOR,,Tclin,,575.0,Homo sapiens
