struct_id,prod_id,strength
1579,667370,5%
4200,678566,8.5%;102MG/100ML;522MG/100ML;594MG/100ML;154MG/100ML
722,647811,50MG
1209,670653,EQ 60MG BASE
1906,679649,10MG/ML;0.006MG/ML;0.5MCG/ML;1.5MG/ML;20 IU/ML;0.04MG/ML;4MG/ML;0.4MG/ML;0.36MG/ML;0.3MG/ML;330 UNITS/ML;1 IU/ML
1572,663793,0.02MG;0.1MG
1384,657082,25MG;15MG;0.1MG
2233,663676,1.5MG
2806,683274,12.5MG;160MG
198,642798,EQ 1GM BASE/VIAL;EQ 500MG BASE/VIAL
1329,652948,EQ 0.1MG BASE/ML (EQ 0.1MG BASE/ML)
4203,678451,30MG/100ML;37MG/100ML;368MG/100ML;526MG/100ML;502MG/100ML
4198,679521,5GM/100ML;149MG/100ML;225MG/100ML
1385,666089,25MG;100MG
954,663802,EQ 8MG BASE
1232,676657,EQ 100MG BASE/VIAL **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**
180,656566,50MG
1385,662016,EQ 5MG BASE;12.5MG;160MG
4199,681568,3.5%;36.8MG/100ML;25GM/100ML;51MG/100ML;22.4MG/100ML;261MG/100ML;205MG/100ML
1231,682254,"N/A,80MG/VIAL;N/A,0.02MG/VIAL;N/A,0.001MG/VIAL;400 IU/10ML,N/A;N/A,0.14MG/VIAL;N/A,17MG/VIAL;N/A,5MG/VIAL;0.2MG/10ML,N/A;N/A,1MG/VIAL;N/A,1.4MG/VIAL;N/A,1.2MG/VIAL;EQ 2,300 UNITS BASE/10ML,N/A;7 IU/10ML,N/A"
1258,679632,20MG
2374,684600,200MG/5ML;0.06MG/5ML;0.005MG/5ML;15MG/5ML;0.005MG/5ML;0.6MG/5ML;40MG/5ML;6MG/5ML;3.6MG/5ML;6MG/5ML;1MG/5ML;10MG/5ML;0.15MG/5ML
845,686652,3.3%;29MG/100ML;9.8GM/100ML;96MG/100ML;174MG/100ML;239MG/100ML;147MG/100ML;3.9GM/100ML (2566ML)
4199,680310,35MG/100ML;30MG/100ML;74MG/100ML;640MG/100ML;500MG/100ML;74MG/100ML
2607,665439,1.62% (20.25MG/1.25GM ACTUATION)
4346,687724,40% (9GM/POUCH)
844,646577,650MG;100MG
2326,675753,1.2GM;120MG
546,686484,EQ 1GM BASE
1353,671969,10MG
3920,655157,EQ 4MG PHOSPHATE/ML
1587,648611,40MG
1765,686564,90MG;8MG
2846,672989,200MG/VIAL
962,669583,10MG;10MG
4200,684675,N/A/1000ML;20GM/1000ML;5.4GM/1000ML;2.03GM/1000ML;0.157GM/1000ML;3.09GM/1000ML;6.46GM/1000ML (5000ML)
1955,648634,300MG
2255,660846,50MG
1427,663229,EQ 75MG HYDROCHLORIDE
659,649121,EQ 250MG BASE
4199,678058,20MG/100ML;5GM/100ML;30MG/100ML;600MG/100ML;310MG/100ML
2029,661195,20MG
838,680348,80MG/VIAL;0.02MG/VIAL;0.001MG/VIAL;5MG/VIAL;0.01MG/VIAL;0.14MG/VIAL;17MG/VIAL;0.2MG/VIAL;1MG/VIAL;1.4MG/VIAL;EQ 1.2MG BASE/VIAL;0.7MG/VIAL;7MG/VIAL
841,650710,6.25MG;6.25MG;6.25MG;6.25MG
845,682169,4.25%;25GM/100ML;51MG/100ML;261MG/100ML;297MG/100ML;77MG/100ML
434,666892,EQ 4MG BASE;EQ 1MG BASE
78,662967,10MG
439,656099,15MG
564,642780,EQ 1GM BASE/VIAL
4199,679554,5GM/100ML;298MG/100ML
2813,649378,EQ 150MG BASE
1790,666857,140MG;125MG;125MG
4209,679056,0.5MG;EQ 1MG BASE
463,668251,300MG;50MG;40MG
661,670150,EQ 2MG BASE/ML
625,645607,100MG;25MG
703,646246,2MG
2068,647225,EQ 10MG BASE
281,641422,"500 UNITS/GM;10,000 UNITS/GM"
725,655273,300MG;60MG
1128,652535,500MG
2303,643958,20MG/5ML
4253,645355,240GM/BOT;2.98GM/BOT;6.72GM/BOT;5.84GM/BOT;22.72GM/BOT
1922,682316,30MG **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**
830,653137,6MG;120MG
659,653247,212.6MG;EQ 287.5MG BASE
4201,687559,3.68GM/1000ML;3.05GM/1000ML;0.314GM/1000ML ;3.09GM/1000ML;6.34GM/1000ML;0.187GM/1000ML (5000ML)
2146,658344,10MG/5ML;5MG/5ML;6.25MG/5ML
1883,684389,"15MG,N/A;N/A,250MG **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**"
52,640450,750MG;7.5MG
1745,640517,10MG
1767,670272,10MG
836,670441,5MG
2187,642925,EQ 3GM BASE/VIAL;EQ 375MG BASE/VIAL
496,645452,10MG;100MG
1385,644672,30MG;500MG
270,669755,15%
5077,687676,1MG
1082,647969,0.035MG;0.25MG
1865,672635,80MG
4198,682140,2.75%;20GM/100ML;51MG/100ML;261MG/100ML;216MG/100ML;112MG/100ML
865,676010,50MG
703,646963,1MG
2865,665543,EQ 60MG BASE
835,683580,EQ 80MCG BASE/20ML (EQ 4MCG BASE/ML)
765,669947,4MG
52,659253,325MG;7.5MG
2436,649147,EQ 50MG BASE
192,670370,250MG/5ML;EQ 62.5MG BASE/5ML
522,652691,12.5MG
1569,652543,0.5%
841,663326,3.75MG;3.75MG;3.75MG;3.75MG
1272,653549,EQ 4MG BASE
845,678787,20MG/100ML;5GM/100ML;30MG/100ML;600MG/100ML;310MG/100ML
1508,679949,20MG **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**
2836,683940,"80MG/VIAL;0.02MG/VIAL;400 IU/VIAL;0.001MG/VIAL;5MG/VIAL;0.14MG/VIAL;17MG/VIAL;1MG/VIAL;1.4MG/VIAL;1.2MG/VIAL;7 IU/VIAL;2,300 IU/VIAL;0.2MG/VIAL"
1343,662399,EQ 2MG BASE
708,663135,EQ 75MG BASE
1922,647731,60MG
1771,657289,EQ 1GM BASE/VIAL
441,660577,300MG;50MG
2720,687798,20MG/20ML (1MG/ML)
496,649511,25MG;250MG
299,649447,10MG;12.5MG
4203,678826,30MG/100ML;37MG/100ML;222MG/100ML;526MG/100ML;502MG/100ML
2046,670288,EQ 0.25MG BASE/5ML (EQ 0.05MG BASE/ML)
2815,645423,120MG
851,657000,52%;8%
1385,657012,25MG;15MG;0.1MG
441,658696,325MG;50MG
299,650494,EQ 5MG BASE;10MG
4205,680447,360GM/PACKET;4.47GM/PACKET;10.08GM/PACKET;8.76GM/PACKET;34.08GM/PACKET **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**
4203,683000,2.75%;33MG/100ML;10GM/100ML;51MG/100ML;261MG/100ML;217MG/100ML;112MG/100ML
2755,649985,400MG;80MG
52,644814,325MG;50MG
1057,667324,0.075MG/24HR
1386,639332,500MG;7.5MG
4199,679429,20MEQ
2122,656155,35MG
845,681066,4.25%;25GM/100ML;51MG/100ML;22.4MG/100ML;261MG/100ML;205MG/100ML
52,665007,325MG;5MG
1963,661300,0.03MG;1.5MG
195,672367,1.25MG;1.25MG;1.25MG;1.25MG
2763,658364,10MG/5ML;30MG/5ML;1.25MG/5ML
1659,683386,5MG/0.5ML;25MG/0.5ML
1204,658055,0.025%
1055,665821,EQ 40MG BASE/VIAL
1563,684386,100MG/ML
242,662914,15MG
956,644501,EQ 50MG BASE
183,652998,EQ 10MG BASE
708,683337,EQ 300MG BASE
1475,648357,0.021MG/SPRAY
2706,649163,25MG
1231,640023,1MG
1386,658778,500MG;5MG **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**
1385,663173,25MG;100MG
2763,657925,30MG/5ML;1.25MG/5ML
2843,668962,10MG/ML
594,677534,100MG/AMP
845,680119,510MG/100ML;30GM/100ML;200MG/100ML;9.2GM/100ML;9.6GM/100ML
2870,652747,10MG
260,656156,0.025MG;2.5MG
845,680246,5GM/100ML;149MG/100ML;300MG/100ML
434,666891,EQ 4MG BASE;EQ 1MG BASE
1572,687889,0.02MG;0.1MG
74,656956,325MG;50MG;40MG
4199,684760,N/A/1000ML;N/A/1000ML;5.4GM/1000ML;2.44GM/1000ML;N/A/1000ML;3.09GM/1000ML;6.46GM/1000ML (5000ML)
4487,658245,15GM/60ML
4212,680513,236GM/BOT;2.97GM/BOT;6.74GM/BOT;5.86GM/BOT;22.74GM/BOT
2370,654566,0.25MG
2068,683107,EQ 10MG BASE/5ML
1714,677627,0.1MG;2MG
4215,683307,2%;70% (1.5ML)
2445,670218,10MG;40MG
4199,679419,5GM/100ML;30MG/100ML;37MG/100ML;370MG/100ML;530MG/100ML;500MG/100ML
4199,671728,20MEQ/15ML
2977,687437,50MG/VIAL
2514,643129,400MG;80MG
845,680793,20MG/100ML;5GM/100ML;105MG/100ML;600MG/100ML;310MG/100ML
484,646072,12.5MG
1209,651145,EQ 25MG BASE;EQ 6MG BASE
4199,687559,3.68GM/1000ML;3.05GM/1000ML;0.314GM/1000ML ;3.09GM/1000ML;6.34GM/1000ML;0.187GM/1000ML (5000ML)
546,642759,EQ 500MG BASE/VIAL
1725,684900,850MG;EQ 15MG BASE
722,664136,200MG
1068,684336,2MG
3966,679206,40.3%
198,662391,EQ 10GM BASE/VIAL
4253,659296,4.7GM;100GM;1.015GM;5.9GM;2.691GM;7.5GM
845,679073,5GM/100ML;300MG/100ML;450MG/100ML
2113,645221,10MG;2MG
2755,643171,800MG;160MG
1188,667613,250MG
845,681149,5GM/100ML;150MG/100ML;200MG/100ML
1985,659444,5MG
5035,655937,0.5MG
1963,664513,0.0025MG;0.5MG
1030,642961,200MG/100ML (2MG/ML)
841,655252,5MG/5ML **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**
1407,643756,400MG
74,677166,389MG;32.4MG;32MG
282,675671,20MG
2029,639624,500MG;5MG
4947,687597,186MG
1800,661143,4%
198,659590,EQ 1GM BASE/VIAL;EQ 500MG BASE/VIAL
962,688127,20MG;20MG
1883,645679,375MG
2048,648592,90MG/10ML (9MG/ML)
4209,681639,2.5MG
1386,659254,325MG;7.5MG
2514,649838,400MG;80MG
916,655091,50MG
158,643438,EQ 5MG ANHYDROUS;50MG
1790,680542,250MG
2597,685220,EQ 187.5MG BASE/PACKET
52,657497,500MG;5MG
5035,679063,1MG **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**
4202,681428,20MG/100ML;5GM/100ML;104MG/100ML;600MG/100ML;310MG/100ML
644,650530,50MG
195,672746,1.25MG;1.25MG;1.25MG;1.25MG
2620,655933,EQ 150MG BASE
581,652640,10MG
836,668039,2.5MG
1164,684092,EQ 40MCG BASE/ACTIVATION
57,644666,500MG
2122,656042,35MG
4200,684699,3.68GM/1000ML;20GM/1000ML;5.4GM/1000ML;3.05GM/1000ML;N/A/1000ML;3.09GM/1000ML;6.46GM/1000ML (5000ML)
1985,668625,EQ 10MG BASE;40MG
725,655518,325MG;30MG
4200,681055,3.5%;5GM/100ML;30MG/100ML;97MG/100ML;120MG/100ML;49.3MG/100ML
1610,650986,50MG
1358,678323,"20,000 UNITS/ML"
4742,642615,EQ 15 UNITS BASE/VIAL
845,683008,4.25%;33MG/100ML;5GM/100ML;51MG/100ML;261MG/100ML;297MG/100ML;77MG/100ML
2497,658020,184MG;143.75MG;172.5MG
1714,678099,0.08MG;1MG
489,650648,300MG
1018,664500,50MG;200MG;200MG
5068,674845,50MG
257,649210,EQ 10MG BASE
841,667408,5MG;5MG;5MG;5MG
845,679688,26MG/100ML;1.5GM/100ML;15MG/100ML;560MG/100ML;390MG/100ML
463,649359,325MG;50MG;40MG;30MG
4199,686643,3.3%;29MG/100ML;9.8GM/100ML;96MG/100ML;174MG/100ML;239MG/100ML;147MG/100ML;3.9GM/100ML (1540ML)
2294,677591,0.5% **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**
4198,682816,0.2MG/ML;0.8MG/ML;0.3MG/ML;0.3MG/ML;1.9MG/ML;7.3MG/ML;0.2MG/ML
52,658633,325MG;50MG;40MG
441,675193,300MG;50MG;40MG
1533,684747,3.68GM/1000ML;20GM/1000ML;5.4GM/1000ML;3.05GM/1000ML;0.157GM/1000ML;2.21GM/1000ML;7.07GM/1000ML (5000ML)
195,649315,1.25MG;1.25MG;1.25MG;1.25MG
2838,682258,"N/A,80MG/VIAL;N/A,0.02MG/VIAL;N/A,0.001MG/VIAL;400 IU/10ML,N/A;N/A,0.14MG/VIAL;N/A,17MG/VIAL;N/A,5MG/VIAL;0.2MG/10ML,N/A;N/A,1MG/VIAL;N/A,1.4MG/VIAL;N/A,1.2MG/VIAL;EQ 2,300 UNITS BASE/10ML,N/A;7 IU/10ML,N/A"
4516,659977,0.25MG/VIAL
1204,677648,0.025%
2330,676966,60MG
4250,644587,80MG;20MG
659,648192,EQ 750MG BASE
1082,667922,0.03MG;0.15MG
1314,649847,1.25MG;250MG
1358,678707,"20,000 UNITS/ML"
525,642534,EQ 500MG BASE
183,685092,EQ 5MG BASE;160MG
1704,655814,325MG;200MG
3395,685135,2%;3%;10%;5%
373,680344,80MG/VIAL;0.02MG/VIAL;0.001MG/VIAL;5MG/VIAL;0.01MG/VIAL;0.14MG/VIAL;17MG/VIAL;0.2MG/VIAL;1MG/VIAL;1.4MG/VIAL;EQ 1.2MG BASE/VIAL;0.7MG/VIAL;7MG/VIAL
918,656293,0.025MG;2.5MG
1904,668651,100MG
954,647715,EQ 4MG BASE
52,654750,150MG;180MG;60MG
4203,679682,29MG/100ML;1.5GM/100ML;15MG/100ML;610MG/100ML;560MG/100ML
2279,683095,8%
1567,645435,25MG;250MG
625,658990,50MG
4206,681568,3.5%;36.8MG/100ML;25GM/100ML;51MG/100ML;22.4MG/100ML;261MG/100ML;205MG/100ML
5203,687995,EQ 250MG BASE
4196,683957,"80MG/VIAL;0.02MG/VIAL;400 IU/VIAL;0.001MG/VIAL;5MG/VIAL;0.14MG/VIAL;17MG/VIAL;1MG/VIAL;1.4MG/VIAL;1.2MG/VIAL;7 IU/VIAL;2,300 IU/VIAL;0.2MG/VIAL"
1920,651761,EQ 4MG BASE
2680,674461,EQ 12.5MG BASE/250ML (EQ 0.05MG BASE/ML)
441,657355,325MG;50MG;40MG
4197,654635,"EQ 50,000 UNITS BASE"
2346,656031,300MG
192,686452,200MG
2001,663547,EQ 45MG BASE
4199,679153,5GM/100ML;224MG/100ML;200MG/100ML
547,686368,EQ 20MG BASE/ML
180,640445,100MG
4290,686619,2.4%;20MG/100ML;6.8GM/100ML;68MG/100ML;124MG/100ML;170MG/100ML;105MG/100ML;3.5GM/100ML (1440ML)
2373,663477,600MG
1055,674122,EQ 40MG BASE
1875,677796,1GM
845,681136,5GM/100ML;220MG/100ML;110MG/100ML
2726,655774,0.025%
704,643479,0.3MG
4200,678862,8.5%;102MG/100ML;522MG/100ML;410MG/100ML
4198,679757,450MG/100ML
5068,675029,25MG
4199,681441,20MG/100ML;5GM/100ML;254MG/100ML;600MG/100ML;310MG/100ML
2514,643189,800MG;160MG
358,640300,5MG
4198,679135,5GM/100ML;200MG/100ML
1605,673509,5MG
4199,679504,5GM/100ML;224MG/100ML;450MG/100ML
961,676025,EQ 100MG BASE/VIAL
2029,640059,325MG;7.5MG
52,658618,500MG;5MG
659,652249,400MG/200ML
725,658824,300MG;60MG
845,681574,4.25%;36.8MG/100ML;20GM/100ML;51MG/100ML;22.4MG/100ML;261MG/100ML;205MG/100ML
1068,669548,1MG
4480,688580,1.18GM/5ML (236MG/ML);1.12GM/5ML (224MG/ML)
2370,655100,50MG;0.125MG
198,659603,EQ 1GM BASE/VIAL;EQ 500MG BASE/VIAL
1506,682339,20MG
1725,661965,500MG
2562,663334,0.4MG
2646,649733,0.3MG
1386,667948,300MG;5MG
2514,644964,80MG/ML;16MG/ML
2869,673252,2.5MG/SPRAY
2726,641595,EQ 3.5MG BASE/GM;0.1%
845,673141,5GM/100ML;149MG/100ML;225MG/100ML
626,672726,750MG
2870,651644,10MG
496,645337,25MG;100MG
4201,681576,4.25%;36.8MG/100ML;20GM/100ML;51MG/100ML;22.4MG/100ML;261MG/100ML;205MG/100ML
1353,644294,20MG
1606,645823,4MG/ML
1962,648686,0.035MG;0.4MG
728,675275,1GM
1725,685183,500MG;EQ 50MG BASE
4290,686622,2.4%;20MG/100ML;6.8GM/100ML;68MG/100ML;124MG/100ML;170MG/100ML;105MG/100ML;3.5GM/100ML (1920ML)
4501,684936,150MG
2374,683789,2 IU/ML;40MG/ML;12MCG/ML;40 IU/ML;1MCG/ML;3MG/ML;120MCG/ML;8MG/ML;1.2MG/ML;0.72MG/ML;1.2MG/ML;660 IU/ML;30MCG/ML
2389,650004,1MG
4246,641561,"0.1%;EQ 3.5MG BASE/GM;10,000 UNITS/GM"
1385,645377,50MG;75MG
1728,668504,10MG/ML
299,653376,5MG;6.25MG
1679,659172,10MG
192,641277,250MG/5ML
1816,666887,15MG
5388,688727,EQ 10MG BASE
441,658943,325MG;50MG;40MG
2656,686198,EQ 100MG BASE/VIAL;EQ 3GM BASE/VIAL
1040,665526,75MG/100ML
1767,683923,10MG
2270,658174,100MG/ML
4206,682136,2.75%;15GM/100ML;51MG/100ML;261MG/100ML;216MG/100ML;112MG/100ML
2286,661616,15MG/5ML;6.25MG/5ML
522,650122,3.125MG
4133,652047,450MG/45ML (10MG/ML)
395,648782,0.2%
52,644249,650MG;100MG
1920,682225,21MG/24HR
52,654733,500MG;5MG
2553,665974,2.5MG
725,658394,10MG/5ML;5MG/5ML;6.25MG/5ML
1563,650760,750MG
4202,680794,20MG/100ML;5GM/100ML;105MG/100ML;600MG/100ML;310MG/100ML
183,662382,EQ 10MG BASE
4205,684725,3.68GM/1000ML;N/A/1000ML;5.4GM/1000ML;3.05GM/1000ML;0.314GM/1000ML;3.09GM/1000ML;6.46GM/1000ML (5000ML)
276,643103,EQ 250MG BASE
1384,656661,25MG;15MG;0.1MG
1567,645337,25MG;100MG
1386,664037,325MG;5MG
2255,688095,330MG
2340,651468,EQ 10MG BASE
435,668544,75MG
1985,669092,EQ 5MG BASE;40MG
4198,684745,3.68GM/1000ML;20GM/1000ML;5.4GM/1000ML;3.05GM/1000ML;0.157GM/1000ML;2.21GM/1000ML;7.07GM/1000ML (5000ML)
924,646166,5MG/ML
1768,667831,32MG
2807,642942,EQ 500MG BASE/VIAL
1567,649622,25MG;100MG **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**
711,644184,7.5MG
302,666625,25MG/VIAL
52,640414,325MG;10MG
4452,646858,0.05%
1971,677824,EQ 10MG BASE/5ML **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**
4199,674157,5GM/100ML;298MG/100ML;450MG/100ML
1343,662383,EQ 1MG BASE
1569,659639,750MG
1704,677868,400MG
373,680350,80MG/VIAL;0.02MG/VIAL;0.001MG/VIAL;5MG/VIAL;0.01MG/VIAL;0.14MG/VIAL;17MG/VIAL;0.2MG/VIAL;1MG/VIAL;1.4MG/VIAL;EQ 1.2MG BASE/VIAL;0.7MG/VIAL;7MG/VIAL
1082,651092,"0.03MG,0.04MG,0.03MG;0.05MG,0.075MG,0.125MG"
3258,684775,3660MG/15ML (244MG/ML)
1606,643303,0.5MG
1816,648951,45MG
279,642754,2GM/VIAL
845,680222,5GM/100ML;74.5MG/100ML;300MG/100ML
4198,681162,5GM/100ML;75MG/100ML;330MG/100ML
2054,662854,EQ 40MG BASE
1164,686873,0.6MG
1878,644798,0.4MG/ML
1579,668326,2%
2445,662134,10MG;10MG
1579,655618,1%
4198,678667,18.3MG/100ML;4.25GM/100ML;5.08MG/100ML;538MG/100ML;448MG/100ML
180,656451,50MG
4198,678644,25.7MG/100ML;3.5GM/100ML;5.08MG/100ML;538MG/100ML;448MG/100ML
52,649707,325MG;100MG
2073,688801,EQ 500MG BASE/20ML (EQ 25MG BASE/ML)
1572,667942,0.03MG;0.15MG
1765,660918,50MG
2068,666670,EQ 30MG BASE
434,684055,20MCG/HR
1385,664687,EQ 5MG BASE;12.5MG;40MG
2054,650239,EQ 40MG BASE
522,652467,12.5MG
1385,644355,50MG;500MG
299,681974,20MG;25MG
1965,677155,0.15MG;9.85MG
198,659604,EQ 1GM BASE/VIAL;EQ 500MG BASE/VIAL
819,646668,0.05%
1884,661895,EQ 1MG BASE
114,680785,EQ 0.5MG BASE/ML
2239,667081,80MG
427,675337,0.25MG/ML
836,669773,10MG
1572,680667,"0.03MG,0.04MG,0.03MG;0.05MG,0.075MG,0.125MG **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**"
2303,643252,20MG
1236,661081,7.5MG/0.6ML
1725,648982,5MG;500MG
1331,663473,250MG
4198,671295,20MG/100ML;5GM/100ML;30MG/100ML;600MG/100ML;310MG/100ML
4452,672710,0.05%
2646,686791,500MCG/VIAL
703,650419,1MG
516,677636,25MG
535,660686,EQ 1GM BASE/VIAL
358,655490,10MG
195,672748,2.5MG;2.5MG;2.5MG;2.5MG
669,642802,875MG;EQ 125MG BASE
2346,655296,200MG
4200,684723,3.68GM/1000ML;N/A/1000ML;5.4GM/1000ML;3.05GM/1000ML;0.314GM/1000ML;3.09GM/1000ML;6.46GM/1000ML (5000ML)
1264,649551,250MG/5ML
52,639975,325MG/15ML;7.5MG/15ML
1329,652967,EQ 0.1MG BASE/ML (EQ 0.1MG BASE/ML)
5253,688129,1GM/VIAL;1GM/VIAL
1883,645660,EQ 250MG BASE
1890,648452,100MG
1497,654219,300MG
2716,683918,0.004% **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**
441,640531,500MG;50MG;40MG
87,687638,0.3%;2.5%
419,675323,2MG/ACTUATION
2806,685367,EQ 150MG BASE;160MG
4072,659295,4.7GM;100GM;1.015GM;5.9GM;2.691GM;7.5GM
2475,657607,25MG;25MG
1963,668795,0.03MG;1.5MG
4299,687606,150MG;150MG;200MG;EQ 10MG BASE
1082,668735,0.02MG;1MG
1906,680384,100MG/VIAL;0.06MG/VIAL;0.005MG/VIAL;15MG/VIAL;5MCG/VIAL;0.4MG/VIAL;40MG/VIAL;4MG/VIAL;3.6MG/VIAL;3MG/VIAL;1MG/VIAL;10MG/VIAL
4864,671756,EQ 120MG BASE
192,642900,600MG/5ML;EQ 42.9MG BASE/5ML
924,670082,25MG;200MG
4519,674801,10MEQ
1949,645883,50MG
1082,663725,0.02MG;1MG
2994,686743,EQ 1MG BASE/VIAL
4501,662472,250MG
2543,650049,EQ 50MG BASE
704,651877,0.3MG
2607,684319,10MG/0.5GM ACTUATION
195,639892,3.125MG;3.125MG;3.125MG;3.125MG
1209,672495,EQ 20MG BASE
463,646345,385MG;30MG;25MG
2029,659924,325MG;5MG
4203,683170,0.48MG/ML;0.3MG/ML;0.75MG/ML;3.9MG/ML;6.4MG/ML;1.7MG/ML
663,650222,EQ 10MG BASE
1587,648299,5MG
568,666320,400MG
419,666629,9MG
4247,641299,"EQ 3.5MG BASE/ML;16,250 UNITS/ML"
2712,653974,2MG;240MG
4199,680813,20MG/100ML;5GM/100ML;328MG/100ML;600MG/100ML;310MG/100ML
4061,682640,EQ 0.5% BASE
375,684479,"5MG,N/A;N/A,210GM;N/A,0.74GM;N/A,2.86GM;N/A,5.6GM **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**"
2029,659355,325MG;5MG
669,642556,600MG/5ML;EQ 42.9MG BASE/5ML
841,671058,6.25MG;6.25MG;6.25MG;6.25MG
2253,672336,5MG
2589,653512,140MG
4200,684736,N/A/1000ML;20GM/1000ML;5.4GM/1000ML;3.05GM/1000ML;0.314GM/1000ML;2.21GM/1000ML;7.07GM/1000ML (5000ML)
844,643789,650MG;100MG
2728,680629,50MG;75MG
1314,678689,5MG
1264,674225,400MG
1782,643656,EQ 10MG BASE/2ML
845,679134,5GM/100ML;200MG/100ML
962,684939,10MG;10MG
1142,661331,5MG
1725,661023,500MG;EQ 15MG BASE
4290,686656,3.3%;29MG/100ML;9.8GM/100ML;96MG/100ML;174MG/100ML;239MG/100ML;147MG/100ML;3.9GM/100ML (2566ML)
5414,688744,50MG
496,653888,37.5MG;200MG;150MG
1827,682481,15MG **Federal Register determination that product was not discontinued or withdrawn for safety or effectiveness reasons**
841,651053,7.5MG;7.5MG;7.5MG;7.5MG
4198,680273,25.7MG/100ML;2.5GM/100ML;5.08MG/100ML;538MG/100ML;448MG/100ML
1171,683237,1MG
4840,682446,"95,000IU/3.8ML (25,000IU/ML)"
589,641433,1%
1770,640077,40MG/ML
1385,643437,EQ 5MG ANHYDROUS;50MG
1385,661386,12.5MG;EQ 20MG BASE
4199,681065,4.25%;10GM/100ML;30MG/100ML;97MG/100ML;120MG/100ML;49.3MG/100ML
4947,687598,74.5MG
1082,645116,0.05MG;1MG
568,683530,200MG
4205,684763,N/A/1000ML;20GM/1000ML;5.4GM/1000ML;2.44GM/1000ML;0.314GM/1000ML;3.09GM/1000ML;6.46GM/1000ML (5000ML)
4205,660279,236GM/BOT;2.97GM/BOT;6.74GM/BOT;5.86GM/BOT;22.74GM/BOT
845,681173,5GM/100ML;300MG/100ML;330MG/100ML
4198,678564,8.5%;102MG/100ML;522MG/100ML;594MG/100ML;154MG/100ML
1786,661067,1MG/ML
1540,652276,150MG
616,655124,4MG
4203,679628,30MG/100ML;37MG/100ML;222MG/100ML;526MG/100ML;502MG/100ML
2377,686375,50MG;300MG;120MG
2268,655444,0.5MG;500MG
845,684716,5.15GM/1000ML;20GM/1000ML;5.4GM/1000ML;2.03GM/1000ML;0.314GM/1000ML;3.09GM/1000ML;6.46GM/1000ML (5000ML)
2187,664844,EQ 4GM BASE/VIAL;EQ 500MG BASE/VIAL
260,656590,0.025MG;2.5MG
