prodid,appl_type,appl_no,trade_name,applicant,active_ingredients_count
1330,A,200-280,Euthanasia-III Solution,Med-Pharmex Inc.,2
1589,A,200-666,Increxxa,Elanco US Inc.,1
615,N,112-052,"Levasole Sheep Wormer Bolus, Tramisole Sheep Wormer Oblets Tablets",Intervet Inc.,1
1114,N,141-418,BetaVet,American Regent Inc.,2
811,N,140-856,P.G. 600,Intervet Inc.,2
354,N,055-030,Polyflex,Boehringer lngelheim Animal Health USA Inc.,1
1083,N,141-375,None (Med Gas),Norco Inc.,2
66,N,011-590,Parvex Bolus,Zoetis Inc.,1
719,N,134-645,Tiox Granules,Intervet Inc.,1
1016,N,141-275,Profender,Elanco US Inc.,2
448,N,065-505,Pro-Pen-G,Bimeda Animal Health Limited,1
127,N,015-152,Synalar Cream Veterinary,Bausch Health US LLC,1
995,N,141-247,Cydectin Oral Drench for Sheep,Elanco US Inc.,1
1308,A,200-244,Tucoprim Powder,Zoetis Inc.,2
1262,A,200-162,Tripelennamine Hydrochloride Injection,Huvepharma EOOD,1
537,N,099-604,Dex-A-Vet Injection,Bimeda Animal Health Limited,1
1323,A,200-266,Butequine,Vetoquinol USA Inc.,1
4,N,006-084,"Sulmet Drinking Water Solution, 12.5%",Huvepharma EOOD,1
1520,A,200-565,"Thiabendazole, Dexamethasone, Neomycin Sulfate Solution",Dechra Veterinary Products LLC,3
626,N,116-087,"Butazolidin, Butazolidin Paste, Bute, Phenylbute Paste, Phenylzone Paste",Intervet Inc.,1
1221,A,200-066,AGRIMYCIN-343,Huvepharma EOOD,1
1186,N,141-530,MGA and Aureomycin,Zoetis Inc.,2
54,N,011-222,Diquel Tablet,Intervet Inc.,1
663,N,125-933,Romet-30,Pharmaq AS,2
1556,A,200-625,KetoMed,Bimeda Animal Health Limited,1
1336,A,200-289,Neosol-Oral,Med-Pharmex Inc.,1
1093,N,141-392,Imrestor,Elanco US Inc.,1
598,N,110-201,Arquel Tablets,Zoetis Inc.,1
1523,A,200-573,Dexmedesed,Dechra Veterinary Products LLC,1
1052,N,141-329,Atopica for Cats,Elanco US Inc.,2
268,N,043-079,Centrine Injectable,Zoetis Inc.,1
1,N,004-536,Somnopentyl Injection,Intervet Inc.,1
1071,N,141-358,None (Med Gas),Air Liquide Large Industries U.S. L.P.,2
1410,A,200-387,Flunazine,Bimeda Animal Health Limited,1
693,N,130-872,Nitrofurazone Anesthetic Dress.,Med-Pharmex Inc.,2
513,N,096-933,Robenz Plus Zn Bacitracin,Zoetis Inc.,2
116,N,013-954,Thibenzole 20% Swine Premix,Boehringer lngelheim Animal Health USA Inc.,1
407,N,065-121,Tetracycline-Vet Capsules 250,Zoetis Inc.,1
536,N,099-402,"Aquachel-100, Oxyvet-100",Zoetis Inc.,1
387,N,055-099,"CLAVAMOX CHEWABLE Tablets, CLAVAMOX tablets",Zoetis Inc.,2
1414,A,200-391,Griseofulvin Powder,Bimeda Animal Health Limited,1
31,N,009-339,"Carafen Cough Syrup, Carafen Cough Tablets",Zoetis Inc.,2
1379,A,200-347,Penicillin G Potassium USP,Quo Vademus LLC,1
1342,A,200-298,Clindamycin Hydrochloride Capsules,Cronus Pharma Specialities India Private Limited,1
444,N,065-492,"Biomox, Robamox-V Tablets",Virbac AH Inc.,1
1588,A,200-665,Increxxa 25,Elanco US Inc.,1
404,N,065-110,PEN-G-MAX,Huvepharma EOOD,1
1437,A,200-437,Noromectin,"Norbrook Laboratories, Ltd.",1
38,N,010-091,Mylepsin Tablets,Zoetis Inc.,1
349,N,055-019,Bulk Chlortetracycline Hydrochloride,Zoetis Inc.,1
1527,A,200-579,ChronoMate,Ceva Sante Animale,1
1198,N,141-544,KBroVet-CA1,Pegasus Laboratories Inc.,1
1163,N,141-486,None (Med Gas),"Praxair Mexico, S. de R.L. de C.V.",2
1585,A,200-661,MGA and Monovet and Tylan,Huvepharma EOOD,3
436,N,065-476,Cortisporin Veterinary Ophthalmic Ointment,Intervet Inc.,4
1033,N,141-297,ProZinc,Boehringer lngelheim Animal Health USA Inc.,1
1533,A,200-586,Marboquin,Dechra Veterinary Products LLC,1
1066,N,141-348,"SYNOVEX ONE FEEDLOT, SYNOVEX ONE Grower",Zoetis Inc.,2
654,N,122-447,Fura-Septin Soluble Dressing,Bimeda Animal Health Limited,1
856,N,140-998,"V-Max, V-Max 50",Phibro Animal Health Corp.,1
826,N,140-893,Cestex,Zoetis Inc.,1
1012,N,141-269,"Revalor-XH, Revalor-XS",Intervet Inc.,2
1090,N,141-388,None (Med Gas),Praxair Inc.,2
284,N,045-348,"Albac / Deccox, Broiler Finisher Medicated",Zoetis Inc.,2
1080,N,141-372,None (Med Gas),Messer Gas Puerto Rico Inc.,2
560,N,101-777,Robinul-V Injectable,Zoetis Inc.,1
916,N,141-120,Clomicalm Tablets,Virbac AH Inc.,1
242,N,040-587,Lincocin Aquadrops,Zoetis Inc.,1
1393,A,200-364,Spectogard Scour-Chek,Bimeda Animal Health Limited,1
81,N,012-087,Bactrovet Tablets 250 mg,Intervet Inc.,1
1397,A,200-368,"LincoMed 100, LincoMed 300",Bimeda Animal Health Limited,1
1339,A,200-293,Furosemide Injection 5%,Elanco US Inc.,1
102,N,013-146,Liquamycin Intramuscular,Zoetis Inc.,2
1317,A,200-257,Ketamine HCL,"Mylan Institutional LLC, a Viatris Company",1
684,N,128-967,Repose Euthanasia Solution,Zoetis Inc.,2
609,N,111-636,LINCOMIX Soluble Powder,Zoetis Inc.,1
637,N,118-979,Butatron Gel,Bimeda Animal Health Limited,1
1583,A,200-659,Actogain and Monovet and MGA,Huvepharma EOOD,3
259,N,042-633,Tresaderm Dermatologic Solution,Boehringer lngelheim Animal Health USA Inc.,3
103,N,013-149,"Amprovine 9.6% Solution, CORID 9.6% Oral Solution",Huvepharma EOOD,1
1075,N,141-362,None (Med Gas),Messer LLC,2
497,N,095-218,Dexium Tablets,Bimeda Animal Health Limited,1
1498,A,200-537,Tetroxy-LA,Bimeda Animal Health Limited,1
182,N,033-950,SULFAMERAZINE FISH GRADE,Zoetis Inc.,1
1136,N,141-448,Thyro-Tabs Canine,Lloyd Inc.,1
672,N,127-034,Disal Injection,Boehringer lngelheim Animal Health USA Inc.,1
300,N,046-699,"ChlorMax 50, ChlorMax 65, ChlorMax 70, ChlorMax 100, Micro CTC",Zoetis Inc.,1
310,N,046-920,"Baciferm - 10, Baciferm - 25, Baciferm - 40, Baciferm - 50",Zoetis Inc.,1
447,N,065-498,"Dual-Cillin, Pen BP-48",Huvepharma EOOD,2
178,N,033-760,Bloat Guard Drench Concentrate,Zoetis Inc.,1
705,N,132-337,Proban Tablets,Elanco US Inc.,1
1450,A,200-460,Tetroxy Aquatic,Bimeda Animal Health Limited,1
1168,N,141-494,Credelio,Elanco US Inc.,1
1424,A,200-416,Gentamicin Topical Spray,Sparhawk Laboratories Inc.,2
1409,A,200-386,LevaMed Soluble Drench Powder,Bimeda Animal Health Limited,1
249,N,041-648,AUREOMIX S 700-D,Zoetis Inc.,2
1494,A,200-533,"Deccox, Rumensin, and Tylovet 100",Huvepharma EOOD,3
953,N,141-194,Clinacox and BMD,Elanco US Inc.,2
425,N,065-280,Soluble Fortracin Concentrate,Zoetis Inc.,1
1377,A,200-345,Lincomycin - Spectinomycin,Phibro Animal Health Corp.,2
191,N,034-478,Salix Injection 5%,Intervet Inc.,1
352,N,055-022,Hetacin K Tablets,Boehringer lngelheim Animal Health USA Inc.,1
1315,A,200-254,"Iron Dextran Injection, Iron Dextran Injection 100mg",Huvepharma EOOD,1
711,N,132-789,Pro-Spot Solution,Elanco US Inc.,1
331,N,048-854,"Gecolate, Glycodex Injection",Summit Hill Laboratories,1
1048,N,141-325,Incurin,Intervet Inc.,1
919,N,141-129,Avatec / Flavomycin,Huvepharma EOOD,2
59,N,011-427,Synovex H,Zoetis Inc.,2
737,N,136-741,Tribrissen 60 Oral Suspension,Intervet Inc.,2
1245,A,200-124,Flunixin Meglumine Injection,Elanco US Inc.,1
1590,A,200-668,Tulissin 25,Virbac AH Inc.,1
700,N,131-808,Dirocide Syrup,Zoetis Inc.,1
1451,A,200-463,Amprolium-P 9.6% Oral Solution,Huvepharma EOOD,1
679,N,128-409,"Ivomec .27% Injection Grower And Feeder Pigs, Ivomec 1% Injection, Ivomec 1% Injection for Cattle And Swine, Ivomec Injection for Cattle",Boehringer lngelheim Animal Health USA Inc.,1
938,N,141-172,Paylean/Tylan,Elanco US Inc.,2
590,N,108-687,Pet Derm III Tablets,Kinetic Technologies LLC,1
729,N,135-780,Torbugesic,Zoetis Inc.,1
1408,A,200-382,Furosemide Syrup 1%,Cronus Pharma Specialities India Private Limited,1
224,N,038-800,Butazolidin Granules,Intervet Inc.,1
1207,A,200-026,Pennox 343,Pharmgate Inc.,1
1439,A,200-441,Aureomycin,Pharmgate Inc.,1
1592,A,200-670,SENERGY,Chanelle Pharmaceuticals Manufacturing Ltd.,1
1630,A,200-716,Midamox for Dogs,"Norbrook Laboratories, Ltd.",2
401,N,065-090,"Delta Albaplex 3x Tablets, Delta Albaplex Tablets",Zoetis Inc.,3
271,N,043-304,Ketaset,Zoetis Inc.,1
1622,A,200-706,CARPROFEN Chewable Tablets,Felix Pharmaceuticals Pvt. Ltd.,1
120,N,014-366,Cytobin Tablets,Zoetis Inc.,1
1247,A,200-127,"PROSPEC Injectable, Spectinomycin Injectable",Zoetis Inc.,1
1340,A,200-295,Pennchlor 64,Pharmgate Inc.,1
633,N,118-394,Telmin,Intervet Inc.,1
429,N,065-410,Tetra-Sal,Zoetis Inc.,1
891,N,141-070,Rapanofal,iVaoes Animal Health,1
623,N,115-581,MoorMans Mintrate Blonde Block RU,ADM Animal Nutrition,1
574,N,104-494,Panacur Suspension 10%,Intervet Inc.,1
170,N,033-318,"Prinzone Injection, Pyradan Injection, Vetisulid Injection",Boehringer lngelheim Animal Health USA Inc.,1
1252,A,200-136,"Tetracycline HCL Powder, Tetracycline Hydrochloride Soluble Powder-324",Quo Vademus LLC,1
774,N,139-472,"Denagard 10, Denagard 80% Coated",Elanco US Inc.,1
1228,A,200-082,BMD / Sacox,Huvepharma EOOD,2
1110,N,141-414,None (Med Gas),Airgas USA LLC,2
1305,A,200-239,Dolorex,Intervet Inc.,1
1493,A,200-532,MGA plus Tylovet 100,Huvepharma EOOD,2
1117,N,141-421,Duocare,Boehringer lngelheim Animal Health USA Inc.,2
1045,N,141-320,onsior Tablets for Cats,Elanco US Inc.,1
998,N,141-253,Equioxx Oral Paste,Boehringer lngelheim Animal Health USA Inc.,1
1440,A,200-443,Sulfadimethoxine Soluble Powder,First Priority Inc.,1
1555,A,200-624,REVERTIDINE,Modern Veterinary Therapeutics LLC,1
1605,A,200-685,CycleGuard and Monovet and Tylovet,Huvepharma EOOD,3
1526,A,200-578,Carprofen Flavored Tablets,Belcher Pharmaceuticals Inc.,1
465,N,092-116,Ketaset Plus,Zoetis Inc.,3
792,N,140-582,Oxytetracycline Hydrochloride Injection,Bimeda Animal Health Limited,1
1157,N,141-479,None (Med Gas),"Praxair Mexico, S. de R.L. de C.V.",2
289,N,045-514,EquiBute Injection,Zoetis Inc.,1
369,N,055-071,Princillin Injection 200 mg,Zoetis Inc.,1
209,N,036-211,Anaprime Suspension,Zoetis Inc.,1
105,N,013-201,Darbazine Spansule  Capsule No.1,Zoetis Inc.,2
237,N,040-001,Meldane 2,Elanco US Inc.,1
1374,A,200-342,Pyrantel Pamoate Paste,Farnam Companies Inc.,1
528,N,098-689,"Equizole 50% Wormer Paste, Equizole 50% Wormer Paste For Horses",Boehringer lngelheim Animal Health USA Inc.,1
23,N,008-760,Adrenomone,"Dechra, Ltd.",1
205,N,035-650,Dyrex Powder,Zoetis Inc.,2
593,N,109-305,Oxytocin Injectable,Bimeda Animal Health Limited,1
1343,A,200-299,Iver-On,Med-Pharmex Inc.,1
748,N,138-412,"Heartgard 30, Heartgard Tablets",Boehringer lngelheim Animal Health USA Inc.,1
286,N,045-444,Deccox and Aureomycin,Zoetis Inc.,2
1596,A,200-676,Optigrid and Monovet and Tylovet,Huvepharma EOOD,3
390,N,065-004,"Panmycin 500 Bolus, Panmycin Hydrochloride",Zoetis Inc.,1
825,N,140-892,"Synanthic Bovine Dewormer Paste, 18.5%",Zoetis Inc.,1
20,N,008-097,Stiglyn 1:500,Intervet Inc.,1
801,N,140-833,Ivomec Plus Injection For Cattle,Boehringer lngelheim Animal Health USA Inc.,2
724,N,134-930,Syncro-Mate-B,Boehringer lngelheim Animal Health USA Inc.,2
52,N,011-116,Zoamix Type A Medicated Article,Zoetis Inc.,1
260,N,042-661,Kantrim Ophthalmic Ointment,Zoetis Inc.,1
298,N,046-415,Tylan 40,Zoetis Inc.,1
1125,N,141-435,advantus,Elanco US Inc.,1
428,N,065-409,Panmycin Capsules,Zoetis Inc.,1
910,N,141-103,SevoFlo,Zoetis Inc.,1
1359,A,200-320,Equell,Virbac AH Inc.,1
973,N,141-219,Metacam 5 mg/mL Solution for Injection,Boehringer lngelheim Animal Health USA Inc.,1
1368,A,200-333,Superiorbute,Superior Equine Pharmaceuticals Inc.,1
50,N,011-060,Terramycin Scours Tablets,Zoetis Inc.,1
95,N,012-680,Pharmastatin-20 Type A Medicated Article,Zoetis Inc.,1
492,N,094-642,Camvet Suspension Horse Wormer,Boehringer lngelheim Animal Health USA Inc.,1
996,N,141-250,Aureomycin  and Bovatec,Zoetis Inc.,2
1031,N,141-292,Felimazole,"Dechra, Ltd.",1
917,N,141-123,GastroGard,Boehringer lngelheim Animal Health USA Inc.,1
845,N,140-951,Clinacox,Elanco US Inc.,1
1067,N,141-349,Draxxin 25 Injectable Solution,Zoetis Inc.,1
1324,A,200-270,Iverhart Tablets,Virbac AH Inc.,1
443,N,065-491,Medichol Tablets,Cronus Pharma Specialities India Private Limited,1
742,N,137-483,Flavomycin / Stenorol,Huvepharma EOOD,2
302,N,046-719,MGA and TM,Zoetis Inc.,2
641,N,119-253,Cattle Block M,Wildcat Feeds,1
562,N,102-020,Tri-Plex Worm Capsules,Intervet Inc.,2
1621,A,200-705,ZoaShield and BMD,Elanco US Inc.,2
1404,A,200-377,LinxMed-SP,Bimeda Animal Health Limited,1
730,N,135-906,Component E-H with Tylan,Elanco US Inc.,3
575,N,104-646,Rumensin and Tylan,Elanco US Inc.,2
229,N,039-356,"Ripercol L Bolus, Tramisol Cattle Wormer Bolus",Zoetis Inc.,1
427,N,065-383,"Formula A-34, Uni Biotic 4 Dose",Bimeda Animal Health Limited,1
713,N,133-836,Garacin Soluble Powder,Intervet Inc.,1
994,N,141-246,Aquaflor Type A Medicated Article,Intervet Inc.,1
287,N,045-512,Synotic Otic Solution,Zoetis Inc.,2
764,N,138-992,MGA and Bovatec and Tylan,Zoetis Inc.,3
832,N,140-913,Baytril Antibacterial Injectable Solution,Elanco US Inc.,1
1446,A,200-452,Oxytet 100,"Norbrook Laboratories, Ltd.",1
1511,A,200-555,quellin,Elanco US Inc.,1
940,N,141-175,CAPSTAR,Sergeant?s Pet Care Products LLC,1
1485,A,200-520,Carprieve Injection,"Norbrook Laboratories, Ltd.",1
1280,A,200-193,Clindamycin Hydrochloride Oral Liquid,Cronus Pharma Specialities India Private Limited,1
559,N,101-690,Erythro-100 Injection,Bimeda Animal Health Limited,1
1539,A,200-593,Carprofen Injection,Accord Healthcare Inc.,1
212,N,036-361,Amprol Plus and Aureomycin,Zoetis Inc.,3
621,N,115-578,Di-Trim Tablets,Zoetis Inc.,2
1591,A,200-669,Tulissin 100,Virbac AH Inc.,1
89,N,012-437,Temaril-P Tablets,Zoetis Inc.,2
1314,A,200-253,ProstaMate,Bimeda Animal Health Limited,1
578,N,106-616,Banamine Granules,Intervet Inc.,1
491,N,094-170,"Phenylbutazone Tablets, USP 100 mg, Phenylbutazone Tablets, USP 200 mg",Cronus Pharma Specialities India Private Limited,1
1554,A,200-622,Deccox plus Deracin,Pharmgate Inc.,2
530,N,099-006,Coban/TM,Phibro Animal Health Corp.,2
697,N,131-392,Ivomec Liquid,Boehringer lngelheim Animal Health USA Inc.,1
337,N,049-461,TBZ Wormer Paste 43%,Boehringer lngelheim Animal Health USA Inc.,1
980,N,141-228,Buscopan Injectable Solution,Boehringer lngelheim Animal Health USA Inc.,1
572,N,104-184,Styquin,Zoetis Inc.,1
665,N,126-050,Apralan 75,Elanco US Inc.,1
538,N,099-605,Dex-A-Vet Injection,Bimeda Animal Health Limited,1
415,N,065-169,"Dura-biotic, Flo-cillin",Zoetis Inc.,2
1024,N,141-284,Zilmax plus MGA,Intervet Inc.,2
1234,A,200-102,Gentaglyde Solution,Zoetis Inc.,1
1185,N,141-529,Pennitracin MD and Maxiban,Pharmgate Inc.,3
1425,A,200-418,Muricin,Fougera Pharmaceuticals Inc.,1
193,N,034-641,Tiguvon Pour-On Cattle Insecticide,Elanco US Inc.,1
935,N,141-158,Clinacox and Flavomycin,Elanco US Inc.,2
1413,A,200-390,Ivermectin Paste 1.87 %,Med-Pharmex Inc.,1
1177,N,141-514,Experior and Rumensin,Elanco US Inc.,2
644,N,120-161,Antirobe Capsules,Zoetis Inc.,1
1282,A,200-197,Streptomycin Oral Solution,Huvepharma EOOD,1
978,N,141-225,Optaflexx plus Rumensin,Elanco US Inc.,2
1326,A,200-272,Noromectin Pour-On for Cattle,"Norbrook Laboratories, Ltd.",1
1401,A,200-374,TetraMed 324 HCA,Bimeda Animal Health Limited,1
535,N,099-388,Vetalog Oral Powder,Boehringer lngelheim Animal Health USA Inc.,1
1044,N,141-319,SucroMate Equine,"Dechra, Ltd.",1
1521,A,200-566,Optaflexx 45/Rumensin/Tylovet 100,Huvepharma EOOD,3
675,N,127-892,Amiglyde-V,Zoetis Inc.,1
1460,A,200-480,Heifermax 500/Zilmax/Rumensin/Tylan,Elanco US Inc.,4
322,N,047-997,Amphoderm Ointment,Zoetis Inc.,3
1576,A,200-652,Deccox and Monovet,Huvepharma EOOD,2
147,N,030-435,Azium Boluses 10 mg,Intervet Inc.,1
1209,A,200-029,Ketamine Hydrochloride Injection,Cronus Pharma Specialities India Private Limited,1
1017,N,141-276,Zilmax and Rumensin and Tylan,Intervet Inc.,3
1243,A,200-122,Solu-Pen,Zoetis Inc.,1
918,N,141-124,BMD / Maxiban,Zoetis Inc.,3
650,N,121-473,"Panacur C (OTC), Safe-Guard Canine (OTC), Panacur Granules 22.2% (Rx)",Intervet Inc.,1
57,N,011-315,"Neomix 325 Soluble Powder, Neomix AG 325 Soluble Powder",Zoetis Inc.,1
143,N,030-414,Flucort Solution,Zoetis Inc.,1
870,N,141-033,Antisedan,Orion Corp.,1
594,N,109-471,Sweetlix Rumensin Pressed Block,Ridley USA Inc.,1
1214,A,200-038,"Di-Methox Injection 40%, Sulfadimethoxine Injection 40%",Huvepharma EOOD,1
463,N,091-818,"Phenylbutazone Tablets, USP 1 gram",Elanco US Inc.,1
1468,A,200-490,Carprofen,Dechra Veterinary Products LLC,1
800,N,140-824,Stenorol Type A Medicated Article,Huvepharma EOOD,1
402,N,065-099,Albaplex Capsules,Zoetis Inc.,2
326,N,048-287,Oxytetracycline-50,Huvepharma EOOD,1
199,N,035-157,Gallimycin PFC,Bimeda Animal Health Limited,1
461,N,091-739,Strongid T,Zoetis Inc.,1
951,N,141-192,Ralgro L. A.,Intervet Inc.,1
160,N,032-168,Domoso Solution,Zoetis Inc.,1
228,N,039-204,Protopam,Zoetis Inc.,1
941,N,141-176,Baytril Otic,Elanco US Inc.,2
757,N,138-935,"Pennchlor 50, Pennchlor 50 G, Pennchlor 90 G, Pennchlor 100 G, Pennchlor 100 Hi-Flo",Pharmgate Inc.,1
1021,N,141-280,Zilmax and Rumensin and Tylan and MGA,Intervet Inc.,4
1107,N,141-411,None (Med Gas),Nitrous Oxide Corp,2
759,N,138-939,"Neo-Oxy 100/100 MR, Neo-Oxy 50/50",Pharmgate Inc.,2
1275,A,200-188,Betagen Topical Spray,Med-Pharmex Inc.,2
548,N,100-616,"Horseshoers Secret Thrush Treatment Aid, Thrush-XX",Farnam Companies Inc.,1
332,N,048-913,Halox Wormer Drench,Intervet Inc.,1
290,N,045-515,EquiBute Tablets 100 mg,Zoetis Inc.,1
988,N,141-238,Spectramast LC Sterile Suspension,Zoetis Inc.,1
708,N,132-448,Flavomycin,ADM Animal Nutrition,1
