id,struct_id,concept_id,relationship_name,concept_name,umls_cui,snomed_full_name,cui_semantic_type,snomed_conceptid
158016,391,21001146,contraindication,Peripheral nerve disease,C0031117,Peripheral nerve disease,T047,302226006.0
132984,4809,21003446,contraindication,"Pregnancy, function",C0032961,"Pregnancy, function",T040,289908002.0
147877,4293,21013838,contraindication,Osteolysis,C0302313,Osteolysis,T033,203522001.0
162709,1243,21000026,contraindication,Pseudomembranous enterocolitis,C0014358,Pseudomembranous enterocolitis,T047,397683000.0
172971,4967,21002805,indication,Rheumatoid arthritis,C0003873,Rheumatoid arthritis,T047,69896004.0
168308,878,21001149,contraindication,Myasthenia gravis,C0026896,Myasthenia gravis,T047,91637004.0
168448,143,21001447,contraindication,Myocardial infarction,C0027051,Myocardial infarction,T047,22298006.0
168622,375,21003053,contraindication,Seizure disorder,C0014544,Seizure disorder,T047,128613002.0
150980,408,21001770,indication,Allergic rhinitis,C2607914,Allergic rhinitis,T047,61582004.0
152526,1569,21001105,contraindication,Epilepsy,C0014544,Epilepsy,T047,84757009.0
159766,581,21002202,contraindication,Disease of liver,C0023895,Disease of liver,T047,235856003.0
175556,5708,21001423,contraindication,Renal dialysis,C4551529,Renal dialysis,T061,265764009.0
144175,367,21003292,contraindication,Liver function tests abnormal,C0151766,Liver function tests abnormal,T033,166603001.0
139647,722,21002108,contraindication,Fecal impaction,C0015734,Fecal impaction,T033,44635007.0
152195,2495,21000317,indication,Pityriasis versicolor,C0040262,Pityriasis versicolor,T047,56454009.0
137080,2551,21003292,contraindication,Liver function tests abnormal,C0151766,Liver function tests abnormal,T033,166603001.0
147471,2268,21000908,contraindication,Disease of blood AND/OR blood-forming organ,C0018939,Disease of blood AND/OR blood-forming organ,T047,191124002.0
148938,1909,21001432,indication,Hypertensive disorder,C0020538,Hypertensive disorder,T047,38341003.0
163034,564,21002894,indication,Infection of bone,C2242472,Infection of bone,T047,111253001.0
135913,3188,21000530,contraindication,Malignant tumor of cervix,C0007847,Malignant tumor of cervix,T191,363354003.0
145723,2176,21001521,contraindication,Partial atrioventricular block,C1621824,Partial atrioventricular block,T047,195039008.0
154793,2134,21001714,contraindication,Bleeding,C0019080,Bleeding,T046,131148009.0
166663,3294,21000948,indication,Schizophrenia,C0036341,Schizophrenia,T048,58214004.0
162222,1962,21000533,contraindication,Malignant tumor of ovary,C1140680,Malignant tumor of ovary,T191,363443007.0
137108,2006,21001806,indication,Staphylococcal pneumonia,C0032308,Staphylococcal pneumonia,T047,22754005.0
136690,4293,21000951,contraindication,Hypomania,C0241934,Hypomania,T048,231496004.0
147230,2715,21001572,contraindication,Conduction disorder of the heart,C0264886,Conduction disorder of the heart,T047,44808001.0
157600,1899,21000863,contraindication,Blood coagulation disorder,C0005779,Blood coagulation disorder,T047,64779008.0
170327,691,21003452,contraindication,Breastfeeding (mother),C1623040,Breastfeeding (mother),T033,413712001.0
146871,2044,21001565,contraindication,Sinus bradycardia,C0085610,Sinus bradycardia,T046,49710005.0
172058,886,21001473,contraindication,Myocardial ischemia,C0151744,Myocardial ischemia,T047,414795007.0
174855,4942,40249565,indication,Thymic carcinoma,C4302369,Primary thymic carcinoma,T191,722670005.0
136631,2813,21000951,contraindication,Hypomania,C0241934,Hypomania,T048,231496004.0
155907,1967,21002274,indication,E. Coli Pyelonephritis,,,,
135708,819,21002706,contraindication,Atrophoderma,C0151514,Atrophoderma,T047,399979006.0
151500,2843,21002216,off-label use,Obstruction of bile duct,C0008370,Obstruction of bile duct,T047,30144000.0
150203,780,21001157,off-label use,Duchenne muscular dystrophy,C0013264,Duchenne muscular dystrophy,T047,76670001.0
139033,3274,21001704,contraindication,Esophageal varices,C0014867,Esophageal varices,T020,28670008.0
162966,2544,21001715,contraindication,Acute hemorrhage,C0333276,Acute hemorrhage,T046,8573003.0
164599,886,21003307,contraindication,Asthenia,C0004093,Asthenia,T184,13791008.0
173247,5173,21000858,indication,von Willebrand disorder,C0042974,von Willebrand disorder,T047,128105004.0
144939,1088,21001092,indication,Tonic-clonic epilepsy,C0014549,Tonic-clonic epilepsy,T047,352818000.0
138314,1950,21013794,contraindication,Vitamin B deficiency,C0042850,Vitamin B deficiency,T047,47903000.0
172298,2836,21007614,indication,Pyridoxine-Dependent Seizure,,,,
162399,1386,21002213,contraindication,Disorder of gallbladder,C0016977,Disorder of gallbladder,T047,39621005.0
169431,1386,21001126,contraindication,Lesion of brain,C0221505,Lesion of brain,T047,301766008.0
164110,728,21000707,indication,Hyperlipidemia,C0020473,Hyperlipidemia,T047,55822004.0
168112,2762,21001283,indication,Allergic conjunctivitis,C0009766,Allergic conjunctivitis,T047,473460002.0
158318,3188,21000775,contraindication,Hepatic porphyria,C0162533,Hepatic porphyria,T047,55056006.0
140070,1962,21000604,contraindication,Diabetes mellitus,C0011849,Diabetes mellitus,T047,73211009.0
150046,1358,21011074,off-label use,Percutaneous coronary intervention,C1532338,Percutaneous coronary intervention,T061,415070008.0
140810,4114,21000669,contraindication,Cobalamin deficiency,C0042847,Cobalamin deficiency,T047,190634004.0
143289,4199,21002109,contraindication,Gastrointestinal obstruction,C0236124,Gastrointestinal obstruction,T046,126765001.0
156134,2813,21013795,off-label use,Neuropathic pain,C0027796,Neuropathic pain,T184,247398009.0
137343,2638,21001888,indication,Pleural Malignant Effusions,,,,
159093,384,21001860,indication,Asthma,C0004096,Asthma,T047,195967001.0
172508,4664,21000695,indication,Hyperammonemia,C0220994,Hyperammonemia,T046,9360008.0
170516,2611,21000295,indication,Rectal Chlamydia Trachomatis Infection,,,,
156748,1596,21003446,contraindication,"Pregnancy, function",C0032961,"Pregnancy, function",T040,289908002.0
170356,2696,21002202,contraindication,Disease of liver,C0023895,Disease of liver,T047,235856003.0
171832,52,21008952,contraindication,Hepatic encephalopathy,C0019151,Hepatic encephalopathy,T047,13920009.0
142644,769,21001709,contraindication,Low blood pressure,C0020649,Low blood pressure,T033,45007003.0
146222,2713,21002219,contraindication,Obstructive hyperbilirubinemia,C0022354,Obstructive hyperbilirubinemia,T047,59848001.0
168400,1043,21002067,contraindication,Pyloric obstruction,C1541124,Pyloric obstruction,T047,244815007.0
173454,5288,21001089,indication,Lennox-Gastaut syndrome,C0238111,Lennox-Gastaut syndrome,T047,230418006.0
149136,1569,21002607,indication,Complicated Skin and Skin Structure Staphylococcus Aureus Infection,,,,
139642,2179,21000810,contraindication,Glucose-6-phosphate dehydrogenase deficiency anemia,C0237987,Glucose-6-phosphate dehydrogenase deficiency anemia,T047,62403005.0
154862,1690,21001105,contraindication,Epilepsy,C0014544,Epilepsy,T047,84757009.0
143901,4510,21000579,contraindication,Thyrotoxicosis,C0040156,Thyrotoxicosis,T047,90739004.0
158895,1301,21000636,contraindication,Adrenal cortical hypofunction,C0405580,Adrenal cortical hypofunction,T047,386584007.0
162643,4213,21001860,indication,Asthma,C0004096,Asthma,T047,195967001.0
146786,1950,21002349,indication,Staphylococcus Saprophyticus Urinary Tract Infection,,,,
172499,4196,21000806,indication,Megaloblastic anemia due to folate deficiency,C0151482,Megaloblastic anemia due to folate deficiency,T047,85649008.0
142987,4609,21002945,indication,"Klinefelter's syndrome, XXY",C0022735,"Klinefelter's syndrome, XXY",T019,405769009.0
136066,2514,21000410,indication,Pneumocystis Carinii Pneumonia Prevention,,,,
144862,3591,21000604,contraindication,Diabetes mellitus,C0011849,Diabetes mellitus,T047,73211009.0
165057,4202,21002091,contraindication,Toxic megacolon,C0025162,Toxic megacolon,T047,28536002.0
152046,871,21001469,contraindication,Disorder of coronary artery,C1956346,Disorder of coronary artery,T047,414024009.0
151130,2132,21001914,contraindication,Decreased respiratory function,C0235063,Decreased respiratory function,T046,80954004.0
140601,609,21000723,contraindication,Hypomagnesemia,C0151723,Hypomagnesemia,T033,190855004.0
172818,2702,21001022,indication,Depressive disorder,C0011581,Depressive disorder,T048,35489007.0
155363,2846,21013951,contraindication,Poor metabolizer due to cytochrome p450 CYP2C19 variant,C1827468,Poor metabolizer due to cytochrome p450 CYP2C19 variant,T047,424500005.0
133958,1212,21000996,contraindication,Alcoholism,C0001973,Alcoholism,T048,7200002.0
134447,920,21001775,indication,Nasal congestion,C0027424,Nasal congestion,T184,68235000.0
148979,1342,21000007,contraindication,Sympathectomy,C0039038,Sympathectomy,T061,57071006.0
136298,4348,21000726,contraindication,Hyperphosphatemia,C0085681,Hyperphosphatemia,T047,20165001.0
164764,2770,21001029,contraindication,Hyperactive behavior,C0424295,Hyperactive behavior,T033,44548000.0
138030,1572,21002473,contraindication,Bacterial vaginosis,C0085166,Bacterial vaginosis,T047,419760006.0
161927,2017,21001103,indication,Localization-related epilepsy,C0014547,Localization-related epilepsy,T047,230381009.0
154852,1539,21013547,contraindication,Pancreatitis,C0030305,Pancreatitis,T047,75694006.0
167184,2811,21001153,contraindication,Neuromyopathy,C0027868,Neuromyopathy,T047,255522009.0
161013,824,21000478,indication,Non-Hodgkin's lymphoma,C0024305,Non-Hodgkin's lymphoma,T191,118601006.0
137679,4261,21007034,contraindication,Anemia due to enzyme deficiency,C0272053,Anemia due to enzyme deficiency,T047,111577008.0
135274,1024,21000566,contraindication,Neoplasm of brain,C0006118,Neoplasm of brain,T191,126952004.0
163677,198,21004032,indication,Pneumococcal pharyngitis,C0275761,Pneumococcal pharyngitis,T047,76651006.0
138003,2068,21000624,contraindication,Syndrome of inappropriate vasopressin secretion,C0021141,Syndrome of inappropriate vasopressin secretion,T046,55004003.0
146746,1344,21000842,contraindication,Anemia,C0002871,Anemia,T047,271737000.0
140049,2346,21008766,contraindication,Non-specific intraventricular conduction delay,C3697597,Non-specific intraventricular conduction delay,T047,698252002.0
175233,5499,21001149,indication,Myasthenia gravis,C0026896,Myasthenia gravis,T047,91637004.0
158283,1996,21002174,contraindication,Hepatic necrosis,C0151798,Hepatic necrosis,T047,87248009.0
168614,1676,21002048,contraindication,Gastrointestinal ulcer,C0237938,Gastrointestinal ulcer,T047,40845000.0
171272,1082,21013526,contraindication,Diabetes with Vascular Disease Complication,,,,
170110,302,21005419,contraindication,Chemotherapy-Induced Hyperuricemia,,,,
148755,1667,21001432,contraindication,Hypertensive disorder,C0020538,Hypertensive disorder,T047,38341003.0
159781,668,21001842,indication,Acute Moraxella catarrhalis bronchitis,C0339932,Acute Moraxella catarrhalis bronchitis,T047,195722003.0
171527,228,21000756,contraindication,Hypokalemia,C0020621,Hypokalemia,T033,43339004.0
152351,2150,21000604,contraindication,Diabetes mellitus,C0011849,Diabetes mellitus,T047,73211009.0
144642,725,21001105,contraindication,Epilepsy,C0014544,Epilepsy,T047,84757009.0
148117,205,21001211,contraindication,Glaucoma,C0017601,Glaucoma,T047,23986001.0
140424,463,21001001,contraindication,Dependent drug abuse,C1510472,Dependent drug abuse,T048,6525002.0
173033,2325,40249227,indication,Lower urinary tract infectious disease,C0268821,Lower urinary tract infectious disease,T047,4009004.0
165744,2632,21001714,contraindication,Bleeding,C0019080,Bleeding,T046,131148009.0
175495,4514,21003446,contraindication,"Pregnancy, function",C0032961,"Pregnancy, function",T040,289908002.0
169426,2832,21000974,contraindication,Agoraphobia,C0001818,Agoraphobia,T048,70691001.0
161477,1380,21001432,contraindication,Hypertensive disorder,C0020538,Hypertensive disorder,T047,38341003.0
169743,2742,21013767,contraindication,Organophosphate poisoning,C0700359,Organophosphate poisoning,T037,8260003.0
153400,585,21001770,indication,Allergic rhinitis,C2607914,Allergic rhinitis,T047,61582004.0
159413,119,21003277,contraindication,Azotemia,C0242528,Azotemia,T047,445009001.0
132859,4877,21000309,indication,Onychomycosis due to dermatophyte,C0040261,Onychomycosis due to dermatophyte,T047,402134005.0
137342,2697,21002859,contraindication,Rhabdomyolysis,C0035410,Rhabdomyolysis,T046,240131006.0
132487,5188,21000488,indication,Chronic myeloid leukemia,C0023473,Chronic myeloid leukemia,T191,92818009.0
142738,912,21001594,contraindication,Disorder of cardiovascular system,C0007222,Disorder of cardiovascular system,T047,49601007.0
139414,4513,21002108,contraindication,Fecal impaction,C0015734,Fecal impaction,T033,44635007.0
151107,1967,21002531,indication,Prevotella Septic Abortion,,,,
144257,439,21000968,indication,Severe anxiety (panic),C0231403,Severe anxiety (panic),T033,80583007.0
158347,198,21004491,indication,Gastroenteritis due to Salmonella,,,,
152282,2707,21001902,contraindication,Interstitial pneumonia,C0206061,Interstitial pneumonia,T047,64667001.0
172403,347,21002335,indication,Complicated UTI with Pseudomonas Aeruginosa,,,,
173767,5363,21004731,contraindication,Eye infection,C0015403,Eye infection,T047,128351009.0
132826,1406,21001860,indication,Asthma,C0004096,Asthma,T047,195967001.0
140868,2405,21001900,contraindication,Pulmonary edema,C0034063,Pulmonary edema,T047,19242006.0
170876,610,21000907,contraindication,Thrombophilia,C0398623,Thrombophilia,T047,234467004.0
157224,2464,21001565,contraindication,Sinus bradycardia,C0085610,Sinus bradycardia,T046,49710005.0
149644,463,21002080,contraindication,Hiatal hernia,C3489393,Hiatal hernia,T190,84089009.0
164022,1981,21001249,indication,Bacterial Corneal Ulcer Infection,,,,
164518,818,21001679,contraindication,Thrombophlebitis,C0040046,Thrombophlebitis,T047,64156001.0
144974,734,21001701,indication,Hemorrhoids,C0019112,Hemorrhoids,T020,70153002.0
158442,2291,21001541,indication,Paroxysmal atrial flutter,C0741292,Paroxysmal atrial flutter,T046,427665004.0
152698,1790,21002583,indication,Post-Operative Vaginal Cuff Peptostreptococcus Infection,,,,
164853,3188,21000703,contraindication,Hypertriglyceridemia,C0020557,Hypertriglyceridemia,T033,302870006.0
158096,1827,21002962,contraindication,Neonatal hyperbilirubinemia,C0857007,Neonatal hyperbilirubinemia,T047,281610001.0
156195,802,21002102,off-label use,Enterocolitis,C0014356,Enterocolitis,T047,43752006.0
143597,867,21002784,contraindication,Disorder of connective tissue,C0009782,Disorder of connective tissue,T047,105969002.0
135866,2172,21013500,contraindication,Senile dementia,C0011268,Senile dementia,T048,15662003.0
