id,pmid,doi,document_id,type,authors,title,isbn10,url,journal,volume,issue,dp_year,pages
44,20959606.0,10.1182/blood-2010-03-275305,,JOURNAL ARTICLE,,"CAL-101, a p110delta selective phosphatidylinositol-3-kinase inhibitor for the treatment of B-cell malignancies, inhibits PI3K signaling and cellular viability.",,,Blood,,,2011.0,
3679,,,EMEA/H/C/005122 review,DRUG LABEL,,,,https://www.ema.europa.eu/en/documents/assessment-report/omvoh-epar-public-assessment-report_en.pdf,,,,2023.0,
3263,,,000242929,DRUG LABEL,,,,https://www.pmda.go.jp/files/000242929.pdf,,,,2021.0,
2569,,,NDA:210795,DRUG LABEL,,,,https://www.accessdata.fda.gov/drugsatfda_docs/label/2018/210795s000lbl.pdf,,,,2018.0,
3268,30806973.0,10.1007/s40265-019-01070-8,,JOURNAL ARTICLE,Deeks ED,Mirogabalin: first global approval,,,Drugs,79,4,2019.0,463-468
3670,,,NDA:216386,DRUG LABEL,,,,https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/216386s000lbl.pdf,,,,2023.0,
689,,,EMEA/H/C/004209,DRUG LABEL,,,,http://www.ema.europa.eu/docs/en_GB/document_library/EPAR_-_Product_Information/human/004209/WC500232105.pdf,,,,2017.0,
259,,,NDA:020261,DRUG LABEL,,,,"http://www.accessdata.fda.gov/drugsatfda_docs/label/2012/020261s048,021192s021lbl.pdf",,,,2012.0,
380,21976485.0,10.1073/pnas.1105787108,,JOURNAL ARTICLE,"Van Goor F, Hadida S, Grootenhuis PD, Burton B, Stack JH, Straley KS, Decker CJ, Miller M, McCartney J, Olson ER, Wine JJ, Frizzell RA, Ashlock M, Negulescu PA",Correction of the F508del-CFTR protein processing defect in vitro by the investigational drug VX-809.,,,Proc. Natl. Acad. Sci. U.S.A.,108,46,2011.0,18843-8
469,,,BLA:125526,DRUG LABEL,,,,http://www.accessdata.fda.gov/drugsatfda_docs/label/2015/125526Orig1s000Lbl.pdf,,,,2015.0,
598,,,EMEA/H/C/004059,DRUG LABEL,,,,http://www.ema.europa.eu/docs/en_GB/document_library/EPAR_-_Product_Information/human/004059/WC500208434.pdf,,,,2016.0,
110,,,NDA:019810,DRUG LABEL,,,,"http://www.accessdata.fda.gov/drugsatfda_docs/label/2014/019810s098,022056s014lbl.pdf",,,,2014.0,
2527,,,NDA:210806,DRUG LABEL,,,,https://www.accessdata.fda.gov/drugsatfda_docs/label/2018/210806s000lbl.pdf,,,,2018.0,
3683,,,NDA:215830,DRUG LABEL,,,,https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/215830s000lbl.pdf,,,,2023.0,
620,24113750.0,10.1124/mol.113.089482,,JOURNAL ARTICLE,"MacKenzie AE, Caltabiano G, Kent TC, Jenkins L, McCallum JE, Hudson BD, Nicklin SA, Fawcett L, Markwick R, Charlton SJ, Milligan G",The antiallergic mast cell stabilizers lodoxamide and bufrolin as the first high and equipotent agonists of human and rat GPR35.,,,Mol. Pharmacol.,85,1,2014.0,91-104
2591,,,NDA:210557,DRUG LABEL,,,,https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/210557s000lbl.pdf,,,,2019.0,
217,,,BLA:125409,DRUG LABEL,,,,http://www.accessdata.fda.gov/drugsatfda_docs/label/2015/125409s104lbl.pdf,,,,2015.0,
2717,,,NDA:211801,DRUG LABEL,,,,https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/211801s000lbl.pdf,,,,2019.0,
3062,29619657.0,10.1186/s13550-018-0378-4,,JOURNAL ARTICLE,"Sanchez-Crespo A, Jussing E, Björklund AC, Pokrovskaja Tamm K",Hallmarks in prostate cancer imaging with Ga68-PSMA-11-PET/CT with reference to detection limits and quantitative properties,,,EJNMMI Res,8,1,2018.0,27
187,,,BLA:125057,DRUG LABEL,,,,http://www.accessdata.fda.gov/drugsatfda_docs/label/2014/125057s367lbl.pdf,,,,2014.0,
476,9405293.0,,,JOURNAL ARTICLE,"Bowker-Kinley MM, Davis WI, Wu P, Harris RA, Popov KM",Evidence for existence of tissue-specific regulation of the mammalian pyruvate dehydrogenase complex.,,,Biochem. J.,329 ( Pt 1),,1998.0,191-6
8,22139434.0,10.1007/s00210-011-0713-z,,JOURNAL ARTICLE,,"Pharmacological profile of ipragliflozin (ASP1941), a novel selective SGLT2 inhibitor, in vitro and in vivo.",,,Naunyn Schmiedebergs Arch Pharmacol,,,2012.0,
668,,,BLA:761052,DRUG LABEL,,,,https://www.accessdata.fda.gov/drugsatfda_docs/label/2017/761052lbl.pdf,,,,2017.0,
3200,,,NDA:214018,DRUG LABEL,,,,https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/214018s000lbl.pdf,,,,2021.0,
115,24169554.0,10.1210/en.2013-1658,,JOURNAL ARTICLE,"Gingell JJ, Burns ER, Hay DL","Activity of pramlintide, rat and human amylin but not Aβ1-42 at human amylin receptors.",,,Endocrinology,155,1,2014.0,21-6
3545,,,NDA:215814,DRUG LABEL,,,,https://www.accessdata.fda.gov/drugsatfda_docs/label/2022/215814s000lbl.pdf,,,,2022.0,
2778,,,BLA:761119 review,DRUG LABEL,,,,https://www.accessdata.fda.gov/drugsatfda_docs/nda/2020/761119Orig1s000OtherR.pdf,,,,2020.0,
622,,,EMEA/H/C/000253,DRUG LABEL,,,,http://www.ema.europa.eu/docs/en_GB/document_library/EPAR_-_Product_Information/human/000253/WC500040495.pdf,,,,2016.0,
545,7898101.0,,,JOURNAL ARTICLE,Rosenthal J,Nilvadipine: profile of a new calcium antagonist. An overview.,,,J. Cardiovasc. Pharmacol.,24 Suppl 2,,1994.0,S92-107
374,1469694.0,,,JOURNAL ARTICLE,"Hartman GD, Egbertson MS, Halczenko W, Laswell WL, Duggan ME, Smith RL, Naylor AM, Manno PD, Lynch RJ, Zhang G",Non-peptide fibrinogen receptor antagonists. 1. Discovery and design of exosite inhibitors.,,,J. Med. Chem.,35,24,1992.0,4640-2
3562,35199251.0,10.1208/s12248-022-00687-0,,JOURNAL ARTICLE,"Bocci G, Oprea TI, Benet LZ","State of the Art and Uses for the Biopharmaceutics Drug Disposition Classification System (BDDCS): New Additions, Revisions, and Citation References",,,AAPS J,24,2,2022.0,34
26,21985634.0,10.1111/j.1463-1326.2011.01517.x,,JOURNAL ARTICLE,,"Empagliflozin, a novel selective sodium glucose cotransporter-2 (SGLT-2) inhibitor: characterisation and comparison with other SGLT-2 inhibitors.",,,Diabetes Obes Metab,,,2012.0,
2313,,,NDA:761068,DRUG LABEL,,,,https://www.accessdata.fda.gov/drugsatfda_docs/label/2018/761068s000lbl.pdf,,,,2018.0,
3224,,,NDA:213378,DRUG LABEL,,,,https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/213378s000lbl.pdf,,,,2021.0,
3208,,,BLA:761181,DRUG LABEL,,,,https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/761181s000lbl.pdf,,,,2021.0,
182,25120077.0,10.1038/npp.2014.207,,JOURNAL ARTICLE,"Hida H, Mouri A, Mori K, Matsumoto Y, Seki T, Taniguchi M, Yamada K, Iwamoto K, Ozaki N, Nabeshima T, Noda Y",Blonanserin ameliorates phencyclidine-induced visual-recognition memory deficits: the complex mechanism of blonanserin action involving D₃-5-HT₂A and D₁-NMDA receptors in the mPFC.,,,Neuropsychopharmacology,40,3,2015.0,601-13
647,,,PL 0458/0027,DRUG LABEL,,,,http://www.medicines.org.uk/emc/medicine/1073,,,,2017.0,
243,22080169.0,10.1007/s00280-011-1766-x,,JOURNAL ARTICLE,"Ning ZQ, Li ZB, Newman MJ, Shan S, Wang XH, Pan DS, Zhang J, Dong M, Du X, Lu XP",Chidamide (CS055/HBI-8000): a new histone deacetylase inhibitor of the benzamide class with antitumor activity and the ability to enhance immune cell-mediated tumor cell cytotoxicity.,,,Cancer Chemother. Pharmacol.,69,4,2012.0,901-9
2521,29670690.0,10.1021/acsmedchemlett.7b00421,,JOURNAL ARTICLE,"Popovici-Muller J, Lemieux RM, Artin E, Saunders JO, Salituro FG, Travins J, Cianchetta G, Cai Z, Zhou D, Cui D, Chen P, Straley K, Tobin E, Wang F, David MD, Penard-Lacronique V, Quivoron C, Saada V, de Botton S, Gross S, Dang L, Yang H, Utley L, Chen Y, Kim H, Jin S, Gu Z, Yao G, Luo Z, Lv X, Fang C, Yan L, Olaharski A, Silverman L, Biller S, Su SM, Yen K.",Discovery of AG-120 (Ivosidenib): A First-in-Class Mutant IDH1 Inhibitor for the Treatment of IDH1 Mutant Cancers,,,ACS Med. Chem. Lett.,9,4,2018.0,300-5
522,,,NDA:020645,DRUG LABEL,,,,http://www.accessdata.fda.gov/drugsatfda_docs/label/2011/020645s008lbl.pdf,,,,2011.0,
2748,8103915.0,10.1038/365160a0,,JOURNAL ARTICLE,"Blasi J, Chapman ER, Link E, Binz T, Yamasaki S, De Camilli P, Sudhof TC, Niemann H, Jahn R",Botulinum neurotoxin A selectively cleaves the synaptic protein SNAP-25,,,Nature,365,6442,1993.0,160-163
257,,,BLA:103795,DRUG LABEL,,,,http://www.accessdata.fda.gov/drugsatfda_docs/label/2015/103795s5548lbl.pdf,,,,2015.0,
3188,23832378.0,10.1007/s00210-013-0901-0,,JOURNAL ARTICLE,"Fischer F, Vonderlin N, Zitron E, Seyler C, Scherer D, Becker R, Katus HA, Scholz EP",Inhibition of cardiac Kv1.5 and Kv4.3 potassium channels by the class Ia anti-arrhythmic ajmaline: mode of action,,,Naunyn Schmiedebergs Arch Pharmacol,386,11,2013.0,991-999
2594,,,NDA:212099,DRUG LABEL,,,,https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/212099Orig1s000lbl.pdf,,,,2019.0,
117,24558448.0,10.1371/journal.pone.0088910,,JOURNAL ARTICLE,,Long-term activation upon brief exposure to xanomleline is unique to M1 and M4 subtypes of muscarinic acetylcholine receptors,,,PLoS ONE,9,2,2014.0,e88910
377,21073468.0,10.1111/j.1471-4159.2010.07109.x,,JOURNAL ARTICLE,Miller GM,The emerging role of trace amine-associated receptor 1 in the functional regulation of monoamine transporters and dopaminergic activity.,,,J. Neurochem.,116,2,2011.0,164-76
3681,36380144.0,10.1007/s40265-022-01800-5,,JOURNAL ARTICLE,Keam SJ,Valemetostat tosilate: first approval,,,Drugs,82,16,2022.0,1621–1627
3706,,,BLA:761269,DRUG LABEL,,,,https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/761269Orig1s000lbl.pdf,,,,2023.0,
529,,,CP-2015-PI-01665-1,DRUG LABEL,,,,https://www.ebs.tga.gov.au/ebs/picmi/picmirepository.nsf/pdf?OpenAgent&id=CP-2015-PI-01665-1,,,,2015.0,
404,9205952.0,,,JOURNAL ARTICLE,"Alvarez-Guerra M, Alda O, Garay RP",Celiprolol: agonist and antagonist effects at cardiac beta 1- and vascular beta 2-adrenoceptors determined under in vivo conditions in the rat.,,,Naunyn Schmiedebergs Arch. Pharmacol.,355,6,1997.0,689-98
676,19297154.0,10.1016/j.bmcl.2009.02.111,,JOURNAL ARTICLE,"Zhang P, Huang W, Wang L, Bao L, Jia ZJ, Bauer SM, Goldman EA, Probst GD, Song Y, Su T, Fan J, Wu Y, Li W, Woolfrey J, Sinha U, Wong PW, Edwards ST, Arfsten AE, Clizbe LA, Kanter J, Pandey A, Park G, Hutchaleelaha A, Lambing JL, Hollenbach SJ, Scarborough RM, Zhu BY","Discovery of betrixaban (PRT054021), N-(5-chloropyridin-2-yl)-2-(4-(N,N-dimethylcarbamimidoyl)benzamido)-5-methoxybenzamide, a highly potent, selective, and orally efficacious factor Xa inhibitor.",,,Bioorg. Med. Chem. Lett.,19,8,2009.0,2179-85
2923,,,BLA:761158,DRUG LABEL,,,,https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/761158s000lbl.pdf,,,,2020.0,
3678,,,EMEA/H/C/005122,DRUG LABEL,,,,https://www.ema.europa.eu/en/documents/product-information/omvoh-epar-product-information_en.pdf,,,,2023.0,
2734,,,BLA:761128,DRUG LABEL,,,,https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/761128s000lbl.pdf,,,,2019.0,
146,,,BLA:125277,DRUG LABEL,,,,http://www.accessdata.fda.gov/drugsatfda_docs/label/2014/125277s071lbl.pdf,,,,2014.0,
456,22084396.0,10.1158/0008-5472.CAN-11-1515,,JOURNAL ARTICLE,"Hoeflich KP, Merchant M, Orr C, Chan J, Den Otter D, Berry L, Kasman I, Koeppen H, Rice K, Yang NY, Engst S, Johnston S, Friedman LS, Belvin M",Intermittent administration of MEK inhibitor GDC-0973 plus PI3K inhibitor GDC-0941 triggers robust apoptosis and tumor growth inhibition.,,,Cancer Res.,72,1,2012.0,210-9
3252,,,EMEA/H/C/005316,DRUG LABEL,,,,https://www.ema.europa.eu/en/documents/assessment-report/bimzelx-epar-public-assessment-report_en.pdf,,,,2021.0,
3220,,,NDA:215014,DRUG LABEL,,,,https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/215014s000lbl.pdf,,,,2021.0,
462,,,NDA:021629,DRUG LABEL,,,,http://www.accessdata.fda.gov/drugsatfda_docs/label/2015/021629s030lbl.pdf,,,,2015.0,
652,,,NDA:208854,DRUG LABEL,,,,https://www.accessdata.fda.gov/drugsatfda_docs/label/2017/208854s000lbl.pdf,,,,2017.0,
447,18506437.0,10.1007/s00228-008-0478-6,,JOURNAL ARTICLE,"Sahasranaman S, Howard D, Roy S",Clinical pharmacology and pharmacogenetics of thiopurines.,,,Eur. J. Clin. Pharmacol.,64,8,2008.0,753-67
468,,10.1016/S0168-8278(14)61094-1,,JOURNAL ARTICLE,"N. Izumi, R. Tateishi, M. Seike, M. Kudo, H. Tamai, S. Kawazoe, K. Tanaka, M. Kurokawa, Y. Osaki, K. Yamamoto, M. Imawari","P933 ONCE-DAILY ORAL LUSUTROMBOPAG, ALTERNATIVE TO PLATELET TRANSFUSION IN THROMBOCYTOPENIC PATIENTS WITH CHRONIC LIVER DISEASE UNDERGOING RADIOFREQUENCY ABLATION: RESULTS FROM A PHASE 2B, RANDOMIZED, DOUBLE-BLIND STUDY",0168-8278 ,http://www.sciencedirect.com/science/article/pii/S0168827814610941,Journal of Hepatology,60,1,2014.0,S386
2590,31256368.0,10.1007/s40265-019-01161-6,,JOURNAL ARTICLE,Markham A,Alpelisib: First global approval,,,Drugs,79,11,2019.0,1249-53
386,21186796.0,10.1021/jm101016w,,JOURNAL ARTICLE,"Zhang Z, Wallace MB, Feng J, Stafford JA, Skene RJ, Shi L, Lee B, Aertgeerts K, Jennings A, Xu R, Kassel DB, Kaldor SW, Navre M, Webb DR, Gwaltney SL",Design and synthesis of pyrimidinone and pyrimidinedione inhibitors of dipeptidyl peptidase IV.,,,J. Med. Chem.,54,2,2011.0,510-24
232,,,,BOOK,Laurence L. Brunton & Bruce A. Chabner & Bjorn C. Knollmann,Goodman and Gilman's The Pharmacological Basis of Therapeutics,0071624422,,,,,2011.0,
2705,,,BLA:761085,DRUG LABEL,,,,https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/761085s000lbl.pdf,,,,2019.0,
2108,27645238.0,,,JOURNAL ARTICLE,"Tsiang M, Jones GS, Goldsmith J, Mulato A, Hansen D, Kan E, Tsai L, Bam RA, Stepan G, Stray KM, Niedziela-Majka A, Yant SR, Yu H, Kukolj G, Cihlar T, Lazerwith SE, White KL, Jin H","Antiviral Activity of Bictegravir (GS-9883), a Novel Potent HIV-1 Integrase Strand Transfer Inhibitor with an Improved Resistance Profile.",,,Antimicrob. Agents Chemother.,60,12,2016.0,7086-7097
335,26518.0,,,JOURNAL ARTICLE,"Galeone M, Moise G, Ferrante F, Cacioli D, Casula PL, Bignamini AA","Double-blind clinical comparison between a gastrin-receptor antagonist, proglumide, and a histamine H2-blocker, cimetidine.",,,Curr Med Res Opin,5,5,1978.0,376-82
9,20302302.0,10.1021/jm901893x,,JOURNAL ARTICLE,,"(1S)-1,5-anhydro-1-[5-(4-ethoxybenzyl)-2-methoxy-4-methylphenyl]-1-thio-D-glucito l (TS-071) is a potent, selective sodium-dependent glucose cotransporter 2 (SGLT2) inhibitor for type 2 diabetes treatment.",,,J Med Chem,,,2010.0,
2004,,10.1016/S0016-5085(10)61017-7,,JOURNAL ARTICLE,"Gillberg, Per-Göran; Dahlström, Mikael; AU  - Starke, Ingemar; Östlund-Lindqvist, Ann-Margret",S1301 The IBAT Inhibition by A3309 - A Potential Mechanism for the Treatment of Constipation,,http://dx.doi.org/10.1016/S0016-5085(10)61017-7,Gastroenterology,138,5,2010.0,S-224
159,,,NDA:021938,DRUG LABEL,,,,http://www.accessdata.fda.gov/drugsatfda_docs/label/2014/021938s027lbl.pdf,,,,2014.0,
2750,31132753.0,10.1016/j.phymed.2019.152956,,JOURNAL ARTICLE,Bailly C,"Cepharanthine: An update of its mode of action, pharmacological properties and medical applications",,,Phytomedicine,62,,2019.0,152956
2725,,,NDA:211970,DRUG LABEL,,,,https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/211970s000lbl.pdf,,,,2019.0,
3243,,,NDA:215206,DRUG LABEL,,,,https://www.accessdata.fda.gov/drugsatfda_docs/label/2021/215206Orig1s000lbl.pdf,,,,2021.0,
289,,,NDA:206334,DRUG LABEL,,,,http://www.accessdata.fda.gov/drugsatfda_docs/label/2014/206334s000lbl.pdf,,,,2014.0,
188,,,NDA:021081,DRUG LABEL,,,,http://www.accessdata.fda.gov/drugsatfda_docs/label/2015/021081s062lbl.pdf,,,,2015.0,
2315,,,BLA:761077,DRUG LABEL,,,,https://www.accessdata.fda.gov/drugsatfda_docs/label/2018/761077s000lbl.pdf,,,,2018.0,
2595,26137992.0,10.1038/srep12007,,JOURNAL ARTICLE,"Moilanen AM, Riikonen R, Oksala R, Ravanti L, Aho E, Wohlfahrt G, Nykanen PS, Tormakangas OP, Palvimo JJ, Kallio PJ","Discovery of ODM-201, a new-generation androgen receptor inhibitor targeting resistance mechanisms to androgen signaling-directed prostate cancer therapies",,,Sci Rep,5,,2015.0,12007
3240,,,NDA:214916 review,DRUG LABEL,,,,https://www.accessdata.fda.gov/drugsatfda_docs/nda/2021/214916Orig1s000MultidisciplineR.pdf,,,,2021.0,
3684,,,NDA:215830 review,DRUG LABEL,,,,https://www.accessdata.fda.gov/drugsatfda_docs/nda/2023/215830Orig1s000MultidisciplineR.pdf,,,,2023.0,
2701,,,NCT02215161,CLINICAL TRIAL,,Phase II single agent study of selinexor (KPT-330) in patients with metastatic castration-resistant prostate cancer (MCRPC) and prior therapy with abiraterone and/or enzalutamide,,https://clinicaltrials.gov/ProvidedDocs/61/NCT02215161/Prot_SAP_000.pdf,,,,2018.0,
103,10364735.0,10.1159/000029379,,JOURNAL ARTICLE,,"Reproterol: beta-2-agonist, theophylline, or both?",,,Respiration,66,3,1999.0,
597,11523024.0,,,JOURNAL ARTICLE,Karp JE,Farnesyl protein transferase inhibitors as targeted therapies for hematologic malignancies.,,,Semin. Hematol.,38,3 Suppl 7,2001.0,16-23
2901,30115648.0,10.1124/dmd.118.082966,,JOURNAL ARTICLE,"Lombardo F, Berellini G, Obach RS",Trend Analysis of a Database of Intravenous Pharmacokinetic Parameters in Humans for 1352 Drug Compounds,,https://dmd.aspetjournals.org/content/dmd/46/11/1466.full.pdf,Drug Metab Dispos,46,11,2018.0,1466-1477
2714,18394554.0,10.1016/j.ccr.2008.02.009,,JOURNAL ARTICLE,"Wernig G, Kharas MG, Okabe R, Moore SA, Leeman DS, Cullen DE, Gozo M, McDowell EP, Levine RL, Doukas J, Mak CC, Noronha G, Martin M, Ko YD, Lee BH, Soll RM, Tefferi A, Hood JD, Gilliland DG","Efficacy of TG101348, a selective JAK2 inhibitor, in treatment of a murine model of JAK2V617F-induced polycythemia vera.",,,Cancer Cell,13,4,2008.0,311-320
610,,,EMEA/H/C/000872,DRUG LABEL,,,,http://www.ema.europa.eu/docs/en_GB/document_library/EPAR_-_Product_Information/human/000872/WC500054377.pdf,,,,2015.0,
500,,,NDA:020212,DRUG LABEL,,,,http://www.accessdata.fda.gov/drugsatfda_docs/label/2014/020212s017lbl.pdf,,,,2014.0,
325,,,NDA:021959,DRUG LABEL,,,,http://www.accessdata.fda.gov/drugsatfda_docs/label/2010/021959s004lbl.pdf,,,,2010.0,
2944,,,NDA:213793 review,DRUG LABEL,,,,https://www.accessdata.fda.gov/drugsatfda_docs/nda/2020/213793Orig1s000ClinPharmR.pdf,,,,2020.0,
3265,33006602.0,10.1093/rheumatology/keaa605,,JOURNAL ARTICLE,"Nishida Y, Kano K, Nobuoka Y, Seo T",Sustained-release diclofenac conjugated to hyaluronate (diclofenac etalhyaluronate) for knee osteoarthritis: a randomized phase 2 study,,,Rheumatology,60,3,2020.0,1435-1444
3700,,,BLA:761339,DRUG LABEL,,,,https://www.accessdata.fda.gov/drugsatfda_docs/label/2023/761339s000lbl.pdf,,,,2023.0,
1902,,,NDA:210251,DRUG LABEL,,,,https://www.accessdata.fda.gov/drugsatfda_docs/label/2017/209360s000lbl.pdf,,,,2018.0,
3264,,,000242410,DRUG LABEL,,,,https://www.pmda.go.jp/files/000242410.pdf,,,,2021.0,
2721,31381333.0,10.1021/acs.jmedchem.9b00687,,JOURNAL ARTICLE,"Guo Y, Liu Y, Hu N, Yu D, Zhou C, Shi G, Zhang B, Wei M, Liu J, Luo L, Tang Z, Song H, Guo Y, Liu X, Su D, Zhang S, Song X, Zhou X, Hong Y, Chen S, Cheng Z, Young S, Wei Q, Wang H, Wang Q, Lv L, Wang F,Xu H, Sun H, Xing H, Li N, Zhang W, Wang Z, Liu G, Sun Z, Zhou D, Li W, Liu L, Wang L, Wang Z","Discovery of Zanubrutinib (BGB-3111), a Novel, Potent, and Selective Covalent Inhibitor of Bruton's Tyrosine Kinase",,,J Med Chem,62,17,2019.0,7923-7940
124,10878285.0,,,JOURNAL ARTICLE,"Allison AC, Eugui EM",Mycophenolate mofetil and its mechanisms of action.,,,Immunopharmacology,47,2-3,2000.0,85-118
2760,,10.1101/2020.03.23.004580,,JOURNAL ARTICLE,"Li Z, Li X,  Huang YY, Wu Y, Zhou L, Liu R, Wu D, Zhang L, Liu H, Xu X, Zhang Y, Cui J, Wang X, Luo HB",FEP-based screening prompts drug repositioning against COVID-19,,,bioRxiv,,,2020.0,
2764,,,NDA:212608,DRUG LABEL,,,,https://www.accessdata.fda.gov/drugsatfda_docs/label/2020/212608s000lbl.pdf,,,,2020.0,
3694,,,BLA:761309 review,DRUG LABEL,,,,https://www.accessdata.fda.gov/drugsatfda_docs/nda/2023/761309Orig1s000MultidisciplineR.pdf,,,,2023.0,
671,,,BLA:761037,DRUG LABEL,,,,https://www.accessdata.fda.gov/drugsatfda_docs/label/2017/761037s000lbl.pdf,,,,2017.0,
2585,,,NDA:211230,DRUG LABEL,,,,https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/211230s000lbl.pdf,,,,2019.0,
129,24872026.0,10.1158/2326-6066.CIR-14-0040,,JOURNAL ARTICLE,"Wang C, Thudium KB, Han M, Wang XT, Huang H, Feingersh D, Garcia C, Wu Y, Kuhne M, Srinivasan M, Singh S, Wong S, Garner N, Leblanc H, Bunch RT, Blanset D, Selby MJ, Korman AJ","In vitro characterization of the anti-PD-1 antibody nivolumab, BMS-936558, and in vivo toxicology in non-human primates.",,,Cancer Immunol Res,2,9,2014.0,846-56
448,26171220.0,10.1002/prp2.136,,JOURNAL ARTICLE,"Jain MR, Giri SR, Trivedi C, Bhoi B, Rath A, Vanage G, Vyas P, Ranvir R, Patel PR","Saroglitazar, a novel PPARα/γ agonist with predominant PPARα activity, shows lipid-lowering and insulin-sensitizing effects in preclinical models.",,,Pharmacol Res Perspect,3,3,2015.0,e00136
2592,,,NDA:212306,DRUG LABEL,,,,https://www.accessdata.fda.gov/drugsatfda_docs/label/2019/212306s000lbl.pdf,,,,2019.0,
276,20022913.0,10.1093/chemse/bjp092,,JOURNAL ARTICLE,"Meyerhof W, Batram C, Kuhn C, Brockhoff A, Chudoba E, Bufe B, Appendino G, Behrens M",The molecular receptive ranges of human TAS2R bitter taste receptors.,,,Chem. Senses,35,2,2010.0,157-70
562,,,NDA:050682,DRUG LABEL,,,,http://www.accessdata.fda.gov/drugsatfda_docs/label/2012/050682s029s030lbl.pdf,,,,2012.0,
367,,,NDA:021022,DRUG LABEL,,,,http://www.accessdata.fda.gov/drugsatfda_docs/label/2004/21022s004lbl.pdf,,,,2004.0,
2740,27412122.0,10.1007/s40265-016-0618-8,,JOURNAL ARTICLE,Markham A,Atezolizumab: First Global Approval,,,Drugs,76,12,2016.0,1227-1232
579,,,BLA:125249,DRUG LABEL,,,,http://www.accessdata.fda.gov/drugsatfda_docs/label/2008/125249lbl.pdf,,,,2008.0,
793,,,NDA:208716,DRUG LABEL,,,,https://www.accessdata.fda.gov/drugsatfda_docs/label/2017/208716Orig1s000lbl.pdf,,,,2017.0,
22,18447380.0,10.1021/jm800180e,,JOURNAL ARTICLE,,"Discovery of a novel, orally active himbacine-based thrombin receptor antagonist (SCH 530348) with potent antiplatelet activity.",,,J Med Chem,,,2008.0,
157,11755161.0,,,JOURNAL ARTICLE,"Noguchi H, Kitazumi K, Mori M, Shiba T","Binding and neuropharmacological profile of zaleplon, a novel nonbenzodiazepine sedative/hypnotic.",,,Eur. J. Pharmacol.,434,1-2,2002.0,21-8
