id,descr,category,keyword
KW-0727,"Protein with at least one Src homology 2 (SH2) domain. The SH2 domain, which was first identified in the oncoproteins Src and Fps, is about 100 amino-acid residues long. It functions as a regulatory module of intracellular signaling cascades by interacting with high affinity to phosphotyrosine-containing target peptides in a sequence-specific and strictly phosphorylation-dependent manner.",Domain,SH2 domain
KW-0211,"Families of microbicidal and cytotoxic peptides. Defensins have antibacterial, antifungal and antiviral properties. Defensins kills cells by forming voltage-regulated multimeric channels in the susceptible cell's membrane.",Molecular function,Defensin
KW-0182,"Protein which, if defective, causes cone-rod dystrophy, a disease where dystrophy of cone-rod cells is characterized by the initial degeneration of cone photoreceptor cells, thus causing early loss of visual acuity and color vision, followed by the degeneration of rod photoreceptor cells and leading to progressive night blindness and peripheral visual field loss.",Disease,Cone-rod dystrophy
KW-0693,Viral protein involved in the SYnthesis of multiple copies of the viral RNA genome. The replicated genomes provide support for further viral transcription or are assembled into progeny virions.,Biological process,Viral RNA replication
KW-0376,"Protein involved in hydrogen peroxide (H(2)O(2)) decomposition, e.g., catalase. H(2)O(2) is generated by the body as a byproduct of aerobic cellular respiration.",Biological process,Hydrogen peroxide
KW-0051,"Protein synthesized or activated in the cell in response to viral infection, or protein with specific antiviral activity within the cell. Eukaryotic cells have an innate immune mechanism to fight viral infection, which is activated through the interferon signaling pathway or through dsRNA detection in the cytoplasm. It leads to the establishment of an antiviral cell state, which prevents virus replication or induces apoptosis. Most viruses have developed specific proteins to prevent the establishment of an antiviral state. About half of all bacteria and most archaea have a CRISPR (clustered regularly interspersed short plaindromic repeats) system of adaptive immunity to exogenous DNA. CRISPRs clusters are tandem arrays of alternating repeats and spacers, where the spacers in some cases are homologous to sequences from virus and plasmid genomes. The CRISPR arrays are transcribed, processed and in some way aid in detection and resistance to foreign DNA. In at least a few bacteria (E.coli, S.epidermidis) it seems DNA is the target, whereas in Pyrococcus furiosis it seems the CRISPR system targets RNA.",Biological process,Antiviral defense
KW-0963,"Protein found in the cytoplasm, the content of a cell within the plasma membrane and, in eukaryotics cells, surrounding the nucleus. This three-dimensional, jelly-like lattice interconnects and supports the other solid structures. The cytosol (the soluble portion of the cytoplasm outside the organelles) is mostly composed of water and many low molecular weight compounds. In eukaryotes, the cytoplasm also contains a network of cytoplasmic filaments (cytoskeleton).",Cellular component,Cytoplasm
KW-1056,"Protein which, if defective, causes heterotaxy, a broad group of disorders caused by failure to correctly establish left-right patterning during embryogenesis with consequent abnormal segmental arrangements of cardiac chambers, vessels, lungs, and/or abdominal organs. Heterotaxy include complex cardiac malformations, situs inversus, situs ambiguus, isomerism. Situs inversus indicates complete left-right reversal of organ position and is not usually associated with structural anomalies. Situs ambiguus is an abnormal arrangement of viscera almost invariably associated with complex cardiovascular malformations as well as anomalies of the spleen and the gastrointestinal system. Isomerism is a defect in asymmetry of paired organs that usually have distinct right and left forms, but in this condition, are mirror images.",Disease,Heterotaxy
KW-1127,"Viral protein possessing deubiquitinating activity. Hijacking the ubiquitin system plays an essential role during viral replication. Therefore, several viruses including EBV or HCMV encode for proteins able to remove ubiquitin or ubiquitin-like proteins from their substrate.",Biological process,Modulation of host ubiquitin pathway by viral deubiquitinase
KW-0171,"Protein involved in the transport of the trace element cobalt, which is a component of vitamin B12.",Biological process,Cobalt transport
KW-1120,"Viral protein sharing sequence homology with cellular cyclins. Most viral cyclin homologues are closely related in sequence to the cellular D-type cyclins, which are implicated in regulating the transit of cells from G1 into S and are thought to operate via the inactivation of the retinoblastoma tumour suppressor protein.",Biological process,Modulation of host cell cycle by viral cyclin-like protein
KW-0677,Protein which contains a stretch of amino acids present in multiple copies.,Domain,Repeat
KW-0479,Protein which binds metals.,Ligand,Metal-binding
KW-0248,"Protein which, if defective, causes Ehlers-Danlos syndrome (EDS), a genetically and phenotypically heterogeneous group of connective-tissue disorders. It affects primarily the skin, ligaments, joints, and blood vessels. Typical features include skin hyperextensibility, joint hypermobility, easy bruisability, friability of tissues with bleeding and poor wound healing. Inheritance can be autosomal dominant, autosomal recessive, or X-linked recessive.",Disease,Ehlers-Danlos syndrome
KW-1143,"Viral protein that forms an icosahedral capsid with a pseudo T=3 symmetry to protect the viral genome. The pseudo T=pseudo3 capsid is composed of 180 subunits. Each subunit does not occupy a quasi-equivalent position, therefore the structure is called pseudo. The capsid diameter ranges from 26 to 40 nm.",Cellular component,T=pseudo3 icosahedral capsid protein
KW-0638,Protein which acts as a neurotoxin at the presynaptic membrane and usually blocks neuromuscular transmission.,Molecular function,Presynaptic neurotoxin
KW-1092,"Viral protein involved in the evasion of host innate defense by inhibiting the interferon regulatory factor-3 (IRF3) protein. Viral infection triggers the phosphorylation and activation of IRF3. The activated IRF3 migrates to the nucleus, where it complexes with the transcription coactivator CREBBP/EP300, leading to the transcriptional activation of the IFN-alpha and IFN-beta genes. Several viral proteins directly bind to IRF3 and inhibit its transcriptional activity while others target it to the proteasome for degradation.",Biological process,Inhibition of host IRF3 by virus
KW-1232,Viral decoration protein attached to the capsid of some prokaryotic viruses. Decoration proteins are located on the outermost surface of the capsid and are involved in stabilizing the head structure.,Cellular component,Capsid decoration protein
KW-1126,"Protein phosphatase-1 (PP1) is a member of the Serine/Threonine phosphatases. The enzyme regulates many important physiological processes, including gene transcription, translation, metabolism, cell growth and division. Different viruses including asfivirus, herpes simplex virus or papillomavirus interact with and modulate PPP1 phosphatase activity to dephosphorylate specific cellular substrates including EIF2S1. Upon viral infection, the host PKR/EIF2AK2 triggers the phosphorylation of EIF2S1 leading to a complete translational shut-off. By dephosphroylating EIF2S1 with PPP1CA, viruses manage to circumvent this antiviral response and prevent translational shut-off.",Biological process,Modulation of host PP1 activity by virus
KW-0688,"Protein produced by programmed ribosomal frameshifting, a translational recoding mechanism which causes the ribosome to alter its reading of the genetic code to produce either an alternative product not directly encoded by the mRNA or two or more different isoforms.",Coding sequence diversity,Ribosomal frameshifting
KW-0988,"Protein which, if defective, causes intrahepatic cholestasis, a condition characterized by stoppage or suppression of the bile flow from the liver to the duodenum without extrahepatic bile duct obstruction.",Disease,Intrahepatic cholestasis
KW-0092,"Protein which contains at least one biotin as prosthetic group or cofactor (e.g. some carboxylases and decarboxylases, and biotin carboxyl carrier protein) or which binds biotin, like avidin. Biotin is a water-soluble vitamin (member of the B complex vitamins) essential for fatty acid biosynthesis, catabolism, and it acts as a growth factor for many cells.",Ligand,Biotin
KW-0458,"Protein found in the lysosome, a membrane-limited organelle present in all eukaryotic cells, which contains a large number of hydrolytic enzymes that are used for the intracellular degradation of macromolecules.",Cellular component,Lysosome
KW-1167,"Viral protein involved in virus internalization into the host cell via endocytic pathways that involve neither clathrin nor caveolins. These pathways can be further defined by their dependency on various molecules such as cholesterol, DNM2/Dynamin-2, small GTPases or tyrosine kinase and possibly involve non-caveolar lipid rafts. Clathrin- and caveolin-independent pathways are used by viruses including poliovirus, human rhinovirus 14, lymphocytic choriomeningitis virus, murine norovirus-1 and SV40.",Biological process,Clathrin- and caveolin-independent endocytosis of virus by host
KW-0927,"Protein involved in the auxin signaling pathway (e.g. transport and signal transduction) that regulates many aspects of plant growth and development (e.g. caulogenesis, rhizogenesis, tropisms, nodulation). The major form of this phytohormone is indole-3-acetic acid (IAA) that can be synthesized both from tryptophan (Trp) using Trp-dependent pathways and from an indolic Trp precursor via Trp-independent pathways. Plants can also obtain IAA by b-oxidation of indole-3-butyric acid (IBA), a second endogenous auxin, or by hydrolysing IAA conjugates, in which IAA is linked to amino acids, sugars or peptides.",Biological process,Auxin signaling pathway
KW-0753,"Protein involved in the biochemical reactions of steroids. Steroids are a large group of complex tetracyclic lipids that consist of a 17-carbon-ring system. Examples are bile acids, sterols, various hormones and saponins.",Biological process,Steroid metabolism
KW-0464,"Protein which binds at least one manganese atom, or protein whose function is manganese-dependent. Manganese is a metallic element, chemical symbol Mn.",Ligand,Manganese
KW-0130,Protein involved in the adherence of cells to other cells or to a matrix. Cell adhesion is mediated by cell surface proteins.,Biological process,Cell adhesion
KW-0281,"Protein found in a fimbrium or pilus. A fimbrium or pilus is a hair-like, non-flagellar, polymeric filamentous appendage that extend from the bacterial or archaeal cell surface, such as type 1 pili, P-pili, type IV pili or curli. Pili perform a variety of functions, including surface adhesion, motility, cell-cell interactions, biofilm formation, conjugation, DNA uptake, and twitching motility.",Cellular component,Fimbrium
KW-0627,"Protein involved in the synthesis of porphyrins which are compounds that contain the porphin structure, e.g. four pyrrole rings connected by methine bridges in a cyclic configuration to which a variety of side chains are attached. Porphyrins often chelate metal ions (Fe, Mg, Co, Zn, Cu, Ni). Examples are, heme proteins (which contain iron porphyrins) like myoglobin, hemoglobin, cytochromes, or related macrocycles including chlorophylls (which have a central magnesium ion) and pheophytins (which are metal free) and vitamin B-12 (which has cobalt).",Biological process,Porphyrin biosynthesis
KW-1055,"Protein which, if defective, causes congenital dyserythropoietic anemia, a heterogeneous group of disorders characterized by the occurrence of multinuclear erythroid precursors in the bone marrow, ineffective erythropoiesis, iron overload and anemia. Various forms are differentiated mainly by the morphological appearance of the erythroid precursors.",Disease,Congenital dyserythropoietic anemia
KW-0592,Protein involved in the transport of phosphate.,Biological process,Phosphate transport
KW-0721,Protein which is related to serine proteases but seems to have no proteolytic activity.,Molecular function,Serine protease homolog
KW-0336,"Protein bound to the lipid bilayer of a membrane through either a GPI-anchor (glycosylphosphatidylinositol anchor), a complex oligoglycan linked to a phosphatidylinositol group, or a GPI-like-anchor, a similar complex oligoglycan linked to a sphingolipidinositol group, resulting in the attachment of the C-terminus of the protein to the membrane.",PTM,GPI-anchor
KW-0535,"Protein involved in nitrogen fixation, the reduction of gaseous nitrogen to ammonia. This process is carried out only by prokaryotes who are either free-living or form symbiotic associations with plants or other organisms (e.g. termites, protozoa).",Biological process,Nitrogen fixation
KW-1061,Protein involved in the necrosis of the skin.,Molecular function,Dermonecrotic toxin
KW-1039,"Protein found in or associated with host endosomes, which are highly dynamic membrane systems involved in transport within the host cell, they receive endocytosed host cell membrane molecules and sort them for either degradation or recycling back to the host cell surface. They also receive newly synthesised proteins destined for host vacuolar/lysosomal compartments.",Cellular component,Host endosome
KW-1264,"A switch in the host range specificity occurs in some bacterial viruses through site-specific inversion of a DNA segment in their genome. This inversion leads to the alternate expression of two different sets of genes involved in tail fiber biosynthesis. Inversion is catalyzed by a specific recombinase called invertase and consists of a reciprocal recombination event within two inverted repeats present in the viral genome. Mu-like viruses and P1-like viruses, for example, encode a recombinase responsible for the switch in the targeted host.",Biological process,Viral host range expansion by genetic inversion
KW-0772,"Protein involved in the systemic lupus erythematosus (SLE), a chronic autoimmune disease where the immune system is over-active and produces too many abnormal antibodies that react with the patient's own tissues. The exact cause of lupus is not known, but heredity, environment and hormonal changes may be involved. The immune complex deposition in many tissues leads to the manifestations of the disease. Immune complexes can be deposited in glomeruli, skin, lungs, synovium, mesothelium, and other places. Many SLE patients develop renal complications.",Disease,Systemic lupus erythematosus
KW-0483,"Protein that inhibits metalloproteases, which are peptide hydrolases that use a metal in the catalytic mechanism.",Molecular function,Metalloprotease inhibitor
KW-0214,"Protein involved in dental caries or important in the prevention of dental caries. Dental caries are localized destruction of the tooth surface, initiated by decalcification of the enamel and followed by enzymatic lysis of organic structures, the result of which is cavity formation. The cavity may penetrate the enamel and dentin, and reach the pulp. The disease may be caused by acids produced by bacteria which lead to decalcification, or by microorganisms that destroy the enamel protein, or by keratolytic microorganisms producing chelates that lead to decalcification.",Disease,Dental caries
KW-0159,"Protein involved in chromosome partition, the process by which newly replicated plasmids and chromosomes are actively segregated prior to cell division. E.g., par and soj which contribute to efficient chromosome partitioning by serving functions analogous to centromeres (i.e. pairing or positioning of sister chromosomes).",Biological process,Chromosome partition
KW-1027,"Protein which binds at least one lead atom, or protein whose function is lead-dependent. Lead is a metal, chemical symbol Pb.",Ligand,Lead
KW-0026,"Protein which, if defective, causes Alzheimer disease, a neurodegenerative disorder characterized by progressive dementia and global loss of cognitive abilities. The condition primarily occurs after age 60, and is marked pathologically by severe cortical atrophy, senile plaques, neurofibrillary tangles, and neuropil threads. Early-onset forms also occurr.",Disease,Alzheimer disease
KW-0056,Protein involved in biochemical reactions with the basic amino acid arginine (Arg).,Biological process,Arginine metabolism
KW-1183,"Cell surface protein used by a virus as an attachment and entry receptor. In some cases, binding to a cellular receptor is not sufficient for infection: an additional cell surface molecule, or coreceptor, is required for entry. Some viruses are able to use different receptors depending on the target cell type. In prokaryotic viruses, cell receptor for virus entry can also be localized on host outer membrane, pilus or flagellum.",Molecular function,Host cell receptor for virus entry
KW-1207,"Protein involved in the metabolism of sterols, any steroid alcohol. Sterols are components of cell membranes in plants, animals and fungi.",Biological process,Sterol metabolism
KW-0425,Lanthionine-containing peptide antibiotics are peptides produced by Gram-positive bacteria which cause cell death of other Gram-positive bacteria.,Molecular function,Lantibiotic
KW-0795,Protein precursor of thyroid hormones which are secreted by the thymus gland and participate in the development of the lymphoid system as well as the maturation of the cellular immune response. Also used for proteins which bind thyroid hormones or thyroid hormone receptor antagonists.,Molecular function,Thyroid hormone
KW-1128,Viral protein functioning as a cellular E3 ubiquitin ligase. These viral proteins usually target several host proteins for proteasomal degradation.,Biological process,Modulation of host ubiquitin pathway by viral E3 ligase
KW-0574,Protein located in the space between the inner membrane and the outer membrane (cell wall) of Gram negative bacteria and some eukaryotic algae. Also used for proteins located in the region between the plasma membrane and the cell wall in fungi.,Cellular component,Periplasm
KW-0736,"Protein of the signalosome complex, a multifunctional protein complex essential for development and possibly involved in the regulation of protein degradation.",Cellular component,Signalosome
KW-0624,"Protein involved in polysaccharide degradation, the breakdown of polysaccharides.",Biological process,Polysaccharide degradation
KW-0985,"Protein which, if defective, causes congenital absolute erythrocytosis, a disorder characterized by expansion of the erythrocyte compartment in the peripheral blood. Total red cell mass is increased in the absence of a reduction of plasma volume. Erythrocytoses are usually divided into primary and secondary forms. Primary erythrocytoses are due to defects in the erythroid progenitors and are characterized by low erythropoietin levels. Secondary erythrocytoses can be due to defects in hypoxia sensing, or to conditions that cause low tissue oxygen tension with consequent increase in erythropoietin secretion.",Disease,Congenital erythrocytosis
KW-0594,"Protein involved in the synthesis of phospholipids, the major lipid component of most cellular membranes. Phospholipids are usually composed of two fatty acid chains esterified to two of the carbons of glycerol phosphate, the phosphate being esterified to a hydroxyl group of another hydrophilic compound, such as choline, ethanolamine or serine.",Biological process,Phospholipid biosynthesis
KW-1239,Viral protein involved in the merging of the virion external lipidic membrane (envelope) with the prokaryotic host outer membrane during viral penetration into host cell. Bacteriophages such as Cystoviridae for example fuse their membrane with the host outer membrane.,Biological process,Fusion of virus membrane with host outer membrane
KW-1252,Viral protein part of a genetic switch that takes part in the decision of the outcome of the infection: latency or replication. Expression of genetic switch proteins control the expression of viral genes that act as effectors in establishment and maintenance of latency. Interactions between proteins involved in switch regulatory processes and host proteins often influence the decision.,Biological process,Latency-replication switch
KW-0621,"Protein for which there is at least one variant within the same species, that is not directly responsible for a disease. We make use of this keyword only in the context of multicellular organisms.",Coding sequence diversity,Polymorphism
KW-0268,"Protein involved in exocytosis, a process by which a material is transported out of a cell using a vesicle that first engulfs the material and then is extruded through an opening in the cell membrane. The exocyst protein complex plays an important role in exocytosis by directing exocytic vesicles to their precise sites of fusion in the plasma membrane.",Biological process,Exocytosis
KW-0477,"Protein expressed in the merozoite stage of sporozoite parasites, an invasive stage in the life cycle produced by schizogony or asexual reproduction in which the nucleus of a cell undergoes division several times. This results in a multinucleate schizont which subsequently gives rise to a number of uninucleate cells called merozoites.",Developmental stage,Merozoite
KW-0345,"Protein or apolipoprotein associated with High-Density Lipoproteins (HDL), a class of proteins involved in lipid (cholesterol, phospholipids and triacylglycerol) metabolism in the body fluids. HDL are formed in the liver and are involved in reverse cholesterol transport, the transport of cholesterol from peripherical tissues to the liver. Apolipoproteins are proteins which are specifically associated with lipoproteins, which is not the case for all the proteins associated with HDL or with the other lipoprotein classes.",Cellular component,HDL
KW-0233,"Protein involved in DNA recombination, i.e. any process in which DNA molecules are cleaved and the fragments are rejoined to give a new combination.",Biological process,DNA recombination
KW-0636,"Protein which is posttranslationally modified by the attachment of at least one prenyl group (e.g. farnesyl, geranylgeranyl) usually on cysteine residues which are at or near the C-terminal extremity.",PTM,Prenylation
KW-1208,"Protein involved in the metabolism of phospholipids, the major lipid component of most cellular membranes. Phospholipids are usually composed of two fatty acid chains esterified to two of the carbons of glycerol phosphate, the phosphate being esterified to a hydroxyl group of another hydrophilic compound, such as choline, ethanolamine or serine.",Biological process,Phospholipid metabolism
KW-0652,"Protein which blocks the synthesis of proteins (translation) through various mechanisms, including hydrolysis of cellular tRNA, and inactivation of the 60S subunits of eukaryotic ribosome.",Molecular function,Protein synthesis inhibitor
KW-1121,"Viral protein involved in the modulation of host cell cycle. The cell cycle can be divided into four stages: G1, S, G2 and mitosis, while cells resting are termed quiescent cells (G0). Viruses have evolved strategies to modulate cell cycle progression including stimulation of S phase entry from G1 or G0 or cell cycle arrest at G2/M for example. This regulation allows viruses to maximize their own replication.",Biological process,Modulation of host cell cycle by virus
KW-0902,"Protein involved in a system responding to environmental changes characterized usually by a sensor kinase in the cell membrane that phosphorylates itself in response to a signal and a response regulator to which the phosphoryl group is transferred. The responder is typically a DNA-binding protein that regulates transcription. Several of these systems are quite complex, involving many proteins in a signaling cascade or contributing to several responses simultaneously. They are involved in a variety processes such as chemotaxis, osmoregulation, magnesium transport, pH tolerance, sporulation, or response of virulent species to host cell's environments.",Biological process,Two-component regulatory system
KW-0165,"Protein which is posttranslationally modified by the cleavage on at least one pair of basic residues, in order to release one or more mature active peptides (such as hormones).",PTM,Cleavage on pair of basic residues
KW-0780,Protein involved in the random addition of deoxynucleoside 5'-triphosphate to the 3'end of a DNA initiator.,Biological process,Terminal addition
KW-0824,"Protein which contains at least one tryptophan tryptophylquinone (TTQ) cross-link modification. TTQ, the cofactor of methylamine dehydrogenase (MADH), is formed by oxidation of the indole ring of a tryptophan to form tryptophylquinone followed by covalent cross-linking with another tryptophan residue. MADH converts primary amines to their corresponding aldehydes plus ammonia. During the catalytic cycle, TTQ mediates electron transfer from the substrate to a copper protein, amicyanin. These electrons are transferred to the respiratory chain via a C-type cytochrome.",PTM,TTQ
KW-0293,"Protein involved in fruiting body formation or expressed in fruiting bodies, any specialized reproductive structure that produces spores or gametes in fungi, slime molds, algae, etc. Fruiting bodies are distinct in size, shape and coloration for each species.",Developmental stage,Fruiting body
KW-0767,Protein found in the film of pulmonary surfactants which cover the alveolar surface of the mammalian lung. These surfactants are composed of 90% phospholipids and 10% proteins.,Cellular component,Surface film
KW-0275,"Protein involved in the synthesis of fatty acids, long chain organic acids of the general formula CH3(CnHx)COOH. They are constituents of lipids and can be saturated or unsaturated. The esterified forms are important both as energy storage molecules and structural molecules.",Biological process,Fatty acid biosynthesis
KW-0644,"Protein involved in a biochemical reaction with prostaglandins. Prostaglandins are fatty acids composed of 20 carbons with a substituted cyclopentane ring. There are four major classes of prostaglandin, which differ in the position of the double bonds and/or the oxygen substituents on the ring: PGA, PGB, PGE, and PGF. They are found in many mammalian tissues.",Biological process,Prostaglandin metabolism
KW-0734,"Protein which inhibits signal transduction, the process by which extracellular signals induce intracellular responses. Usually a hormone or neurotransmitter binds to a cell surface receptor which is coupled to a second messenger system, such as that involving cAMP, or to an ion channel. The final downstream consequence of signal transduction is a change in the cell's function, such as a modification in glucose uptake or in cell division. Such a change may be the result of an activation or an inhibition event.",Molecular function,Signal transduction inhibitor
KW-0870,"Protein which interferes with the function of voltage-gated chloride channels (ClC) which are membrane proteins forming a channel in a biological membrane selectively permeable to chloride ions, and open in response to a change in membrane potential. They are found in venoms from scorpions.",Molecular function,Voltage-gated chloride channel impairing toxin
KW-0851,Protein which is a component of a voltage-gated channel. Voltage-gated ion channels are responsible for the electrical activity in a variety of cell types. They probably exist in all life forms.,Molecular function,Voltage-gated channel
KW-0475,Protein that confers bacteria or other microorganisms the ability to withstand mercury salts.,Biological process,Mercuric resistance
KW-1052,"Protein found in or associated with a target cell membrane, the selectively permeable membrane which separates the target cell cytoplasm from its surroundings. This term is used to describe a toxin located to the cell membrane of a target cell.",Cellular component,Target cell membrane
KW-0784,"Protein involved in the synthesis of thiamine, a water-soluble vitamin member of the vitamin B complex. It occurs in cells largely as its active coenzyme form thiamine pyrophosphate, formerly called cocarboxylase. Thiamine is necessary in the diet of most vertebrates and some microorganisms. Its deficiency causes beriberi in man and polyneuritis in birds. Thiamine pyrophosphate serves as coenzyme in aldehyde-group transfers.",Biological process,Thiamine biosynthesis
KW-0150,"Protein encoded by or localized in the chloroplast, the most common form of plastid, found in all photosynthetic organisms except glaucophyte algae. In green (photosynthesizing) tissue they house the machinery necessary for photosynthesis and CO(2) fixation. They are surrounded by between 2 and 4 membranes and contain thylakoids in green tissue.",Cellular component,Chloroplast
KW-0950,"Protein which, if defective, causes autosomal dominant spinocerebellar ataxia, a clinically and genetically heterogeneous group of autosomal dominant cerebellar ataxias (ADCA). Patients show progressive incoordination of gait and often poor coordination of hands, speech and eye movements. Spinocerebellar ataxia is caused by degeneration of the cerebellum with variable involvement of the brainstem and spinal cord. Three clinical types are distinguished, according to the extent of extra-cerebellar signs: cerebellar ataxia with additional features like optic atrophy, ophthalmoplegia, bulbar and extrapyramidal signs, peripheral neuropathy and dementia, is known as ADCA type I; cerebellar ataxia with retinal degeneration and pigmentary macular dystrophy is defined as ADCA type II; pure cerebellar ataxia without additional signs is classified as ADCA type III.",Disease,Spinocerebellar ataxia
KW-0314,Protein involved in the synthesis of the acidic amino acid glutamate. Glutamate is a component of proteins and can also act as a neurotransmitter in the central nervous system.,Biological process,Glutamate biosynthesis
KW-1249,Viral protein involved in the extrusion of viral particles from the host prokaryotic cell. Extrusion is a concerted mechanism of assembly and secretion used by filamentous phages to release mature viral particles without inducing host cell lysis.,Biological process,Viral extrusion
KW-0801,"Protein which is posttranslationally modified on a tyrosine residue to form TPQ. This modification of a strictly conserved active-site tyrosine residue proceeds via the hydroxylation of tyrosine to Topa (Trihydroxyphenylalanine) and then to TPQ (Topaquinone). It is a self-processing pathway requiring only the protein, copper and molecular oxygen. TPQ is the redox cofactor of most copper-containing amine oxidases.",PTM,TPQ
KW-0556,"Protein which is posttranslationally modified by the formation of a stable radical. E.g., P09373 is posttranslationally interconverted, under anaerobic conditions, from an inactive to an active form that carries a stable radical localized to a specific glycine at the C-terminal region of the polypeptidic chain.",PTM,Organic radical
KW-0012,Enzyme catalyzing the transfer of acyl- (RCO-) groups.,Molecular function,Acyltransferase
KW-0312,"Protein involved in the biosynthesis of ""new"" glucose from such noncarbohydrate precursors as pyruvate, lactate, certain amino acids and intermediates of the tricarboxylic acid cycle.",Biological process,Gluconeogenesis
KW-0434,"Protein involved in the synthesis of leukotrienes, eicosanoid hormones first isolated from leukocytes. They are thought to mediate the allergic response that causes lung constriction and muscle contraction in asthma.",Biological process,Leukotriene biosynthesis
KW-1051,"Protein located in the host synapse, the communicating cell-cell junctions that allow signals to pass from a host nerve cell to a host target cell. In a chemical synapse, the signal is carried by a neurotransmitter which diffuses across a narrow synaptic cleft and activates a receptor on the postsynaptic membrane of the target cell.",Cellular component,Host synapse
KW-0553,"Protein encoded by an oncogene, which promotes cell transformation. Examples include viral homologs of cellular proto-oncogenes such as the transcription factors v-myc and v-jun, the growth factor v-fgr, the regulatory GTPase v-ras, and papillomavirus protein E6.",Disease,Oncogene
KW-1257,Viral protein that inhibits host defense CRISPR-cas system (Clustered Regularly Interspaced Short Palindromic Repeats). The CRISPR-cas system is composed of genomic sensors that allow prokaryotes to acquire DNA fragments from invading viruses and plasmids into the CRISPR locus. These stored fragments (called spacers) are transcribed and processed into small crRNA which are used to destroy matching DNA in future viral and plasmid invasion. Some prokaryotic viruses express specific genes that allow them to evade CRISPR-cas system.,Biological process,CRISPR-cas system evasion by virus
KW-0832,"Protein which is posttranslationally modified by the attachment of at least one ubiquitin-like modifier protein, such as ubiquitin, SUMO, APG12, URM1 or RUB1. Ubiquitin, for example, is linked through a thioester bond between its C-terminus and the epsilon group of a lysine residue present on either another ubiquitin-like modifier protein or a target protein.",PTM,Ubl conjugation
KW-0499,"Protein involved in the conjugative transfer of plasmid DNA. These proteins provide the function of nicking the DNA at a certain point, guiding the 5' end of the nicked strand into the recipient cell, recircularization, and perhaps the priming of complementary strand synthesis in the recipient.",Molecular function,Mobility protein
KW-1135,"Protein found associated with the mitochondrial nucleoid, the mitochondrial pseudocompartment formed by the chromatin-dense area. This region, which is functionally equivalent to the eukaryotic nucleus, is not surrounded by a membrane.",Cellular component,Mitochondrion nucleoid
KW-0703,Protein found in a special form of agranular reticulum located in the sarcoplasm of striated muscle. The agranular reticulum comprises and comprising a system of smooth-surfaced tubules which form a plexus around each myofibril.,Cellular component,Sarcoplasmic reticulum
KW-1158,"Protein which is derived from an mRNA by termination-reinitiation, a process in which ribosomes translate the upstream ORF but following termination, a proportion of 40S subunits remain tethered to the mRNA and reinitiates at the start codon of the downstream ORF to another open reading frame. Termination-reinitiation operates in animals and yeast translational systems.",Coding sequence diversity,RNA termination-reinitiation
KW-0987,"Protein which, if defective, causes osteopetrosis, an hereditary disorder characterized by abnormally dense bone due to reduced bone resorption, and by the common occurrence of fractures of affected bones.",Disease,Osteopetrosis
