id,code,chemical_substance,l1_code,l1_name,l2_code,l2_name,l3_code,l3_name,l4_code,l4_name,chemical_substance_count
5234,V08CB01,ferumoxsil,V,VARIOUS,V08,CONTRAST MEDIA,V08C,MAGNETIC RESONANCE IMAGING CONTRAST MEDIA,V08CB,Superparamagnetic contrast media,1
3493,M03BA02,carisoprodol,M,MUSCULO-SKELETAL SYSTEM,M03,MUSCLE RELAXANTS,M03B,"MUSCLE RELAXANTS, CENTRALLY ACTING AGENTS",M03BA,Carbamic acid esters,1
2834,J07BA01,"encephalitis, tick borne, inactivated, whole virus",J,ANTIINFECTIVES FOR SYSTEMIC USE,J07,VACCINES,J07B,VIRAL VACCINES,J07BA,Encephalitis vaccines,0
2509,J01MA01,ofloxacin,J,ANTIINFECTIVES FOR SYSTEMIC USE,J01,ANTIBACTERIALS FOR SYSTEMIC USE,J01M,QUINOLONE ANTIBACTERIALS,J01MA,Fluoroquinolones,1
610,A14AB01,nandrolone,A,ALIMENTARY TRACT AND METABOLISM,A14,ANABOLIC AGENTS FOR SYSTEMIC USE,A14A,ANABOLIC STEROIDS,A14AB,Estren derivatives,1
3833,N03AX24,cannabidiol,N,NERVOUS SYSTEM,N03,ANTIEPILEPTICS,N03A,ANTIEPILEPTICS,N03AX,Other antiepileptics,1
1712,D07AA03,prednisolone,D,DERMATOLOGICALS,D07,"CORTICOSTEROIDS, DERMATOLOGICAL PREPARATIONS",D07A,"CORTICOSTEROIDS, PLAIN",D07AA,"Corticosteroids, weak (group I)",1
2306,H05BX05,calcifediol,H,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",H05,CALCIUM HOMEOSTASIS,H05B,ANTI-PARATHYROID AGENTS,H05BX,Other anti-parathyroid agents,1
1572,D01AC19,efinaconazole,D,DERMATOLOGICALS,D01,ANTIFUNGALS FOR DERMATOLOGICAL USE,D01A,ANTIFUNGALS FOR TOPICAL USE,D01AC,Imidazole and triazole derivatives,1
480,A10BD21,saxagliptin and dapagliflozin,A,ALIMENTARY TRACT AND METABOLISM,A10,DRUGS USED IN DIABETES,A10B,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS",A10BD,Combinations of oral blood glucose lowering drugs,2
1421,C09BB12,delapril and manidipine,C,CARDIOVASCULAR SYSTEM,C09,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,C09B,"ACE INHIBITORS, COMBINATIONS",C09BB,ACE inhibitors and calcium channel blockers,2
3437,M01CB05,aurotioprol,M,MUSCULO-SKELETAL SYSTEM,M01,ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS,M01C,SPECIFIC ANTIRHEUMATIC AGENTS,M01CB,Gold preparations,1
2016,G02CC03,benzydamine,G,GENITO URINARY SYSTEM AND SEX HORMONES,G02,OTHER GYNECOLOGICALS,G02C,OTHER GYNECOLOGICALS,G02CC,Antiinflammatory products for vaginal administration,1
819,B03BA05,mecobalamin,B,BLOOD AND BLOOD FORMING ORGANS,B03,ANTIANEMIC PREPARATIONS,B03B,VITAMIN B12 AND FOLIC ACID,B03BA,Vitamin B12 (cyanocobalamin and analogues),1
4506,R03BA07,mometasone,R,RESPIRATORY SYSTEM,R03,DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES,R03B,"OTHER DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES, INHALANTS",R03BA,Glucocorticoids,1
4310,P02CA05,flubendazole,P,"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",P02,ANTHELMINTICS,P02C,ANTINEMATODAL AGENTS,P02CA,Benzimidazole derivatives,1
223,A04AA03,tropisetron,A,ALIMENTARY TRACT AND METABOLISM,A04,ANTIEMETICS AND ANTINAUSEANTS,A04A,ANTIEMETICS AND ANTINAUSEANTS,A04AA,Serotonin (5HT3) antagonists,1
2623,J04AM01,streptomycin and isoniazid,J,ANTIINFECTIVES FOR SYSTEMIC USE,J04,ANTIMYCOBACTERIALS,J04A,DRUGS FOR TREATMENT OF TUBERCULOSIS,J04AM,Combinations of drugs for treatment of tuberculosis,2
659,A16AX15,telotristat,A,ALIMENTARY TRACT AND METABOLISM,A16,OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS,A16A,OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS,A16AX,Various alimentary tract and metabolism products,0
2351,J01CE04,azidocillin,J,ANTIINFECTIVES FOR SYSTEMIC USE,J01,ANTIBACTERIALS FOR SYSTEMIC USE,J01C,"BETA-LACTAM ANTIBACTERIALS, PENICILLINS",J01CE,Beta-lactamase sensitive penicillins,1
2629,J04AM07,"rifampicin, ethambutol and isoniazid",J,ANTIINFECTIVES FOR SYSTEMIC USE,J04,ANTIMYCOBACTERIALS,J04A,DRUGS FOR TREATMENT OF TUBERCULOSIS,J04AM,Combinations of drugs for treatment of tuberculosis,3
48,A02AB01,aluminium hydroxide,A,ALIMENTARY TRACT AND METABOLISM,A02,DRUGS FOR ACID RELATED DISORDERS,A02A,ANTACIDS,A02AB,Aluminium compounds,1
287,A06AD02,magnesium oxide,A,ALIMENTARY TRACT AND METABOLISM,A06,DRUGS FOR CONSTIPATION,A06A,DRUGS FOR CONSTIPATION,A06AD,Osmotically acting laxatives,1
46,A02AA05,magnesium silicate,A,ALIMENTARY TRACT AND METABOLISM,A02,DRUGS FOR ACID RELATED DISORDERS,A02A,ANTACIDS,A02AA,Magnesium compounds,1
2431,J01DH05,biapenem,J,ANTIINFECTIVES FOR SYSTEMIC USE,J01,ANTIBACTERIALS FOR SYSTEMIC USE,J01D,OTHER BETA-LACTAM ANTIBACTERIALS,J01DH,Carbapenems,1
1630,D04AA01,thonzylamine,D,DERMATOLOGICALS,D04,"ANTIPRURITICS, INCL. ANTIHISTAMINES, ANESTHETICS, ETC.",D04A,"ANTIPRURITICS, INCL. ANTIHISTAMINES, ANESTHETICS, ETC.",D04AA,Antihistamines for topical use,1
2386,J01DC02,cefuroxime,J,ANTIINFECTIVES FOR SYSTEMIC USE,J01,ANTIBACTERIALS FOR SYSTEMIC USE,J01D,OTHER BETA-LACTAM ANTIBACTERIALS,J01DC,Second-generation cephalosporins,1
1069,C02AB01,methyldopa (levorotatory),C,CARDIOVASCULAR SYSTEM,C02,ANTIHYPERTENSIVES,C02A,"ANTIADRENERGIC AGENTS, CENTRALLY ACTING",C02AB,Methyldopa,1
2121,G03FA13,norgestimate and estrogen,G,GENITO URINARY SYSTEM AND SEX HORMONES,G03,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,G03F,PROGESTOGENS AND ESTROGENS IN COMBINATION,G03FA,"Progestogens and estrogens, fixed combinations",1
3024,L01EM05,parsaclisib,L,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L01,ANTINEOPLASTIC AGENTS,L01E,PROTEIN KINASE INHIBITORS,L01EM,Phosphatidylinositol-3-kinase (Pi3K) inhibitors,0
3541,M05BA05,tiludronic acid,M,MUSCULO-SKELETAL SYSTEM,M05,DRUGS FOR TREATMENT OF BONE DISEASES,M05B,DRUGS AFFECTING BONE STRUCTURE AND MINERALIZATION,M05BA,Bisphosphonates,1
1269,C05BA04,pentosan polysulfate sodium,C,CARDIOVASCULAR SYSTEM,C05,VASOPROTECTIVES,C05B,ANTIVARICOSE THERAPY,C05BA,Heparins or heparinoids for topical use,1
2262,H02AB07,prednisone,H,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",H02,CORTICOSTEROIDS FOR SYSTEMIC USE,H02A,"CORTICOSTEROIDS FOR SYSTEMIC USE, PLAIN",H02AB,Glucocorticoids,1
3617,N01BA04,chloroprocaine,N,NERVOUS SYSTEM,N01,ANESTHETICS,N01B,"ANESTHETICS, LOCAL",N01BA,Esters of aminobenzoic acid,1
2203,G04CA01,alfuzosin,G,GENITO URINARY SYSTEM AND SEX HORMONES,G04,UROLOGICALS,G04C,DRUGS USED IN BENIGN PROSTATIC HYPERTROPHY,G04CA,Alpha-adrenoreceptor antagonists,1
2903,L01AD02,lomustine,L,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L01,ANTINEOPLASTIC AGENTS,L01A,ALKYLATING AGENTS,L01AD,Nitrosoureas,1
3113,L01XD06,efaproxiral,L,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L01,ANTINEOPLASTIC AGENTS,L01X,OTHER ANTINEOPLASTIC AGENTS,L01XD,Sensitizers used in photodynamic/radiation therapy,1
2567,J01XD03,ornidazole,J,ANTIINFECTIVES FOR SYSTEMIC USE,J01,ANTIBACTERIALS FOR SYSTEMIC USE,J01X,OTHER ANTIBACTERIALS,J01XD,Imidazole derivatives,1
2556,J01RA16,cefixime and azithromycin,J,ANTIINFECTIVES FOR SYSTEMIC USE,J01,ANTIBACTERIALS FOR SYSTEMIC USE,J01R,COMBINATIONS OF ANTIBACTERIALS,J01RA,Combinations of antibacterials,2
1524,C10BA10,bempedoic acid and ezetimibe,C,CARDIOVASCULAR SYSTEM,C10,LIPID MODIFYING AGENTS,C10B,"LIPID MODIFYING AGENTS, COMBINATIONS",C10BA,Combinations of various lipid modifying agents,2
4466,R03AC11,tulobuterol,R,RESPIRATORY SYSTEM,R03,DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES,R03A,"ADRENERGICS, INHALANTS",R03AC,Selective beta-2-adrenoreceptor agonists,1
1688,D06BA02,sulfathiazole,D,DERMATOLOGICALS,D06,ANTIBIOTICS AND CHEMOTHERAPEUTICS FOR DERMATOLOGICAL USE,D06B,CHEMOTHERAPEUTICS FOR TOPICAL USE,D06BA,Sulfonamides,1
209,A03DA07,tiemonium iodide and analgesics,A,ALIMENTARY TRACT AND METABOLISM,A03,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS,A03D,ANTISPASMODICS IN COMBINATION WITH ANALGESICS,A03DA,Synthetic anticholinergic agents in combination with analgesics,1
3467,M02AA29,esflurbiprofen,M,MUSCULO-SKELETAL SYSTEM,M02,TOPICAL PRODUCTS FOR JOINT AND MUSCULAR PAIN,M02A,TOPICAL PRODUCTS FOR JOINT AND MUSCULAR PAIN,M02AA,"Antiinflammatory preparations, non-steroids for topical use",1
5132,V03AN03,helium,V,VARIOUS,V03,ALL OTHER THERAPEUTIC PRODUCTS,V03A,ALL OTHER THERAPEUTIC PRODUCTS,V03AN,Medical gases,1
82,A02BC05,esomeprazole,A,ALIMENTARY TRACT AND METABOLISM,A02,DRUGS FOR ACID RELATED DISORDERS,A02B,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD),A02BC,Proton pump inhibitors,1
2047,G03AB06,gestodene and ethinylestradiol,G,GENITO URINARY SYSTEM AND SEX HORMONES,G03,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,G03A,HORMONAL CONTRACEPTIVES FOR SYSTEMIC USE,G03AB,"Progestogens and estrogens, sequential preparations",2
545,A11DA03,benfotiamine,A,ALIMENTARY TRACT AND METABOLISM,A11,VITAMINS,A11D,"VITAMIN B1, PLAIN AND IN COMBINATION WITH VITAMIN B6 AND B12",A11DA,"Vitamin B1, plain",1
5244,V09AA01,technetium (99mTc) exametazime,V,VARIOUS,V09,DIAGNOSTIC RADIOPHARMACEUTICALS,V09A,CENTRAL NERVOUS SYSTEM,V09AA,Technetium (99mTc) compounds,0
5188,V08AA05,ioxitalamic acid,V,VARIOUS,V08,CONTRAST MEDIA,V08A,"X-RAY CONTRAST MEDIA, IODINATED",V08AA,"Watersoluble, nephrotropic, high osmolar X-ray contrast media",1
2430,J01DH04,doripenem,J,ANTIINFECTIVES FOR SYSTEMIC USE,J01,ANTIBACTERIALS FOR SYSTEMIC USE,J01D,OTHER BETA-LACTAM ANTIBACTERIALS,J01DH,Carbapenems,1
1867,D10AD06,trifarotene,D,DERMATOLOGICALS,D10,ANTI-ACNE PREPARATIONS,D10A,ANTI-ACNE PREPARATIONS FOR TOPICAL USE,D10AD,Retinoids for topical use in acne,1
3701,N02BA01,acetylsalicylic acid,N,NERVOUS SYSTEM,N02,ANALGESICS,N02B,OTHER ANALGESICS AND ANTIPYRETICS,N02BA,Salicylic acid and derivatives,1
4347,P03AX06,benzyl alcohol,P,"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",P03,"ECTOPARASITICIDES, INCL. SCABICIDES, INSECTICIDES AND REPELLENTS",P03A,"ECTOPARASITICIDES, INCL. SCABICIDES",P03AX,"Other ectoparasiticides, incl. scabicides",1
1853,D09AB01,zinc bandage without supplements,D,DERMATOLOGICALS,D09,MEDICATED DRESSINGS,D09A,MEDICATED DRESSINGS,D09AB,Zinc bandages,0
1084,C02CC02,guanethidine,C,CARDIOVASCULAR SYSTEM,C02,ANTIHYPERTENSIVES,C02C,"ANTIADRENERGIC AGENTS, PERIPHERALLY ACTING",C02CC,Guanidine derivatives,1
1626,D03BA01,trypsin,D,DERMATOLOGICALS,D03,PREPARATIONS FOR TREATMENT OF WOUNDS AND ULCERS,D03B,ENZYMES,D03BA,Proteolytic enzymes,1
2138,G03GA01,chorionic gonadotrophin,G,GENITO URINARY SYSTEM AND SEX HORMONES,G03,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,G03G,GONADOTROPINS AND OTHER OVULATION STIMULANTS,G03GA,Gonadotropins,1
4427,R02AA06,cetylpyridinium,R,RESPIRATORY SYSTEM,R02,THROAT PREPARATIONS,R02A,THROAT PREPARATIONS,R02AA,Antiseptics,1
1233,C04AX20,buflomedil,C,CARDIOVASCULAR SYSTEM,C04,PERIPHERAL VASODILATORS,C04A,PERIPHERAL VASODILATORS,C04AX,Other peripheral vasodilators,1
2881,J07CA09,diphtheria-haemophilus influenzae B-pertussis-poliomyelitis-tetanus-hepatitis B,J,ANTIINFECTIVES FOR SYSTEMIC USE,J07,VACCINES,J07C,"BACTERIAL AND VIRAL VACCINES, COMBINED",J07CA,"Bacterial and viral vaccines, combined",0
908,B06AC02,icatibant,B,BLOOD AND BLOOD FORMING ORGANS,B06,OTHER HEMATOLOGICAL AGENTS,B06A,OTHER HEMATOLOGICAL AGENTS,B06AC,Drugs used in hereditary angioedema,1
3548,M05BB04,"risedronic acid, calcium and colecalciferol, sequential",M,MUSCULO-SKELETAL SYSTEM,M05,DRUGS FOR TREATMENT OF BONE DISEASES,M05B,DRUGS AFFECTING BONE STRUCTURE AND MINERALIZATION,M05BB,"Bisphosphonates, combinations",2
3240,L03AC01,aldesleukin,L,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L03,IMMUNOSTIMULANTS,L03A,IMMUNOSTIMULANTS,L03AC,Interleukins,1
4872,S01EA04,clonidine,S,SENSORY ORGANS,S01,OPHTHALMOLOGICALS,S01E,ANTIGLAUCOMA PREPARATIONS AND MIOTICS,S01EA,Sympathomimetics in glaucoma therapy,1
4700,R06AE04,chlorcyclizine,R,RESPIRATORY SYSTEM,R06,ANTIHISTAMINES FOR SYSTEMIC USE,R06A,ANTIHISTAMINES FOR SYSTEMIC USE,R06AE,Piperazine derivatives,1
4712,R06AX05,antazoline,R,RESPIRATORY SYSTEM,R06,ANTIHISTAMINES FOR SYSTEMIC USE,R06A,ANTIHISTAMINES FOR SYSTEMIC USE,R06AX,Other antihistamines for systemic use,1
1991,G02AB02,ergot alkaloids,G,GENITO URINARY SYSTEM AND SEX HORMONES,G02,OTHER GYNECOLOGICALS,G02A,UTEROTONICS,G02AB,Ergot alkaloids,0
4286,P01BX02,arterolane and piperaquine,P,"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",P01,ANTIPROTOZOALS,P01B,ANTIMALARIALS,P01BX,Other antimalarials,2
403,A08AX01,rimonabant,A,ALIMENTARY TRACT AND METABOLISM,A08,"ANTIOBESITY PREPARATIONS, EXCL. DIET PRODUCTS",A08A,"ANTIOBESITY PREPARATIONS, EXCL. DIET PRODUCTS",A08AX,Other antiobesity drugs,1
4353,P03BX01,diethyltoluamide,P,"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS",P03,"ECTOPARASITICIDES, INCL. SCABICIDES, INSECTICIDES AND REPELLENTS",P03B,INSECTICIDES AND REPELLENTS,P03BX,Other insecticides and repellents,1
3451,M02AA12,naproxen,M,MUSCULO-SKELETAL SYSTEM,M02,TOPICAL PRODUCTS FOR JOINT AND MUSCULAR PAIN,M02A,TOPICAL PRODUCTS FOR JOINT AND MUSCULAR PAIN,M02AA,"Antiinflammatory preparations, non-steroids for topical use",1
1860,D10AB03,tioxolone,D,DERMATOLOGICALS,D10,ANTI-ACNE PREPARATIONS,D10A,ANTI-ACNE PREPARATIONS FOR TOPICAL USE,D10AB,Preparations containing sulfur,1
3537,M05BA01,etidronic acid,M,MUSCULO-SKELETAL SYSTEM,M05,DRUGS FOR TREATMENT OF BONE DISEASES,M05B,DRUGS AFFECTING BONE STRUCTURE AND MINERALIZATION,M05BA,Bisphosphonates,1
478,A10BD19,linagliptin and empagliflozin,A,ALIMENTARY TRACT AND METABOLISM,A10,DRUGS USED IN DIABETES,A10B,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS",A10BD,Combinations of oral blood glucose lowering drugs,2
1758,D07BC04,diflucortolone and antiseptics,D,DERMATOLOGICALS,D07,"CORTICOSTEROIDS, DERMATOLOGICAL PREPARATIONS",D07B,"CORTICOSTEROIDS, COMBINATIONS WITH ANTISEPTICS",D07BC,"Corticosteroids, potent, combinations with antiseptics",1
2445,J01EB01,sulfaisodimidine,J,ANTIINFECTIVES FOR SYSTEMIC USE,J01,ANTIBACTERIALS FOR SYSTEMIC USE,J01E,SULFONAMIDES AND TRIMETHOPRIM,J01EB,Short-acting sulfonamides,1
1655,D05AD01,trioxysalen,D,DERMATOLOGICALS,D05,ANTIPSORIATICS,D05A,ANTIPSORIATICS FOR TOPICAL USE,D05AD,Psoralens for topical use,1
3456,M02AA17,niflumic acid,M,MUSCULO-SKELETAL SYSTEM,M02,TOPICAL PRODUCTS FOR JOINT AND MUSCULAR PAIN,M02A,TOPICAL PRODUCTS FOR JOINT AND MUSCULAR PAIN,M02AA,"Antiinflammatory preparations, non-steroids for topical use",1
1942,G01AA11,pentamycin,G,GENITO URINARY SYSTEM AND SEX HORMONES,G01,GYNECOLOGICAL ANTIINFECTIVES AND ANTISEPTICS,G01A,"ANTIINFECTIVES AND ANTISEPTICS, EXCL. COMBINATIONS WITH CORTICOSTEROIDS",G01AA,Antibiotics,1
3071,L01FF04,avelumab,L,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L01,ANTINEOPLASTIC AGENTS,L01F,MONOCLONAL ANTIBODIES AND ANTIBODY DRUG CONJUGATES,L01FF,PD-1/PDL-1 (Programmed cell death protein 1/death ligand 1) inhibitors,1
4056,N05CX04,"clomethiazole, combinations",N,NERVOUS SYSTEM,N05,PSYCHOLEPTICS,N05C,HYPNOTICS AND SEDATIVES,N05CX,"Hypnotics and sedatives in combination, excl. barbiturates",1
4944,S01GX06,emedastine,S,SENSORY ORGANS,S01,OPHTHALMOLOGICALS,S01G,DECONGESTANTS AND ANTIALLERGICS,S01GX,Other antiallergics,1
2905,L01AD04,streptozocin,L,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L01,ANTINEOPLASTIC AGENTS,L01A,ALKYLATING AGENTS,L01AD,Nitrosoureas,1
2219,H01AA01,corticotropin,H,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",H01,PITUITARY AND HYPOTHALAMIC HORMONES AND ANALOGUES,H01A,ANTERIOR PITUITARY LOBE HORMONES AND ANALOGUES,H01AA,ACTH,1
1650,D04AB06,tetracaine,D,DERMATOLOGICALS,D04,"ANTIPRURITICS, INCL. ANTIHISTAMINES, ANESTHETICS, ETC.",D04A,"ANTIPRURITICS, INCL. ANTIHISTAMINES, ANESTHETICS, ETC.",D04AB,Anesthetics for topical use,1
19,A01AB14,benzoxonium chloride,A,ALIMENTARY TRACT AND METABOLISM,A01,STOMATOLOGICAL PREPARATIONS,A01A,STOMATOLOGICAL PREPARATIONS,A01AB,Antiinfectives and antiseptics for local oral treatment,1
3854,N04BA03,"levodopa, decarboxylase inhibitor and COMT inhibitor",N,NERVOUS SYSTEM,N04,ANTI-PARKINSON DRUGS,N04B,DOPAMINERGIC AGENTS,N04BA,Dopa and dopa derivatives,1
831,B03XA08,vadadustat,B,BLOOD AND BLOOD FORMING ORGANS,B03,ANTIANEMIC PREPARATIONS,B03X,OTHER ANTIANEMIC PREPARATIONS,B03XA,Other antianemic preparations,1
4601,R05CB07,sobrerol,R,RESPIRATORY SYSTEM,R05,COUGH AND COLD PREPARATIONS,R05C,"EXPECTORANTS, EXCL. COMBINATIONS WITH COUGH SUPPRESSANTS",R05CB,Mucolytics,1
5130,V03AN01,oxygen,V,VARIOUS,V03,ALL OTHER THERAPEUTIC PRODUCTS,V03A,ALL OTHER THERAPEUTIC PRODUCTS,V03AN,Medical gases,1
1936,G01AA05,chloramphenicol,G,GENITO URINARY SYSTEM AND SEX HORMONES,G01,GYNECOLOGICAL ANTIINFECTIVES AND ANTISEPTICS,G01A,"ANTIINFECTIVES AND ANTISEPTICS, EXCL. COMBINATIONS WITH CORTICOSTEROIDS",G01AA,Antibiotics,1
4575,R03DX05,omalizumab,R,RESPIRATORY SYSTEM,R03,DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES,R03D,OTHER SYSTEMIC DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES,R03DX,Other systemic drugs for obstructive airway diseases,1
4687,R06AD01,alimemazine,R,RESPIRATORY SYSTEM,R06,ANTIHISTAMINES FOR SYSTEMIC USE,R06A,ANTIHISTAMINES FOR SYSTEMIC USE,R06AD,Phenothiazine derivatives,1
5032,S02CA04,triamcinolone and antiinfectives,S,SENSORY ORGANS,S02,OTOLOGICALS,S02C,CORTICOSTEROIDS AND ANTIINFECTIVES IN COMBINATION,S02CA,Corticosteroids and antiinfectives in combination,1
2226,H01AC05,mecasermin rinfabate,H,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",H01,PITUITARY AND HYPOTHALAMIC HORMONES AND ANALOGUES,H01A,ANTERIOR PITUITARY LOBE HORMONES AND ANALOGUES,H01AC,Somatropin and somatropin agonists,1
571,A12AA20,calcium (different salts in combination),A,ALIMENTARY TRACT AND METABOLISM,A12,MINERAL SUPPLEMENTS,A12A,CALCIUM,A12AA,Calcium,0
5261,V09CA03,technetium (99mTc) mertiatide,V,VARIOUS,V09,DIAGNOSTIC RADIOPHARMACEUTICALS,V09C,RENAL SYSTEM,V09CA,Technetium (99mTc) compounds,0
2363,J01CF05,flucloxacillin,J,ANTIINFECTIVES FOR SYSTEMIC USE,J01,ANTIBACTERIALS FOR SYSTEMIC USE,J01C,"BETA-LACTAM ANTIBACTERIALS, PENICILLINS",J01CF,Beta-lactamase resistant penicillins,1
2759,J06AA02,tetanus antitoxin,J,ANTIINFECTIVES FOR SYSTEMIC USE,J06,IMMUNE SERA AND IMMUNOGLOBULINS,J06A,IMMUNE SERA,J06AA,Immune sera,0
5226,V08CA05,mangafodipir,V,VARIOUS,V08,CONTRAST MEDIA,V08C,MAGNETIC RESONANCE IMAGING CONTRAST MEDIA,V08CA,Paramagnetic contrast media,1
3097,L01FX18,amivantamab,L,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L01,ANTINEOPLASTIC AGENTS,L01F,MONOCLONAL ANTIBODIES AND ANTIBODY DRUG CONJUGATES,L01FX,Other monoclonal antibodies and antibody drug conjugates,1
2380,J01DB08,cefapirin,J,ANTIINFECTIVES FOR SYSTEMIC USE,J01,ANTIBACTERIALS FOR SYSTEMIC USE,J01D,OTHER BETA-LACTAM ANTIBACTERIALS,J01DB,First-generation cephalosporins,1
2078,G03CB03,methallenestril,G,GENITO URINARY SYSTEM AND SEX HORMONES,G03,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,G03C,ESTROGENS,G03CB,"Synthetic estrogens, plain",1
3403,M01AG03,flufenamic acid,M,MUSCULO-SKELETAL SYSTEM,M01,ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS,M01A,"ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS",M01AG,Fenamates,1
3350,M01AA02,mofebutazone,M,MUSCULO-SKELETAL SYSTEM,M01,ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS,M01A,"ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS",M01AA,Butylpyrazolidines,1
1427,C09BX05,ramipril and bisoprolol,C,CARDIOVASCULAR SYSTEM,C09,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM,C09B,"ACE INHIBITORS, COMBINATIONS",C09BX,"ACE inhibitors, other combinations",2
1890,D10BX01,ichtasol,D,DERMATOLOGICALS,D10,ANTI-ACNE PREPARATIONS,D10B,ANTI-ACNE PREPARATIONS FOR SYSTEMIC USE,D10BX,Other anti-acne preparations for systemic use,0
4874,S01EA51,"epinephrine, combinations",S,SENSORY ORGANS,S01,OPHTHALMOLOGICALS,S01E,ANTIGLAUCOMA PREPARATIONS AND MIOTICS,S01EA,Sympathomimetics in glaucoma therapy,1
