id,struct_id,concept_id,relationship_name,concept_name,umls_cui,snomed_full_name,cui_semantic_type,snomed_conceptid,doid
145356,4143,21000848,contraindication,Hereditary factor VIII deficiency disease,C0019069,Hereditary factor VIII deficiency disease,T047,28293008.0,DOID:12134
145599,3927,21002261,contraindication,Renal failure syndrome,C0035078,Renal failure syndrome,T047,42399005.0,DOID:1074
148226,439,21001435,contraindication,Hypertensive urgency,C0745138,Hypertensive urgency,T047,443482000.0,
134773,2266,21000697,contraindication,Deficiency of glucose-6-phosphate dehydrogenase,C2939465,Deficiency of glucose-6-phosphate dehydrogenase,T047,124134002.0,DOID:2862
135969,2308,21003446,contraindication,"Pregnancy, function",C0032961,"Pregnancy, function",T040,289908002.0,
168559,2176,21001432,indication,Hypertensive disorder,C0020538,Hypertensive disorder,T047,38341003.0,DOID:10763
174064,5418,21001689,contraindication,Thrombotic thrombocytopenic purpura,C0034155,Thrombotic thrombocytopenic purpura,T047,78129009.0,DOID:10772
149833,704,21000927,off-label use,Nicotine Withdrawal Symptoms,,,,,
158897,1334,21003053,contraindication,Seizure disorder,C0014544,Seizure disorder,T047,128613002.0,
167479,4425,21000048,contraindication,Tuberculosis of ear,C0152874,Tuberculosis of ear,T047,186269001.0,
133681,4265,21000604,contraindication,Diabetes mellitus,C0011849,Diabetes mellitus,T047,73211009.0,DOID:9351
166654,700,21001655,contraindication,Thromboembolic disorder,C0040038,Thromboembolic disorder,T047,371039008.0,
146425,1497,21003218,contraindication,Prolonged-Severe Nausea and Vomiting,,,,,
132654,5019,21000848,indication,Hereditary factor VIII deficiency disease,C0019069,Hereditary factor VIII deficiency disease,T047,28293008.0,DOID:12134
139380,475,21000723,contraindication,Hypomagnesemia,C0151723,Hypomagnesemia,T033,190855004.0,
148066,4170,21001913,contraindication,Respiratory insufficiency,C0035229,Respiratory insufficiency,T046,409623005.0,
156287,901,21000878,contraindication,Thrombocytopenic disorder,C0040034,Thrombocytopenic disorder,T033,302215000.0,DOID:1588
141168,195,21003452,contraindication,Breastfeeding (mother),C1623040,Breastfeeding (mother),T033,413712001.0,
141454,1103,21002035,contraindication,Peptic ulcer,C0030920,Peptic ulcer,T047,13200003.0,DOID:750
160694,2445,21001629,indication,Cerebrovascular accident,C0038454,Cerebrovascular accident,T047,230690007.0,
160077,1549,21001450,contraindication,Myocardial infarction in recovery phase,C1633725,Myocardial infarction in recovery phase,T201,418044006.0,
139902,2534,21001578,contraindication,Chronic heart failure,C0264716,Chronic heart failure,T047,48447003.0,
174724,1579,21013795,off-label use,Neuropathic pain,C3714625,neuropathic pain,T033,247398009.0,
152895,1854,21001566,contraindication,Prolonged QT interval,C0151878,Prolonged QT interval,T033,111975006.0,
145232,1024,21001458,contraindication,Chronic myocardial ischemia,C0264694,Chronic myocardial ischemia,T047,413844008.0,DOID:3393
169273,2034,21003033,contraindication,Coma,C0009421,Coma,T047,371632003.0,
165555,2231,21013767,indication,Organophosphate poisoning,C0700359,Organophosphate poisoning,T037,8260003.0,
153397,571,21002591,indication,Infection of skin AND/OR subcutaneous tissue,C0178299,Infection of skin AND/OR subcutaneous tissue,T047,19824006.0,
143509,824,21000604,contraindication,Diabetes mellitus,C0011849,Diabetes mellitus,T047,73211009.0,DOID:9351
141865,1962,21003292,contraindication,Liver function tests abnormal,C0151766,Liver function tests abnormal,T033,166603001.0,
150099,625,21003446,contraindication,"Pregnancy, function",C0032961,"Pregnancy, function",T040,289908002.0,
151103,105,21001877,indication,Chronic Obstructive Pulmonary Disease with Bronchospasms,,,,,
146184,4355,21002025,indication,Duodenal Ulcer due to H. Pylori,,,,,
133063,4473,40249051,indication,Colonoscopy,C0009378,Colonoscopy,T060,73761001.0,
140163,2067,21002109,contraindication,Gastrointestinal obstruction,C0236124,Gastrointestinal obstruction,T046,126765001.0,
134584,785,21001498,contraindication,Pericardial effusion,C0031039,Pericardial effusion,T047,373945007.0,DOID:118
138149,403,21013497,indication,Type 2 Diabetes Mellitus Treatment Adjunct,,,,,
172041,2228,21002259,contraindication,End stage renal disease,C0022661,End stage renal disease,T047,46177005.0,DOID:784
150106,659,21002797,indication,Serratia Joint Infection,,,,,
166934,4266,21003181,contraindication,Shock,C0036974,Shock,T046,27942005.0,
142547,616,21000026,contraindication,Pseudomembranous enterocolitis,C0014358,Pseudomembranous enterocolitis,T047,397683000.0,
165830,2990,21000004,contraindication,Lumbar puncture,C0037943,Lumbar puncture,T061,277762005.0,
154070,2352,21001161,contraindication,Disorder of muscle,C0026848,Disorder of muscle,T047,129565002.0,DOID:423
163122,659,21002145,indication,Abdominal abscess,C0243001,Abdominal abscess,T047,75100008.0,
167744,258,21000248,off-label use,Babesiosis,C0004576,Babesiosis,T047,21061004.0,DOID:9643
135276,1024,21003292,contraindication,Liver function tests abnormal,C0151766,Liver function tests abnormal,T033,166603001.0,
165637,4496,21003253,contraindication,Retention of urine,C0080274,Retention of urine,T033,267064002.0,
151897,728,21002208,contraindication,Calculus in biliary tract,C0008350,Calculus in biliary tract,T047,266474003.0,
153738,2475,21002249,indication,Edema due to Nephrotic Syndrome,,,,,
159944,776,21001715,contraindication,Acute hemorrhage,C0333276,Acute hemorrhage,T046,8573003.0,
150018,4114,21003023,contraindication,Surgical procedure,C0543467,Surgical procedure,T058,387713003.0,
141337,374,21002090,contraindication,Severe chronic ulcerative colitis,C0267387,Severe chronic ulcerative colitis,T047,14311001.0,
149671,2340,21002962,contraindication,Neonatal hyperbilirubinemia,C0857007,Neonatal hyperbilirubinemia,T047,281610001.0,
150608,4246,21001368,indication,Otitis externa,C0029878,Otitis externa,T047,3135009.0,
167366,3325,21001330,off-label use,Giant papillary conjunctivitis,C0009769,Giant papillary conjunctivitis,T047,231857004.0,DOID:2457
145860,765,21001775,indication,Nasal congestion,C0027424,Nasal congestion,T184,68235000.0,
154151,1676,21002808,indication,Juvenile rheumatoid arthritis,C3495559,Juvenile rheumatoid arthritis,T047,410795001.0,
143528,3188,21000584,contraindication,Hypothyroidism,C0020676,Hypothyroidism,T047,40930008.0,DOID:1459
135866,2172,21013500,contraindication,Senile dementia,C0011268,Senile dementia,T048,15662003.0,
163902,4247,21003324,contraindication,Injury of eye region,C0560619,Injury of eye region,T037,282752000.0,
141510,1854,21001820,indication,Pneumonia due to Mycoplasma pneumoniae,C0032302,Pneumonia due to Mycoplasma pneumoniae,T047,46970008.0,
161685,380,21000736,contraindication,Hyponatremia,C0020625,Hyponatremia,T033,89627008.0,
136466,1659,21002393,contraindication,Fibroadenosis of breast,C1305875,Fibroadenosis of breast,T047,23260002.0,DOID:10352
157410,3135,21000041,contraindication,Tuberculosis,C0041296,Tuberculosis,T047,56717001.0,
146528,419,21001783,contraindication,Perforation of nasal septum,C0235761,Perforation of nasal septum,T190,80142000.0,
161358,2806,21001502,contraindication,Severe Aortic Valve Stenosis,,,,,
148787,1082,21000707,contraindication,Hyperlipidemia,C0020473,Hyperlipidemia,T047,55822004.0,DOID:1168
172112,432,21004377,contraindication,Hypovolemia,C0546884,Hypovolemia,T033,28560003.0,
132751,4920,40249160,indication,Acute otitis externa,C0149948,Acute otitis externa,T047,30250000.0,
145801,1189,21000897,contraindication,Neutropenic disorder,C0027947,Neutropenic disorder,T047,303011007.0,DOID:1227
147561,2543,21013484,contraindication,Cardiovascular event risk,C1273410,Cardiovascular event risk,T033,395112001.0,
133348,1210,21003446,contraindication,"Pregnancy, function",C0032961,"Pregnancy, function",T040,289908002.0,
168199,757,21001200,off-label use,Prevention of Posterior Synechiae,,,,,
136173,1059,21001918,contraindication,Chronic lung disease,C0746102,Chronic lung disease,T047,413839001.0,
147410,2722,21002161,contraindication,Rectal hemorrhage,C0267596,Rectal hemorrhage,T046,12063002.0,
145853,720,21001750,indication,Pharyngitis,C0031350,Pharyngitis,T047,405737000.0,DOID:2275
165413,1688,21003278,contraindication,Hyperglycemia,C0020456,Hyperglycemia,T047,80394007.0,DOID:4195
142716,4247,21013486,indication,Minor Skin Wound Pain,,,,,
140426,463,21013564,contraindication,Atrophic gastritis,C0017154,Atrophic gastritis,T047,84568007.0,DOID:8929
154049,1475,21001458,contraindication,Chronic myocardial ischemia,C0264694,Chronic myocardial ischemia,T047,413844008.0,DOID:3393
139621,2044,21000413,contraindication,Acute infectious disease,C0275518,Acute infectious disease,T047,63171007.0,
161376,1386,21001480,contraindication,Cor pulmonale,C0034072,Cor pulmonale,T047,83291003.0,DOID:8515
165996,1057,21000538,indication,Metastatic Prostate Carcinoma,,,,,
152853,157,21001149,contraindication,Myasthenia gravis,C0026896,Myasthenia gravis,T047,91637004.0,DOID:437
162086,509,21002855,indication,Spasticity,C0026838,Spasticity,T184,221360009.0,
166006,4202,21001447,contraindication,Myocardial infarction,C0027051,Myocardial infarction,T047,22298006.0,DOID:5844
153448,224,21001206,contraindication,Angle-closure glaucoma,C0017605,Angle-closure glaucoma,T047,392291006.0,DOID:13550
162415,2274,21001460,contraindication,Angina pectoris,C0002962,Angina pectoris,T033,194828000.0,
171990,1690,21000633,contraindication,Primary adrenocortical insufficiency,C0001403,Primary adrenocortical insufficiency,T047,373662000.0,
167646,4621,21001232,contraindication,Diplopia,C0012569,Diplopia,T047,24982008.0,
144329,1786,21001709,contraindication,Low blood pressure,C0020649,Low blood pressure,T033,45007003.0,
142019,1981,21001840,indication,Haemophilus Influenzae Bronchitis,,,,,
172234,4813,21000314,indication,Tinea pedis,C0040259,Tinea pedis,T047,6020002.0,DOID:12403
133827,633,21001777,contraindication,Nasal Septal Ulcers,,,,,
163720,3356,21003125,contraindication,Edema,C0013604,Edema,T046,267038008.0,
152232,2100,21001473,contraindication,Myocardial ischemia,C0151744,Myocardial ischemia,T047,414795007.0,DOID:3393
164783,1231,21013835,contraindication,Gastrectomy,C0017118,Gastrectomy,T061,53442002.0,
158408,3742,21002361,contraindication,Benign prostatic hyperplasia,C1739363,Benign prostatic hyperplasia,T047,266569009.0,
156196,802,21000285,indication,Gonorrhea of rectum,C0275665,Gonorrhea of rectum,T047,42746002.0,
138411,1330,21001839,indication,Streptococcus Pneumoniae Bronchitis,,,,,
148473,484,21004377,contraindication,Hypovolemia,C0546884,Hypovolemia,T033,28560003.0,
175040,5282,21000674,indication,Osteomalacia,C0029442,Osteomalacia,T047,4598005.0,DOID:10573
140601,609,21000723,contraindication,Hypomagnesemia,C0151723,Hypomagnesemia,T033,190855004.0,
134248,2387,21001990,contraindication,Achalasia of esophagus,C0014848,Achalasia of esophagus,T047,45564002.0,DOID:9164
146167,1086,21002090,contraindication,Severe chronic ulcerative colitis,C0267387,Severe chronic ulcerative colitis,T047,14311001.0,
144651,2728,21000737,contraindication,Acidosis,C0001122,Acidosis,T046,51387008.0,
149542,2758,21002202,contraindication,Disease of liver,C0023895,Disease of liver,T047,235856003.0,DOID:409
168085,2245,21004620,off-label use,West syndrome,C0037769,West syndrome,T047,28055006.0,
146480,4103,21001432,contraindication,Hypertensive disorder,C0020538,Hypertensive disorder,T047,38341003.0,DOID:10763
168219,3188,21000707,contraindication,Hyperlipidemia,C0020473,Hyperlipidemia,T047,55822004.0,DOID:1168
149602,802,21000291,indication,Lymphogranuloma venereum,C0024286,Lymphogranuloma venereum,T047,186946009.0,DOID:13819
169686,3408,21000314,indication,Tinea pedis,C0040259,Tinea pedis,T047,6020002.0,DOID:12403
166050,2029,21001933,contraindication,Operation on gastrointestinal tract,C0399610,Operation on gastrointestinal tract,T061,386621005.0,
172822,999,21002694,indication,Itching of skin,C0033774,Itching of skin,T184,418363000.0,
148236,499,21003316,contraindication,Injury of head,C0018674,Injury of head,T037,82271004.0,
135114,734,21002846,indication,Bursitis,C0006444,Bursitis,T047,84017003.0,DOID:2965
156514,824,21000404,indication,Sarcoidosis,C0036202,Sarcoidosis,T047,31541009.0,DOID:11335
165258,30,21002639,contraindication,Hydroa vacciniforme,C0020241,Hydroa vacciniforme,T047,200837006.0,
145588,1990,21000608,indication,Zollinger-Ellison syndrome,C0043515,Zollinger-Ellison syndrome,T047,53132006.0,DOID:0050782
173882,5376,40249416,off-label use,Coronavirus infection,C0206750,Coronavirus infection,T047,186747009.0,
137409,1859,21007636,contraindication,Gastrointestinal perforation,C0151664,Gastrointestinal perforation,T047,51875005.0,
155203,1240,21000192,contraindication,Chronic type B viral hepatitis,C0524909,Chronic type B viral hepatitis,T047,61977001.0,
175272,5138,40249645,indication,Toxic plasma methotrexate concentration reduction,,,,,
142140,556,21001839,indication,Streptococcus Pneumoniae Bronchitis,,,,,
171596,1530,21001283,indication,Allergic conjunctivitis,C0009766,Allergic conjunctivitis,T047,473460002.0,DOID:11204
148363,224,21003377,indication,Anaphylaxis Adjunct,,,,,
168225,2838,21000814,contraindication,Hb SS disease,C0002895,Hb SS disease,T047,127040003.0,DOID:10923
159813,395,21001919,contraindication,Bronchospasm,C0006266,Bronchospasm,T047,4386001.0,
144251,1813,21000295,indication,Rectal Chlamydia Trachomatis Infection,,,,,
152203,2725,21002172,contraindication,Anastomosis of intestine,C0192711,Anastomosis of intestine,T061,235407009.0,
132645,1222,21000948,indication,Schizophrenia,C0036341,Schizophrenia,T048,58214004.0,DOID:5419
132666,5014,21000952,indication,Major depressive disorder,C1269683,Major depressive disorder,T048,370143000.0,
170135,2150,21002094,contraindication,Necrotizing enterocolitis in fetus OR newborn,C0520459,Necrotizing enterocolitis in fetus OR newborn,T047,2707005.0,
161597,197,21011376,indication,Candidemia,C0877445,Candidemia,T047,432261003.0,
155267,2807,21001511,indication,Diphtheroid Prosthetic Heart Valve Endocarditis,,,,,
169781,4349,21003446,contraindication,"Pregnancy, function",C0032961,"Pregnancy, function",T040,289908002.0,
154055,1481,21003277,contraindication,Azotemia,C0242528,Azotemia,T047,445009001.0,
154268,2813,21001578,contraindication,Chronic heart failure,C0264716,Chronic heart failure,T047,48447003.0,
160916,2078,21003446,contraindication,"Pregnancy, function",C0032961,"Pregnancy, function",T040,289908002.0,
144537,183,21000716,contraindication,Gout,C0018099,Gout,T047,90560007.0,DOID:13189
172884,4925,40249166,indication,Neuropathic diabetic ulcer - foot,C0406526,Neuropathic diabetic ulcer - foot,T047,201251005.0,
152079,4133,21000413,contraindication,Acute infectious disease,C0275518,Acute infectious disease,T047,63171007.0,
150011,2840,21003313,contraindication,Bed-ridden,C0425251,Bed-ridden,T033,160685001.0,
149717,3462,21002231,contraindication,Gastrointestinal hemorrhage,C0017181,Gastrointestinal hemorrhage,T046,74474003.0,
166487,4199,21013593,contraindication,Autonomic dysreflexia,C0238015,Autonomic dysreflexia,T047,129618003.0,
139009,4348,21000609,contraindication,Hyperparathyroidism,C0020502,Hyperparathyroidism,T047,66999008.0,DOID:13543
158092,1802,21003181,contraindication,Shock,C0036974,Shock,T046,27942005.0,
145006,1059,21002394,contraindication,Gynecomastia,C0018418,Gynecomastia,T047,4754008.0,DOID:12698
149566,2253,21002847,contraindication,Traumatic rupture of tendon,C0151937,Traumatic rupture of tendon,T037,415749005.0,
143853,2722,21001263,contraindication,Corneal opacity,C0010038,Corneal opacity,T033,64634000.0,
133720,4609,21003452,contraindication,Breastfeeding (mother),C1623040,Breastfeeding (mother),T033,413712001.0,
163236,3659,21002292,contraindication,Kidney disease,C0022658,Kidney disease,T047,90708001.0,DOID:557
154572,1567,21003050,contraindication,Hallucinations,C0018524,Hallucinations,T048,7011001.0,
154262,2770,21001206,contraindication,Angle-closure glaucoma,C0017605,Angle-closure glaucoma,T047,392291006.0,DOID:13550
140684,703,21002196,contraindication,Hepatic failure,C0085605,Hepatic failure,T047,59927004.0,
159429,2055,21002292,contraindication,Kidney disease,C0022658,Kidney disease,T047,90708001.0,DOID:557
172326,2128,21003205,indication,Cough,C0010200,Cough,T184,49727002.0,
137694,4246,21003322,indication,Corneal abrasion,C0010032,Corneal abrasion,T037,85848002.0,
166678,4548,21002630,indication,Atopic dermatitis,C0011615,Atopic dermatitis,T047,24079001.0,DOID:3310
145986,878,21003036,contraindication,Drowsy,C0013144,Drowsy,T033,271782001.0,
146112,1612,21001629,off-label use,Cerebrovascular accident,C0038454,Cerebrovascular accident,T047,230690007.0,
132517,5175,40249298,indication,Nonunion of fracture,C0016665,Nonunion of fracture,T046,302941001.0,
154945,1584,21001806,indication,Staphylococcal pneumonia,C0032308,Staphylococcal pneumonia,T047,22754005.0,
145096,2811,21011693,contraindication,Morbid obesity,C0028756,Morbid obesity,T047,238136002.0,DOID:11981
164571,1426,21013772,off-label use,Melioidosis,C0025229,Melioidosis,T047,428111003.0,DOID:5052
159958,868,21001578,contraindication,Chronic heart failure,C0264716,Chronic heart failure,T047,48447003.0,
137967,1454,21001709,contraindication,Low blood pressure,C0020649,Low blood pressure,T033,45007003.0,
160071,1407,21003446,contraindication,"Pregnancy, function",C0032961,"Pregnancy, function",T040,289908002.0,
172093,1767,21001018,contraindication,Feeling agitated,C0085631,Feeling agitated,T184,24199005.0,
147949,1444,21004247,contraindication,Acute cerebrovascular insufficiency,C0265115,Acute cerebrovascular insufficiency,T047,29322000.0,
175487,4634,40249748,contraindication,Significant thrombocytopenia,C0040034,Thrombocytopenic disorder,T033,302215000.0,DOID:1588
170472,939,21001887,contraindication,Pleural Effusions,,,,,
136907,4405,21000679,contraindication,Vitamin D deficiency,C0042870,Vitamin D deficiency,T047,34713006.0,
175481,4634,21003452,contraindication,Breastfeeding (mother),C1623040,Breastfeeding (mother),T033,413712001.0,
165963,494,21001875,contraindication,Chronic obstructive lung disease,C0024117,Chronic obstructive lung disease,T047,13645005.0,DOID:3083
143015,2115,21000695,contraindication,Hyperammonemia,C0220994,Hyperammonemia,T046,9360008.0,
146489,3462,21007034,contraindication,Anemia due to enzyme deficiency,C0272053,Anemia due to enzyme deficiency,T047,111577008.0,
167940,559,21002615,indication,Infection due to Enterobacteriaceae,C0014347,Infection due to Enterobacteriaceae,T047,128945009.0,
147257,2419,21000579,contraindication,Thyrotoxicosis,C0040156,Thyrotoxicosis,T047,90739004.0,DOID:7997
163692,867,21001635,contraindication,Intracranial aneurysm,C0917996,Intracranial aneurysm,T047,128609009.0,DOID:10941
146263,1218,21003063,indication,Insomnia,C0917801,Insomnia,T184,193462001.0,
173476,5304,21000485,indication,"Acute myeloid leukemia, disease",C0023467,"Acute myeloid leukemia, disease",T191,91861009.0,
150466,1572,21001460,contraindication,Angina pectoris,C0002962,Angina pectoris,T033,194828000.0,
161640,4143,21003292,contraindication,Liver function tests abnormal,C0151766,Liver function tests abnormal,T033,166603001.0,
151189,269,21000154,contraindication,Bacterial infectious disease,C0004623,Bacterial infectious disease,T047,87628006.0,
147523,1285,21002256,contraindication,Acute nephropathy,C0268734,Acute nephropathy,T047,58574008.0,
137554,158,21000753,contraindication,Hyperkalemia,C0020461,Hyperkalemia,T033,14140009.0,
161546,3424,21001002,contraindication,Alcohol intoxication,C0001969,Alcohol intoxication,T048,25702006.0,
163080,1232,21000667,indication,Folic acid deficiency,C0016412,Folic acid deficiency,T047,190633005.0,
165005,1508,21000723,contraindication,Hypomagnesemia,C0151723,Hypomagnesemia,T033,190855004.0,
141096,676,21001966,contraindication,Disturbance of salivary secretion,C0012765,Disturbance of salivary secretion,T046,78948009.0,
158079,4253,21002077,contraindication,Appendicitis,C0003615,Appendicitis,T047,74400008.0,DOID:8337
140209,1402,21001206,contraindication,Angle-closure glaucoma,C0017605,Angle-closure glaucoma,T047,392291006.0,DOID:13550
133520,1759,21001432,indication,Hypertensive disorder,C0020538,Hypertensive disorder,T047,38341003.0,DOID:10763
138680,1385,21003277,contraindication,Azotemia,C0242528,Azotemia,T047,445009001.0,
152169,563,21002880,indication,Osteomyelitis due to Staphylococcus aureus,C1997728,Osteomyelitis due to Staphylococcus aureus,T047,428783003.0,
137541,1499,21001738,indication,Common cold,C0009443,Common cold,T047,82272006.0,DOID:10459
161966,726,21000836,contraindication,Bone marrow depression,C0151773,Bone marrow depression,T047,307762000.0,
133649,4127,21001205,indication,Open-angle glaucoma,C0017612,Open-angle glaucoma,T047,84494001.0,DOID:1067
143294,4200,21001606,contraindication,Heart disease,C0018799,Heart disease,T047,56265001.0,DOID:114
173405,5260,21013699,indication,Mantle cell lymphoma,C0334634,Mantle cell lymphoma,T191,443487006.0,
170020,4283,21003053,contraindication,Seizure disorder,C0014544,Seizure disorder,T047,128613002.0,
141732,463,21001450,contraindication,Myocardial infarction in recovery phase,C1633725,Myocardial infarction in recovery phase,T201,418044006.0,
166916,4142,21000842,contraindication,Anemia,C0002871,Anemia,T047,271737000.0,DOID:2355
141280,3631,21003321,contraindication,Open wound,C0332798,Open wound,T037,125643001.0,
146695,1865,21013591,contraindication,Right ventricular failure,C2939447,Right ventricular failure,T047,367363000.0,
165612,1236,21001483,contraindication,Bacterial endocarditis,C0014121,Bacterial endocarditis,T047,301183007.0,
169297,594,21013484,contraindication,Cardiovascular event risk,C1273410,Cardiovascular event risk,T033,395112001.0,
169530,1714,21000789,contraindication,Obesity,C0028754,Obesity,T047,414916001.0,DOID:9970
